cache_lines,MRC
256,0.139289
512,0.12715
768,0.126954
1024,0.124104
1280,0.115241
1536,0.115207
1792,0.115194
2048,0.113329
2304,0.112287
2560,0.112281
2816,0.111509
3072,0.111502
3328,0.111059
3584,0.110929
3840,0.110731
4096,0.110517
4352,0.110285
4608,0.109264
4864,0.108445
5120,0.108416
5376,0.107507
5632,0.107382
5888,0.106669
6144,0.105515
6400,0.104945
6656,0.104917
6912,0.104882
7168,0.104851
7424,0.104813
7680,0.104776
7936,0.104746
8192,0.104717
8448,0.104685
8704,0.104652
8960,0.104619
9216,0.104581
9472,0.104545
9728,0.104506
9984,0.104464
10240,0.104434
10496,0.104427
10752,0.104422
11008,0.104414
11264,0.104409
11520,0.104403
11776,0.104396
12032,0.10439
12288,0.104382
12544,0.104376
12800,0.104371
13056,0.104366
13312,0.10436
13568,0.104355
13824,0.10435
14080,0.104345
14336,0.104339
14592,0.104334
14848,0.104326
15104,0.104321
15360,0.104315
15616,0.10431
15872,0.104303
16128,0.104298
16384,0.104292
16640,0.104286
16896,0.10428
17152,0.104274
17408,0.104268
17664,0.104262
17920,0.104257
18176,0.104251
18432,0.104245
18688,0.104239
18944,0.104234
19200,0.104228
19456,0.104222
19712,0.104215
19968,0.104209
20224,0.104204
20480,0.104198
20736,0.104193
20992,0.104187
21248,0.10418
21504,0.104174
21760,0.104168
22016,0.104162
22272,0.104156
22528,0.10415
22784,0.104145
23040,0.104139
23296,0.104133
23552,0.104118
23808,0.104082
24064,0.104076
24320,0.10407
24576,0.104065
24832,0.104059
25088,0.104053
25344,0.104047
25600,0.104041
25856,0.104036
26112,0.10403
26368,0.104025
26624,0.104018
26880,0.104012
27136,0.104006
27392,0.104
27648,0.103994
27904,0.103988
28160,0.103982
28416,0.103976
28672,0.103971
28928,0.103965
29184,0.103959
29440,0.103953
29696,0.103947
29952,0.103942
30208,0.103936
30464,0.103323
30720,0.0968554
30976,0.0961943
31232,0.0961882
31488,0.0961819
31744,0.0961747
32000,0.0961686
32256,0.0961632
32512,0.0961569
32768,0.0961507
33024,0.0961448
33280,0.0961392
33536,0.0961334
33792,0.0961271
34048,0.0961215
34304,0.0958497
34560,0.0897748
34816,0.0884837
35072,0.088478
35328,0.0884718
35584,0.0884649
35840,0.0884596
36096,0.0884536
36352,0.0884476
36608,0.0884419
36864,0.0884364
37120,0.0884302
37376,0.0884246
37632,0.0884183
37888,0.0884117
38144,0.0884054
38400,0.0884002
38656,0.0883953
38912,0.0883903
39168,0.088384
39424,0.0883785
39680,0.0883725
39936,0.088367
40192,0.0883602
40448,0.0883548
40704,0.0883491
40960,0.0883437
41216,0.0883383
41472,0.0883331
41728,0.0883272
41984,0.0883221
42240,0.0883161
42496,0.0883107
42752,0.0883057
43008,0.0882998
43264,0.0882938
43520,0.0882883
43776,0.0882826
44032,0.0882771
44288,0.0882713
44544,0.0882651
44800,0.0882587
45056,0.088252
45312,0.088246
45568,0.0882408
45824,0.0882346
46080,0.0882295
46336,0.0882245
46592,0.0882191
46848,0.0882133
47104,0.088208
47360,0.0882028
47616,0.0881971
47872,0.0881915
48128,0.0881857
48384,0.0881799
48640,0.0881743
48896,0.0881688
49152,0.0881628
49408,0.0881569
49664,0.0881523
49920,0.0881464
50176,0.0881411
50432,0.0881352
50688,0.0881297
50944,0.0881235
51200,0.0881179
51456,0.0881122
51712,0.0881068
51968,0.0881015
52224,0.0880955
52480,0.0880894
52736,0.0880846
52992,0.0880792
53248,0.0880738
53504,0.0880686
53760,0.0880627
54016,0.0880573
54272,0.0880519
54528,0.0880467
54784,0.0880412
55040,0.0880358
55296,0.088031
55552,0.0880251
55808,0.0880196
56064,0.0880146
56320,0.0880095
56576,0.0880039
56832,0.0879986
57088,0.0879929
57344,0.087988
57600,0.087983
57856,0.0879777
58112,0.0879723
58368,0.0879665
58624,0.0879607
58880,0.0879555
59136,0.0879503
59392,0.0879451
59648,0.0879399
59904,0.0879354
60160,0.0879311
60416,0.0879261
60672,0.0879209
60928,0.0879163
61184,0.0879115
61440,0.0879071
61696,0.0879021
61952,0.0878975
62208,0.087893
62464,0.0878881
62720,0.0878833
62976,0.0878785
63232,0.087874
63488,0.0878697
63744,0.0878643
64000,0.0878594
64256,0.0878543
64512,0.0878491
64768,0.0878436
65024,0.0878388
65280,0.0878336
65536,0.0878283
65792,0.0878232
66048,0.0878181
66304,0.0878115
66560,0.0878037
66816,0.0877968
67072,0.0877904
67328,0.0877854
67584,0.0877805
67840,0.0877497
68096,0.0872426
68352,0.0866046
