cache_lines,MRC
256,0.127083
512,0.118078
768,0.116499
1024,0.110908
1280,0.109496
1536,0.109397
1792,0.108289
2048,0.108132
2304,0.1075
2560,0.10513
2816,0.10029
3072,0.10014
3328,0.100067
3584,0.0999143
3840,0.098166
4096,0.0972375
4352,0.0970383
4608,0.0964473
4864,0.0925463
5120,0.0923486
5376,0.0916821
5632,0.0904868
5888,0.0903331
6144,0.0901256
6400,0.0898985
6656,0.0897396
6912,0.0879424
7168,0.0877655
7424,0.0873923
7680,0.0872611
7936,0.0870967
8192,0.0869352
8448,0.086866
8704,0.0867737
8960,0.0859375
9216,0.0859277
9472,0.0858487
9728,0.0855227
9984,0.0855128
10240,0.0855029
10496,0.0854752
10752,0.0850236
11008,0.0849399
11264,0.0849399
11520,0.0849399
11776,0.0849202
12032,0.0848905
12288,0.0848806
12544,0.0848512
12800,0.0847028
13056,0.0846852
13312,0.0846535
13568,0.0846377
13824,0.0846041
14080,0.0845744
14336,0.0845646
14592,0.0844535
14848,0.0844345
15104,0.0844065
15360,0.0843077
15616,0.0842693
15872,0.0842014
16128,0.0841596
16384,0.0840358
16640,0.0838194
16896,0.0837941
17152,0.0837744
17408,0.0837645
17664,0.0837447
17920,0.0836828
18176,0.0834682
18432,0.0834682
18688,0.083453
18944,0.0834385
19200,0.0834286
19456,0.0834286
19712,0.0834089
19968,0.0833891
20224,0.0833891
20480,0.0833744
20736,0.0833107
20992,0.0831718
21248,0.0831371
21504,0.0830928
21760,0.0830469
22016,0.082994
22272,0.0829743
22528,0.0829286
22784,0.0828888
23040,0.0828557
23296,0.0828225
23552,0.0827828
23808,0.0827767
24064,0.0827668
24320,0.0827625
24576,0.0827471
24832,0.0827423
25088,0.0827372
25344,0.0821784
25600,0.077277
25856,0.0772354
26112,0.0772339
26368,0.0772156
26624,0.0772156
26880,0.0772058
27136,0.0772058
27392,0.0772058
27648,0.0771959
27904,0.0771959
28160,0.0771959
28416,0.0770049
28672,0.0725896
28928,0.0723262
29184,0.0723208
29440,0.0723163
29696,0.0723163
29952,0.0723163
30208,0.0723163
30464,0.0723163
30720,0.0723163
30976,0.0723163
31232,0.0723163
31488,0.0723163
31744,0.0723163
32000,0.0723163
32256,0.0723163
32512,0.0723163
32768,0.0723163
33024,0.0723163
33280,0.0723163
33536,0.0723163
33792,0.0723163
34048,0.0723163
34304,0.0723163
34560,0.0723163
34816,0.0723163
35072,0.0723163
35328,0.0723163
35584,0.0723163
35840,0.0723163
36096,0.0723163
36352,0.0723163
36608,0.0723163
36864,0.0723163
37120,0.0723065
37376,0.0723065
37632,0.0723065
37888,0.0723065
38144,0.0723065
38400,0.0723065
38656,0.0723065
38912,0.0723065
39168,0.0723065
39424,0.0723065
39680,0.0723065
39936,0.0722991
40192,0.0722966
40448,0.0722966
40704,0.0722966
40960,0.0722966
41216,0.0722962
41472,0.0722867
41728,0.0722867
41984,0.0722867
42240,0.0722867
42496,0.0722867
42752,0.0722867
43008,0.0722768
43264,0.0722768
43520,0.0722768
43776,0.0722768
44032,0.0722768
44288,0.0722692
44544,0.072267
44800,0.072267
45056,0.072267
45312,0.072267
45568,0.0722628
45824,0.0722571
46080,0.0722571
46336,0.0722571
46592,0.0722571
46848,0.0722564
47104,0.0722472
47360,0.0722472
47616,0.0722446
47872,0.0722373
48128,0.0722373
48384,0.0722373
48640,0.0722373
48896,0.0722373
49152,0.0722373
49408,0.0722373
49664,0.0722373
49920,0.0722373
50176,0.0722373
50432,0.0722373
50688,0.0722373
50944,0.0722373
51200,0.0722373
51456,0.0722373
51712,0.0722373
51968,0.0722373
52224,0.0722373
52480,0.0722373
52736,0.0722373
52992,0.0722373
53248,0.0722373
53504,0.0722373
53760,0.0722373
54016,0.0722373
54272,0.0722373
54528,0.0722373
54784,0.0722373
55040,0.072233
55296,0.0722275
55552,0.0722275
55808,0.0722275
56064,0.0720222
56320,0.0714556
56576,0.0711831
56832,0.0711804
57088,0.0711804
57344,0.0711791
57600,0.0711705
57856,0.0711705
58112,0.0711705
58368,0.0711705
58624,0.0711705
58880,0.0711705
59136,0.0711705
59392,0.0711705
59648,0.0711705
59904,0.0711705
60160,0.0711705
60416,0.0711705
60672,0.0711705
60928,0.0711705
61184,0.0711705
61440,0.0711705
61696,0.0711705
61952,0.0711705
62208,0.0711705
62464,0.0711607
62720,0.0711607
62976,0.0711607
63232,0.0711607
63488,0.0711607
63744,0.0711607
64000,0.0711607
64256,0.0711607
64512,0.0711607
64768,0.0711607
65024,0.0711607
65280,0.0711607
65536,0.0711607
65792,0.0711607
66048,0.0711607
66304,0.0711607
66560,0.0711607
66816,0.0711607
67072,0.071152
67328,0.0711508
67584,0.0711469
67840,0.0711409
68096,0.0711409
68352,0.0711409
68608,0.0711409
68864,0.0711409
69120,0.0711409
69376,0.0711409
69632,0.0711409
69888,0.0711409
70144,0.0711314
70400,0.071131
70656,0.071131
70912,0.071131
71168,0.071131
71424,0.071131
71680,0.071131
71936,0.071131
72192,0.0711212
72448,0.0711212
