cache_lines,MRC
256,0.219448
512,0.201929
768,0.201855
1024,0.191194
1280,0.189719
1536,0.189715
1792,0.187478
2048,0.187432
2304,0.186602
2560,0.185968
2816,0.18552
3072,0.185093
3328,0.184893
3584,0.184411
3840,0.184087
4096,0.183323
4352,0.18198
4608,0.180643
4864,0.180551
5120,0.179152
5376,0.17805
5632,0.17793
5888,0.175547
6144,0.175457
6400,0.175408
6656,0.175316
6912,0.175218
7168,0.175161
7424,0.175092
7680,0.175038
7936,0.174967
8192,0.174908
8448,0.174855
8704,0.174782
8960,0.17472
9216,0.174663
9472,0.174585
9728,0.174533
9984,0.174524
10240,0.174507
10496,0.174488
10752,0.174479
11008,0.174467
11264,0.174442
11520,0.174428
11776,0.174415
12032,0.174405
12288,0.174394
12544,0.174386
12800,0.174377
13056,0.174368
13312,0.174357
13568,0.174342
13824,0.17433
14080,0.174318
14336,0.174308
14592,0.174298
14848,0.174288
15104,0.174277
15360,0.174266
15616,0.174257
15872,0.174247
16128,0.174237
16384,0.174227
16640,0.174215
16896,0.174206
17152,0.174196
17408,0.174187
17664,0.174177
17920,0.174167
18176,0.174158
18432,0.174146
18688,0.174134
18944,0.174124
19200,0.174115
19456,0.174105
19712,0.174095
19968,0.174086
20224,0.174075
20480,0.174066
20736,0.174055
20992,0.174044
21248,0.174034
21504,0.174024
21760,0.174015
22016,0.174005
22272,0.173996
22528,0.173934
22784,0.173915
23040,0.173904
23296,0.173895
23552,0.173885
23808,0.173876
24064,0.173865
24320,0.173854
24576,0.173844
24832,0.173834
25088,0.173823
25344,0.173812
25600,0.173802
25856,0.173792
26112,0.173783
26368,0.173771
26624,0.173762
26880,0.173752
27136,0.173742
27392,0.173733
27648,0.173723
27904,0.173713
28160,0.173704
28416,0.173694
28672,0.173683
28928,0.173609
29184,0.16603
29440,0.16161
29696,0.161597
29952,0.161587
30208,0.161577
30464,0.161568
30720,0.161558
30976,0.161548
31232,0.161537
31488,0.161527
31744,0.161517
32000,0.161507
32256,0.161498
32512,0.161488
32768,0.159314
33024,0.149573
33280,0.149183
33536,0.149174
33792,0.149164
34048,0.149154
34304,0.149145
34560,0.149137
34816,0.149127
35072,0.149118
35328,0.149109
35584,0.149099
35840,0.14909
36096,0.149081
36352,0.149072
36608,0.149063
36864,0.149053
37120,0.149044
37376,0.149035
37632,0.149026
37888,0.149017
38144,0.149007
38400,0.148998
38656,0.148989
38912,0.14898
39168,0.14897
39424,0.148961
39680,0.148952
39936,0.148943
40192,0.148934
40448,0.148925
40704,0.148916
40960,0.148906
41216,0.148896
41472,0.148886
41728,0.148878
41984,0.148868
42240,0.148858
42496,0.148849
42752,0.148838
43008,0.148828
43264,0.148818
43520,0.148809
43776,0.148799
44032,0.148791
44288,0.148782
44544,0.148773
44800,0.148762
45056,0.148752
45312,0.148744
45568,0.148735
45824,0.148725
46080,0.148714
46336,0.148704
46592,0.148694
46848,0.148685
47104,0.148676
47360,0.148668
47616,0.148658
47872,0.148649
48128,0.148641
48384,0.148632
48640,0.148622
48896,0.148613
49152,0.148604
49408,0.148595
49664,0.148586
49920,0.148577
50176,0.148568
50432,0.148557
50688,0.148547
50944,0.148537
51200,0.148527
51456,0.148518
51712,0.148509
51968,0.148501
52224,0.148492
52480,0.148484
52736,0.148476
52992,0.148466
53248,0.148459
53504,0.148449
53760,0.14844
54016,0.148431
54272,0.148423
54528,0.148415
54784,0.148405
55040,0.148395
55296,0.148386
55552,0.148377
55808,0.148369
56064,0.14836
56320,0.148352
56576,0.148344
56832,0.148336
57088,0.148327
57344,0.148318
57600,0.14831
57856,0.148302
58112,0.148294
58368,0.148285
58624,0.148277
58880,0.148268
59136,0.14826
59392,0.148251
59648,0.148243
59904,0.148236
60160,0.148227
60416,0.148218
60672,0.14821
60928,0.148201
61184,0.148192
61440,0.148183
61696,0.148175
61952,0.148166
62208,0.148157
62464,0.148149
62720,0.148141
62976,0.148132
63232,0.148124
63488,0.148115
63744,0.148105
64000,0.148094
64256,0.148084
64512,0.148074
64768,0.148065
65024,0.148022
65280,0.147192
65536,0.146063
65792,0.145512
66048,0.145505
66304,0.1455
66560,0.145495
66816,0.145491
67072,0.145486
67328,0.145482
67584,0.145477
67840,0.145474
68096,0.14547
68352,0.145467
68608,0.145463
68864,0.145459
69120,0.145456
69376,0.145453
69632,0.14545
69888,0.145447
70144,0.145445
70400,0.145443
70656,0.145441
70912,0.145441
71168,0.14544
71424,0.145439
71680,0.145439
71936,0.145433
72192,0.145429
72448,0.145427
72704,0.145425
72960,0.145422
73216,0.14542
73472,0.145418
73728,0.145416
73984,0.145414
74240,0.145411
74496,0.145409
74752,0.145405
75008,0.145382
75264,0.145375
75520,0.145374
75776,0.145373
76032,0.145372
76288,0.145371
76544,0.14537
76800,0.145369
77056,0.145368
77312,0.145367
77568,0.145367
77824,0.145366
78080,0.145365
78336,0.145364
78592,0.145363
78848,0.145362
79104,0.145362
79360,0.145361
79616,0.14536
79872,0.145359
80128,0.145358
80384,0.145357
80640,0.145356
80896,0.145355
81152,0.145354
81408,0.145353
81664,0.145353
81920,0.145352
82176,0.145351
82432,0.14535
82688,0.145349
82944,0.145348
83200,0.145347
83456,0.145346
83712,0.145345
83968,0.145344
84224,0.145342
84480,0.14534
84736,0.145339
84992,0.145338
85248,0.145337
85504,0.145336
85760,0.145336
86016,0.145335
86272,0.145334
86528,0.145334
86784,0.145333
87040,0.145333
87296,0.145332
87552,0.145331
87808,0.14533
88064,0.14533
88320,0.145329
88576,0.145328
88832,0.145328
89088,0.145328
89344,0.145327
89600,0.145326
89856,0.145325
90112,0.145325
90368,0.145324
90624,0.145323
90880,0.145323
91136,0.145322
91392,0.145322
91648,0.145321
91904,0.14532
92160,0.145319
92416,0.145318
92672,0.145317
92928,0.145317
93184,0.145316
93440,0.145315
93696,0.145315
93952,0.145314
94208,0.145313
94464,0.145312
94720,0.145312
94976,0.145311
95232,0.145311
95488,0.14531
95744,0.145309
96000,0.145308
96256,0.145307
96512,0.145306
96768,0.145305
97024,0.145304
97280,0.145304
97536,0.145303
97792,0.145302
98048,0.145301
98304,0.1453
98560,0.145299
98816,0.145298
99072,0.145297
99328,0.145296
99584,0.145295
99840,0.145294
100096,0.145293
100352,0.145292
100608,0.145291
100864,0.14529
101120,0.145289
101376,0.145289
101632,0.145288
101888,0.145287
102144,0.145286
102400,0.145285
102656,0.145284
102912,0.145284
103168,0.145283
103424,0.145282
103680,0.145281
103936,0.14528
104192,0.145279
104448,0.145278
104704,0.145277
104960,0.145276
105216,0.145275
105472,0.145274
105728,0.145273
105984,0.145272
106240,0.145271
106496,0.14527
