cache_lines,MRC
256,0.219527
512,0.201964
768,0.201896
1024,0.191248
1280,0.189781
1536,0.189778
1792,0.187539
2048,0.187491
2304,0.186648
2560,0.186029
2816,0.185565
3072,0.185148
3328,0.184945
3584,0.184461
3840,0.184136
4096,0.18339
4352,0.182033
4608,0.180726
4864,0.180643
5120,0.179242
5376,0.178141
5632,0.178015
5888,0.175638
6144,0.17555
6400,0.175499
6656,0.175411
6912,0.175311
7168,0.175255
7424,0.175185
7680,0.175134
7936,0.175065
8192,0.175006
8448,0.174953
8704,0.174875
8960,0.174807
9216,0.174746
9472,0.174666
9728,0.174611
9984,0.174603
10240,0.174586
10496,0.174564
10752,0.174555
11008,0.174544
11264,0.174517
11520,0.174506
11776,0.174493
12032,0.174485
12288,0.174476
12544,0.174467
12800,0.174456
13056,0.174447
13312,0.174437
13568,0.174419
13824,0.17441
14080,0.174397
14336,0.174386
14592,0.174376
14848,0.174366
15104,0.174355
15360,0.174345
15616,0.174333
15872,0.174323
16128,0.174312
16384,0.174302
16640,0.174291
16896,0.17428
17152,0.17427
17408,0.17426
17664,0.174251
17920,0.17424
18176,0.17423
18432,0.17422
18688,0.174209
18944,0.1742
19200,0.174189
19456,0.174179
19712,0.17417
19968,0.174162
20224,0.17415
20480,0.17414
20736,0.17413
20992,0.174121
21248,0.174112
21504,0.174103
21760,0.174093
22016,0.174083
22272,0.174073
22528,0.17401
22784,0.173988
23040,0.173977
23296,0.173967
23552,0.173957
23808,0.173947
24064,0.173936
24320,0.173928
24576,0.173919
24832,0.17391
25088,0.1739
25344,0.17389
25600,0.173881
25856,0.173871
26112,0.173861
26368,0.173853
26624,0.173844
26880,0.173834
27136,0.173824
27392,0.173814
27648,0.173804
27904,0.173795
28160,0.173786
28416,0.173777
28672,0.173768
28928,0.173705
29184,0.166681
29440,0.161681
29696,0.161667
29952,0.161658
30208,0.161647
30464,0.161637
30720,0.161627
30976,0.161616
31232,0.161606
31488,0.161597
31744,0.161587
32000,0.161577
32256,0.161569
32512,0.161558
32768,0.159727
33024,0.149714
33280,0.149235
33536,0.149225
33792,0.149215
34048,0.149204
34304,0.149194
34560,0.149184
34816,0.149174
35072,0.149165
35328,0.149154
35584,0.149144
35840,0.149134
36096,0.149125
36352,0.149115
36608,0.149106
36864,0.149097
37120,0.149088
37376,0.149077
37632,0.149067
37888,0.149058
38144,0.149048
38400,0.149039
38656,0.14903
38912,0.149021
39168,0.149011
39424,0.149001
39680,0.148992
39936,0.148983
40192,0.148974
40448,0.148965
40704,0.148956
40960,0.148947
41216,0.148937
41472,0.148928
41728,0.148918
41984,0.148908
42240,0.148898
42496,0.148889
42752,0.148877
43008,0.148867
43264,0.148857
43520,0.148847
43776,0.148837
44032,0.148828
44288,0.148819
44544,0.14881
44800,0.1488
45056,0.148791
45312,0.148783
45568,0.148774
45824,0.148764
46080,0.148756
46336,0.148747
46592,0.148738
46848,0.148729
47104,0.148721
47360,0.148712
47616,0.148702
47872,0.148693
48128,0.148684
48384,0.148674
48640,0.148664
48896,0.148654
49152,0.148644
49408,0.148636
49664,0.148628
49920,0.148619
50176,0.148611
50432,0.148601
50688,0.148592
50944,0.148584
51200,0.148575
51456,0.148567
51712,0.148558
51968,0.148548
52224,0.148539
52480,0.148531
52736,0.148521
52992,0.148513
53248,0.148504
