cache_lines,MRC
256,0.0826709
512,0.0784538
768,0.0725162
1024,0.0725161
1280,0.0619012
1536,0.0572083
1792,0.0572081
2048,0.0572073
2304,0.0572028
2560,0.0572022
2816,0.0572018
3072,0.057153
3328,0.057152
3584,0.0571504
3840,0.0571475
4096,0.0571452
4352,0.0570408
4608,0.0565707
4864,0.0565662
5120,0.0561509
5376,0.0561033
5632,0.0556906
5888,0.0556438
6144,0.0552373
6400,0.054716
6656,0.054275
6912,0.0542607
7168,0.0542466
7424,0.0542335
7680,0.0542199
7936,0.0542065
8192,0.0541924
8448,0.0541789
8704,0.0541654
8960,0.0541512
9216,0.0541352
9472,0.0541198
9728,0.0541038
9984,0.0540859
10240,0.0540681
10496,0.0540492
10752,0.0540432
11008,0.0540405
11264,0.0540383
11520,0.0540352
11776,0.0540324
12032,0.0540298
12288,0.0540271
12544,0.0540246
12800,0.0540216
13056,0.0540186
13312,0.0540158
13568,0.0540132
13824,0.0540104
14080,0.0540076
14336,0.0540048
14592,0.0540024
14848,0.0539998
15104,0.0539971
15360,0.0539945
15616,0.0539917
15872,0.0539891
16128,0.0539864
16384,0.0539834
16640,0.0539805
16896,0.0539781
17152,0.053975
17408,0.053972
17664,0.053969
17920,0.0539659
18176,0.053963
18432,0.0539601
18688,0.0539573
18944,0.0539545
19200,0.0539517
19456,0.0539491
19712,0.0539463
19968,0.0539433
20224,0.0539405
20480,0.0539377
20736,0.0539346
20992,0.053932
21248,0.0539292
21504,0.0539258
21760,0.0539229
22016,0.0539198
22272,0.0539164
22528,0.0539141
22784,0.0539114
23040,0.0539087
23296,0.0539059
23552,0.0539032
23808,0.0539005
24064,0.0538979
24320,0.053895
24576,0.053873
24832,0.0538704
25088,0.0538672
25344,0.0538644
25600,0.0538614
25856,0.0538582
26112,0.053855
26368,0.0538519
26624,0.0538493
26880,0.0538466
27136,0.0538437
27392,0.0538406
27648,0.0538375
27904,0.0538347
28160,0.0538319
28416,0.053829
28672,0.0538258
28928,0.053823
29184,0.0538199
29440,0.0538171
29696,0.0538145
29952,0.0538118
30208,0.053809
30464,0.0538064
30720,0.0538035
30976,0.0538009
31232,0.0537981
31488,0.0537953
31744,0.051842
32000,0.0498574
32256,0.0498543
32512,0.0498514
32768,0.0498487
33024,0.0498456
33280,0.0498426
33536,0.0498399
33792,0.0498368
34048,0.049834
34304,0.0498311
34560,0.0498283
34816,0.0498252
35072,0.0498225
35328,0.0498195
35584,0.0498167
35840,0.046122
36096,0.045934
36352,0.0459314
36608,0.0459287
36864,0.0459253
37120,0.0459223
37376,0.0459194
37632,0.0459165
37888,0.0459135
38144,0.0459105
38400,0.0459078
38656,0.045905
38912,0.0459022
39168,0.0458991
39424,0.0458961
39680,0.0458932
39936,0.0458904
40192,0.0458878
40448,0.045885
40704,0.0458823
40960,0.0458796
41216,0.0458769
41472,0.0458742
41728,0.0458716
41984,0.045869
42240,0.0458662
42496,0.0458635
42752,0.045861
43008,0.0458587
43264,0.0458556
43520,0.045853
43776,0.0458506
44032,0.045848
44288,0.0458453
44544,0.0458425
44800,0.0458397
45056,0.0458369
45312,0.0458341
45568,0.0458315
45824,0.045829
46080,0.045826
46336,0.0458232
46592,0.0458201
46848,0.0458171
47104,0.0458145
47360,0.0458119
47616,0.0458095
47872,0.0458071
48128,0.0458046
48384,0.0458021
48640,0.0457994
48896,0.0457963
49152,0.0457938
49408,0.0457913
49664,0.0457883
49920,0.0457856
50176,0.0457829
50432,0.0457805
50688,0.045778
50944,0.0457754
51200,0.0457726
51456,0.0457699
51712,0.0457673
51968,0.0457645
52224,0.0457617
52480,0.0457589
52736,0.0457561
52992,0.0457533
53248,0.0457507
53504,0.045748
53760,0.0457453
54016,0.0457426
54272,0.04574
54528,0.0457371
54784,0.0457342
55040,0.0457315
55296,0.045729
55552,0.0457267
55808,0.0457242
56064,0.0457216
56320,0.0457193
56576,0.045717
56832,0.0457143
57088,0.0457113
57344,0.0457086
57600,0.045706
57856,0.0457032
58112,0.0457003
58368,0.0456975
58624,0.0456949
58880,0.0456922
59136,0.0456893
59392,0.0456865
59648,0.0456833
59904,0.0456806
60160,0.0456781
60416,0.0456757
60672,0.0456733
60928,0.0456706
61184,0.0456681
61440,0.0456657
61696,0.0456634
61952,0.045661
62208,0.0456584
62464,0.0456561
62720,0.0456537
62976,0.0456512
63232,0.0456488
63488,0.0456464
63744,0.0456439
64000,0.0456415
64256,0.0456388
64512,0.0456363
64768,0.0456341
65024,0.0456316
65280,0.0456291
65536,0.0456266
65792,0.0456241
66048,0.0456217
66304,0.0456193
66560,0.0456169
66816,0.0456145
67072,0.0456118
67328,0.0456094
67584,0.0456072
67840,0.0456048
68096,0.0456023
68352,0.0455995
68608,0.0455974
68864,0.0455889
69120,0.0455867
69376,0.0455848
69632,0.0455826
69888,0.0455807
70144,0.0455788
70400,0.0455771
70656,0.0452805
70912,0.0449535
71168,0.0447716
71424,0.0447703
71680,0.0447693
71936,0.0447681
72192,0.0447669
72448,0.0447661
72704,0.0447651
72960,0.0447644
73216,0.0447637
73472,0.0447631
73728,0.0447626
73984,0.044762
74240,0.0447614
74496,0.0447609
74752,0.0447604
75008,0.0447599
75264,0.0447594
75520,0.0447587
75776,0.0447583
76032,0.0447578
76288,0.0447573
76544,0.0447571
76800,0.0447569
77056,0.0447567
77312,0.0447565
77568,0.0447564
77824,0.0447561
78080,0.0447558
78336,0.0447557
78592,0.0447555
78848,0.0447553
79104,0.0447551
79360,0.0447549
79616,0.0447546
79872,0.0447543
80128,0.0447541
80384,0.0447538
80640,0.0447537
80896,0.0447535
81152,0.0447531
81408,0.044753
81664,0.0447528
81920,0.0447525
82176,0.0447521
82432,0.0447517
82688,0.0447514
82944,0.044751
83200,0.0447507
83456,0.0447502
83712,0.0447496
83968,0.0447493
84224,0.0447489
84480,0.0447485
84736,0.044748
84992,0.0447476
85248,0.0447469
85504,0.0447464
85760,0.0447461
86016,0.0447458
86272,0.0447454
86528,0.0447451
86784,0.0447447
87040,0.0447442
87296,0.0447439
87552,0.0447438
87808,0.0447434
88064,0.0447431
88320,0.0447428
88576,0.0447425
88832,0.0447421
89088,0.0447418
89344,0.0447415
89600,0.0447411
89856,0.0447408
90112,0.0447404
90368,0.0447399
90624,0.0447397
90880,0.0447387
91136,0.0447382
91392,0.0447375
91648,0.044737
91904,0.0447367
92160,0.0447364
92416,0.0447362
92672,0.0447358
92928,0.0447355
93184,0.0447352
93440,0.0447348
93696,0.0447345
93952,0.0447342
94208,0.0447338
94464,0.0447336
94720,0.0447332
94976,0.0447329
95232,0.0447326
95488,0.0447323
95744,0.044732
96000,0.0447316
96256,0.0447313
96512,0.0447311
96768,0.0447309
97024,0.0447307
97280,0.0447304
97536,0.0447299
97792,0.0447296
98048,0.0447293
98304,0.0447289
98560,0.0447286
98816,0.0447283
99072,0.0447281
99328,0.0447277
99584,0.0447274
99840,0.044727
100096,0.0447267
100352,0.0447263
100608,0.044726
100864,0.0447257
101120,0.0447253
101376,0.0447249
101632,0.0447247
101888,0.0447244
102144,0.044724
102400,0.0447236
102656,0.0447232
102912,0.0447228
103168,0.0447223
103424,0.0447219
103680,0.0447216
103936,0.0447213
104192,0.044721
104448,0.0447206
104704,0.0447202
104960,0.04472
105216,0.0447198
105472,0.0447195
105728,0.0447192
105984,0.0447188
