cache_lines,MRC
256,0.0826156
512,0.0783987
768,0.0724622
1024,0.0724621
1280,0.0618423
1536,0.0571598
1792,0.0571596
2048,0.0571589
2304,0.0571549
2560,0.0571542
2816,0.0571534
3072,0.0571046
3328,0.0571037
3584,0.0571019
3840,0.0570989
4096,0.0570959
4352,0.0569919
4608,0.0565241
4864,0.0565202
5120,0.0561118
5376,0.0560641
5632,0.0556536
5888,0.0555985
6144,0.0551984
6400,0.0546049
6656,0.0542353
6912,0.0542216
7168,0.054208
7424,0.0541944
7680,0.0541798
7936,0.0541657
8192,0.0541521
8448,0.0541374
8704,0.054123
8960,0.0541088
9216,0.0540935
9472,0.0540779
9728,0.0540606
9984,0.0540427
10240,0.0540245
10496,0.0540047
10752,0.0539983
11008,0.0539954
11264,0.0539927
11520,0.0539897
11776,0.0539869
12032,0.053984
12288,0.0539814
12544,0.0539786
12800,0.0539757
13056,0.053973
13312,0.0539704
13568,0.0539679
13824,0.0539654
14080,0.0539627
14336,0.0539601
14592,0.0539575
14848,0.0539544
15104,0.0539516
15360,0.053949
15616,0.0539457
15872,0.0539427
16128,0.05394
16384,0.0539373
16640,0.0539346
16896,0.0539318
17152,0.053929
17408,0.053926
17664,0.0539235
17920,0.0539207
18176,0.0539181
18432,0.0539153
18688,0.0539124
18944,0.0539098
19200,0.0539069
19456,0.0539043
19712,0.0539014
19968,0.0538986
20224,0.0538959
20480,0.053893
20736,0.0538903
20992,0.0538881
21248,0.0538854
21504,0.0538827
21760,0.0538799
22016,0.0538771
22272,0.0538737
22528,0.0538705
22784,0.0538675
23040,0.0538649
23296,0.053862
23552,0.0538591
23808,0.0538564
24064,0.0538534
24320,0.0538507
24576,0.0538294
24832,0.0538266
25088,0.0538235
25344,0.0538203
25600,0.0538177
25856,0.0538144
26112,0.0538116
26368,0.0538087
26624,0.0538058
26880,0.053803
27136,0.0538
27392,0.0537971
27648,0.0537942
27904,0.0537913
28160,0.0537883
28416,0.0537856
28672,0.0537827
28928,0.0537799
29184,0.0537768
29440,0.0537738
29696,0.053771
29952,0.0537682
30208,0.0537653
30464,0.0537625
30720,0.0537594
30976,0.0537566
31232,0.0537539
31488,0.0537509
31744,0.0517787
32000,0.0497939
32256,0.0497911
32512,0.049788
32768,0.0497847
33024,0.049782
33280,0.0497793
33536,0.0497765
33792,0.0497737
34048,0.0497708
34304,0.049768
34560,0.0497651
34816,0.0497623
35072,0.0497595
35328,0.049757
35584,0.0497541
35840,0.0458807
36096,0.0458777
36352,0.045875
36608,0.0458723
36864,0.0458694
37120,0.0458665
37376,0.045863
37632,0.0458602
37888,0.0458571
38144,0.0458542
38400,0.0458514
38656,0.0458486
38912,0.0458458
39168,0.0458429
39424,0.04584
39680,0.045837
39936,0.0458344
40192,0.0458314
40448,0.045829
40704,0.0458264
40960,0.0458233
41216,0.0458203
41472,0.0458176
41728,0.045815
41984,0.0458121
42240,0.0458095
42496,0.0458071
42752,0.0458045
43008,0.0458017
43264,0.0457991
43520,0.0457963
43776,0.0457934
44032,0.0457908
44288,0.0457878
44544,0.0457853
44800,0.0457823
45056,0.0457794
45312,0.0457765
45568,0.0457735
45824,0.0457705
46080,0.045768
46336,0.0457655
46592,0.0457632
46848,0.0457607
47104,0.0457577
47360,0.0457551
47616,0.0457523
47872,0.0457498
48128,0.0457472
48384,0.0457446
48640,0.0457422
48896,0.0457398
49152,0.0457373
49408,0.0457342
49664,0.0457315
49920,0.0457284
50176,0.0457255
50432,0.0457228
50688,0.0457203
50944,0.0457176
51200,0.0457149
51456,0.0457124
51712,0.0457099
51968,0.0457072
52224,0.0457046
52480,0.0457022
52736,0.0456991
52992,0.0456965
53248,0.0456936
53504,0.0456909
53760,0.0456879
54016,0.0456852
54272,0.0456827
54528,0.04568
54784,0.0456776
55040,0.0456747
55296,0.0456721
55552,0.0456695
55808,0.0456666
56064,0.045664
56320,0.0456613
56576,0.0456583
56832,0.0456558
57088,0.045653
57344,0.0456504
57600,0.0456479
57856,0.0456452
58112,0.0456425
58368,0.0456398
58624,0.0456373
58880,0.0456345
59136,0.045632
59392,0.0456296
59648,0.045627
59904,0.0456244
60160,0.0456216
60416,0.0456193
60672,0.0456169
60928,0.0456143
61184,0.0456116
61440,0.045609
61696,0.0456065
61952,0.045604
62208,0.0456014
62464,0.0455989
62720,0.0455963
62976,0.0455939
63232,0.0455913
63488,0.0455887
63744,0.0455862
64000,0.0455835
64256,0.045581
64512,0.0455789
64768,0.0455765
65024,0.0455739
65280,0.0455716
65536,0.045569
65792,0.0455665
66048,0.0455642
66304,0.045562
66560,0.0455595
66816,0.045557
67072,0.0455546
67328,0.0455521
67584,0.0455501
67840,0.0455476
68096,0.0455451
68352,0.0455426
68608,0.0455393
68864,0.0455313
69120,0.0455292
69376,0.0455274
69632,0.0455252
69888,0.0455231
70144,0.0455212
70400,0.0455195
70656,0.045092
70912,0.0448136
71168,0.0447157
71424,0.0447147
71680,0.0447136
71936,0.0447124
72192,0.0447114
72448,0.0447103
72704,0.0447093
72960,0.0447085
73216,0.044708
73472,0.0447076
73728,0.0447071
73984,0.0447066
74240,0.0447062
74496,0.0447056
74752,0.044705
75008,0.0447044
75264,0.044704
75520,0.0447035
75776,0.044703
76032,0.0447025
76288,0.0447023
76544,0.0447021
76800,0.0447019
77056,0.0447018
77312,0.0447016
77568,0.0447014
77824,0.044701
78080,0.0447008
78336,0.0447007
78592,0.0447003
78848,0.0447002
