cache_lines,MRC
256,0.0249567
512,0.0163939
768,0.0136448
1024,0.0114547
1280,0.0100823
1536,0.00906681
1792,0.00809966
2048,0.00750551
2304,0.00702137
2560,0.00657064
2816,0.00614537
3072,0.00578141
3328,0.00548592
3584,0.00522463
3840,0.00501011
4096,0.00481923
4352,0.00465036
4608,0.0045096
4864,0.00438048
5120,0.00426196
5376,0.00415257
5632,0.00405631
5888,0.00396856
6144,0.00388943
6400,0.00381105
6656,0.00374063
6912,0.00366647
7168,0.00359909
7424,0.00353152
7680,0.00346685
7936,0.00340707
8192,0.00334819
8448,0.00329398
8704,0.00323907
8960,0.0031846
9216,0.00313464
9472,0.00308575
9728,0.00303956
9984,0.00299187
10240,0.00294226
10496,0.00290131
10752,0.00286391
11008,0.00283044
11264,0.00279805
11520,0.00276825
11776,0.00273998
12032,0.00225761
12288,0.0021905
12544,0.00215596
12800,0.00212345
13056,0.00209771
13312,0.00207238
13568,0.00204903
13824,0.00202928
14080,0.00200773
14336,0.00198748
14592,0.00196928
14848,0.00194959
15104,0.00192932
15360,0.00191105
15616,0.0018964
15872,0.00188006
16128,0.00186603
16384,0.00185239
16640,0.0018369
16896,0.00182626
17152,0.00181632
17408,0.00179911
17664,0.00178897
17920,0.00177819
18176,0.00176669
18432,0.00175488
18688,0.00174535
18944,0.00173695
19200,0.00172898
19456,0.00172109
19712,0.00171185
19968,0.00170366
20224,0.0016954
20480,0.00168842
20736,0.00168215
20992,0.0016747
21248,0.00166763
21504,0.00166165
21760,0.00165369
22016,0.00164832
22272,0.00164333
22528,0.00163807
22784,0.00163366
23040,0.00162751
23296,0.00162246
23552,0.0016167
23808,0.00161382
24064,0.00160839
24320,0.00160428
24576,0.00159949
24832,0.00159564
25088,0.00159138
25344,0.0015864
25600,0.00158183
25856,0.00157728
26112,0.00157247
26368,0.00156923
26624,0.00156423
26880,0.00156072
27136,0.00155693
27392,0.00155221
27648,0.00154932
27904,0.00154557
28160,0.00154181
28416,0.00153901
28672,0.00153381
28928,0.00153151
29184,0.00152841
29440,0.00152457
29696,0.00152167
29952,0.00151826
30208,0.00151627
30464,0.00151359
30720,0.00151065
30976,0.00150856
31232,0.00150575
31488,0.00150248
31744,0.00149973
32000,0.00149666
32256,0.00149466
32512,0.00149297
32768,0.00148992
33024,0.00148806
33280,0.00148518
33536,0.0014831
33792,0.00148043
34048,0.00147767
34304,0.00147476
34560,0.00147229
34816,0.00146994
35072,0.00146822
35328,0.00146536
35584,0.00146279
35840,0.0014604
36096,0.00145785
36352,0.00145581
36608,0.0014544
36864,0.00145217
37120,0.00145047
37376,0.00144836
37632,0.00144579
37888,0.0014441
38144,0.001442
38400,0.00143977
38656,0.00143802
38912,0.00143542
39168,0.00143323
39424,0.00143116
39680,0.00142884
39936,0.00142738
40192,0.00142539
40448,0.00142323
40704,0.00142076
40960,0.00141878
41216,0.00141615
41472,0.00141384
41728,0.00141188
41984,0.00141032
42240,0.00140853
42496,0.00140682
42752,0.00140413
43008,0.00140215
43264,0.00140103
43520,0.00139897
43776,0.00139711
44032,0.00139495
44288,0.00139369
44544,0.0013917
44800,0.00138991
45056,0.00138771
45312,0.00138626
45568,0.00138401
45824,0.00138263
46080,0.00138047
46336,0.00137817
46592,0.00137582
46848,0.00137336
47104,0.00137196
47360,0.00137091
47616,0.00136946
47872,0.00136737
48128,0.00136599
48384,0.0013641
48640,0.00136192
48896,0.0013601
49152,0.00135919
49408,0.00135666
49664,0.00135457
49920,0.00135381
50176,0.00135284
50432,0.00135099
50688,0.00134865
50944,0.00134726
51200,0.00134401
51456,0.00134286
51712,0.00134108
51968,0.00133871
52224,0.00133707
52480,0.0013354
52736,0.00133434
52992,0.00133303
53248,0.00133161
53504,0.00133056
53760,0.00132948
54016,0.0013281
54272,0.00132609
54528,0.00132382
54784,0.00132247
55040,0.00132031
55296,0.0013183
55552,0.0013163
55808,0.0013139
56064,0.00131191
56320,0.0013105
56576,0.00130956
56832,0.00130814
57088,0.00130662
57344,0.00130523
57600,0.00130417
57856,0.00130319
58112,0.00130108
58368,0.0012987
58624,0.00129723
58880,0.00129581
59136,0.00129211
59392,0.00128786
59648,0.00128635
59904,0.00128538
60160,0.00128403
60416,0.00128265
60672,0.00128145
60928,0.00128059
61184,0.00127943
61440,0.00127811
61696,0.00127625
61952,0.00127345
62208,0.00127207
62464,0.00127084
62720,0.00126992
62976,0.00126746
63232,0.00126608
63488,0.0012653
63744,0.00126373
64000,0.00126207
64256,0.00126093
64512,0.00125988
64768,0.00125841
65024,0.00125665
65280,0.00125538
65536,0.0012534
65792,0.00125201
66048,0.0012513
66304,0.00124912
66560,0.00124771
66816,0.00124671
67072,0.00124561
67328,0.00124506
67584,0.0012442
67840,0.00124215
68096,0.00124041
68352,0.00123907
68608,0.00123806
68864,0.00123693
69120,0.0012356
69376,0.00123467
69632,0.00123418
69888,0.0012334
70144,0.00123258
70400,0.00123151
70656,0.00123056
70912,0.0012295
71168,0.00122837
71424,0.00122669
71680,0.0012255
71936,0.00122436
72192,0.00122369
72448,0.00122237
72704,0.00122179
72960,0.00122112
73216,0.00121999
73472,0.00121809
73728,0.00121711
73984,0.00121619
74240,0.00121521
74496,0.00121477
74752,0.00121422
75008,0.00121312
75264,0.0012119
75520,0.00121084
75776,0.00120945
76032,0.00120832
76288,0.00120687
76544,0.00120579
76800,0.00120484
77056,0.00120391
77312,0.00120349
77568,0.00120233
77824,0.0012009
78080,0.00119982
78336,0.00119891
78592,0.00119797
78848,0.00119726
79104,0.00119606
79360,0.00119501
79616,0.00119468
79872,0.0011943
80128,0.00119319
80384,0.00119205
80640,0.00119105
80896,0.0011902
81152,0.00118942
81408,0.00118848
81664,0.00118723
81920,0.00118613
82176,0.00118552
82432,0.00118437
82688,0.00118334
82944,0.00118263
83200,0.00118202
83456,0.0011814
83712,0.00118079
83968,0.00117945
84224,0.00117893
84480,0.00117809
84736,0.00117676
84992,0.00117548
85248,0.00117488
85504,0.00117383
85760,0.00116747
86016,0.00116674
86272,0.00116528
86528,0.00116279
86784,0.00115842
87040,0.00115785
87296,0.00115723
87552,0.00115653
87808,0.00115608
88064,0.00115507
88320,0.00115399
88576,0.00115013
88832,0.00114815
89088,0.00114705
89344,0.00114607
89600,0.00114426
89856,0.00114305
90112,0.00114178
90368,0.00114036
90624,0.00113936
