cache_lines,MRC
256,0.0447456
512,0.0301868
768,0.0251984
1024,0.020899
1280,0.0183425
1536,0.0159227
1792,0.0144237
2048,0.0132933
2304,0.012349
2560,0.0115332
2816,0.0107988
3072,0.0102002
3328,0.00970463
3584,0.00927301
3840,0.00889646
4096,0.00860241
4352,0.00830711
4608,0.00806134
4864,0.00781925
5120,0.00760303
5376,0.00739352
5632,0.00719685
5888,0.00703864
6144,0.00689099
6400,0.00672655
6656,0.00656983
6912,0.00644128
7168,0.00630622
7424,0.00617469
7680,0.00605121
7936,0.00593111
8192,0.00582179
8448,0.00570093
8704,0.00559911
8960,0.00549867
9216,0.00539161
9472,0.00530972
9728,0.00522655
9984,0.00514039
10240,0.00505767
10496,0.00498658
10752,0.00431715
11008,0.00423102
11264,0.00414945
11520,0.00407937
11776,0.00401566
12032,0.00396404
12288,0.00391289
12544,0.0038583
12800,0.00380669
13056,0.00375759
13312,0.00370983
13568,0.00367085
13824,0.0036357
14080,0.00360062
14336,0.0035697
14592,0.00354337
14848,0.00351179
15104,0.00348463
15360,0.00346221
15616,0.00343219
15872,0.00340729
16128,0.00337969
16384,0.00335953
16640,0.00333484
16896,0.00331512
17152,0.00329331
17408,0.00327269
17664,0.00325382
17920,0.00323912
18176,0.00321969
18432,0.00320078
18688,0.00318884
18944,0.00317084
19200,0.00315452
19456,0.003143
19712,0.00313084
19968,0.00311562
20224,0.00310564
20480,0.00309316
20736,0.00307936
20992,0.00306694
21248,0.00305577
21504,0.00304467
21760,0.00303484
22016,0.00302272
22272,0.00301314
22528,0.00300421
22784,0.00299547
23040,0.00298467
23296,0.00297134
23552,0.00296259
23808,0.00295383
24064,0.00294677
24320,0.00293885
24576,0.002931
24832,0.00292121
25088,0.00291346
25344,0.00290423
25600,0.00289777
25856,0.0028926
26112,0.00288536
26368,0.00287771
26624,0.00287172
26880,0.00286636
27136,0.00286248
27392,0.00285467
27648,0.00284833
27904,0.00284166
28160,0.0028339
28416,0.00282908
28672,0.00282282
28928,0.00281691
29184,0.00280976
29440,0.00280453
29696,0.00279802
29952,0.00279254
30208,0.00278776
30464,0.00278151
30720,0.0027752
30976,0.00277044
31232,0.00276463
31488,0.0027606
31744,0.00275547
32000,0.00275244
32256,0.00274574
32512,0.002743
32768,0.00273794
33024,0.00273274
33280,0.00272661
33536,0.00272062
33792,0.00271579
34048,0.00271157
34304,0.00270649
34560,0.00270195
34816,0.00269675
35072,0.00269266
35328,0.00269052
35584,0.00268642
35840,0.00268089
36096,0.00267591
36352,0.00267121
36608,0.00266789
36864,0.00266553
37120,0.0026627
37376,0.00265901
37632,0.00265629
37888,0.0026521
38144,0.00264827
38400,0.00264521
38656,0.00264241
38912,0.00263845
39168,0.00263399
39424,0.00263217
39680,0.00262796
39936,0.00262407
40192,0.00261878
40448,0.00261632
40704,0.00261241
40960,0.00260921
41216,0.00260669
41472,0.00260315
41728,0.0026003
41984,0.00259778
42240,0.00259388
42496,0.00259103
42752,0.00258639
43008,0.00258425
