reuse_time,counts
1,802026
2,314413
3,164626
4,102923
5,74337
6,59291
7,50398
8,43658
9,38597
10,33865
11,29882
12,26918
13,24178
14,22006
15,20417
16,19113
17,17654
18,16272
19,14972
20,14363
21,13435
22,12802
23,12063
24,11233
25,10770
26,10130
27,9818
28,9504
29,9140
30,8442
31,8427
32,7905
33,7585
34,7298
35,6934
36,6760
37,6140
38,6039
39,5669
40,5698
41,5339
42,5248
43,4954
44,4883
45,4722
46,4539
47,4321
48,4266
49,4177
50,4198
51,4035
52,3964
53,3875
54,3784
55,3685
56,3590
57,3626
58,3490
59,3688
60,3568
61,3480
62,3420
63,3407
64,3424
65,3400
66,3256
67,3242
68,3233
69,3158
70,3084
71,3102
72,3045
73,2946
74,2934
75,2902
76,2852
77,2758
78,2746
79,2710
80,2627
81,2531
82,2518
83,2508
84,2462
85,2403
86,2324
87,2306
88,2206
89,2190
90,2118
91,2102
92,2029
93,2133
94,2046
95,2039
96,1914
97,1959
98,1924
99,1857
100,1961
101,1853
102,1812
103,1863
104,1820
105,1769
106,1672
107,1765
108,1653
109,1666
110,1647
111,1660
112,1636
113,1638
114,1547
115,1586
116,1576
117,1605
118,1587
119,1588
120,1603
121,1606
122,1535
123,1482
124,1477
125,1481
126,1438
127,1461
128,1448
129,1401
130,1448
131,1353
132,1455
133,1421
134,1461
135,1359
136,1338
137,1326
138,1349
139,1354
140,1256
141,1254
142,1305
143,1310
144,1375
145,1310
146,1279
147,1271
148,1268
149,1236
150,1313
151,1246
152,1214
153,1209
154,1225
155,1176
156,1157
157,1200
158,1101
159,1129
160,1055
161,1106
162,1129
163,1101
164,1108
165,1103
166,1052
167,1110
168,1037
169,1033
170,1019
171,970
172,1026
173,978
174,945
175,963
176,952
177,985
178,962
179,920
180,939
181,971
182,920
183,912
184,913
185,960
186,922
187,859
188,833
189,856
190,835
191,874
192,792
193,844
194,851
195,798
196,826
197,849
198,879
199,803
200,814
201,806
202,804
203,786
204,871
205,729
206,776
207,784
208,796
209,833
210,781
211,760
212,765
213,790
214,753
215,686
216,705
217,741
218,730
219,724
220,740
221,666
222,734
223,670
224,689
225,698
226,730
227,656
228,675
229,671
230,642
231,639
232,679
233,636
234,592
235,632
236,618
237,664
238,615
239,612
240,588
241,565
242,607
243,623
244,615
245,554
246,520
247,591
248,531
249,555
250,532
251,535
252,575
253,515
254,511
255,550
256,547
258,1071
260,1006
262,1068
264,1028
266,1036
268,1015
270,1078
272,969
274,1064
276,1002
278,973
280,927
282,968
284,908
286,960
288,1005
290,949
292,926
294,965
296,934
298,958
300,988
302,998
304,907
306,940
308,899
310,954
312,898
314,880
316,893
318,897
320,887
322,881
324,834
326,868
328,884
330,796
332,807
334,822
336,858
338,831
340,832
342,776
344,813
346,838
348,795
350,765
352,756
354,794
356,792
358,765
360,810
362,776
364,792
366,776
368,797
370,766
372,803
374,773
376,746
378,769
380,740
382,752
384,764
386,720
388,726
390,730
392,742
394,737
396,687
398,728
400,769
402,746
404,721
406,717
408,773
410,710
412,678
414,661
416,680
418,711
420,691
422,737
424,701
426,694
428,731
430,689
432,702
434,651
436,718
438,698
440,702
442,660
444,699
446,642
448,700
450,662
452,661
454,672
456,667
458,670
460,685
462,660
464,703
466,642
468,626
470,621
472,644
474,606
476,611
478,662
480,643
482,654
484,638
486,615
488,639
490,589
492,588
494,615
496,574
498,582
500,586
502,568
504,560
506,595
508,563
510,591
512,607
514,607
516,551
518,567
520,548
522,571
524,581
526,517
528,547
530,552
532,540
534,553
536,602
538,561
540,503
542,575
544,484
546,537
548,561
550,592
552,544
554,502
556,549
558,519
560,510
562,526
564,528
566,495
568,507
570,481
572,538
574,511
576,473
578,490
580,449
582,460
584,471
586,494
588,487
590,513
592,502
594,458
596,478
598,449
600,454
602,482
604,453
606,412
608,479
610,432
612,467
614,494
616,448
618,495
620,438
622,439
624,437
626,429
628,438
630,441
632,455
634,471
636,439
638,407
640,433
642,426
644,410
646,403
648,409
650,446
652,411
654,415
656,445
658,438
660,401
662,390
664,428
666,403
668,390
670,399
672,413
674,407
676,397
678,435
680,410
682,390
684,381
686,378
688,414
690,363
692,381
694,377
696,401
698,403
700,350
702,378
704,377
706,395
708,386
710,337
712,373
714,366
716,374
718,383
720,318
722,358
724,356
726,337
728,357
730,330
732,367
734,327
736,342
738,354
740,342
742,341
744,354
746,340
748,328
750,331
752,316
754,344
756,323
758,343
760,316
762,364
764,309
766,333
768,317
772,618
776,661
780,638
784,599
788,622
792,635
796,566
800,585
804,610
808,650
812,546
816,552
820,553
824,588
828,561
832,553
836,583
840,575
844,541
848,569
852,536
856,498
860,537
864,511
868,534
872,505
876,523
880,571
884,517
888,547
892,483
896,505
900,521
904,480
908,482
912,499
916,497
920,479
924,534
928,468
932,480
936,487
940,451
944,467
948,464
952,466
956,442
960,395
964,402
968,454
972,413
976,416
980,449
984,393
988,398
992,430
996,445
1000,410
1004,398
1008,447
1012,394
1016,391
1020,348
1024,396
1028,392
1032,404
1036,443
1040,369
1044,367
1048,408
1052,380
1056,372
1060,360
1064,371
1068,373
1072,365
1076,381
1080,356
1084,334
1088,365
1092,358
1096,361
1100,306
1104,363
1108,341
1112,360
1116,346
1120,337
1124,341
1128,350
1132,354
1136,331
1140,313
1144,288
1148,298
1152,307
1156,325
1160,317
1164,296
1168,312
1172,323
1176,328
1180,294
1184,309
1188,317
1192,325
1196,297
1200,284
1204,319
1208,281
1212,309
1216,277
1220,292
1224,294
1228,295
1232,275
1236,277
1240,326
1244,296
1248,248
1252,281
1256,268
1260,288
1264,255
1268,283
1272,308
1276,267
1280,265
1284,265
1288,255
1292,257
1296,257
1300,265
1304,246
1308,265
1312,254
1316,241
1320,263
1324,262
1328,268
1332,247
1336,232
1340,240
1344,248
1348,259
1352,229
1356,218
1360,225
1364,229
1368,229
1372,219
1376,237
1380,232
1384,220
1388,233
1392,244
1396,201
1400,206
1404,225
1408,230
1412,190
1416,209
1420,219
1424,215
1428,226
1432,228
1436,196
1440,225
1444,207
1448,208
1452,212
1456,202
1460,218
1464,211
1468,228
1472,193
1476,195
