reuse_time,counts
1,3202832
2,2004527
3,705791
4,324105
5,237185
6,170104
7,131695
8,118630
9,116822
10,82043
11,86447
12,72685
13,42048
14,65597
15,47460
16,46603
17,47239
18,51117
19,47057
20,49621
21,40625
22,35487
23,31108
24,32383
25,25993
26,31687
27,27247
28,19854
29,33563
30,26098
31,19966
32,22755
33,23125
34,18268
35,19923
36,20431
37,21070
38,19771
39,20282
40,19881
41,19829
42,15333
43,13947
44,17311
45,16383
46,14187
47,20645
48,13681
49,14713
50,15095
51,13788
52,12687
53,14734
54,11926
55,10488
56,9162
57,8696
58,8089
59,8167
60,7884
61,7854
62,7895
63,7558
64,8312
65,10826
66,7659
67,7390
68,7923
69,7915
70,7726
71,7846
72,6030
73,6864
74,6763
75,6051
76,5605
77,7698
78,6351
79,7590
80,6739
81,7181
82,6241
83,6547
84,5270
85,6099
86,6020
87,5063
88,6412
89,6207
90,4605
91,5076
92,6971
93,4863
94,5359
95,4793
96,4814
97,4166
98,4608
99,4421
100,4033
101,4824
102,3823
103,3719
104,4297
105,3763
106,3792
107,3769
108,3546
109,3973
110,4086
111,3691
112,3385
113,3874
114,3499
115,3233
116,4180
117,4049
118,3265
119,3999
120,3953
121,3244
122,3843
123,3070
124,2987
125,3645
126,2833
127,2908
128,3392
129,2694
130,2558
131,2556
132,2589
133,2564
134,2482
135,2453
136,2291
137,2526
138,2786
139,2090
140,2250
141,2124
142,1933
143,1971
144,2067
145,1954
146,1946
147,1926
148,1866
149,2119
150,2038
151,2260
152,2202
153,2504
154,2196
155,2167
156,2280
157,2265
158,2201
159,2270
160,1989
161,2597
162,2671
163,2158
164,2132
165,2145
166,2632
167,2661
168,1975
169,2260
170,1973
171,1908
172,2325
173,1778
174,1782
175,1649
176,1679
177,1645
178,1664
179,1617
180,1607
181,1657
182,1749
183,1569
184,1589
185,1545
186,1620
187,1620
188,1536
189,1506
190,1523
191,1538
192,1561
193,1482
194,1597
195,1651
196,1849
197,1804
198,1609
199,1822
200,1774
201,1673
202,1725
203,1715
204,1767
205,1776
206,1846
207,1813
208,1744
209,1795
210,1736
211,1991
212,1772
213,1770
214,2028
215,1719
216,1648
217,2065
218,1873
219,1562
220,1839
221,1448
222,1414
223,1841
224,1525
225,1545
226,1936
227,1587
228,1613
229,1761
230,1687
231,1989
232,1644
233,1753
234,1545
235,1586
236,1436
237,1439
238,1626
239,1546
240,1619
241,1499
242,1454
243,1574
244,1403
245,1560
246,1416
247,1442
248,1329
249,1388
250,1462
251,1403
252,1325
253,1367
254,1189
255,1291
256,1211
258,2423
260,2440
262,2218
264,2322
266,2186
268,2183
270,2041
272,2126
274,2035
276,2163
278,2287
280,2092
282,2184
284,2314
286,2209
288,2149
290,2240
292,2219
294,2047
296,1992
298,2074
300,2031
302,1936
304,1880
306,1711
308,1789
310,1746
312,1741
314,1762
316,1810
318,1752
320,1692
322,1676
324,1633
326,1606
328,1670
330,1573
332,1527
334,1510
336,1503
338,1531
340,1459
342,1462
344,1543
346,1416
348,1418
350,1481
352,1418
354,1393
356,1449
358,1625
360,1632
362,1475
364,1564
366,1707
368,1575
370,1712
372,1693
374,1488
376,1441
378,1539
380,1444
382,1294
384,1322
386,1407
388,1242
390,1255
392,1218
394,1224
396,1255
398,1236
400,1319
402,1279
404,1315
406,1309
408,1234
410,1357
412,1338
414,1319
416,1333
418,1382
420,1330
422,1246
424,1253
426,1284
428,1326
430,1210
432,1252
434,1221
436,1214
438,1238
440,1301
442,1245
444,1266
446,1269
448,1321
450,1196
452,1363
454,1256
456,1254
458,1217
460,1323
462,1294
464,1174
466,1317
468,1262
470,1245
472,1347
474,1215
476,1256
478,1215
480,1191
482,1118
484,1142
486,1153
488,1114
490,1022
492,1146
494,1179
496,1120
498,1127
500,1226
502,1107
504,1145
506,1139
508,1194
510,1166
512,1064
514,1141
516,1141
518,1111
520,1088
522,1099
524,1113
526,1026
528,1086
530,1060
532,1120
534,1025
536,1103
538,995
540,1070
542,990
544,1005
546,989
548,985
550,995
552,968
554,981
556,986
558,983
560,992
562,986
564,971
566,966
568,885
570,987
572,967
574,933
576,939
578,932
580,898
582,908
584,890
586,917
588,855
590,909
592,838
594,904
596,889
598,861
600,847
602,887
604,843
606,798
608,840
610,818
612,821
614,829
616,754
618,812
620,798
622,783
624,724
626,793
628,788
630,769
632,807
634,732
636,735
638,724
640,698
642,821
644,814
646,785
648,803
650,727
652,820
654,682
656,730
658,682
660,724
662,764
664,777
666,734
668,744
670,678
672,707
674,719
676,718
678,743
680,684
682,714
684,637
686,697
688,678
690,710
692,671
694,745
696,707
698,783
700,736
702,727
704,749
706,819
708,837
710,861
712,823
714,759
716,791
718,769
720,719
722,807
724,776
726,701
728,678
730,654
732,639
734,703
736,740
738,660
740,692
742,734
744,684
746,649
748,772
750,729
752,683
754,720
756,720
758,716
760,693
762,680
764,644
766,617
768,672
772,1297
776,1277
780,1213
784,1225
788,1087
792,1085
796,1088
800,1197
804,1133
808,1147
812,1188
816,1176
820,1109
824,1114
828,1131
832,1017
836,1021
840,1057
844,961
848,994
852,1034
856,972
860,1034
864,1004
868,990
872,957
876,919
880,927
884,922
888,908
892,912
896,866
900,916
904,930
908,950
912,900
916,926
920,857
924,838
928,897
932,853
936,897
940,756
944,886
948,821
952,818
956,830
960,913
964,844
968,816
972,867
976,840
980,825
984,823
988,766
992,782
996,829
1000,753
1004,810
1008,813
1012,797
1016,753
1020,803
1024,759
1028,816
1032,801
1036,795
1040,833
1044,829
1048,822
1052,803
1056,805
1060,796
1064,811
1068,761
1072,802
1076,812
1080,758
1084,737
1088,828
1092,822
1096,744
1100,759
1104,757
1108,751
1112,753
1116,730
1120,820
1124,756
1128,774
1132,738
1136,748
1140,728
1144,696
1148,700
1152,753
1156,728
1160,747
1164,706
1168,727
1172,766
1176,686
1180,671
1184,641
1188,702
1192,739
1196,705
1200,711
1204,698
1208,668
1212,670
1216,670
1220,633
1224,724
1228,660
1232,696
1236,693
1240,642
1244,628
1248,657
1252,688
1256,659
1260,652
1264,670
1268,679
1272,651
1276,636
1280,671
1284,648
1288,599
1292,601
1296,662
1300,599
1304,600
1308,636
1312,623
1316,642
1320,644
1324,589
1328,583
1332,636
1336,614
1340,601
1344,620
1348,637
1352,628
1356,577
1360,587
1364,641
1368,672
1372,569
1376,641
1380,635
1384,610
1388,562
1392,558
1396,615
1400,607
1404,560
1408,600
1412,597
1416,648
1420,639
1424,594
1428,581
1432,633
1436,647
1440,562
1444,560
1448,564
1452,624
1456,571
1460,605
1464,574
1468,615
1472,547
1476,653
1480,580
1484,586
1488,571
1492,562
1496,634
1500,539
1504,569
1508,601
1512,618
1516,590
1520,559
1524,572
1528,599
1532,570
1536,596
1540,544
1544,585
1548,592
1552,578
1556,570
1560,568
1564,586
1568,580
1572,554
1576,559
1580,559
1584,540
1588,554
1592,531
1596,524
1600,548
1604,564
1608,524
1612,565
1616,555
1620,554
1624,483
1628,513
1632,541
1636,484
1640,480
1644,538
1648,536
1652,520
1656,547
1660,485
1664,502
1668,515
1672,473
1676,492
1680,546
1684,546
1688,511
1692,489
1696,482
1700,500
1704,527
1708,523
1712,470
1716,469
1720,486
1724,491
1728,474
1732,458
1736,509
1740,488
1744,472
1748,476
1752,469
1756,490
1760,484
1764,461
1768,473
1772,467
1776,489
1780,461
1784,433
1788,475
1792,394
1800,939
1808,886
1816,895
1824,917
1832,951
1840,852
1848,870
1856,823
1864,841
1872,780
1880,773
1888,845
1896,837
1904,895
1912,803
1920,861
1928,873
1936,744
1944,786
1952,754
1960,805
1968,786
1976,799
1984,782
1992,776
2000,756
2008,720
2016,695
2024,755
2032,761
2040,744
2048,679
2056,690
2064,717
2072,706
2080,710
2088,726
2096,688
2104,664
2112,663
2120,696
2128,664
2136,636
2144,655
2152,640
2160,650
2168,617
2176,638
2184,689
2192,652
2200,658
2208,635
2216,605
2224,596
2232,624
2240,621
2248,610
2256,595
2264,597
2272,633
2280,586
2288,595
2296,581
2304,611
2312,554
2320,555
2328,538
2336,605
2344,553
2352,575
2360,588
2368,546
2376,521
2384,545
2392,523
2400,546
2408,514
2416,515
2424,539
2432,515
2440,540
2448,547
2456,491
2464,475
2472,523
2480,571
2488,519
2496,520
2504,514
2512,490
2520,516
2528,494
2536,508
2544,473
2552,466
2560,496
2568,467
2576,491
2584,483
2592,424
2600,480
2608,444
2616,428
2624,437
2632,481
2640,475
2648,460
2656,406
2664,440
2672,404
2680,455
2688,446
2696,430
2704,441
2712,439
2720,432
2728,450
2736,399
2744,434
2752,370
2760,461
2768,354
2776,421
2784,404
2792,365
2800,438
2808,407
2816,409
2824,403
2832,381
2840,399
2848,381
2856,424
2864,333
2872,407
2880,366
2888,377
2896,398
2904,380
2912,391
2920,362
2928,376
2936,368
2944,344
2952,375
2960,399
2968,372
2976,373
2984,330
2992,364
3000,406
3008,353
3016,375
3024,313
3032,371
3040,329
3048,346
3056,328
3064,332
3072,342
3080,370
3088,317
3096,361
3104,337
3112,345
3120,356
3128,341
3136,339
3144,337
3152,306
3160,344
3168,329
3176,317
3184,321
3192,343
3200,307
3208,314
3216,296
3224,320
3232,342
3240,309
3248,352
3256,294
3264,309
3272,300
3280,284
3288,327
3296,319
3304,301
3312,289
3320,307
3328,319
3336,276
3344,269
3352,304
3360,276
3368,283
3376,278
3384,278
3392,254
3400,298
3408,279
3416,270
3424,268
3432,265
3440,269
3448,233
3456,260
3464,240
3472,264
3480,265
3488,263
3496,254
3504,263
3512,238
3520,231
3528,233
3536,274
3544,217
3552,270
3560,233
3568,258
3576,283
3584,247
3592,257
3600,232
3608,247
3616,211
3624,230
3632,236
3640,237
3648,219
3656,214
3664,210
3672,214
3680,228
3688,256
3696,240
3704,224
3712,207
3720,204
3728,260
3736,272
3744,219
3752,220
3760,232
3768,237
3776,239
3784,228
3792,215
3800,201
3808,227
3816,206
3824,225
3832,212
3840,238
3856,451
3872,409
3888,444
3904,420
3920,405
