cache_lines,MRC
256,0.02418059
512,0.01561779
768,0.01286869
1024,0.01067859
1280,0.00930619
1536,0.0082907
1792,0.00732355
2048,0.0067294
2304,0.00624526
2560,0.00579453
2816,0.00536926
3072,0.0050053
3328,0.00470981
3584,0.00444852
3840,0.004234
4096,0.00404312
4352,0.00387425
4608,0.00373349
4864,0.00360437
5120,0.0034858500000000004
5376,0.0033764600000000004
5632,0.0032801999999999996
5888,0.0031924500000000003
6144,0.00311332
6400,0.00303494
6656,0.00296452
6912,0.00289036
7168,0.00282298
7424,0.00275541
7680,0.00269074
7936,0.00263096
8192,0.00257208
8448,0.00251787
8704,0.00246296
8960,0.00240849
9216,0.00235853
9472,0.00230964
9728,0.00226345
9984,0.00221576
10240,0.00216615
10496,0.0021252
10752,0.0020878
11008,0.00205433
11264,0.00202194
11520,0.00199214
11776,0.00196387
12032,0.0014815000000000002
12288,0.0014143900000000002
12544,0.0013798500000000002
12800,0.0013473399999999998
13056,0.0013216
13312,0.00129627
13568,0.0012729199999999999
13824,0.00125317
14080,0.0012316200000000001
14336,0.0012113699999999998
14592,0.00119317
14848,0.00117348
15104,0.00115321
15360,0.00113494
15616,0.00112029
15872,0.00110395
16128,0.00108992
16384,0.00107628
16640,0.00106079
16896,0.00105015
17152,0.00104021
17408,0.001023
17664,0.00101286
17920,0.00100208
18176,9.9058E-4
18432,9.7877E-4
18688,9.692399999999999E-4
18944,9.608399999999999E-4
19200,9.5287E-4
19456,9.4498E-4
19712,9.3574E-4
19968,9.275500000000001E-4
20224,9.192899999999999E-4
20480,9.123099999999999E-4
20736,9.060400000000001E-4
20992,8.985900000000001E-4
21248,8.9152E-4
21504,8.8554E-4
21760,8.7758E-4
22016,8.7221E-4
22272,8.672199999999999E-4
22528,8.619599999999999E-4
22784,8.575500000000001E-4
23040,8.514E-4
23296,8.4635E-4
23552,8.4059E-4
23808,8.3771E-4
24064,8.322799999999999E-4
24320,8.2817E-4
24576,8.233800000000001E-4
24832,8.1953E-4
25088,8.152700000000001E-4
25344,8.1029E-4
25600,8.0572E-4
25856,8.011699999999999E-4
26112,7.963600000000001E-4
26368,0.001028901
26624,0.0010239010000000002
26880,0.0010203910000000003
27136,0.0010166010000000002
27392,0.001011881
27648,0.0010089910000000003
27904,0.001005241
28160,0.0010014810000000002
28416,9.98681E-4
28672,9.93481E-4
28928,9.911810000000003E-4
29184,9.88081E-4
29440,9.842410000000003E-4
29696,9.813410000000002E-4
29952,9.77931E-4
30208,9.75941E-4
30464,9.732610000000001E-4
30720,9.703210000000002E-4
30976,9.682310000000001E-4
31232,9.65421E-4
31488,9.621510000000002E-4
31744,9.59401E-4
32000,9.56331E-4
32256,9.543310000000002E-4
32512,9.526410000000001E-4
32768,9.495910000000002E-4
33024,9.477310000000002E-4
33280,9.448510000000001E-4
33536,9.427710000000001E-4
33792,9.401010000000002E-4
34048,9.373410000000001E-4
34304,9.344310000000002E-4
34560,9.319610000000001E-4
34816,9.296110000000002E-4
35072,9.27891E-4
35328,9.250310000000001E-4
35584,9.224610000000002E-4
35840,9.200710000000001E-4
36096,9.17521E-4
36352,9.154810000000002E-4
36608,9.140710000000001E-4
36864,9.118410000000001E-4
37120,9.10141E-4
37376,9.080310000000002E-4
37632,9.054610000000001E-4
37888,9.037710000000002E-4
38144,9.01671E-4
38400,8.994410000000001E-4
38656,8.97691E-4
38912,8.950910000000001E-4
39168,8.929010000000001E-4
39424,8.90831E-4
39680,8.885110000000001E-4
39936,8.870510000000001E-4
40192,8.85061E-4
40448,8.829010000000001E-4
40704,8.804310000000002E-4
40960,8.78451E-4
41216,8.75821E-4
41472,8.735110000000001E-4
41728,8.71551E-4
41984,8.699910000000002E-4
42240,8.682010000000002E-4
42496,8.664910000000002E-4
42752,8.638010000000001E-4
43008,8.618210000000001E-4
43264,8.607010000000001E-4
43520,8.586410000000002E-4
43776,8.567810000000001E-4
44032,8.546210000000002E-4
44288,8.533610000000001E-4
44544,8.513710000000002E-4
44800,8.495810000000002E-4
45056,8.47381E-4
45312,8.459310000000002E-4
45568,8.436810000000001E-4
45824,8.42301E-4
46080,8.401410000000001E-4
46336,8.378410000000001E-4
46592,8.354910000000002E-4
46848,8.33031E-4
47104,8.316310000000001E-4
47360,8.30581E-4
47616,8.291310000000002E-4
47872,8.27041E-4
48128,8.256610000000002E-4
48384,8.237710000000002E-4
48640,8.215910000000001E-4
48896,8.197710000000001E-4
49152,8.18861E-4
49408,8.163310000000001E-4
49664,8.142410000000002E-4
49920,8.134810000000001E-4
50176,8.12511E-4
50432,8.106610000000002E-4
50688,8.083210000000002E-4
50944,8.069310000000002E-4
51200,8.036810000000002E-4
51456,8.025310000000001E-4
51712,8.00751E-4
51968,7.98381E-4
52224,7.967410000000002E-4
52480,8.670630000000001E-4
52736,8.660030000000001E-4
52992,8.64693E-4
53248,8.63273E-4
53504,8.62223E-4
53760,8.611430000000001E-4
54016,8.59763E-4
54272,8.57753E-4
54528,8.554830000000001E-4
54784,8.541330000000001E-4
55040,8.519730000000001E-4
55296,8.499629999999999E-4
55552,8.479630000000001E-4
55808,8.45563E-4
56064,8.435729999999999E-4
56320,8.42163E-4
56576,8.41223E-4
56832,8.39803E-4
57088,8.382830000000001E-4
57344,8.368930000000001E-4
57600,8.358329999999999E-4
57856,8.348530000000001E-4
58112,8.32743E-4
58368,8.303630000000001E-4
58624,8.288929999999999E-4
58880,8.274730000000001E-4
59136,8.23773E-4
59392,8.195230000000001E-4
59648,8.180129999999999E-4
59904,8.17043E-4
60160,8.15693E-4
60416,8.14313E-4
60672,8.13113E-4
60928,8.122530000000001E-4
61184,8.11093E-4
61440,8.097730000000001E-4
61696,8.079130000000001E-4
61952,8.05113E-4
62208,8.037329999999999E-4
62464,8.025030000000001E-4
62720,8.015829999999999E-4
62976,7.99123E-4
63232,7.97743E-4
63488,7.96963E-4
63744,7.95393E-4
64000,7.937329999999999E-4
64256,7.92593E-4
64512,7.915429999999999E-4
64768,7.90073E-4
65024,7.88313E-4
65280,7.87043E-4
65536,7.85063E-4
65792,7.83673E-4
66048,7.829629999999999E-4
66304,7.807830000000001E-4
66560,7.79373E-4
66816,7.783730000000001E-4
67072,7.772730000000001E-4
67328,7.767230000000001E-4
67584,7.75863E-4
67840,7.73813E-4
68096,7.72073E-4
68352,7.707330000000001E-4
68608,7.69723E-4
68864,7.68593E-4
69120,7.672629999999999E-4
69376,7.66333E-4
69632,7.658430000000001E-4
69888,7.65063E-4
70144,7.642430000000001E-4
70400,7.631729999999999E-4
70656,7.622229999999999E-4
70912,7.611629999999999E-4
71168,7.600329999999999E-4
71424,7.583529999999999E-4
71680,7.57163E-4
71936,7.560230000000001E-4
72192,7.55353E-4
72448,7.54033E-4
72704,7.53453E-4
72960,7.52783E-4
73216,7.51653E-4
73472,7.49753E-4
73728,7.48773E-4
73984,7.47853E-4
74240,7.46873E-4
