cache_lines,MRC
256,0.01625295696969697
512,0.004882613939393942
768,0.0011990709090909137
1024,-0.0017780721212121188
1280,-0.0035024151515151477
1536,-0.005079358181818179
1792,-0.006015301212121208
2048,-0.00674054424242424
2304,-0.0073066972727272705
2560,-0.007749450303030297
2816,-0.008134823333333327
3072,-0.008442186363636358
3328,-0.008676809393939389
3584,-0.00883825242424242
3840,-0.008949395454545449
4096,-0.009032958484848481
4352,-0.00908528151515151
4608,-0.009108174545454541
4864,-0.009111147575757572
5120,-0.009106470606060603
5376,-0.009089063636363633
5632,-0.009054586666666663
5888,-0.009019689696969695
6144,-0.008955172727272724
6400,-0.008912545757575755
6656,-0.008851918787878785
6912,-0.008782261818181815
7168,-0.008712024848484847
7424,-0.008640707878787877
7680,-0.008560390909090904
7936,-0.008483313939393937
8192,-0.008399656969696967
8448,-0.008324339999999996
8704,-0.008230973030303027
8960,-0.008140816060606057
9216,-0.008051219090909088
9472,-0.007955552121212118
9728,-0.007855865151515148
9984,-0.007751768181818178
10240,-0.007646541212121208
10496,-0.007538154242424239
10752,-0.007425767272727269
11008,-0.0073084303030303
11264,-0.007188303333333331
11520,-0.0076537963636363615
11776,-0.007539929393939391
12032,-0.007422142424242422
12288,-0.007300485454545452
12544,-0.007174708484848481
12800,-0.007046881515151511
13056,-0.006916814545454543
13312,-0.006783027575757572
13568,-0.006652030606060603
13824,-0.006512323636363634
14080,-0.006372946666666664
14336,-0.006229109696969695
14592,-0.006085312727272725
14848,-0.005939745757575755
15104,-0.0057953287878787845
15360,-0.005651181818181816
15616,-0.005505214848484845
15872,-0.005354687878787876
16128,-0.005204270909090907
16384,-0.005054103939393937
16640,-0.004915786969696967
16896,-0.004765829999999998
17152,-0.004611503030303029
17408,-0.004463206060606059
17664,-0.004310909090909089
17920,-0.004159112121212118
18176,-0.004004935151515149
18432,-0.003851278181818179
18688,-0.0036975012121212097
18944,-0.0035443542424242404
19200,-0.0033889372727272707
19456,-0.0032340503030303014
19712,-0.0030759633333333316
19968,-0.002918116363636362
20224,-0.0027596093939393925
20480,-0.0025988224242424213
20736,-0.002440525454545452
20992,-0.0022811284848484824
21248,-0.0021241115151515127
21504,-0.0019644445454545436
21760,-0.001804647575757574
22016,-0.0016412206060606046
22272,-0.0014821736363636348
22528,-0.0013215166666666655
22784,-0.0011617096969696959
23040,-0.0010010827272727263
23296,-8.402957575757552E-4
23552,-6.782387878787855E-4
23808,-5.18921818181816E-4
24064,-3.5904484848484856E-4
24320,-2.00687878787879E-4
24576,-4.117090909090942E-5
24832,1.180960606060634E-4
25088,2.793430303030331E-4
25344,4.4391000000000265E-4
25600,6.048069696969723E-4
25856,7.678739393939416E-4
26112,9.299509090909112E-4
26368,9.791378914956012E-4
26624,9.773147829912027E-4
26880,9.745416744868036E-4
27136,9.694185659824047E-4
