cache_lines,MRC
256,0.01621714018572825
512,0.0017903803714564986
768,-0.003065979442815253
1024,-0.007233339257086999
1280,-0.00965779907135875
1536,-0.011945558885630498
1792,-0.013312518699902251
2048,-0.014310878514174
2304,-0.01512313832844575
2560,-0.015806898142717497
2816,-0.01640925795698925
3072,-0.016875817771261
3328,-0.01723934758553275
3584,-0.017538927399804498
3840,-0.01778343721407625
4096,-0.017945447028348
4352,-0.018108706842619747
4608,-0.018222436656891498
4864,-0.018332486471163246
5120,-0.018416666285434997
5376,-0.018494136099706744
5632,-0.018558765913978495
5888,-0.01858493572825025
6144,-0.018600545542521996
6400,-0.018632945356793745
6656,-0.018657625171065496
6912,-0.018654134985337245
7168,-0.018657154799608992
7424,-0.018656644613880745
7680,-0.018648084428152495
7936,-0.018636144242424244
8192,-0.01861342405669599
8448,-0.018602243870967743
8704,-0.018572023685239494
8960,-0.01854042349951124
9216,-0.018515443313782992
9472,-0.01846529312805474
9728,-0.018416422942326493
9984,-0.01837054275659824
10240,-0.018321222570869992
10496,-0.018260272385141742
10752,-0.018797662199413492
11008,-0.018751752013685237
11264,-0.01870128182795699
11520,-0.018639321642228743
11776,-0.01857099145650049
12032,-0.018490571270772242
12288,-0.01840968108504399
12544,-0.01833223089931574
12800,-0.018251800713587486
13056,-0.018168860527859237
13312,-0.01808458034213099
13568,-0.01799152015640274
13824,-0.017894629970674487
14080,-0.01779766978494624
14336,-0.01769654959921799
14592,-0.017590839413489736
14848,-0.017490379227761487
15104,-0.017385499042033237
15360,-0.017275878856304987
15616,-0.017173858670576733
15872,-0.017066718484848486
16128,-0.016962278299120236
16384,-0.016850398113391986
16640,-0.016743047927663735
16896,-0.016630727741935483
17152,-0.016520497556207235
17408,-0.016409077370478982
17664,-0.01629590718475073
17920,-0.016178566999022488
18176,-0.016065956813294233
18432,-0.01595282662756598
18688,-0.01583272644183773
18944,-0.015718686256109483
19200,-0.015602966070381231
19456,-0.01548244588465298
19712,-0.015362565698924732
19968,-0.015245745513196483
20224,-0.015123685327468231
20480,-0.015004125141739981
20736,-0.014885884956011734
20992,-0.01476626477028348
21248,-0.01464539458455523
21504,-0.014524454398826981
21760,-0.014402244213098731
22016,-0.01428232402737048
22272,-0.014159863841642226
22528,-0.014036753655913978
22784,-0.01391345347018573
23040,-0.013792213284457478
23296,-0.01367350309872923
23552,-0.01355021291300098
23808,-0.013426932727272727
24064,-0.013301952541544476
24320,-0.013177832355816228
24576,-0.01305364217008798
24832,-0.012931391984359726
25088,-0.012807101798631475
25344,-0.012684291612903225
25600,-0.012558711427174976
25856,-0.012431841241446724
26112,-0.012307041055718476
26368,-0.012182650869990225
26624,-0.012056600684261976
26880,-0.011929920498533725
27136,-0.011801760312805474
27392,-0.011677530127077224
27648,-0.011551829941348974
27904,-0.011426459755620722
28160,-0.011302179569892472
28416,-0.011174959384164223
28672,-0.011049179198435972
28928,-0.010923049012707723
29184,-0.010798158826979473
29440,-0.010671348641251223
29696,-0.010545818455522972
29952,-0.010419258269794722
30208,-0.010291998084066471
30464,-0.01016620789833822
30720,-0.010040477712609972
30976,-0.009913197526881721
31232,-0.00978696734115347
31488,-0.009658957155425219
31744,-0.009532046969696971
32000,-0.009403036783968718
32256,-0.00927769659824047
32512,-0.009148396412512217
32768,-0.00902141622678397
33024,-0.008894576041055719
33280,-0.008768665855327467
33536,-0.00864261566959922
33792,-0.008515405483870968
34048,-0.008387585298142718
34304,-0.008260625112414465
34560,-0.008133124926686218
34816,-0.008006284740957966
35072,-0.007878334555229717
35328,-0.007748434369501464
35584,-0.007620494183773216
35840,-0.007493983998044967
36096,-0.007366923812316715
36352,-0.007239583626588466
36608,-0.007110863440860214
36864,-0.006981183255131965
37120,-0.006851973069403713
37376,-0.006723622883675465
37632,-0.006594302697947212
37888,-0.0064664525122189636
38144,-0.006338242326490712
38400,-0.0062092621407624626
38656,-0.006080021955034215
38912,-0.0059519417693059615
39168,-0.005824361583577713
39424,-0.0056941413978494615
39680,-0.005566311212121212
39936,-0.00543816102639296
40192,-0.005311410840664712
40448,-0.005181830654936459
40704,-0.005053700469208211
40960,-0.004924860283479962
41216,-0.00479534009775171
41472,-0.004666839912023461
41728,-0.004537649726295209
41984,-0.00440812954056696
42240,-0.004279989354838708
42496,-0.00415079916911046
42752,-0.004023398983382207
43008,-0.0038934987976539585
43264,-0.0037650386119257064
43520,-0.003635898426197458
43776,-0.003507138240469209
44032,-0.003377178054740957
44288,-0.0032477878690127084
44544,-0.003118847683284456
44800,-0.0029879974975562077
45056,-0.002858857311827955
45312,-0.002729977126099707
45568,-0.0026016469403714543
45824,-0.002474836754643206
46080,-0.0023467565689149535
46336,-0.002219206383186705
46592,-0.0020892861974584564
46848,-0.0019611060117302043
47104,-0.0018319258260019555
47360,-0.0017007456402737034
47616,-0.0015719754545454544
47872,-0.0014452952688172025
48128,-0.0013148250830889536
48384,-0.0011866848973607017
48640,-0.001057714711632453
48896,-9.282845259042005E-4
49152,-7.991043401759522E-4
49408,-6.701341544477035E-4
49664,-5.40043968719451E-4
49920,-4.109337829912023E-4
50176,-2.819635972629501E-4
50432,-1.5273341153470166E-4
50688,-2.3133225806449328E-5
50944,1.0725695992179918E-4
51200,2.3634714565005151E-4
51456,3.653673313782999E-4
51712,4.942375171065523E-4
51968,6.246877028348008E-4
52224,7.556378885630495E-4
52480,8.355333597262955E-4
52736,8.357877194525903E-4
52992,8.362220791788861E-4
53248,8.268364389051809E-4
53504,8.250107986314762E-4
53760,8.235751583577716E-4
54016,8.226195180840669E-4
54272,8.215238778103619E-4
54528,8.19148237536657E-4
54784,8.160125972629521E-4
55040,8.150069569892477E-4
55296,8.150713167155428E-4
55552,8.116756764418379E-4
55808,8.085400361681329E-4
56064,8.079243958944284E-4
56320,8.073087556207236E-4
56576,8.034431153470189E-4
56832,8.008974750733139E-4
57088,7.992518347996094E-4
57344,7.966161945259045E-4
57600,7.948505542521994E-4
57856,7.933449139784947E-4
58112,7.922392737047901E-4
58368,7.896936334310851E-4
58624,7.872379931573806E-4
58880,7.851823528836758E-4
59136,7.83446712609971E-4
59392,7.820810723362659E-4
59648,7.805154320625614E-4
59904,7.781597917888565E-4
60160,7.766741515151515E-4
60416,7.758385112414468E-4
60672,7.75042870967742E-4
60928,7.729772306940372E-4
61184,7.714815904203327E-4
61440,7.707059501466276E-4
61696,7.695503098729228E-4
61952,7.692246695992181E-4
62208,7.686190293255135E-4
62464,7.658733890518084E-4
62720,7.649977487781037E-4
62976,7.633121085043988E-4
63232,7.625764682306941E-4
63488,7.608908279569892E-4
63744,7.598451876832846E-4
64000,7.605095474095796E-4
64256,7.596039071358751E-4
64512,7.582882668621701E-4
64768,7.574426265884657E-4
65024,7.574669863147606E-4
65280,7.56281346041056E-4
65536,7.56075705767351E-4
65792,7.556200654936463E-4
66048,7.560044252199413E-4
66304,7.561487849462366E-4
66560,7.562231446725316E-4
66816,7.549175043988273E-4
67072,7.533018641251224E-4
67328,7.532362238514177E-4
67584,7.529505835777127E-4
67840,7.529549433040079E-4
68096,7.522893030303031E-4
68352,7.517336627565986E-4
68608,7.509380224828936E-4
68864,7.483423822091887E-4
69120,7.472367419354838E-4
69376,7.444811016617794E-4
69632,7.416054613880742E-4
69888,7.421598211143697E-4
70144,7.418641808406648E-4
70400,7.423585405669602E-4
70656,7.422029002932553E-4
70912,7.410972600195506E-4
71168,7.394816197458457E-4
71424,7.385859794721411E-4
71680,7.37380339198436E-4
71936,7.374346989247314E-4
72192,7.374990586510265E-4
72448,7.384234183773219E-4
72704,7.386677781036168E-4
72960,7.385321378299121E-4
73216,7.378064975562071E-4
73472,7.389408572825026E-4
73728,7.393452170087978E-4
73984,7.396695767350929E-4
74240,7.374439364613882E-4
74496,7.358082961876837E-4
74752,7.349226559139783E-4
75008,7.353270156402738E-4
75264,7.348413753665692E-4
75520,7.354057350928641E-4
75776,7.356300948191592E-4
76032,7.365544545454546E-4
76288,7.367688142717497E-4
76544,7.363731739980452E-4
76800,7.361275337243404E-4
77056,7.354718934506357E-4
77312,7.305262531769306E-4
77568,7.306106129032258E-4
77824,7.300149726295209E-4
78080,7.249093323558162E-4
78336,7.245636920821116E-4
78592,7.232480518084069E-4
78848,7.233524115347017E-4
79104,7.231867712609971E-4
79360,7.221711309872922E-4
79616,7.224154907135877E-4
79872,7.172398504398827E-4
80128,7.142742101661778E-4
80384,7.136285698924733E-4
80640,7.131829296187686E-4
80896,7.128072893450637E-4
81152,7.089016490713588E-4
81408,7.08886008797654E-4
81664,7.082203685239493E-4
81920,7.081247282502445E-4
82176,7.074890879765396E-4
82432,7.071634477028349E-4
82688,7.054978074291301E-4
82944,7.030121671554252E-4
83200,7.021465268817204E-4
83456,7.025408866080157E-4
83712,7.018252463343109E-4
83968,7.01609606060606E-4
84224,7.010339657869016E-4
84480,7.002483255131966E-4
84736,7.003126852394919E-4
84992,6.997670449657867E-4
85248,6.994814046920824E-4
85504,6.986757644183775E-4
85760,6.988401241446727E-4
86016,6.986444838709676E-4
86272,6.986088435972631E-4
86528,6.980332033235581E-4
86784,6.978475630498536E-4
87040,6.967619227761486E-4
87296,6.95576282502444E-4
87552,6.955606422287392E-4
87808,6.961850019550342E-4
88064,6.966893616813293E-4
88320,6.90493721407625E-4
88576,6.9129808113392E-4
88832,6.901324408602153E-4
89088,6.886168005865102E-4
89344,6.885211603128057E-4
89600,6.884455200391007E-4
89856,6.88959879765396E-4
90112,6.889542394916911E-4
90368,6.894185992179862E-4
90624,6.895029589442817E-4
90880,6.893073186705768E-4
91136,6.828016783968719E-4
91392,6.805060381231674E-4
91648,6.811703978494624E-4
91904,6.803047575757576E-4
92160,6.795091173020526E-4
92416,6.798034770283479E-4
92672,6.796778367546433E-4
92928,6.794721964809385E-4
93184,6.792665562072335E-4
