cache_lines,MRC
256,0.0249499
512,0.0204155
768,0.0175216
1024,0.015709
1280,0.0143252
1536,0.0131669
1792,0.0121601
2048,0.0112114
2304,0.0103098
2560,0.00946957
2816,0.00868804
3072,0.00795422
3328,0.00725553
3584,0.006596
3840,0.00599779
4096,0.0054707
4352,0.00501073
4608,0.00459449
4864,0.00423206
5120,0.00394526
5376,0.00370394
5632,0.00349808
5888,0.00331764
6144,0.00315399
6400,0.00297155
6656,0.00279698
6912,0.00259514
7168,0.00240295
7424,0.00217208
7680,0.00197275
7936,0.00186459
8192,0.00171299
8448,0.00161101
8704,0.00155015
8960,0.00151172
9216,0.00149536
9472,0.00148576
9728,0.00147755
9984,0.00147103
10240,0.00135512
10496,0.00134899
10752,0.00134417
11008,0.00133872
11264,0.00133458
11520,0.00133027
11776,0.0013132
12032,0.00129531
12288,0.00127962
12544,0.00126643
12800,0.00126229
13056,0.00126043
13312,0.00125808
13568,0.00125585
13824,0.00125325
14080,0.0012493
14336,0.00124612
14592,0.00124362
14848,0.00124178
15104,0.00124036
15360,0.0012392
15616,0.00123797
15872,0.00123615
16128,0.00123439
16384,0.00123254
16640,0.00123026
16896,0.00122883
17152,0.00122754
17408,0.0012265
17664,0.00122527
17920,0.00122426
18176,0.00122335
18432,0.00122244
18688,0.00122115
18944,0.00122008
19200,0.00121904
19456,0.00121796
19712,0.00121717
19968,0.00121618
20224,0.0012155
20480,0.00121483
20736,0.00121391
20992,0.001213
21248,0.00121216
21504,0.00121123
21760,0.00121036
22016,0.00120949
22272,0.0012086
22528,0.00120782
22784,0.00120693
23040,0.00120603
23296,0.00120513
23552,0.00120436
23808,0.00120358
24064,0.00120289
24320,0.00120189
24576,0.00120132
24832,0.00120049
25088,0.00119965
25344,0.00119875
25600,0.00119782
25856,0.00119701
26112,0.00119627
26368,0.00119558
26624,0.00119492
26880,0.00119425
27136,0.00119357
27392,0.00119279
27648,0.00119222
27904,0.00119136
28160,0.00119064
28416,0.00118983
28672,0.00118879
28928,0.00118794
29184,0.00118706
29440,0.00118627
29696,0.00118556
29952,0.00118467
30208,0.00118395
30464,0.00118316
30720,0.00118243
30976,0.00118163
31232,0.00118096
31488,0.00118027
31744,0.00117947
32000,0.00117871
32256,0.00117801
32512,0.00117729
32768,0.00117656
33024,0.00117581
33280,0.0011749
33536,0.00117413
33792,0.00117356
34048,0.00117303
34304,0.00117236
34560,0.0011714
34816,0.0011707
35072,0.00116999
35328,0.00116924
35584,0.00116824
35840,0.00116752
36096,0.00116685
36352,0.00116607
36608,0.00116532
36864,0.00116458
37120,0.00116357
37376,0.00116258
37632,0.0011619
37888,0.0011613
38144,0.00116065
38400,0.0011597
38656,0.00115919
38912,0.00115854
39168,0.00115778
39424,0.001157
39680,0.0011557
39936,0.00115383
40192,0.00115171
40448,0.00114966
40704,0.00114789
40960,0.00114585
41216,0.001144
41472,0.00114172
41728,0.00114001
41984,0.00113829
42240,0.00113643
42496,0.00113455
42752,0.00113266
43008,0.00113038
43264,0.00112895
43520,0.00112688
43776,0.00112492
44032,0.0011231
44288,0.00112133
44544,0.00111938
44800,0.00111757
45056,0.00111609
45312,0.00111573
45568,0.00111556
45824,0.00111542
46080,0.00111535
46336,0.00111526
46592,0.0011152
46848,0.00111516
47104,0.00111513
47360,0.00111505
47616,0.00111502
47872,0.00111499
48128,0.00111492
48384,0.00111485
48640,0.00111483
48896,0.00111482
49152,0.0011148
49408,0.00111478
49664,0.00111474
49920,0.00111472
50176,0.0011147
50432,0.00111468
50688,0.00111464
50944,0.00111463
51200,0.0011146
51456,0.00111457
51712,0.00111451
51968,0.00111447
52224,0.00111444
52480,0.00111441
52736,0.00111432
52992,0.00111421
53248,0.00111416
53504,0.00111408
53760,0.00111406
54016,0.00111404
54272,0.00111399
54528,0.00111399
54784,0.00111399
55040,0.00111398
55296,0.00111395
55552,0.00111392
55808,0.00111389
56064,0.00111386
56320,0.00111384
56576,0.0011138
56832,0.00111378
57088,0.00111376
57344,0.0011137
57600,0.00111367
57856,0.00111363
58112,0.00111358
58368,0.00111353
58624,0.00111352
58880,0.00111349
59136,0.00111348
59392,0.00111347
59648,0.00111346
59904,0.00111334
60160,0.00111331
60416,0.00111328
60672,0.00111327
60928,0.00111324
61184,0.00111324
61440,0.00111324
61696,0.00111321
61952,0.00111317
62208,0.00111315
62464,0.00111314
62720,0.00111313
62976,0.0011131
63232,0.00111307
63488,0.00111304
63744,0.00111302
64000,0.00111296
64256,0.00111292
64512,0.00111291
64768,0.00111288
65024,0.00111284
65280,0.00111278
65536,0.00111275
65792,0.00111273
66048,0.00111269
66304,0.00111263
66560,0.00111258
66816,0.00111253
67072,0.00111249
67328,0.00111243
67584,0.00111235
67840,0.00111231
68096,0.00111226
68352,0.0011122
68608,0.00111214
68864,0.00111211
69120,0.00111023
69376,0.00110923
69632,0.00110761
69888,0.00110584
70144,0.00110533
