cache_lines,MRC
256,0.0293459
512,0.024112
768,0.0209244
1024,0.0188156
1280,0.017208
1536,0.0158425
1792,0.0146421
2048,0.0135197
2304,0.0124316
2560,0.0114431
2816,0.0105196
3072,0.00964249
3328,0.00880686
3584,0.00802389
3840,0.00731195
4096,0.00668389
4352,0.00612776
4608,0.00562408
4864,0.00517494
5120,0.00482642
5376,0.00453723
5632,0.00428851
5888,0.00405514
6144,0.00382367
6400,0.00358659
6656,0.00335481
6912,0.00311608
7168,0.00288869
7424,0.00264336
7680,0.0023812
7936,0.00224482
8192,0.0020667
8448,0.00198726
8704,0.00188153
8960,0.0018359
9216,0.00181215
9472,0.00180041
9728,0.00178954
9984,0.00178214
10240,0.00177505
10496,0.00163816
10752,0.00163107
11008,0.00162417
11264,0.00161821
11520,0.00161242
11776,0.00160354
12032,0.00158235
12288,0.00156433
12544,0.00155017
12800,0.00153514
13056,0.00152676
13312,0.00152399
13568,0.0015203
13824,0.00151683
14080,0.00151307
14336,0.00150893
14592,0.00150526
14848,0.00150342
15104,0.00150199
15360,0.00150083
15616,0.00149886
15872,0.00149658
16128,0.00149418
16384,0.00149184
16640,0.00149009
16896,0.00148756
17152,0.00148607
17408,0.0014847
17664,0.00148322
17920,0.0014818
18176,0.00148061
18432,0.00147918
18688,0.0014779
18944,0.00147661
19200,0.00147519
19456,0.00147393
19712,0.00147292
19968,0.00147189
20224,0.00147065
20480,0.00146965
20736,0.00146835
20992,0.00146717
21248,0.00146629
21504,0.00146526
21760,0.00146429
22016,0.00146325
22272,0.00146215
22528,0.00146094
22784,0.00145977
23040,0.00145871
23296,0.00145767
23552,0.00145673
23808,0.00145562
24064,0.00145489
24320,0.00145395
24576,0.00145274
24832,0.00145147
25088,0.00145016
25344,0.00144925
25600,0.00144786
25856,0.001447
26112,0.00144592
26368,0.0014452
26624,0.00144439
26880,0.00144354
27136,0.00144275
27392,0.00144176
27648,0.00144094
27904,0.00143997
28160,0.00143918
28416,0.00143815
28672,0.00143717
28928,0.00143614
29184,0.00143536
29440,0.00143445
29696,0.00143349
29952,0.00143258
30208,0.00143153
30464,0.00143045
30720,0.0014294
30976,0.00142827
31232,0.00142727
31488,0.00142642
31744,0.00142535
32000,0.00142446
32256,0.0014234
32512,0.0014223
32768,0.00142148
33024,0.00142047
33280,0.00141962
33536,0.00141871
33792,0.00141781
34048,0.001417
34304,0.00141617
34560,0.00141519
34816,0.00141435
35072,0.00141332
35328,0.00141236
35584,0.00141161
35840,0.00141065
36096,0.00140951
36352,0.00140834
36608,0.00140719
36864,0.00140608
37120,0.00140538
37376,0.00140433
37632,0.00140364
37888,0.00140274
38144,0.0014019
38400,0.00140097
38656,0.00139991
38912,0.00139903
39168,0.00139817
39424,0.00139745
39680,0.0013957
39936,0.00139391
40192,0.00139105
40448,0.0013883
40704,0.0013855
40960,0.00138324
41216,0.00138083
41472,0.00137817
41728,0.00137562
41984,0.00137295
42240,0.0013704
42496,0.00136814
42752,0.00136608
43008,0.00136348
43264,0.00136118
43520,0.00135861
43776,0.00135611
44032,0.00135368
44288,0.00135163
44544,0.00134949
44800,0.00134673
45056,0.00134478
45312,0.00134372
45568,0.00134353
45824,0.00134329
46080,0.00134314
46336,0.00134302
46592,0.00134297
46848,0.00134295
47104,0.00134289
47360,0.00134288
47616,0.00134282
47872,0.00134282
48128,0.00134276
48384,0.00134271
48640,0.00134265
48896,0.00134258
49152,0.00134253
49408,0.00134251
49664,0.00134248
49920,0.00134242
50176,0.00134241
50432,0.00134228
50688,0.00134228
50944,0.00134217
51200,0.00134209
51456,0.00134205
51712,0.00134202
51968,0.00134196
52224,0.00134192
52480,0.00134186
52736,0.00134186
52992,0.00134179
53248,0.00134172
53504,0.00134168
53760,0.00134163
54016,0.00134155
54272,0.00134148
54528,0.00134138
54784,0.00134133
55040,0.00134128
55296,0.00134124
55552,0.00134123
55808,0.0013412
56064,0.00134117
56320,0.00134113
56576,0.00134108
56832,0.00134105
57088,0.00134101
57344,0.00134096
57600,0.00134095
57856,0.00134091
58112,0.00134088
58368,0.00134085
58624,0.00134084
58880,0.0013408
59136,0.00134079
59392,0.00134076
59648,0.00134074
59904,0.00134074
60160,0.00134074
60416,0.0013407
60672,0.00134066
60928,0.00134061
61184,0.00134059
61440,0.00134057
61696,0.00134054
61952,0.00134049
62208,0.00134046
62464,0.00134045
62720,0.00134043
62976,0.00134035
63232,0.00134028
63488,0.00134019
63744,0.00134016
64000,0.00134012
64256,0.00134008
64512,0.00134003
64768,0.00134003
65024,0.00133998
65280,0.00133984
65536,0.00133981
65792,0.00133974
66048,0.00133967
66304,0.0013396
66560,0.00133954
66816,0.0013395
67072,0.00133947
67328,0.00133941
67584,0.00133939
67840,0.00133936
68096,0.00133933
68352,0.00133929
68608,0.00133922
68864,0.00133917
69120,0.00133811
69376,0.00133567
69632,0.00133359
69888,0.00133176
70144,0.0013311
70400,0.00133082
70656,0.00133039
70912,0.00132962
71168,0.00132858
71424,0.00132805
71680,0.0013278
71936,0.00132774
72192,0.00132774
72448,0.00132771
72704,0.0013277
72960,0.00132768
73216,0.00132767
73472,0.00132762
73728,0.00132756
73984,0.00132745
74240,0.0013274
74496,0.00132734
74752,0.00132726
75008,0.00132721
75264,0.00132712
75520,0.00132699
75776,0.00132679
76032,0.00132658
76288,0.00127518
76544,0.00126915
76800,0.0012545
77056,0.00123904
77312,0.00122594
77568,0.00122375
77824,0.00122356
78080,0.00115409
78336,0.00114557
78592,0.0011263
78848,0.0011046
79104,0.00109081
79360,0.00107517
79616,0.00104065
79872,0.0010206
80128,0.00101846
80384,0.00101663
80640,0.000943168
80896,0.000257255
81152,0.000256144
81408,0.000254701
81664,0.000247514
81920,0.000245996
82176,0.000244227
82432,0.000242291
82688,0.000241136
82944,0.000239891
83200,0.000238801
83456,0.000237086
83712,0.000235701
83968,0.000234165
84224,0.000232541
84480,0.00023079
84736,0.000229292
84992,0.000227534
85248,0.000225932
85504,0.000224471
85760,0.000223298
86016,0.00022248
86272,0.000221779
86528,0.000221184
86784,0.00022064
87040,0.000220093
87296,0.000219251
87552,0.000218456
87808,0.000217891
88064,0.00021691
88320,0.00021605
88576,0.000215571
88832,0.000214722
89088,0.000213936
89344,0.000213102
89600,0.000212204
89856,0.000211538
90112,0.000210883
90368,0.000210154
90624,0.000209449
90880,0.000208586
91136,0.000207531
91392,0.000206565
91648,0.000205603
91904,0.000204664
92160,0.000204036
92416,0.00020342
92672,0.000202648
92928,0.000200246
93184,0.000198706
93440,0.000196868
93696,0.000194778
93952,0.000193065
94208,0.000192207
94464,0.000191372
94720,0.000190785
94976,0.000190215
95232,0.000189558
95488,0.00018877
95744,0.000188163
96000,0.000187536
96256,0.000186905
96512,0.000186095
96768,0.000185413
97024,0.000184663
97280,0.000184097
97536,0.00018335
97792,0.000182618
98048,0.000181964
98304,0.000181374
98560,0.000180694
98816,0.000179934
99072,0.000179295
99328,0.000178473
99584,0.00017777
99840,0.000177118
100096,0.000176378
100352,0.000175815
100608,0.000175167
100864,0.000174424
101120,0.000173773
101376,0.000173119
101632,0.000172473
101888,0.000171654
102144,0.000170861
102400,0.000170156
102656,0.000169446
102912,0.000168735
103168,0.000167861
103424,0.000167267
103680,0.000166618
103936,0.000165987
104192,0.000165284
104448,0.000164715
104704,0.00016398
