cache_lines,MRC
256,0.0629524
512,0.0542004
768,0.0487719
1024,0.0445153
1280,0.0409464
1536,0.0378774
1792,0.0351072
2048,0.0324683
2304,0.0300567
2560,0.0278348
2816,0.0257693
3072,0.0237688
3328,0.0218582
3584,0.0200777
3840,0.018464
4096,0.0170196
4352,0.0157184
4608,0.0144988
4864,0.0134752
5120,0.0126187
5376,0.0118765
5632,0.0112251
5888,0.0105818
6144,0.0099633
6400,0.00933477
6656,0.008738
6912,0.0081128
7168,0.0075406
7424,0.00684279
7680,0.00622784
7936,0.00589953
8192,0.00541472
8448,0.00510276
8704,0.004901
8960,0.00479087
9216,0.00473446
9472,0.00469487
9728,0.0046659
9984,0.00464165
10240,0.00462196
10496,0.00425439
10752,0.0042336
11008,0.00421344
11264,0.00419484
11520,0.00417838
11776,0.00413863
12032,0.0040852
12288,0.00403759
12544,0.00399974
12800,0.00396179
13056,0.00395174
13312,0.00394381
13568,0.00393437
13824,0.00392449
14080,0.0039141
14336,0.00390218
14592,0.00389487
14848,0.00389061
15104,0.00388658
15360,0.0038829
15616,0.00387747
15872,0.00387045
16128,0.00386327
16384,0.00385744
16640,0.00385314
16896,0.00384868
17152,0.003845
17408,0.00384132
17664,0.00383763
17920,0.0038347
18176,0.00383186
18432,0.00382821
18688,0.00382431
18944,0.00381947
19200,0.00381599
19456,0.00381364
19712,0.00381086
19968,0.00380812
20224,0.00380466
20480,0.00380157
20736,0.00379877
20992,0.00379589
21248,0.00379336
21504,0.00379093
21760,0.0037884
22016,0.00378547
22272,0.00378266
22528,0.00377976
22784,0.0037773
23040,0.00377508
23296,0.00377242
23552,0.00376978
23808,0.00376763
24064,0.00376429
24320,0.00376168
24576,0.003759
24832,0.00375633
25088,0.00375344
25344,0.00375053
25600,0.00374786
25856,0.00374481
26112,0.00374288
26368,0.00374051
26624,0.00373715
26880,0.00373401
27136,0.00373139
27392,0.00372948
27648,0.00372739
27904,0.0037245
28160,0.00372193
28416,0.00371925
28672,0.00371688
28928,0.00371445
29184,0.00371193
29440,0.00370932
29696,0.00370606
29952,0.00370325
30208,0.00370113
30464,0.00369859
30720,0.0036952
30976,0.0036923
31232,0.00368985
31488,0.00368769
31744,0.00368438
32000,0.00368217
32256,0.00367983
32512,0.00367796
32768,0.00367534
33024,0.0036733
33280,0.00367078
33536,0.00366866
33792,0.00366638
34048,0.00366378
34304,0.00366043
34560,0.00365719
34816,0.0036552
35072,0.00365269
35328,0.00365034
35584,0.00364743
35840,0.00364414
36096,0.0036406
36352,0.00363764
36608,0.00363521
36864,0.0036327
37120,0.00363073
37376,0.00362837
37632,0.00362649
37888,0.00362427
38144,0.00362179
38400,0.0036192
38656,0.00361762
38912,0.00361564
39168,0.00361172
39424,0.00360715
39680,0.0036007
39936,0.00359296
40192,0.00358615
40448,0.00357979
40704,0.00357414
40960,0.00356741
41216,0.00356062
41472,0.003554
41728,0.00354877
41984,0.0035436
42240,0.00353788
42496,0.00353192
42752,0.00352613
43008,0.00351927
43264,0.00351331
43520,0.00350668
43776,0.00350118
44032,0.00349539
44288,0.00349003
44544,0.00348557
44800,0.00348327
45056,0.00348244
45312,0.00348201
45568,0.0034816
45824,0.00348138
46080,0.00348124
46336,0.00348103
46592,0.00348087
46848,0.00348076
47104,0.0034807
47360,0.00348069
47616,0.00348067
47872,0.00348055
48128,0.00348037
48384,0.0034803
48640,0.0034803
48896,0.00348025
49152,0.00348021
49408,0.0034802
49664,0.00348009
49920,0.00348005
50176,0.00347997
50432,0.00347986
50688,0.00347981
50944,0.00347981
51200,0.00347968
51456,0.00347947
51712,0.00347931
51968,0.00347911
52224,0.00347894
52480,0.00347887
52736,0.00347868
52992,0.00347858
53248,0.00347847
53504,0.00347829
53760,0.00347818
54016,0.00347807
54272,0.00347778
54528,0.00347762
54784,0.00347745
55040,0.00347733
55296,0.00347727
55552,0.00347716
55808,0.00347703
56064,0.00347681
56320,0.00347681
56576,0.00347681
56832,0.00347671
57088,0.00347671
57344,0.00347661
57600,0.00347652
57856,0.00347636
58112,0.00347603
58368,0.003476
58624,0.00347593
58880,0.00347573
59136,0.00347567
59392,0.00347553
59648,0.00347533
59904,0.00347529
60160,0.00347519
60416,0.00347514
60672,0.00347497
60928,0.00347484
61184,0.00347459
61440,0.00347453
61696,0.00347436
61952,0.00347426
62208,0.00347421
62464,0.00347416
62720,0.00347412
62976,0.00347411
63232,0.00347395
63488,0.00347386
63744,0.00347377
64000,0.00347367
64256,0.00347348
64512,0.00347337
64768,0.00347334
65024,0.00347328
65280,0.0034732
65536,0.00347303
65792,0.00347294
66048,0.00347293
66304,0.00347288
66560,0.00347271
66816,0.00347265
67072,0.00347259
67328,0.00347253
67584,0.0034724
67840,0.00347229
68096,0.00347222
68352,0.00346641
68608,0.00346172
68864,0.00345603
69120,0.00345139
69376,0.00345011
69632,0.0034496
69888,0.00344815
70144,0.00344571
70400,0.00344336
70656,0.00344222
70912,0.00344195
71168,0.00344188
71424,0.00344177
71680,0.00344168
71936,0.00344162
72192,0.00344147
72448,0.0034414
72704,0.00344136
72960,0.00344104
73216,0.00344065
73472,0.00344055
73728,0.00344047
73984,0.00344031
74240,0.00344001
74496,0.0034398
74752,0.00343944
75008,0.0034296
75264,0.0033449
75520,0.00329019
75776,0.0032553
76032,0.00321272
76288,0.00316969
76544,0.00315753
76800,0.00315585
77056,0.00301278
77312,0.00296811
77568,0.00291833
77824,0.00286446
78080,0.00282853
78336,0.00278443
78592,0.00270155
78848,0.00263612
79104,0.0026302
79360,0.00261887
79616,0.00244072
79872,0.000644536
80128,0.000641586
80384,0.000634245
80640,0.000616859
80896,0.000613199
81152,0.000609103
81408,0.000605444
81664,0.000601981
81920,0.000598805
82176,0.000596048
82432,0.000592497
82688,0.000589428
82944,0.000586856
83200,0.000583583
83456,0.000579649
83712,0.000575196
83968,0.000571641
84224,0.000566208
84480,0.000561983
84736,0.000559674
84992,0.000557834
85248,0.000556056
85504,0.000554706
85760,0.000552364
86016,0.00054991
86272,0.000547674
86528,0.000545951
86784,0.000543839
87040,0.000541944
87296,0.000540141
87552,0.000538441
87808,0.000536612
88064,0.000534375
88320,0.000532577
88576,0.000531081
88832,0.000529372
89088,0.000527145
89344,0.000524465
89600,0.000521573
89856,0.000519681
90112,0.000517095
90368,0.000514199
90624,0.00051168
90880,0.000509257
91136,0.000507047
91392,0.000493659
91648,0.000488665
91904,0.000482092
92160,0.000475582
92416,0.000471587
92672,0.000469759
92928,0.000467482
93184,0.000465863
93440,0.000464296
93696,0.000462198
93952,0.000460346
94208,0.000458025
94464,0.000456219
94720,0.00045434
94976,0.000452379
95232,0.000450499
95488,0.000449236
95744,0.000447546
96000,0.00044605
96256,0.000444137
96512,0.000442332
96768,0.000440475
97024,0.000438805
97280,0.000436963
97536,0.000434994
97792,0.000432941
98048,0.000431103
98304,0.000429586
98560,0.000428177
98816,0.000426757
99072,0.000424869
99328,0.000423458
99584,0.000421655
99840,0.00041974
100096,0.000417739
100352,0.000416012
100608,0.000413703
100864,0.000412613
101120,0.000410783
101376,0.000408555
101632,0.000406968
101888,0.000404675
102144,0.000402869
102400,0.000401119
102656,0.000399417
102912,0.00039776
103168,0.000395935
103424,0.000394155
103680,0.000392541
103936,0.000390237
104192,0.000387629
104448,0.000385652
104704,0.000383939
104960,0.000381774
105216,0.000379536
105472,0.0003779
105728,0.000375401
105984,0.000372931
106240,0.000368032
106496,0.000363353
106752,0.000357782
107008,0.000351401
107264,0.000345256
107520,0.000339862
107776,0.000334532
108032,0.000328047
108288,0.000322524
108544,0.000316592
108800,0.000310226
109056,0.000307505
109312,0.000306021
109568,0.000295335
109824,0.000290377
110080,0.000290047
110336,0.000289755
110592,0.000289587
110848,0.000289362
111104,0.000289148
111360,0.000288959
111616,0.00028853
111872,0.00028825
112128,0.000287917
112384,0.000287687
112640,0.000287324
112896,0.000286916
113152,0.000286695
113408,0.00028631
113664,0.000286003
113920,0.000285772
114176,0.000281673
114432,0.000269642
114688,0.000249666
114944,0.000141793
115200,0.000131912
115456,0.000131912
115712,0.000131912
115968,0.000131863
116224,0.000131863
116480,0.000131814
116736,0.000131814
116992,0.000131765
117248,0.000131765
117504,0.000131568
117760,0.000130832
118016,0.000130832
118272,0.000130832
118528,0.000130832
118784,0.000130783
119040,0.000130733
119296,0.000130733
119552,0.000130733
119808,0.000130733
120064,0.000130733
120320,0.000130606
120576,0.000130488
120832,0.000130488
121088,0.000130488
121344,0.000130488
121600,0.000130488
121856,0.000130488
122112,0.000130488
122368,0.000130439
122624,0.000130439
122880,0.000130439
123136,0.000130341
123392,0.000130341
123648,0.000130341
123904,0.000130341
124160,0.000130341
124416,0.000130341
124672,0.000130291
124928,0.000130291
125184,0.000130291
125440,0.000130291
125696,0.000130291
125952,0.000130291
126208,0.000130291
126464,0.000130291
126720,0.000130291
126976,0.000130291
127232,0.000130291
127488,0.000130291
127744,0.000130193
128000,0.000130193
128256,0.000121136
128512,0.000117289
128768,0.000115984
129024,0.000114991
129280,0.000112591
129536,0.000112172
129792,0.000111894
130048,0.000111498
130304,0.000111236
130560,0.00011104
130816,0.00011085
131072,0.000110768
131328,0.000110516
131584,0.000110343
131840,0.000110006
132096,0.000109766
132352,0.000109419
132608,0.000109272
132864,0.000107301
133120,0.000105196
133376,0.000104379
133632,0.000103868
133888,0.000103412
134144,0.000102623
134400,0.000102347
134656,0.000102004
134912,0.00010185
135168,0.000101568
135424,0.000101316
135680,0.000101056
135936,0.000100854
136192,0.000100609
136448,9.89394e-05
136704,9.06773e-05
136960,8.87047e-05
137216,1.18849e-05
137472,1.18849e-05
137728,1.18849e-05
137984,1.18358e-05
138240,1.18358e-05
138496,1.17867e-05
138752,1.17867e-05
