cache_lines,MRC
256,0.0227181
512,0.0184855
768,0.0158374
1024,0.0142107
1280,0.0129954
1536,0.0119634
1792,0.0110506
2048,0.0102016
2304,0.00938525
2560,0.00862222
2816,0.00791118
3072,0.00724102
3328,0.00660631
3584,0.0060078
3840,0.00546219
4096,0.00498475
4352,0.00456965
4608,0.00418955
4864,0.00385595
5120,0.00359918
5376,0.00338205
5632,0.00319965
5888,0.00302908
6144,0.00285859
6400,0.00268102
6656,0.00250444
6912,0.00232319
7168,0.00215274
7424,0.00196432
7680,0.00177193
7936,0.00167745
8192,0.00154558
8448,0.00148341
8704,0.00141018
8960,0.00137486
9216,0.00135722
9472,0.0013473
9728,0.00133873
9984,0.00133376
10240,0.00132852
10496,0.00122513
10752,0.0012204
11008,0.00121521
11264,0.00121047
11520,0.00120668
11776,0.0011991
12032,0.00118345
12288,0.0011693
12544,0.00115855
12800,0.00114794
13056,0.00114256
13312,0.00114052
13568,0.00113821
13824,0.00113536
14080,0.00113268
14336,0.00112933
14592,0.00112697
14848,0.00112559
15104,0.00112464
15360,0.00112354
15616,0.0011223
15872,0.00112048
16128,0.00111857
16384,0.00111706
16640,0.00111562
16896,0.00111428
17152,0.00111302
17408,0.001112
17664,0.00111101
17920,0.0011103
18176,0.00110945
18432,0.00110855
18688,0.00110748
18944,0.00110639
19200,0.00110553
19456,0.00110449
19712,0.00110347
19968,0.00110282
20224,0.00110201
20480,0.0011012
20736,0.00110035
20992,0.00109968
21248,0.00109879
21504,0.0010977
21760,0.00109696
22016,0.00109622
22272,0.00109556
22528,0.0010945
22784,0.00109361
23040,0.00109277
23296,0.00109204
23552,0.00109122
23808,0.00109046
24064,0.00108994
24320,0.0010892
24576,0.0010884
24832,0.00108772
25088,0.00108681
25344,0.00108598
25600,0.0010852
25856,0.00108425
26112,0.00108345
26368,0.00108284
26624,0.0010822
26880,0.00108165
27136,0.00108099
27392,0.00108027
27648,0.00107952
27904,0.00107896
28160,0.00107838
28416,0.00107784
28672,0.0010769
28928,0.00107613
29184,0.00107549
29440,0.00107478
29696,0.00107414
29952,0.00107355
30208,0.00107284
30464,0.00107201
30720,0.00107121
30976,0.00107025
31232,0.00106965
31488,0.00106883
31744,0.00106808
32000,0.00106729
32256,0.00106648
