cache_lines,MRC
256,0.00790836
512,0.00561237
768,0.00539203
1024,0.00530238
1280,0.00507745
1536,0.00472134
1792,0.00454983
2048,0.00441479
2304,0.00435061
2560,0.00428578
2816,0.00422725
3072,0.00417307
3328,0.00411351
3584,0.00404496
3840,0.00399634
4096,0.00394798
4352,0.00389589
4608,0.00384125
4864,0.00381354
5120,0.00370418
5376,0.00367511
5632,0.0036622
5888,0.00364715
6144,0.00362082
6400,0.00361085
6656,0.00360351
6912,0.00359718
7168,0.00358858
7424,0.00358112
7680,0.00357076
7936,0.00356019
8192,0.00355067
8448,0.00354171
8704,0.00353218
8960,0.00351886
9216,0.00350792
9472,0.00349797
9728,0.00348798
9984,0.00347457
10240,0.00345665
10496,0.00344352
10752,0.00343236
11008,0.00342033
11264,0.003409
11520,0.0033939
11776,0.00338019
12032,0.00336672
12288,0.00335285
12544,0.00333888
12800,0.00332447
13056,0.00331058
13312,0.00329696
13568,0.003282
13824,0.00326579
14080,0.00325011
14336,0.00323743
14592,0.00322264
14848,0.00320706
15104,0.00319101
15360,0.00317479
15616,0.00315922
15872,0.00314173
16128,0.00312129
16384,0.0031005
16640,0.00308044
16896,0.00306002
17152,0.00303816
17408,0.00301591
17664,0.00299841
17920,0.00297942
18176,0.00296074
18432,0.00293861
18688,0.00291612
18944,0.00289218
19200,0.00286661
19456,0.00284145
19712,0.00281703
19968,0.00279219
20224,0.00276681
20480,0.00273965
20736,0.00271608
20992,0.00269351
21248,0.00266884
21504,0.00264102
21760,0.00261412
22016,0.002585
22272,0.0025574
22528,0.00252876
22784,0.00250024
23040,0.00247526
23296,0.00244231
23552,0.00241492
23808,0.00239005
24064,0.00236174
24320,0.00232923
24576,0.00229677
24832,0.00226202
25088,0.00223058
25344,0.00219852
25600,0.00216538
25856,0.00213023
26112,0.00210146
26368,0.00206983
26624,0.00203596
26880,0.00199965
27136,0.00196144
27392,0.00192045
27648,0.00188217
27904,0.00184481
28160,0.00180871
28416,0.00177554
28672,0.00173712
28928,0.00169457
29184,0.00164736
29440,0.00160209
29696,0.00155668
29952,0.00150932
30208,0.00146772
30464,0.00142175
30720,0.00137154
30976,0.00131297
31232,0.00125872
31488,0.00120781
31744,0.00115452
32000,0.00109519
32256,0.00103193
32512,0.000964671
32768,0.000906638
33024,0.000835807
33280,0.00076211
33536,0.000700363
33792,0.00063447
34048,0.000563727
34304,0.000505917
34560,0.00044583
34816,0.000401428
35072,0.000345699
35328,0.000272096
35584,0.000180442
35840,0.000157083
36096,0.00015354
36352,0.00015278
36608,0.000152451
36864,0.000152165
37120,0.000152046
37376,0.000151592
37632,0.000149668
37888,0.000146561
38144,0.000143299
38400,0.000139788
38656,0.000137691
38912,0.000135225
39168,0.000132904
39424,0.000131485
39680,0.000130006
39936,0.000129636
40192,0.000129493
40448,0.000129327
40704,0.00012892
40960,0.000128872
41216,0.000128729
41472,0.000128586
41728,0.000128538
41984,0.000128538
42240,0.000128443
42496,0.000128443
42752,0.000128252
43008,0.000128061
43264,0.000127975
43520,0.000127965
43776,0.000127918
44032,0.000127918
44288,0.000127774
44544,0.000127727
44800,0.000127631
45056,0.000127536
45312,0.000127491
45568,0.000127393
45824,0.000127345
46080,0.000127345
46336,0.000127249
46592,0.000127106
46848,0.000127058
47104,0.000126931
47360,0.00012682
47616,0.000126772
47872,0.000126486
48128,0.000126486
48384,0.000126438
48640,0.000126154
48896,0.000125975
49152,0.000125822
49408,0.000125462
49664,0.000124809
49920,0.000122261
50176,0.000120476
50432,0.000119517
50688,0.000119517
50944,0.000119326
51200,0.000119231
51456,0.000119231
51712,0.000119038
51968,0.000118842
52224,0.000118109
52480,0.00011778
52736,0.000117604
52992,0.000117512
53248,0.000117287
53504,0.000117079
53760,0.000116825
54016,0.000116388
54272,0.000115642
54528,0.000114959
54784,0.000114501
55040,0.000113929
55296,0.000113361
55552,0.000112313
55808,0.000111398
56064,0.000109715
56320,0.000107738
56576,0.000106279
56832,0.000105108
57088,0.000104392
57344,0.000103114
57600,0.000101624
57856,9.97863e-05
58112,9.77304e-05
58368,9.59943e-05
58624,9.54116e-05
58880,9.51133e-05
59136,9.47927e-05
59392,9.45148e-05
59648,9.44056e-05
59904,9.41722e-05
60160,9.41495e-05
60416,9.41245e-05
60672,9.40432e-05
60928,9.4029e-05
61184,9.39699e-05
61440,9.38858e-05
61696,9.38075e-05
61952,9.36949e-05
62208,9.36441e-05
62464,9.35995e-05
62720,9.35995e-05
62976,9.35995e-05
63232,9.35995e-05
63488,9.35446e-05
63744,9.3504e-05
64000,9.34563e-05
64256,9.34563e-05
64512,9.34563e-05
64768,9.34563e-05
65024,9.34563e-05
65280,9.34563e-05
65536,9.34563e-05
65792,9.33131e-05
66048,9.33131e-05
66304,9.31069e-05
66560,9.30267e-05
66816,9.29247e-05
67072,9.28835e-05
67328,9.28441e-05
67584,9.2788e-05
67840,9.27797e-05
68096,9.26449e-05
68352,9.26449e-05
68608,9.26449e-05
68864,9.26449e-05
69120,9.26449e-05
69376,9.25113e-05
69632,9.25017e-05
69888,9.25017e-05
70144,9.25017e-05
70400,9.25017e-05
70656,9.24539e-05
70912,9.24539e-05
71168,9.23585e-05
71424,9.23107e-05
71680,9.2263e-05
71936,9.22153e-05
72192,9.22153e-05
72448,9.21862e-05
72704,9.21552e-05
72960,9.21198e-05
73216,9.21198e-05
73472,9.21198e-05
73728,9.21198e-05
73984,9.21198e-05
74240,9.20721e-05
74496,9.20721e-05
74752,9.20244e-05
75008,9.20244e-05
75264,9.20244e-05
75520,9.19766e-05
75776,9.19289e-05
76032,9.18812e-05
76288,9.18812e-05
76544,9.18812e-05
76800,9.18334e-05
77056,9.1738e-05
77312,9.1738e-05
77568,9.16902e-05
77824,9.16902e-05
78080,9.16425e-05
78336,9.16425e-05
78592,9.15948e-05
78848,9.15948e-05
79104,9.15948e-05
79360,9.15786e-05
79616,9.14516e-05
79872,9.14516e-05
80128,9.12917e-05
80384,9.12607e-05
80640,9.12273e-05
80896,9.10814e-05
81152,9.1022e-05
81408,9.1022e-05
81664,9.1022e-05
81920,9.09266e-05
82176,9.09266e-05
82432,9.09266e-05
82688,9.08788e-05
82944,9.08788e-05
83200,9.08788e-05
83456,9.08205e-05
83712,9.07834e-05
83968,9.07356e-05
84224,9.06402e-05
84480,9.06402e-05
84736,9.05924e-05
84992,9.05744e-05
85248,9.05447e-05
85504,9.05447e-05
85760,9.05447e-05
86016,9.05447e-05
86272,9.05037e-05
86528,9.0497e-05
86784,9.0497e-05
87040,9.0497e-05
87296,9.0466e-05
87552,9.04159e-05
87808,9.03538e-05
88064,9.03538e-05
88320,9.02583e-05
88576,9.01629e-05
88832,9.01629e-05
89088,9.01629e-05
89344,9.01629e-05
89600,9.00676e-05
89856,9.00028e-05
90112,8.99381e-05
90368,8.98765e-05
90624,8.98765e-05
90880,8.9839e-05
91136,8.98219e-05
91392,8.9757e-05
91648,8.97333e-05
91904,8.97226e-05
92160,8.96856e-05
92416,8.96856e-05
92672,8.96856e-05
92928,8.96856e-05
93184,8.96378e-05
93440,8.96378e-05
93696,8.96378e-05
93952,8.95901e-05
94208,8.95901e-05
94464,8.95901e-05
94720,8.95424e-05
94976,8.94883e-05
95232,8.9358e-05
95488,8.9256e-05
95744,8.9256e-05
96000,8.91605e-05
96256,8.91413e-05
96512,8.91128e-05
96768,8.91128e-05
97024,8.91128e-05
97280,8.90285e-05
97536,8.89696e-05
97792,8.89696e-05
98048,8.89219e-05
98304,8.88742e-05
98560,8.88385e-05
98816,8.87787e-05
99072,8.87787e-05
99328,8.87371e-05
99584,8.86237e-05
99840,8.85579e-05
100096,8.854e-05
100352,8.85218e-05
100608,8.84923e-05
100864,8.84923e-05
101120,8.84674e-05
101376,8.84446e-05
101632,8.83834e-05
101888,8.83491e-05
102144,8.83491e-05
102400,8.83491e-05
102656,8.83105e-05
102912,8.81582e-05
103168,8.81307e-05
103424,8.81105e-05
103680,8.81105e-05
103936,8.81105e-05
104192,8.81048e-05
104448,8.80627e-05
104704,8.80627e-05
104960,8.8015e-05
105216,8.8015e-05
105472,8.79673e-05
105728,8.79673e-05
105984,8.79673e-05
106240,8.79673e-05
106496,8.79673e-05
106752,8.792e-05
107008,8.79195e-05
