cache_lines,MRC
256,0.0223653
512,0.0173228
768,0.0165427
1024,0.016225
1280,0.0153343
1536,0.0145517
1792,0.0141068
2048,0.0138075
2304,0.0135874
2560,0.013388
2816,0.0132073
3072,0.0130226
3328,0.0128004
3584,0.0126356
3840,0.0124908
4096,0.0123325
4352,0.0121735
4608,0.0120469
4864,0.0119443
5120,0.0116189
5376,0.0115735
5632,0.0115479
5888,0.0114613
6144,0.0114191
6400,0.0113926
6656,0.0113719
6912,0.0113416
7168,0.0113199
7424,0.0112912
7680,0.0112561
7936,0.0112226
8192,0.0111951
8448,0.0111628
8704,0.0111299
8960,0.0110957
9216,0.0110493
9472,0.0110097
9728,0.0109693
9984,0.0109202
10240,0.0108767
10496,0.0108449
10752,0.0108019
11008,0.0107603
11264,0.0107146
11520,0.0106743
11776,0.0106281
12032,0.0105866
12288,0.0105394
12544,0.0104946
12800,0.0104462
13056,0.0103971
13312,0.0103463
13568,0.0103014
13824,0.0102502
14080,0.0102028
14336,0.0101546
14592,0.0101052
14848,0.0100483
15104,0.0099952
15360,0.0099399
15616,0.00987788
15872,0.00981538
16128,0.00975191
16384,0.00968506
16640,0.00961539
16896,0.00954795
17152,0.00947935
17408,0.00941472
17664,0.00935322
17920,0.00928468
18176,0.00920553
18432,0.00913346
18688,0.00905668
18944,0.00898206
19200,0.00890559
19456,0.00883538
19712,0.00875488
19968,0.00868006
20224,0.00860345
20480,0.00852949
20736,0.00845299
20992,0.0083766
21248,0.00828069
21504,0.0081874
21760,0.00809797
22016,0.00800099
22272,0.00791518
22528,0.00783352
22784,0.0077471
23040,0.0076531
23296,0.0075621
23552,0.00746574
23808,0.00736722
24064,0.00725821
24320,0.00715422
24576,0.00705454
24832,0.00695155
25088,0.00685894
25344,0.00675983
25600,0.00665724
25856,0.00657163
26112,0.00646162
26368,0.00634087
26624,0.00622659
26880,0.00610889
27136,0.00598882
27392,0.00587032
27648,0.00574607
27904,0.00563372
28160,0.00551163
28416,0.00537229
28672,0.00522804
28928,0.00508581
29184,0.00494996
29440,0.00480709
29696,0.00466655
29952,0.00451078
30208,0.00435251
30464,0.00418213
30720,0.0040069
30976,0.00385064
31232,0.0036901
31488,0.00350198
31744,0.00329633
32000,0.00309433
32256,0.00289656
32512,0.00268139
32768,0.00244749
33024,0.00223797
33280,0.00202168
33536,0.00179952
33792,0.00161479
34048,0.00142778
34304,0.00128364
34560,0.00111013
34816,0.000887436
35072,0.000616235
35328,0.000552221
35584,0.000536558
35840,0.000534065
36096,0.000532394
36352,0.000531568
36608,0.000529764
36864,0.000525883
37120,0.000518514
37376,0.0005076
37632,0.000495989
37888,0.000476686
38144,0.000458423
38400,0.000447453
38656,0.000440061
38912,0.000436376
39168,0.000433611
39424,0.000432843
39680,0.000432689
39936,0.000431614
40192,0.000430385
