reuse_time,counts
1,2808868
2,2459866
3,1994165
4,895329
5,653451
6,456612
7,363772
8,271404
9,193385
10,138123
11,109364
12,94101
13,82547
14,71554
15,62302
16,54708
17,49104
18,45539
19,42752
20,40058
21,36906
22,34650
23,33975
24,34760
25,36545
26,41255
27,46538
28,52735
29,60607
30,67605
31,73660
32,76918
33,77000
34,73985
35,67943
36,59194
37,50184
38,40843
39,32925
40,26845
41,23041
42,19644
43,18061
44,17118
45,16503
46,15892
47,15680
48,15537
49,14998
50,14733
51,14328
52,13906
53,13421
54,12570
55,12002
56,11555
57,11029
58,10562
59,10185
60,9758
61,9530
62,9372
63,9538
64,9426
65,9268
66,9420
67,9399
68,9480
69,9389
70,9214
71,8995
72,8867
73,8488
74,8319
75,7953
76,7709
77,7486
78,7350
79,7089
80,6852
81,6521
82,6186
83,5826
84,5601
85,5096
86,4749
87,4474
88,4299
89,3917
90,3672
91,3484
92,3337
93,3164
94,3069
95,3038
96,3024
97,3011
98,3006
99,3011
100,3169
101,3151
102,3311
103,3370
104,3496
105,3546
106,3786
107,3978
108,4031
109,4051
110,4327
111,4296
112,4472
113,4351
114,4457
115,4508
116,4384
117,4503
118,4395
119,4246
120,4336
121,4142
122,4156
123,4094
124,4023
125,3922
126,3990
127,3892
128,4047
129,4115
130,4114
131,4306
132,4351
133,4522
134,4626
135,4859
136,4926
137,5188
138,5353
139,5428
140,5656
141,5912
142,6128
143,6091
144,6388
145,6337
146,6211
147,6274
148,6101
149,6117
150,5951
151,5792
152,5693
153,5404
154,5193
155,5121
156,4759
157,4563
158,4441
159,4394
160,4150
161,4100
162,4101
163,3883
164,3806
165,3666
166,3517
167,3541
168,3563
169,3367
170,3296
171,3190
172,3062
173,3047
174,2929
175,2991
176,2934
177,2727
178,2635
179,2657
180,2640
181,2658
182,2629
183,2568
184,2458
185,2426
186,2401
187,2294
188,2211
189,2166
190,2135
191,1954
192,1904
193,1778
194,1692
195,1642
196,1509
197,1460
198,1320
199,1248
200,1148
201,1122
202,1074
203,958
204,961
205,917
206,858
207,839
208,808
209,814
210,767
211,755
212,764
213,791
214,781
215,815
216,797
217,819
218,838
219,817
220,815
221,819
222,921
223,826
224,788
225,833
226,802
227,821
228,812
229,760
230,779
231,732
232,739
233,728
234,665
235,644
236,694
237,671
238,659
239,625
240,611
241,609
242,604
243,560
244,609
245,596
246,607
247,532
248,547
249,510
250,541
251,548
252,555
253,565
254,591
255,564
256,553
258,1152
260,1116
262,1129
264,1069
266,1071
268,1059
270,1088
272,1007
274,972
276,966
278,1027
280,895
282,1015
284,964
286,1021
288,1063
290,1108
292,1169
294,1218
296,1286
298,1378
300,1465
302,1503
304,1608
306,1659
308,1684
310,1752
312,1782
314,1774
316,1795
318,1775
320,1761
322,1722
324,1797
326,1831
328,1896
330,1835
332,1879
334,1884
336,2070
338,2040
340,1994
342,2024
344,2157
346,2068
348,2173
350,2114
352,2137
354,2032
356,2069
358,2071
360,1868
362,1800
364,1695
366,1655
368,1562
370,1523
372,1313
374,1318
376,1237
378,1159
380,1147
382,1000
384,975
386,930
388,927
390,853
392,763
394,784
396,766
398,698
400,671
402,637
404,636
406,618
408,669
410,612
412,583
414,568
416,600
418,609
420,604
422,621
424,631
426,666
428,691
430,714
432,770
434,790
436,888
438,876
440,917
442,1052
444,1126
446,1146
448,1176
450,1277
452,1267
454,1292
456,1312
458,1274
460,1260
462,1281
464,1194
466,1167
468,1064
470,1056
472,933
474,851
476,871
478,803
480,797
482,839
484,822
486,800
488,805
490,818
492,865
494,932
496,968
498,1054
500,1148
502,1338
504,1441
506,1650
508,1801
510,2093
512,2310
514,2544
516,2927
518,3188
520,3509
522,3804
524,4168
526,4540
528,4877
530,4979
532,5134
534,5433
536,5562
538,5556
540,5481
542,5390
544,5372
546,5383
548,5146
550,5051
552,5064
554,4773
556,4758
558,4651
560,4516
562,4468
564,4582
566,4474
568,4542
570,4565
572,4590
574,4590
576,4703
578,4909
580,4943
582,4945
584,5148
586,5316
588,5411
590,5523
592,5590
594,5731
596,5821
598,5564
600,5475
602,5515
604,5338
606,5296
608,4965
610,4787
612,4484
614,4147
616,3825
618,3484
620,3088
622,2708
624,2432
626,2058
628,1882
630,1617
632,1369
634,1279
636,1178
638,1035
640,913
642,891
644,836
646,802
648,752
650,798
652,759
654,768
656,767
658,829
660,760
662,813
664,802
666,872
668,878
670,849
672,901
674,905
676,919
678,839
680,878
682,898
684,920
686,930
688,935
690,847
692,852
694,867
696,856
698,863
700,760
702,770
704,773
706,794
708,739
710,746
712,757
714,706
716,742
718,683
720,650
722,660
724,635
726,664
728,637
730,629
732,634
734,623
736,609
738,537
740,604
742,585
744,572
746,579
748,520
750,594
752,523
754,469
756,529
758,501
760,481
762,550
764,486
766,483
768,476
772,990
776,996
780,994
784,1053
788,1105
792,1134
796,1114
800,1198
804,1266
808,1191
812,1248
816,1246
820,1217
824,1193
828,1176
832,1168
836,1099
840,1128
844,1170
848,1136
852,1059
856,1022
860,934
864,862
868,924
872,958
876,835
880,848
884,882
888,936
892,973
896,977
900,1006
904,961
908,1035
912,1090
916,1089
920,1066
924,1024
928,976
932,941
936,929
940,830
944,805
948,713
952,647
956,658
960,612
964,620
968,609
972,586
976,616
980,560
984,601
988,587
992,573
996,633
1000,658
1004,619
1008,631
1012,657
1016,622
1020,653
1024,622
1028,655
1032,659
1036,615
1040,605
1044,649
1048,617
1052,602
1056,594
1060,562
1064,544
1068,490
1072,515
1076,535
1080,553
1084,535
1088,543
1092,664
1096,674
1100,800
1104,911
1108,1117
1112,1352
1116,1602
1120,1947
1124,2271
1128,2876
1132,3364
1136,3848
1140,4377
1144,4991
1148,5365
1152,6028
1156,6575
1160,7374
1164,7796
1168,8344
1172,8683
1176,9350
1180,9595
1184,9932
1188,9668
1192,9595
1196,9316
1200,8975
1204,8264
1208,7589
1212,6749
1216,5822
1220,5045
1224,4159
1228,3507
1232,2804
1236,2234
1240,1713
1244,1290
1248,1006
1252,762
1256,610
1260,506
1264,391
1268,380
1272,338
1276,295
1280,295
1284,314
1288,284
1292,333
1296,294
1300,362
1304,352
1308,341
1312,368
1316,411
1320,398
1324,446
1328,415
1332,453
1336,457
1340,435
1344,462
1348,474
1352,458
1356,406
1360,403
1364,398
1368,353
1372,365
1376,325
1380,349
1384,305
1388,308
1392,302
1396,328
1400,283
1404,325
1408,316
1412,356
1416,416
1420,454
1424,493
1428,530
1432,585
1436,584
1440,728
1444,701
1448,742
1452,793
1456,808
1460,763
1464,784
1468,786
1472,800
1476,715
1480,687
1484,649
1488,630
1492,613
1496,533
1500,517
1504,501
1508,498
1512,435
1516,444
1520,462
1524,406
1528,376
1532,350
1536,359
1540,329
1544,307
1548,278
1552,243
1556,267
1560,273
1564,185
1568,198
1572,192
1576,187
1580,199
1584,198
1588,185
1592,172
1596,194
1600,173
1604,161
1608,162
1612,168
1616,192
1620,156
1624,157
1628,160
1632,152
1636,159
1640,160
1644,144
1648,162
1652,139
1656,150
1660,158
1664,129
1668,163
1672,127
1676,132
1680,153
1684,155
1688,152
1692,145
1696,154
1700,152
1704,172
1708,171
1712,141
1716,155
1720,167
1724,190
1728,186
1732,216
1736,225
1740,236
1744,283
1748,317
1752,346
1756,390
1760,430
1764,480
1768,578
1772,658
1776,754
1780,833
1784,937
1788,950
1792,1065
1800,2484
1808,2541
1816,2592
1824,2403
1832,2076
1840,1693
1848,1231
1856,930
1864,620
1872,461
1880,342
1888,233
1896,209
1904,205
1912,212
1920,194
1928,210
1936,246
1944,285
1952,283
1960,236
1968,219
1976,234
1984,211
1992,182
2000,173
2008,170
2016,166
2024,152
2032,151
2040,137
2048,123
2056,167
2064,156
2072,185
2080,158
2088,182
2096,238
2104,238
2112,243
2120,262
2128,251
2136,271
2144,300
2152,281
2160,276
2168,268
2176,230
2184,228
2192,188
2200,183
2208,165
2216,138
2224,115
2232,120
2240,110
2248,130
2256,130
2264,142
2272,137
2280,188
2288,185
2296,182
2304,221
2312,231
2320,250
2328,278
2336,318
2344,309
2352,367
2360,359
2368,403
2376,461
2384,492
2392,552
2400,585
2408,584
2416,592
2424,613
2432,523
2440,493
2448,414
2456,344
2464,303
2472,244
2480,217
2488,232
2496,199
2504,183
2512,174
2520,144
2528,133
2536,124
2544,126
2552,118
2560,107
2568,99
2576,82
2584,96
2592,93
2600,116
2608,88
2616,124
2624,131
2632,125
2640,151
2648,164
2656,163
2664,178
2672,139
2680,151
2688,144
2696,162
2704,161
2712,152
2720,149
2728,191
2736,183
2744,181
2752,175
2760,183
2768,172
2776,161
2784,137
2792,155
2800,131
2808,178
2816,163
2824,154
2832,132
2840,139
2848,116
2856,127
2864,107
2872,100
2880,82
2888,72
2896,74
2904,85
2912,94
2920,74
2928,65
2936,87
2944,82
2952,99
2960,112
2968,135
2976,149
2984,131
2992,200
3000,208
3008,208
3016,217
3024,225
3032,198
3040,201
3048,155
3056,155
3064,153
3072,133
3080,119
3088,111
3096,100
3104,77
3112,96
3120,84
3128,60
3136,75
3144,59
3152,69
3160,55
3168,52
3176,68
3184,60
3192,66
3200,64
3208,74
3216,77
3224,74
3232,85
3240,88
3248,102
3256,103
3264,98
3272,100
3280,87
3288,116
3296,119
3304,97
3312,99
3320,111
3328,88
3336,74
3344,77
3352,73
3360,79
3368,75
3376,69
3384,76
3392,95
3400,63
3408,84
3416,82
3424,83
3432,88
3440,81
3448,90
3456,86
3464,60
3472,68
3480,76
3488,73
3496,52
3504,66
3512,54
3520,65
3528,56
3536,72
3544,59
3552,76
3560,79
3568,94
3576,107
3584,95
3592,103
3600,95
3608,108
3616,112
3624,122
3632,107
3640,122
3648,131
3656,119
3664,99
3672,96
3680,92
3688,79
3696,85
3704,65
3712,59
3720,73
3728,80
3736,43
3744,70
3752,48
3760,42
3768,36
3776,63
3784,57
3792,66
3800,74
3808,64
3816,81
3824,79
3832,90
3840,131
3856,314
3872,456
3888,545
3904,581
3920,619
3936,493
3952,408
3968,300
3984,228
4000,160
4016,120
4032,126
4048,128
4064,150
4080,148
4096,157
4112,143
4128,170
4144,149
4160,143
4176,178
4192,158
4208,177
4224,158
4240,139
4256,160
4272,184
4288,196
4304,188
4320,219
4336,249
4352,257
4368,336
4384,319
4400,358
4416,335
4432,326
4448,293
4464,301
4480,299
4496,256
4512,239
4528,214
4544,209
4560,197
4576,203
4592,217
4608,196
4624,194
4640,206
4656,184
4672,186
4688,160
4704,199
4720,182
4736,170
4752,190
4768,188
4784,201
4800,200
4816,200
4832,196
4848,191
4864,204
4880,186
4896,185
4912,170
4928,150
4944,189
4960,189
4976,151
4992,185
5008,151
5024,156
5040,187
5056,162
5072,170
5088,144
5104,175
5120,175
5136,184
5152,172
5168,177
5184,190
5200,176
5216,203
5232,187
5248,166
5264,180
5280,179
5296,194
5312,192
5328,188
5344,172
5360,186
5376,167
5392,179
5408,168
5424,169
5440,189
5456,175
5472,170
5488,162
5504,142
5520,149
5536,151
5552,144
5568,165
5584,151
5600,165
5616,192
5632,160
5648,166
5664,170
5680,159
5696,146
5712,158
5728,152
5744,136
5760,162
5776,167
5792,192
5808,244
5824,284
