reuse_time,counts
1,1499705
2,982423
3,617182
4,385119
5,257266
6,178026
7,130299
8,101484
9,83811
10,73139
11,67042
12,65779
13,65455
14,67243
15,66633
16,64943
17,60950
18,55024
19,48163
20,40961
21,35626
22,30180
23,26531
24,23670
25,21711
26,20592
27,19788
28,19121
29,18839
30,18495
31,17983
32,17350
33,16794
34,16090
35,15241
36,14279
37,13268
38,12106
39,11221
40,10527
41,9891
42,9130
43,8640
44,8290
45,7999
46,7501
47,7671
48,7613
49,7496
50,7442
51,7326
52,7463
53,7161
54,7241
55,7372
56,7206
57,7202
58,7112
59,7207
60,7229
61,7372
62,7428
63,7572
64,7714
65,7629
66,7830
67,8085
68,8124
69,8079
70,8049
71,8064
72,7932
73,7895
74,7743
75,7501
76,7315
77,6970
78,6652
79,6586
80,6472
81,6045
82,5734
83,5519
84,5173
85,4939
86,4789
87,4503
88,4264
89,3884
90,3864
91,3620
92,3391
93,3294
94,3044
95,2962
96,2682
97,2664
98,2438
99,2480
100,2305
101,2072
102,2118
103,2055
104,1917
105,1886
106,1835
107,1748
108,1759
109,1657
110,1657
111,1626
112,1561
113,1529
114,1484
115,1523
116,1391
117,1390
118,1384
119,1374
120,1322
121,1401
122,1363
123,1233
124,1314
125,1294
126,1340
127,1311
128,1301
129,1262
130,1254
131,1222
132,1241
133,1310
134,1372
135,1237
136,1300
137,1311
138,1293
139,1358
140,1395
141,1379
142,1392
143,1345
144,1365
145,1387
146,1383
147,1362
148,1450
149,1459
150,1495
151,1443
152,1496
153,1547
154,1537
155,1553
156,1529
157,1509
158,1627
159,1558
160,1564
161,1602
162,1541
163,1617
164,1505
165,1631
166,1576
167,1529
168,1584
169,1513
170,1517
171,1461
172,1418
173,1397
174,1413
175,1341
176,1270
177,1322
178,1267
179,1202
180,1156
181,1174
182,1126
183,1096
184,1048
185,1000
186,952
187,940
188,949
189,962
190,908
191,814
192,851
193,807
194,820
195,852
196,849
197,794
198,788
199,803
200,828
201,770
202,784
203,799
204,772
205,797
206,832
207,827
208,865
209,804
210,831
211,896
212,849
213,906
214,844
215,936
216,885
217,860
218,928
219,909
220,903
221,962
222,965
223,960
224,984
225,1038
226,1027
227,1040
228,1035
229,1158
230,1158
231,1272
232,1289
233,1287
234,1303
235,1468
236,1586
237,1624
238,1736
239,1866
240,1978
241,2062
242,2180
243,2356
244,2514
245,2609
246,2725
247,2876
248,2938
249,3182
250,3342
251,3527
252,3594
253,3674
254,3749
255,3791
256,3992
258,8213
260,8446
262,8562
264,8548
266,8539
268,8603
270,8619
272,8224
274,8146
276,7734
278,7486
280,7062
282,6590
284,6284
286,6051
288,5473
290,4994
292,4593
294,4242
296,3799
298,3372
300,3077
302,2827
304,2669
306,2277
308,2124
310,2019
312,1869
314,1861
316,1694
318,1685
320,1540
322,1552
324,1474
326,1455
328,1475
330,1438
332,1446
334,1382
336,1398
338,1308
340,1381
342,1327
344,1323
346,1265
348,1311
350,1231
352,1233
354,1258
356,1151
358,1203
360,1100
362,1106
364,1172
366,1072
368,1052
370,1054
372,1074
374,1046
376,1068
378,1045
380,1079
382,1104
384,1050
386,1046
388,1063
390,1046
392,1047
394,1075
396,1082
398,1038
400,960
402,1021
404,956
406,1004
408,957
410,920
412,955
414,909
416,916
418,903
420,890
422,834
424,850
426,815
428,798
430,809
432,822
434,738
436,747
438,781
440,728
442,716
444,693
446,697
448,641
450,710
452,675
454,663
456,700
458,683
460,596
462,632
464,635
466,648
468,614
470,682
472,659
474,635
476,650
478,659
480,668
482,655
484,694
486,642
488,689
490,652
492,648
494,713
496,676
498,762
500,764
502,785
504,812
506,888
508,918
510,974
512,1018
514,1056
516,1251
518,1314
520,1468
522,1569
524,1768
526,2036
528,2216
530,2396
532,2668
534,2896
536,3143
538,3509
540,3767
542,4051
544,4300
546,4649
548,4834
550,4984
552,5228
554,5475
556,5462
558,5752
560,5843
562,5713
564,5738
566,5662
568,5781
570,5556
572,5387
574,5160
576,5047
578,4617
580,4288
582,4069
584,3790
586,3464
588,3230
590,2882
592,2672
594,2385
596,2129
598,1927
600,1723
602,1473
604,1311
606,1151
608,1022
610,880
612,787
614,701
616,631
618,582
620,516
622,472
624,449
626,453
628,451
630,443
632,438
634,396
636,419
638,389
640,410
642,377
644,366
646,357
648,404
650,393
652,374
654,450
656,433
658,373
660,428
662,415
664,413
666,438
668,432
670,473
672,458
674,488
676,499
678,486
680,523
682,507
684,578
686,595
688,602
690,593
692,563
694,607
696,605
698,624
700,573
702,569
704,554
706,556
708,533
710,505
712,522
714,516
716,498
718,490
720,443
722,428
724,377
726,394
728,390
730,334
732,316
734,330
736,293
738,337
740,276
742,287
744,300
746,244
748,232
750,239
752,223
754,238
756,238
758,192
760,211
762,178
764,198
766,187
768,198
772,338
776,388
780,367
784,374
788,370
792,372
796,372
800,370
804,421
808,452
812,514
816,531
820,613
824,736
828,775
832,893
836,922
840,1087
844,1215
848,1252
852,1381
856,1361
860,1396
864,1381
868,1334
872,1238
876,1210
880,1146
884,970
888,917
892,785
896,681
900,605
904,543
908,443
912,391
916,358
920,296
924,276
928,256
932,277
936,252
940,218
944,242
948,188
952,240
956,196
960,198
964,211
968,191
972,191
976,194
980,207
984,194
988,244
992,234
996,212
1000,226
1004,218
1008,240
1012,238
1016,239
1020,242
1024,246
1028,259
1032,235
1036,221
1040,236
1044,230
1048,210
1052,229
1056,231
1060,213
1064,219
1068,237
1072,245
1076,263
1080,287
1084,315
1088,334
1092,372
1096,377
1100,448
1104,521
1108,514
1112,594
1116,586
1120,627
1124,700
1128,636
1132,722
1136,743
1140,756
1144,691
1148,719
1152,734
1156,682
1160,646
1164,619
1168,556
1172,494
1176,454
1180,455
1184,393
1188,348
1192,310
1196,268
1200,260
1204,210
1208,196
1212,169
1216,167
1220,160
1224,138
1228,144
1232,160
1236,107
1240,120
1244,149
1248,140
1252,146
1256,162
1260,125
1264,143
1268,142
1272,133
1276,134
1280,133
1284,134
1288,148
1292,142
1296,143
1300,135
1304,147
1308,153
1312,165
1316,114
1320,164
1324,139
1328,138
1332,122
1336,122
1340,147
1344,132
1348,125
1352,138
1356,139
1360,130
1364,137
1368,125
1372,142
1376,135
1380,133
1384,173
1388,170
1392,197
1396,194
1400,179
1404,201
1408,224
1412,238
1416,212
1420,270
1424,268
1428,269
1432,273
1436,301
1440,265
1444,258
1448,259
1452,274
1456,234
1460,205
1464,205
1468,196
1472,176
1476,172
1480,149
1484,141
1488,143
1492,109
1496,116
1500,80
1504,102
1508,98
1512,87
1516,91
1520,75
1524,74
1528,82
1532,85
1536,86
1540,83
1544,65
1548,84
1552,74
1556,72
1560,72
1564,80
1568,88
1572,77
1576,88
1580,89
1584,84
1588,87
1592,77
1596,80
1600,73
1604,96
1608,84
1612,81
1616,91
1620,94
1624,87
1628,102
1632,104
1636,93
1640,115
1644,106
1648,106
1652,98
1656,118
1660,120
1664,129
1668,141
1672,154
1676,147
1680,156
1684,191
1688,146
1692,183
1696,180
1700,169
1704,234
1708,206
1712,214
1716,224
1720,222
1724,217
1728,239
1732,217
1736,214
1740,194
1744,170
1748,167
1752,178
1756,196
1760,160
1764,137
1768,129
1772,133
1776,121
1780,103
1784,102
1788,92
1792,111
1800,213
1808,230
1816,272
1824,272
1832,307
1840,358
1848,363
1856,390
1864,430
1872,421
1880,346
1888,332
1896,321
1904,283
1912,256
1920,233
1928,178
1936,175
1944,169
1952,173
1960,191
1968,207
1976,219
1984,242
1992,257
2000,264
2008,234
2016,261
2024,290
2032,245
2040,249
2048,215
2056,261
2064,246
2072,211
2080,234
2088,258
2096,239
2104,232
2112,242
2120,251
2128,221
2136,220
2144,218
2152,206
2160,216
2168,179
2176,208
2184,186
2192,218
2200,197
2208,177
2216,178
2224,193
2232,228
2240,191
2248,217
2256,209
2264,221
2272,237
2280,239
2288,235
2296,231
2304,228
2312,222
2320,213
2328,214
2336,194
2344,184
2352,183
2360,163
2368,159
2376,145
2384,141
2392,164
2400,137
2408,148
2416,121
2424,137
2432,129
2440,156
2448,167
2456,171
2464,173
2472,149
2480,166
2488,145
2496,165
2504,177
2512,148
2520,179
2528,171
2536,176
2544,180
2552,168
2560,194
2568,221
2576,176
2584,182
2592,192
2600,181
2608,198
2616,173
2624,176
2632,178
2640,154
2648,136
2656,166
2664,169
2672,129
2680,133
2688,123
2696,122
2704,151
2712,146
2720,156
2728,160
2736,185
2744,194
2752,206
2760,212
2768,236
2776,227
2784,217
2792,190
2800,243
2808,242
2816,265
2824,226
2832,218
2840,217
2848,189
2856,212
2864,178
2872,172
2880,155
2888,172
2896,149
2904,147
2912,122
2920,123
2928,118
2936,119
2944,110
2952,122
2960,100
2968,98
2976,82
2984,104
2992,95
3000,93
3008,98
3016,85
3024,84
3032,89
3040,101
3048,96
3056,108
3064,92
3072,98
3080,93
3088,121
3096,97
3104,112
3112,110
3120,108
3128,91
3136,115
3144,144
3152,127
3160,119
3168,133
3176,136
3184,129
3192,112
3200,113
3208,114
3216,109
3224,89
3232,105
3240,102
3248,111
3256,101
3264,99
3272,99
3280,102
3288,84
3296,119
3304,107
3312,83
3320,110
3328,82
3336,77
3344,110
3352,111
3360,112
3368,128
3376,144
3384,111
3392,142
3400,119
3408,126
3416,124
3424,139
3432,122
3440,114
3448,141
3456,145
3464,123
3472,125
3480,145
3488,134
3496,139
3504,126
3512,138
3520,137
3528,131
3536,136
3544,129
3552,161
3560,111
3568,115
3576,101
3584,115
3592,122
3600,121
3608,126
3616,133
3624,122
3632,124
3640,122
3648,175
3656,160
3664,168
3672,156
3680,168
3688,201
3696,213
3704,232
3712,235
3720,246
3728,245
3736,219
3744,229
3752,211
3760,246
3768,221
3776,185
3784,182
3792,155
3800,144
3808,131
3816,116
3824,96
3832,95
3840,91
3856,155
3872,168
3888,134
3904,125
3920,153
3936,143
3952,148
3968,135
3984,123
4000,128
4016,140
4032,138
4048,133
4064,114
4080,114
4096,107
4112,106
4128,113
4144,104
4160,103
4176,111
4192,117
4208,132
4224,106
4240,149
4256,111
4272,110
4288,115
4304,124
4320,125
4336,104
4352,104
4368,116
4384,113
4400,97
4416,115
4432,99
4448,99
4464,92
4480,106
4496,89
4512,98
4528,85
4544,108
4560,96
4576,95
4592,87
4608,111
4624,86
4640,85
4656,73
4672,90
4688,81
4704,65
4720,77
4736,74
4752,75
4768,77
4784,96
4800,74
4816,74
4832,74
4848,70
4864,75
4880,68
4896,79
4912,87
4928,75
4944,77
4960,101
4976,80
