cache_lines,MRC
256,0.00699593
512,0.00517395
768,0.0049697
1024,0.00488041
1280,0.00464914
1536,0.00432834
1792,0.00416797
2048,0.00405273
2304,0.00399432
2560,0.00393531
2816,0.00388017
3072,0.00382862
3328,0.00376726
3584,0.00371116
3840,0.00366717
4096,0.00362263
4352,0.00357515
4608,0.00352152
4864,0.00349542
5120,0.00342328
5376,0.00336534
5632,0.00335336
5888,0.00334254
6144,0.00331602
6400,0.00330659
6656,0.00329992
6912,0.00329395
7168,0.00328603
7424,0.00327858
7680,0.00326892
7936,0.00325953
8192,0.00325026
8448,0.00324132
8704,0.00323101
8960,0.00321982
9216,0.00321029
9472,0.00319965
9728,0.00318942
9984,0.00317717
10240,0.00316493
10496,0.00315303
10752,0.00314336
11008,0.00313106
11264,0.00311806
11520,0.00310443
11776,0.00308979
12032,0.00307739
12288,0.00306492
12544,0.00305188
12800,0.00303762
13056,0.00302332
13312,0.00301005
13568,0.00299729
13824,0.00298319
14080,0.00296734
14336,0.0029543
14592,0.0029418
14848,0.00292898
15104,0.00291309
15360,0.00289804
15616,0.00288093
15872,0.00286238
16128,0.0028427
16384,0.00282296
16640,0.00280468
16896,0.00278668
17152,0.0027666
17408,0.002747
17664,0.00272738
17920,0.00270989
18176,0.00269059
18432,0.00267041
18688,0.00264982
18944,0.00262781
19200,0.00260672
19456,0.00258538
19712,0.0025632
19968,0.00254258
20224,0.00251994
20480,0.00249882
20736,0.00247572
20992,0.00245392
21248,0.00243189
21504,0.00240677
21760,0.00238285
22016,0.00235734
22272,0.00233167
22528,0.00230696
22784,0.00228198
23040,0.00225625
23296,0.00222929
23552,0.00220016
23808,0.00217738
24064,0.00215122
24320,0.00212025
24576,0.00209073
24832,0.00206103
25088,0.00203087
25344,0.00200141
25600,0.00197427
25856,0.00194307
26112,0.0019144
26368,0.00188539
26624,0.00185173
26880,0.00181845
27136,0.00178446
27392,0.00175002
27648,0.00171855
27904,0.00168527
28160,0.0016489
28416,0.00161857
28672,0.00158386
28928,0.00154377
29184,0.00150386
29440,0.00146282
29696,0.00142431
29952,0.00138214
30208,0.00134253
30464,0.00129739
30720,0.00125095
30976,0.00120033
31232,0.00115457
31488,0.00110548
31744,0.00106014
32000,0.00100729
32256,0.000948964
32512,0.000890632
32768,0.000833708
33024,0.000770391
33280,0.00070616
33536,0.000648429
33792,0.000590211
34048,0.000521516
34304,0.000467019
34560,0.000412672
34816,0.000371803
35072,0.000318226
35328,0.000248291
35584,0.00016741
35840,0.000147794
36096,0.00014463
36352,0.000144421
36608,0.000144158
36864,0.000143918
37120,0.000143368
37376,0.000142534
37632,0.000140694
37888,0.000137635
38144,0.000135298
38400,0.000131859
38656,0.000129481
38912,0.000127622
39168,0.000125978
39424,0.000124697
39680,0.00012362
39936,0.00012362
40192,0.000123586
40448,0.000123269
40704,0.000122699
40960,0.000122216
41216,0.000122216
41472,0.000122216
41728,0.000122216
41984,0.000122216
42240,0.00012204
42496,0.000121952
42752,0.000121952
43008,0.000121804
43264,0.000121601
43520,0.000121514
43776,0.000121514
44032,0.000121426
44288,0.000121338
44544,0.000121206
44800,0.000121206
45056,0.000121206
45312,0.000121163
45568,0.000121075
45824,0.000121043
46080,0.000120943
46336,0.000120899
46592,0.000120899
46848,0.000120899
47104,0.000120894
47360,0.000120847
47616,0.000120768
47872,0.00012068
48128,0.000120548
48384,0.000120548
48640,0.00012046
48896,0.000120373
49152,0.000120285
49408,0.000120109
49664,0.000119971
49920,0.0001196
50176,0.000118651
50432,0.000116545
50688,0.000115252
50944,0.000114668
51200,0.000114668
51456,0.000114629
51712,0.00011458
51968,0.000114387
52224,0.000114141
52480,0.000113927
52736,0.000113372
52992,0.000112774
53248,0.000112649
53504,0.000112561
53760,0.000112272
54016,0.000112254
54272,0.000112022
54528,0.000111817
54784,0.00011155
55040,0.000111183
55296,0.000110831
55552,0.000110621
55808,0.000110138
56064,0.000109601
56320,0.000108531
56576,0.000107258
56832,0.000105784
57088,0.000103666
57344,0.000101788
57600,0.000101035
57856,0.000100304
58112,9.91768e-05
58368,9.78276e-05
58624,9.62901e-05
58880,9.44e-05
59136,9.29078e-05
59392,9.23311e-05
59648,9.21953e-05
59904,9.20745e-05
60160,9.19666e-05
60416,9.16961e-05
60672,9.155e-05
60928,9.11333e-05
61184,9.0883e-05
61440,9.0883e-05
61696,9.08716e-05
61952,9.07075e-05
62208,9.06636e-05
62464,9.06017e-05
62720,9.04527e-05
62976,9.04442e-05
63232,9.04442e-05
63488,9.04442e-05
63744,9.04003e-05
64000,9.03564e-05
64256,9.03125e-05
64512,9.03125e-05
64768,9.03125e-05
65024,9.03125e-05
65280,9.02247e-05
65536,9.02247e-05
65792,9.02247e-05
66048,9.02247e-05
66304,9.02247e-05
66560,9.02247e-05
66816,9.0196e-05
67072,9.00931e-05
67328,9.00899e-05
67584,8.99709e-05
67840,8.99176e-05
68096,8.99176e-05
68352,8.99176e-05
68608,8.9817e-05
68864,8.9742e-05
69120,8.9742e-05
69376,8.9742e-05
69632,8.9742e-05
69888,8.97312e-05
70144,8.96981e-05
70400,8.96678e-05
70656,8.96104e-05
70912,8.94348e-05
71168,8.94348e-05
71424,8.93909e-05
71680,8.93324e-05
71936,8.92593e-05
72192,8.91888e-05
72448,8.90838e-05
72704,8.90399e-05
72960,8.8996e-05
73216,8.89521e-05
73472,8.89521e-05
73728,8.89082e-05
73984,8.89082e-05
74240,8.88752e-05
74496,8.88643e-05
74752,8.88205e-05
75008,8.88205e-05
75264,8.87766e-05
75520,8.87327e-05
75776,8.86888e-05
76032,8.86888e-05
76288,8.86118e-05
76544,8.8601e-05
76800,8.8601e-05
77056,8.8601e-05
77312,8.85572e-05
77568,8.85337e-05
77824,8.84126e-05
78080,8.83792e-05
78336,8.83377e-05
78592,8.82939e-05
78848,8.82939e-05
79104,8.82939e-05
79360,8.82553e-05
79616,8.81622e-05
79872,8.81622e-05
80128,8.81622e-05
80384,8.80783e-05
80640,8.80744e-05
80896,8.80744e-05
81152,8.80744e-05
81408,8.80744e-05
81664,8.80386e-05
81920,8.80306e-05
82176,8.80306e-05
82432,8.80306e-05
82688,8.80306e-05
82944,8.80006e-05
83200,8.79428e-05
83456,8.79325e-05
83712,8.7855e-05
83968,8.7855e-05
84224,8.7855e-05
84480,8.7855e-05
84736,8.78494e-05
84992,8.78111e-05
85248,8.77673e-05
85504,8.77234e-05
85760,8.77234e-05
86016,8.77234e-05
86272,8.77234e-05
86528,8.76795e-05
86784,8.75917e-05
87040,8.7504e-05
87296,8.74614e-05
87552,8.74162e-05
87808,8.73821e-05
88064,8.73723e-05
88320,8.73723e-05
88576,8.73298e-05
88832,8.73284e-05
89088,8.73284e-05
89344,8.73284e-05
89600,8.72792e-05
89856,8.72407e-05
90112,8.72249e-05
90368,8.71635e-05
90624,8.7109e-05
90880,8.7109e-05
91136,8.7109e-05
91392,8.70052e-05
91648,8.69436e-05
91904,8.68896e-05
92160,8.68896e-05
92416,8.68465e-05
92672,8.68287e-05
92928,8.68018e-05
93184,8.68018e-05
93440,8.68018e-05
93696,8.68018e-05
93952,8.68018e-05
94208,8.68018e-05
94464,8.68018e-05
94720,8.67457e-05
94976,8.67141e-05
95232,8.67141e-05
95488,8.67141e-05
95744,8.67022e-05
96000,8.66702e-05
96256,8.66263e-05
96512,8.66045e-05
96768,8.65824e-05
97024,8.65685e-05
97280,8.65066e-05
97536,8.64008e-05
97792,8.6363e-05
98048,8.6363e-05
98304,8.63131e-05
98560,8.62313e-05
98816,8.62313e-05
99072,8.62039e-05
99328,8.61399e-05
99584,8.60558e-05
99840,8.60558e-05
100096,8.60428e-05
100352,8.60119e-05
100608,8.59621e-05
100864,8.58997e-05
101120,8.58803e-05
101376,8.57047e-05
101632,8.57047e-05
101888,8.57047e-05
102144,8.56752e-05
102400,8.55644e-05
102656,8.54391e-05
102912,8.53976e-05
103168,8.53976e-05
103424,8.5326e-05
103680,8.5299e-05
103936,8.52361e-05
104192,8.51781e-05
104448,8.51543e-05
104704,8.51343e-05
104960,8.50981e-05
105216,8.50465e-05
105472,8.50465e-05
105728,8.50465e-05
105984,8.49148e-05
106240,8.49148e-05
106496,8.49136e-05
106752,8.48709e-05
107008,8.48709e-05
107264,8.48709e-05
107520,8.48366e-05
107776,8.47735e-05
108032,8.47102e-05
108288,8.46909e-05
108544,8.45558e-05
108800,8.4476e-05
109056,8.4476e-05
109312,8.44374e-05
109568,8.44321e-05
109824,8.44321e-05
110080,8.43786e-05
110336,8.43151e-05
110592,8.43005e-05
110848,8.42512e-05
111104,8.42127e-05
111360,8.42127e-05
111616,8.42127e-05
111872,8.41969e-05
112128,8.41688e-05
112384,8.41688e-05
112640,8.41688e-05
112896,8.41249e-05
113152,8.41249e-05
113408,8.41221e-05
113664,8.4081e-05
113920,8.4081e-05
114176,8.39494e-05
114432,8.39494e-05
114688,8.39055e-05
114944,8.39055e-05
115200,8.39055e-05
115456,8.38751e-05
115712,8.38177e-05
115968,8.38177e-05
116224,8.37739e-05
116480,8.37739e-05
116736,8.3731e-05
116992,8.373e-05
117248,8.373e-05
117504,8.36838e-05
117760,8.35271e-05
118016,8.35106e-05
118272,8.35106e-05
118528,8.34581e-05
118784,8.34228e-05
119040,8.33789e-05
119296,8.33273e-05
119552,8.3201e-05
119808,8.31595e-05
120064,8.31595e-05
120320,8.31595e-05
120576,8.31595e-05
120832,8.30983e-05
121088,8.30717e-05
121344,8.2984e-05
121600,8.2984e-05
121856,8.29401e-05
122112,8.29401e-05
122368,8.28866e-05
122624,8.28219e-05
122880,8.28011e-05
123136,8.27645e-05
123392,8.27207e-05
123648,8.26947e-05
123904,8.26768e-05
124160,8.26768e-05
124416,8.26329e-05
124672,8.26329e-05
124928,8.25471e-05
125184,8.24611e-05
125440,8.23723e-05
125696,8.23257e-05
125952,8.23257e-05
126208,8.2221e-05
126464,8.21558e-05
126720,8.21502e-05
126976,8.21502e-05
127232,8.21502e-05
127488,8.20427e-05
127744,8.19746e-05
128000,8.19746e-05
128256,8.19622e-05
128512,8.19308e-05
128768,8.19076e-05
129024,8.1843e-05
129280,8.1843e-05
129536,8.18106e-05
129792,8.17451e-05
130048,8.17113e-05
130304,8.17113e-05
130560,8.16801e-05
130816,8.16493e-05
131072,8.15797e-05
131328,8.1527e-05
131584,8.14307e-05
131840,8.13603e-05
132096,8.13296e-05
132352,8.13164e-05
132608,8.13164e-05
132864,8.12636e-05
133120,8.11977e-05
133376,8.11317e-05
133632,8.10656e-05
133888,8.10044e-05
134144,8.09713e-05
134400,8.09653e-05
134656,8.0949e-05
134912,8.08994e-05
135168,8.07668e-05
135424,8.0718e-05
135680,8.0702e-05
135936,8.0702e-05
