cache_lines,MRC
256,0.0560998
512,0.0162825
768,0.015031
1024,0.0141557
1280,0.0133097
1536,0.0128104
1792,0.0123352
2048,0.0119964
2304,0.0116698
2560,0.0114168
2816,0.011209
3072,0.0110423
3328,0.0109052
3584,0.0107927
3840,0.010699
4096,0.0106167
4352,0.0105384
4608,0.010475
4864,0.0104208
5120,0.0103712
5376,0.0103188
5632,0.0102749
5888,0.0102326
6144,0.0101909
6400,0.0101518
6656,0.0101119
6912,0.0100709
7168,0.0100292
7424,0.00998976
7680,0.00994898
7936,0.00990335
8192,0.00986115
8448,0.00981677
8704,0.00977003
8960,0.00972935
9216,0.00967866
9472,0.00962805
9728,0.0095765
9984,0.00952515
10240,0.00948108
10496,0.00943591
10752,0.00939564
11008,0.00934909
11264,0.00930173
11520,0.00925224
11776,0.00920581
12032,0.00915664
12288,0.00910113
12544,0.00904505
12800,0.00898292
13056,0.00892033
13312,0.00885215
13568,0.00879669
13824,0.00873263
14080,0.00867674
14336,0.0086203
14592,0.00856403
14848,0.00849897
15104,0.00843646
15360,0.00837428
15616,0.00829762
15872,0.00822936
16128,0.00816215
16384,0.00810485
16640,0.00804576
16896,0.00797975
17152,0.00790532
17408,0.00783885
17664,0.00776871
17920,0.00768801
18176,0.00760626
18432,0.00752497
18688,0.00743621
18944,0.00734232
19200,0.00725448
19456,0.00716132
19712,0.00705279
19968,0.00695121
20224,0.00686292
20480,0.00675305
20736,0.00663345
20992,0.00654132
21248,0.00643604
21504,0.0063413
21760,0.00625223
22016,0.00615488
22272,0.00605281
22528,0.00594088
22784,0.00584628
23040,0.00573508
23296,0.00562717
23552,0.00552393
23808,0.00539756
24064,0.00527995
24320,0.00519161
24576,0.00507389
24832,0.00493158
25088,0.00480012
25344,0.00469712
25600,0.00460994
25856,0.00452053
26112,0.00442995
26368,0.00434109
26624,0.0042461
26880,0.00416601
27136,0.00408947
27392,0.00400101
27648,0.00391917
27904,0.00383804
28160,0.00375086
28416,0.00367338
28672,0.00359758
28928,0.00352153
29184,0.00345084
29440,0.0033823
29696,0.00330319
29952,0.0032322
30208,0.00315388
30464,0.00308283
30720,0.00301186
30976,0.00294202
31232,0.0028802
31488,0.00281491
31744,0.00275814
32000,0.00269441
32256,0.002618
32512,0.00254646
32768,0.00248094
33024,0.00240993
33280,0.00235968
33536,0.0023061
33792,0.00224576
34048,0.00219178
34304,0.00213279
34560,0.00207555
34816,0.00201742
35072,0.00196351
35328,0.00191375
35584,0.00186934
35840,0.00182239
36096,0.00176708
36352,0.00172409
36608,0.00168536
36864,0.00163716
37120,0.00159796
37376,0.00156314
37632,0.0015253
37888,0.00149264
38144,0.00145577
38400,0.00142808
38656,0.00138666
38912,0.00135571
39168,0.00132517
39424,0.00129843
39680,0.0012752
39936,0.00124691
40192,0.00122406
40448,0.00119819
40704,0.00117633
40960,0.00115791
41216,0.00113783
41472,0.00111148
41728,0.00108935
41984,0.00106749
42240,0.00104004
42496,0.00102327
42752,0.00100607
43008,0.000987376
43264,0.000970744
43520,0.000939358
43776,0.000909475
44032,0.000888998
44288,0.000867909
44544,0.000850568
44800,0.000831308
45056,0.000808488
45312,0.000788556
45568,0.000777344
45824,0.00076619
46080,0.00075392
46336,0.000741889
46592,0.000729092
46848,0.000715954
47104,0.000706162
47360,0.000693225
47616,0.000674244
47872,0.000652887
48128,0.000642055
48384,0.000632283
48640,0.000619042
48896,0.000600157
49152,0.000590777
49408,0.000580543
49664,0.000571859
49920,0.000557638
50176,0.000547696
50432,0.000537633
50688,0.000525654
50944,0.000518966
51200,0.000512034
51456,0.000504197
51712,0.000495822
51968,0.000486719
52224,0.000472272
52480,0.000462194
52736,0.000448467
52992,0.000443176
53248,0.000435799
53504,0.000425378
53760,0.000415629
54016,0.0004071
54272,0.000402225
54528,0.000394968
54784,0.000391309
55040,0.000386276
55296,0.000381738
55552,0.000373987
55808,0.000369248
56064,0.000365521
56320,0.000362173
56576,0.0003589
56832,0.000355402
57088,0.000351854
57344,0.000348493
57600,0.000344009
57856,0.000340512
58112,0.000337485
58368,0.000333513
58624,0.000329759
58880,0.000326477
59136,0.000322798
59392,0.000319601
59648,0.000316394
59904,0.000313496
60160,0.000310153
60416,0.000305273
60672,0.000300485
60928,0.000298343
61184,0.00029584
61440,0.000293311
61696,0.00029067
61952,0.00028722
62208,0.000284427
62464,0.000282157
62720,0.000280459
62976,0.000278649
63232,0.000274781
63488,0.000272029
63744,0.00026873
64000,0.000266366
64256,0.000262476
64512,0.000260771
64768,0.000258726
65024,0.000256362
65280,0.000254147
65536,0.00025193
65792,0.000250429
66048,0.000248109
66304,0.000247003
66560,0.000244878
66816,0.000242923
67072,0.000241159
67328,0.000239092
67584,0.000237194
67840,0.000235327
68096,0.000233497
68352,0.000231774
68608,0.000230377
68864,0.000228675
69120,0.000227479
69376,0.000226005
69632,0.00022483
69888,0.000222646
70144,0.000219798
70400,0.0002174
70656,0.00021469
70912,0.000212647
71168,0.000210816
71424,0.000209898
71680,0.000207864
71936,0.00020639
72192,0.000205438
72448,0.000203882
72704,0.000202237
72960,0.000200822
73216,0.000198056
73472,0.000196674
73728,0.000194585
73984,0.000193354
74240,0.000192005
74496,0.000190633
74752,0.000189586
75008,0.000188375
75264,0.000187228
75520,0.000185044
75776,0.000183611
76032,0.000182517
76288,0.000181084
76544,0.000179989
76800,0.00017927
77056,0.000178589
77312,0.000177764
77568,0.000176053
77824,0.000175396
78080,0.000174638
78336,0.000173779
78592,0.000172794
78848,0.000170717
79104,0.000169805
79360,0.000168434
79616,0.000167551
79872,0.000166362
80128,0.000164402
80384,0.000163456
80640,0.000162888
80896,0.000161643
81152,0.000160736
81408,0.000159443
81664,0.000158104
81920,0.000156701
82176,0.000156186
82432,0.000155166
82688,0.000153764
