cache_lines,MRC
256,0.0968549
512,0.0283669
768,0.0262087
1024,0.0247097
1280,0.023247
1536,0.0223991
1792,0.0215358
2048,0.0209866
2304,0.020433
2560,0.019986
2816,0.0196265
3072,0.0193386
3328,0.0191075
3584,0.018917
3840,0.0187534
4096,0.0186017
4352,0.0184673
4608,0.0183513
4864,0.0182544
5120,0.0181633
5376,0.01808
5632,0.0180051
5888,0.0179318
6144,0.0178596
6400,0.0177897
6656,0.017719
6912,0.0176451
7168,0.0175715
7424,0.0175003
7680,0.0174314
7936,0.0173539
8192,0.0172775
8448,0.0172049
8704,0.0171239
8960,0.0170578
9216,0.0169675
9472,0.0168797
9728,0.0167919
9984,0.0167123
10240,0.0166313
10496,0.0165569
10752,0.0164865
11008,0.0164078
11264,0.0163266
11520,0.0162418
11776,0.0161584
12032,0.0160733
12288,0.0159825
12544,0.0158873
12800,0.015779
13056,0.0156744
13312,0.0155611
13568,0.0154622
13824,0.0153548
14080,0.0152531
14336,0.0151564
14592,0.0150554
14848,0.0149414
15104,0.0148317
15360,0.0147167
15616,0.014582
15872,0.0144609
16128,0.0143503
16384,0.0142518
16640,0.014141
16896,0.0140282
17152,0.0139058
17408,0.0137859
17664,0.013658
17920,0.0135091
18176,0.013372
18432,0.0132314
18688,0.013083
18944,0.0129214
19200,0.0127753
19456,0.0126095
19712,0.0124205
19968,0.012237
20224,0.0120696
20480,0.0118992
20736,0.0116748
20992,0.0115163
21248,0.0113393
21504,0.0111637
21760,0.0110121
22016,0.0108416
22272,0.0106644
22528,0.0104763
22784,0.0103112
23040,0.010125
23296,0.00993455
23552,0.00975455
23808,0.00954705
24064,0.00933848
24320,0.00918154
24576,0.00899104
24832,0.00875537
25088,0.00852013
25344,0.00833077
25600,0.00816857
25856,0.00801515
26112,0.00785337
26368,0.00769027
26624,0.00753096
26880,0.00738634
27136,0.00724612
27392,0.00709908
27648,0.00693892
27904,0.00680003
28160,0.00666294
28416,0.00651591
28672,0.0063898
28928,0.00626147
29184,0.0061354
29440,0.00601537
29696,0.00588519
29952,0.00575359
30208,0.0056147
30464,0.0054822
30720,0.00535345
30976,0.00523341
31232,0.00512269
31488,0.0050099
31744,0.004913
32000,0.004804
32256,0.00467892
32512,0.00455342
32768,0.00442366
33024,0.00431208
33280,0.00420771
33536,0.00411565
33792,0.00401361
34048,0.00391313
34304,0.00380908
34560,0.00370742
34816,0.00361259
35072,0.00350814
35328,0.00341683
35584,0.00333408
35840,0.00325959
36096,0.00317504
36352,0.00308629
36608,0.00301172
36864,0.00293141
37120,0.00285851
37376,0.00279096
37632,0.00273135
37888,0.00266489
38144,0.00260845
38400,0.00254651
38656,0.00249412
38912,0.00241955
39168,0.0023665
39424,0.00231426
39680,0.00227673
39936,0.00223384
40192,0.00218463
40448,0.00214593
40704,0.00209903
40960,0.00206334
41216,0.00203057
41472,0.00198831
41728,0.00194913
41984,0.00190658
42240,0.00186781
42496,0.00182413
42752,0.001796
43008,0.00176684
43264,0.00173433
43520,0.00169944
43776,0.00164252
44032,0.00160022
44288,0.00157017
44544,0.00153225
44800,0.00150151
45056,0.00146998
45312,0.00142685
45568,0.00139831
45824,0.00138145
46080,0.00136059
46336,0.00133674
46592,0.00131126
46848,0.00128877
47104,0.00126477
47360,0.00125074
47616,0.00122382
47872,0.0011936
48128,0.00115991
48384,0.00114166
48640,0.0011221
48896,0.00110059
49152,0.00106142
49408,0.00104453
49664,0.00102554
49920,0.00100841
50176,0.000986979
50432,0.000970789
50688,0.0009547
50944,0.000932957
51200,0.000921758
51456,0.000908805
51712,0.000894319
51968,0.000880703
52224,0.000863069
52480,0.000840168
52736,0.000820567
52992,0.0007971
53248,0.000787074
53504,0.00077322
53760,0.000760004
54016,0.000737408
54272,0.000719454
54528,0.000711267
54784,0.000699145
55040,0.000690244
55296,0.000682284
55552,0.000671752
55808,0.000660254
56064,0.000651188
56320,0.000644876
56576,0.000638757
56832,0.000632329
57088,0.000625226
57344,0.000620609
57600,0.000613304
57856,0.000605766
58112,0.000598728
58368,0.000593362
58624,0.000587929
58880,0.00058093
59136,0.000576737
59392,0.000569425
59648,0.000565129
59904,0.000559245
60160,0.000555274
60416,0.000550268
60672,0.000541006
60928,0.000535363
61184,0.000528019
61440,0.000523754
61696,0.000519802
61952,0.000514848
62208,0.000509887
62464,0.000503973
62720,0.000498657
62976,0.000495054
63232,0.000491999
63488,0.000487413
63744,0.000482479
64000,0.000476589
64256,0.000471591
64512,0.000466302
64768,0.000460259
65024,0.000456827
65280,0.000452893
65536,0.000449579
65792,0.000444674
66048,0.000440372
66304,0.000436544
66560,0.000432949
66816,0.000430571
67072,0.000427071
67328,0.000424439
67584,0.000420122
67840,0.000417072
68096,0.000412962
68352,0.000409471
68608,0.000407665
68864,0.000405195
69120,0.000401311
69376,0.000397754
69632,0.000395956
69888,0.000393458
70144,0.0003894
70400,0.000386481
70656,0.00038154
70912,0.000377776
71168,0.000374142
71424,0.000370818
71680,0.000368963
71936,0.000365513
72192,0.000362371
72448,0.000359553
72704,0.000356311
72960,0.000354478
73216,0.000351097
73472,0.000349201
73728,0.000344764
73984,0.000341479
74240,0.000337997
74496,0.000335371
74752,0.000331787
75008,0.000328816
75264,0.000326197
75520,0.00032373
75776,0.000321908
76032,0.000319814
76288,0.000318192
76544,0.000314399
76800,0.000312187
77056,0.000310634
77312,0.0003088
77568,0.000307236
77824,0.000304717
78080,0.000303404
78336,0.000302116
78592,0.000301111
78848,0.000299159
79104,0.000295834
79360,0.000294118
79616,0.000292183
79872,0.000290963
80128,0.000289518
80384,0.000285561
80640,0.000283459
80896,0.000282343
81152,0.000280455
81408,0.000279554
81664,0.000277666
81920,0.000273417
82176,0.00027202
82432,0.000271035
82688,0.000269821
82944,0.000267888
83200,0.00026668
83456,0.000265354
83712,0.000262973
83968,0.000261538
84224,0.000259471
84480,0.000257423
84736,0.00025582
84992,0.0002548
85248,0.000253001
85504,0.000250597
85760,0.000249115
86016,0.000248474
86272,0.00024617
86528,0.000243737
86784,0.00024223
87040,0.000241296
87296,0.000240801
87552,0.000239609
87808,0.000238771
88064,0.00023727
88320,0.000236907
88576,0.000234369
88832,0.000233343
89088,0.000231871
89344,0.000230034
89600,0.000228189
89856,0.000226928
90112,0.00022544
90368,0.000224028
90624,0.000223254
90880,0.000221492
91136,0.000220857
91392,0.000218847
91648,0.000217084
91904,0.000215132
92160,0.00021383
92416,0.000212332
92672,0.000210706
92928,0.00020995
93184,0.000209526
93440,0.000207792
93696,0.000206397
93952,0.000204935
94208,0.000202998
94464,0.000201555
94720,0.000200594
94976,0.000199779
95232,0.00019829
95488,0.000197115
95744,0.000196453
96000,0.0001953
96256,0.000193386
96512,0.000191228
96768,0.000190141
97024,0.000189043
97280,0.000188517
97536,0.000188046
97792,0.000187171
98048,0.000186565
98304,0.000185423
98560,0.000184592
98816,0.000183696
99072,0.000182758
99328,0.000182083
99584,0.000181166
99840,0.000180446
100096,0.000179777
100352,0.000179105
100608,0.000178492
100864,0.000177977
101120,0.000176665
101376,0.000175631
101632,0.000174731
101888,0.000173777
102144,0.000172405
102400,0.000171911
102656,0.000171233
102912,0.000170627
103168,0.00017049
103424,0.000170085
103680,0.000169112
103936,0.000168646
104192,0.000167933
104448,0.000167411
104704,0.000166539
104960,0.000165661
105216,0.000164655
105472,0.000163815
105728,0.000162926
105984,0.000162303
106240,0.000160795
106496,0.000159775
106752,0.000159302
107008,0.000158595
107264,0.000158176
107520,0.000157638
107776,0.000157182
108032,0.000156615
108288,0.000156405
108544,0.000154999
108800,0.000154503
109056,0.000154229
109312,0.000153331
109568,0.00015292
109824,0.000152504
110080,0.000152401
110336,0.000151732
110592,0.000150546
110848,0.000149997
111104,0.000149736
111360,0.000149173
111616,0.000148825
111872,0.00014845
112128,0.000148113
112384,0.000147686
112640,0.000147222
112896,0.000145866
113152,0.00014473
113408,0.000144071
113664,0.00014367
113920,0.000142689
114176,0.000142066
114432,0.000141746
114688,0.000141289
114944,0.000140493
115200,0.000139346
115456,0.000138919
115712,0.000136922
115968,0.000136827
116224,0.000136095
116480,0.000135858
116736,0.000135434
116992,0.000134826
117248,0.000134035
117504,0.00013367
117760,0.000133048
118016,0.000132533
118272,0.00013186
118528,0.000131197
118784,0.000130937
