reuse_time,counts
1,1562551
2,5338231
3,3211226
4,2441099
5,811209
6,550680
7,597684
8,620495
9,689129
10,693397
11,498809
12,326282
13,329816
14,408178
15,465106
16,525374
17,600391
18,663017
19,673546
20,638984
21,623352
22,697161
23,893155
24,1173547
25,1456391
26,1664375
27,1722812
28,1588724
29,1280770
30,887670
31,518580
32,251331
33,104428
34,42508
35,24120
36,19880
37,17866
38,15292
39,13253
40,12965
41,14926
42,18195
43,22479
44,28325
45,35991
46,47270
47,61970
48,82495
49,108663
50,139940
51,169796
52,195661
53,211307
54,213072
55,199668
56,173264
57,138292
58,102002
59,67883
60,41696
61,23359
62,12109
63,5741
64,2942
65,1897
66,1687
67,1953
68,2529
69,3547
70,4919
71,6962
72,9341
73,12825
74,16793
75,21487
76,26554
77,30995
78,35013
79,37538
80,38607
81,37815
82,34705
83,30246
84,25604
85,19854
86,15048
87,10202
88,6740
89,4165
90,2503
91,1457
92,909
93,708
94,785
95,909
96,1386
97,1688
98,2340
99,3022
100,3724
101,4469
102,5297
103,6285
104,6920
105,7346
106,7544
107,7458
108,6950
109,6661
110,5810
111,5060
112,4034
113,3190
114,2352
115,1648
116,1220
117,799
118,546
119,396
120,356
121,361
122,372
123,457
124,605
125,704
126,888
127,1041
128,1168
129,1272
130,1402
131,1491
132,1514
133,1537
134,1597
135,1371
136,1283
137,1215
138,1005
139,863
140,654
141,533
142,388
143,290
144,256
145,160
146,125
147,130
148,112
149,149
150,156
151,170
152,211
153,237
154,250
155,286
156,338
157,344
158,321
159,374
160,366
161,324
162,355
163,263
164,245
165,252
166,212
167,173
168,147
169,121
170,117
171,86
172,66
173,49
174,64
175,56
176,68
177,72
178,70
179,63
180,71
181,81
182,76
183,82
184,75
185,89
186,77
187,91
188,64
189,64
190,68
191,62
192,67
193,62
194,37
195,35
196,24
197,23
198,41
199,35
200,24
201,31
202,27
203,29
204,37
205,31
206,53
207,47
208,42
209,35
210,47
211,47
212,38
213,39
214,38
215,34
216,40
217,34
218,21
219,25
220,24
221,26
222,19
223,14
224,15
225,20
226,13
227,14
228,13
229,20
230,14
231,11
232,9
233,16
234,20
235,12
236,15
237,19
238,13
239,15
240,12
241,22
242,11
243,22
244,20
245,28
246,24
247,21
248,21
249,16
250,14
251,18
252,20
253,16
254,22
255,21
256,22
258,37
260,33
262,35
264,36
266,29
268,31
270,33
272,32
274,34
276,49
278,31
280,23
282,33
284,33
286,31
288,22
290,20
292,17
294,21
296,17
298,14
300,9
302,9
304,10
306,12
308,5
310,13
312,18
314,13
316,11
318,9
320,9
322,13
324,15
326,16
328,8
330,16
332,10
334,13
336,14
338,6
340,14
342,11
344,9
346,6
348,5
350,4
352,9
354,7
356,15
358,11
360,6
362,10
364,6
366,8
368,8
370,11
372,7
374,9
376,5
378,5
380,6
382,12
384,9
386,8
388,4
390,11
392,3
394,2
396,9
398,6
400,4
402,8
404,7
406,4
408,9
410,5
412,7
414,15
416,10
418,21
420,30
422,33
424,33
426,65
428,85
430,109
432,159
434,274
436,312
438,466
440,558
442,693
444,893
446,1064
448,1254
450,1500
452,1537
454,1723
456,1829
458,1863
460,1801
462,1795
464,1767
466,1562
468,1432
470,1276
472,1179
474,1004
476,903
478,878
480,735
482,757
484,750
486,804
488,724
490,822
492,803
494,814
496,865
498,825
500,836
502,783
504,770
506,777
508,743
510,771
512,799
514,753
516,815
518,816
520,943
522,948
524,983
526,1076
528,1224
530,1244
532,1381
534,1330
536,1392
538,1466
540,1387
542,1447
544,1412
546,1404
548,1415
550,1299
552,1292
554,1207
556,1183
558,1130
560,1031
562,1012
564,948
566,844
568,812
570,789
572,721
574,641
576,637
