reuse_time,counts
1,1256161
2,1174745
3,656670
4,437724
5,393284
6,439108
7,528242
8,621483
9,684566
10,688937
11,633488
12,537956
13,428262
14,331320
15,261045
16,222303
17,207810
18,207248
19,209300
20,209589
21,203469
22,190148
23,173235
24,154189
25,136461
26,121638
27,111309
28,104826
29,100091
30,96676
31,92675
32,88625
33,83172
34,78181
35,72811
36,67990
37,62926
38,58797
39,55585
40,52729
41,50297
42,47595
43,45445
44,43207
45,40829
46,38710
47,36437
48,34581
49,32790
50,30964
51,29501
52,28292
53,26615
54,25432
55,23978
56,22906
57,21699
58,20792
59,19299
60,18746
61,17699
62,16815
63,16187
64,15305
65,14434
66,13753
67,12963
68,12555
69,12014
70,11374
71,10976
72,10351
73,10001
74,9422
75,8917
76,8306
77,8055
78,7534
79,7294
80,6865
81,6666
82,6414
83,5989
84,5847
85,5415
86,5170
87,4908
88,4766
89,4383
90,4170
91,4102
92,3878
93,3710
94,3488
95,3266
96,3200
97,3000
98,2855
99,2730
100,2597
101,2481
102,2356
103,2230
104,2121
105,1982
106,1821
107,1834
108,1725
109,1586
110,1621
111,1502
112,1343
113,1287
114,1252
115,1134
116,1074
117,1088
118,1019
119,955
120,928
121,830
122,741
123,772
124,708
125,663
126,620
127,593
128,569
129,514
130,503
131,524
132,469
133,438
134,338
135,337
136,372
137,307
138,281
139,268
140,291
141,253
142,235
143,209
144,199
145,162
146,164
147,156
148,136
149,156
150,149
151,167
152,134
153,155
154,155
155,163
156,173
157,187
158,216
159,245
160,246
161,270
162,295
163,320
164,342
165,360
166,394
167,438
168,478
169,484
170,545
171,586
172,577
173,657
174,649
175,638
176,714
177,720
178,783
179,705
180,762
181,761
182,745
183,767
184,786
185,782
186,696
187,732
188,739
189,720
190,744
191,709
192,748
193,755
194,733
195,718
196,785
197,763
198,783
199,735
200,719
201,731
202,731
203,715
204,761
205,723
206,743
207,744
208,733
209,717
210,707
211,753
212,728
213,744
214,732
215,736
216,715
217,667
218,690
219,695
220,673
221,627
222,712
223,668
224,709
225,641
226,644
227,602
228,605
229,629
230,633
231,600
232,553
233,571
234,533
235,529
236,515
237,507
238,505
239,459
240,479
241,460
242,439
243,485
244,455
245,414
246,414
247,385
248,402
249,370
250,376
251,315
252,318
253,339
254,333
255,314
256,301
258,590
260,544
262,566
264,525
266,468
268,474
270,447
272,446
274,454
276,403
278,347
280,331
282,333
284,315
286,279
288,294
290,276
292,268
294,260
296,256
298,253
300,220
302,233
304,177
306,178
308,194
310,186
312,203
314,186
316,180
318,175
320,131
322,134
324,155
326,147
328,149
330,156
332,144
334,141
336,146
338,122
340,150
342,121
344,125
346,109
348,116
350,148
352,128
354,126
356,132
358,127
360,135
362,113
364,102
366,115
368,127
370,118
372,126
374,117
376,129
378,113
380,116
382,113
384,125
386,126
388,117
390,110
392,134
394,121
396,126
398,99
400,100
402,131
404,149
406,118
408,123
410,125
412,125
414,127
416,140
418,128
420,97
422,113
424,121
426,128
428,131
430,110
432,121
434,133
436,117
438,115
440,112
442,121
444,134
446,114
448,130
450,109
452,126
454,107
456,123
458,112
460,119
462,116
464,120
466,130
468,117
470,110
472,111
474,106
476,112
478,135
480,118
482,127
484,124
486,110
488,120
490,127
492,99
494,120
496,134
498,142
500,118
502,129
504,106
506,103
508,137
510,108
512,112
514,113
516,105
518,102
520,112
522,120
524,107
526,108
528,106
530,144
532,96
534,108
536,107
538,124
540,93
542,113
544,118
546,132
548,108
550,120
552,138
554,109
556,121
558,115
560,107
562,122
564,141
566,122
568,109
570,123
572,118
574,118
576,106
578,104
580,100
582,87
584,99
586,122
588,107
590,118
592,107
594,119
596,104
598,105
600,133
602,118
604,123
606,114
608,104
610,120
612,124
614,117
616,115
618,123
620,120
622,121
624,117
626,116
628,105
630,108
632,110
634,109
636,101
638,122
640,102
642,108
644,122
646,115
648,101
650,109
652,120
654,122
656,115
658,112
660,111
662,126
664,110
666,113
668,125
670,133
672,111
674,109
676,98
678,108
680,115
682,111
684,116
686,126
688,121
690,110
692,123
694,127
696,103
698,126
700,143
702,132
704,123
706,110
708,131
710,113
712,110
714,119
716,111
718,117
720,109
722,129
724,112
726,110
728,117
730,119
732,106
734,123
736,138
738,121
740,114
742,112
744,135
746,118
748,124
750,107
752,126
754,118
756,127
758,122
760,98
762,113
764,102
766,127
768,118
772,226
776,229
780,272
784,230
788,261
792,238
796,234
800,221
804,236
808,261
812,241
816,220
820,245
824,227
828,230
832,220
836,215
840,255
844,254
848,253
852,243
856,241
860,264
864,252
868,235
872,236
876,249
880,258
884,257
888,245
892,234
896,218
900,214
904,218
908,208
912,249
916,258
920,208
924,238
928,259
932,235
936,232
940,256
944,220
948,229
952,259
956,227
960,234
964,205
968,260
972,213
976,252
980,235
984,226
988,245
992,245
996,240
1000,233
1004,241
1008,272
1012,255
1016,220
1020,252
1024,223
1028,260
1032,241
1036,230
1040,247
1044,234
1048,250
1052,228
1056,242
1060,247
1064,254
1068,238
1072,237
1076,240
1080,217
1084,251
1088,221
1092,255
1096,244
1100,245
1104,269
1108,241
1112,257
1116,238
1120,240
1124,232
1128,244
1132,231
1136,215
1140,208
1144,228
1148,229
1152,232
1156,229
1160,229
1164,241
1168,256
1172,219
1176,249
1180,228
1184,216
1188,234
1192,228
1196,207
1200,238
1204,240
1208,207
1212,234
1216,227
1220,229
1224,189
1228,239
1232,240
1236,199
1240,223
1244,255
1248,263
1252,219
1256,243
1260,208
1264,228
1268,245
1272,212
1276,219
1280,256
1284,256
1288,233
1292,223
1296,230
1300,252
1304,240
1308,254
1312,226
1316,219
1320,206
1324,241
1328,216
1332,242
1336,231
1340,242
1344,246
1348,243
1352,260
1356,233
1360,248
1364,236
1368,224
1372,222
1376,253
1380,223
1384,237
1388,211
1392,246
1396,219
1400,263
1404,250
1408,215
1412,218
1416,222
1420,242
1424,251
1428,203
1432,246
1436,234
1440,251
1444,235
1448,228
1452,236
1456,260
1460,258
1464,225
1468,261
1472,216
1476,226
1480,217
1484,240
1488,213
1492,225
1496,236
1500,255
1504,238
1508,227
1512,219
1516,246
1520,253
1524,259
1528,217
1532,243
1536,258
1540,269
1544,232
1548,213
1552,215
1556,232
1560,245
1564,234
1568,237
1572,244
1576,218
1580,205
1584,237
1588,228
1592,233
1596,245
1600,211
1604,251
1608,245
1612,217
1616,218
1620,239
1624,232
1628,214
1632,229
1636,241
1640,225
1644,221
1648,241
1652,246
1656,261
1660,222
1664,233
1668,237
1672,224
1676,221
1680,245
1684,233
1688,242
1692,223
1696,240
1700,222
1704,240
1708,226
1712,228
1716,211
1720,250
1724,247
1728,236
1732,249
1736,217
1740,236
1744,233
1748,216
1752,230
1756,225
1760,238
1764,266
1768,253
1772,234
1776,245
1780,213
1784,238
1788,226
1792,231
1800,443
1808,448
1816,469
1824,456
1832,443
1840,456
1848,518
1856,452
1864,470
1872,525
1880,462
1888,484
1896,475
1904,479
1912,440
1920,461
1928,478
1936,481
1944,456
1952,493
1960,426
1968,442
1976,448
1984,451
1992,490
2000,463
2008,498
2016,480
2024,461
2032,464
2040,462
2048,457
2056,484
2064,516
2072,432
2080,494
2088,477
2096,492
2104,486
2112,440
2120,456
2128,455
2136,482
2144,426
2152,467
2160,473
2168,459
2176,436
2184,458
2192,455
2200,445
2208,455
2216,430
2224,454
2232,478
2240,441
2248,465
2256,484
2264,465
2272,455
2280,478
2288,449
2296,481
2304,456
2312,471
2320,427
2328,435
2336,498
2344,441
2352,520
2360,460
2368,439
2376,491
2384,435
2392,429
2400,480
2408,444
2416,482
2424,455
2432,470
2440,435
2448,471
2456,470
2464,485
2472,531
2480,470
2488,480
2496,481
2504,434
2512,480
2520,468
2528,457
2536,458
2544,483
2552,478
2560,499
2568,468
2576,467
2584,425
2592,474
2600,490
2608,475
2616,433
2624,427
2632,439
2640,504
2648,472
2656,463
2664,483
2672,469
2680,462
2688,463
2696,482
2704,440
2712,476
2720,455
2728,452
2736,469
2744,491
2752,440
2760,484
2768,497
2776,427
2784,462
2792,471
2800,493
2808,466
2816,481
2824,511
2832,472
2840,528
2848,566
2856,599
2864,676
2872,717
2880,777
2888,873
2896,984
2904,1182
2912,1344
2920,1502
2928,1602
2936,1751
2944,1823
2952,1963
2960,1912
2968,2009
2976,1989
2984,1960
2992,1902
3000,1932
3008,1997
3016,2158
3024,2607
3032,3173
3040,3988
3048,5356
3056,6797
3064,8981
3072,11385
3080,14279
3088,17903
3096,21747
3104,25736
3112,29555
3120,33601
3128,36957
3136,40071
3144,42822
3152,43971
3160,44893
3168,45350
3176,44767
3184,42906
3192,41185
3200,38945
3208,36181
3216,33468
3224,31050
3232,28273
3240,25788
3248,23461
3256,21136
3264,19198
3272,17361
3280,15525
3288,13754
3296,11835
3304,10540
3312,8747
3320,7535
3328,6128
3336,4982
3344,4008
3352,3086
3360,2258
3368,1668
3376,1268
3384,941
3392,685
3400,468
3408,349
3416,239
3424,165
3432,142
3440,99
3448,86
3456,70
3464,55
3472,75
3480,57
3488,52
3496,36
3504,51
3512,45
3520,48
3528,34
3536,38
3544,28
3552,23
3560,20
3568,20
3576,25
3584,13
3592,13
3600,14
3608,10
3616,8
3624,9
3632,6
3640,5
3648,8
3656,6
3664,5
3672,1
3680,6
3688,4
3696,3
3704,4
3712,3
3720,1
3728,1
3736,5
3744,6
3752,0
3760,5
3768,2
3776,5
3784,3
3792,6
3800,3
3808,3
3816,1
3824,6
3832,2
3840,7
3856,7
3872,6
3888,7
3904,10
3920,12
3936,11
3952,11
3968,10
3984,11
4000,3
4016,5
4032,7
4048,10
4064,6
4080,4
4096,5
4112,5
4128,4
4144,7
4160,6
4176,9
4192,6
4208,13
4224,7
4240,5
4256,6
4272,7
4288,6
4304,10
4320,12
4336,10
4352,5
4368,8
4384,9
4400,2
4416,5
4432,5
4448,6
4464,3
4480,11
4496,6
4512,2
4528,6
4544,2
4560,9
4576,7
4592,4
4608,3
4624,5
4640,8
4656,4
4672,11
4688,10
4704,9
4720,10
4736,5
4752,2
4768,2
4784,4
4800,5
4816,4
4832,7
4848,10
4864,7
4880,3
4896,11
4912,10
4928,6
4944,10
4960,3
4976,7
4992,6
5008,8
5024,6
5040,8
5056,7
5072,5
5088,5
5104,7
5120,7
5136,5
5152,6
5168,11
5184,7
5200,14
5216,8
5232,6
5248,4
5264,4
5280,3
5296,6
5312,3
5328,4
5344,4
5360,4
5376,4
5392,7
5408,6
5424,3
5440,4
5456,1
5472,2
5488,5
5504,0
5520,8
5536,7
5552,3
5568,0
5584,4
5600,6
5616,2
5632,6
5648,6
5664,2
5680,4
5696,10
5712,6
5728,2
5744,2
5760,8
5776,5
5792,6
5808,6
5824,3
5840,5
5856,3
5872,5
5888,3
5904,6
5920,5
5936,6
5952,3
5968,4
5984,0
6000,5
6016,6
6032,5
6048,1
6064,7
6080,5
6096,4
6112,11
6128,6
6144,10
6160,18
6176,22
6192,32
6208,32
6224,39
6240,72
6256,77
6272,102
6288,129
6304,186
6320,271
6336,379
6352,495
6368,656
6384,799
6400,950
6416,1005
6432,1125
6448,1251
6464,1242
6480,1222
6496,1217
6512,1171
6528,1081
6544,1029
6560,839
6576,729
6592,660
6608,511
6624,382
6640,306
6656,231
6672,155
6688,101
6704,79
6720,51
6736,35
6752,31
6768,35
6784,29
6800,31
6816,26
6832,28
6848,18
6864,20
6880,11
6896,11
6912,13
6928,10
6944,1
6960,6
6976,4
6992,6
7008,4
7024,3
7040,3
7056,5
7072,1
7088,2
7104,5
7120,2
7136,7
7152,5
7168,4
7184,4
7200,2
7216,2
7232,2
7248,4
7264,4
7280,4
7296,3
7312,4
7328,5
7344,6
7360,5
7376,4
7392,2
7408,4
7424,3
7440,3
7456,1
7472,2
7488,3
7504,2
7520,1
7536,2
7552,4
7568,3
7584,1
7600,4
7616,2
7632,0
7648,1
7664,3
7680,1
7696,1
7712,4
7728,4
7744,0
7760,3
7776,3
7792,4
7808,5
7824,5
7840,2
7856,4
7872,5
7888,3
7904,2
7920,6
7936,1
7968,7
8000,6
8032,4
8064,6
8096,8
8128,7
8160,9
8192,1
8224,7
8256,4
8288,4
8320,9
8352,5
8384,7
8416,4
8448,6
8480,5
8512,7
8544,5
8576,4
8608,8
8640,9
8672,9
8704,8
8736,7
8768,14
8800,11
8832,12
8864,9
8896,13
8928,12
8960,9
8992,15
9024,13
9056,14
9088,19
9120,10
9152,8
9184,16
9216,18
9248,13
9280,9
9312,15
9344,19
9376,19
9408,23
9440,36
9472,37
9504,66
9536,139
9568,237
9600,473
9632,671
9664,1006
9696,1243
9728,1523
9760,1532
9792,1429
9824,1230
9856,931
9888,720
9920,475
9952,272
9984,167
10016,97
10048,73
10080,41
10112,38
10144,32
10176,36
10208,31
10240,11
10272,12
10304,9
10336,18
10368,12
10400,13
10432,11
10464,7
10496,10
10528,15
10560,6
10592,5
10624,15
10656,11
10688,9
10720,11
10752,10
10784,13
10816,10
10848,3
10880,9
10912,6
10944,8
10976,6
11008,6
11040,8
11072,15
11104,5
11136,7
11168,6
11200,9
11232,7
11264,5
11296,8
11328,13
11360,4
11392,10
11424,7
11456,6
11488,11
11520,3
11552,9
11584,19
11616,2
11648,6
11680,10
11712,7
11744,9
11776,8
11808,8
11840,6
11872,7
11904,11
11936,10
11968,8
12000,14
12032,5
12064,10
12096,8
12128,10
12160,6
12192,10
12224,12
12256,8
12288,7
12320,5
12352,5
12384,4
12416,5
12448,4
12480,8
12512,5
12544,7
12576,9
12608,11
12640,13
12672,11
12704,31
12736,56
12768,80
12800,121
12832,238
12864,385
12896,526
12928,702
12960,985
12992,1095
13024,1127
13056,1098
13088,1041
13120,905
13152,647
13184,498
13216,320
13248,190
13280,121
13312,73
13344,53
13376,30
13408,36
13440,19
13472,15
13504,14
13536,2
13568,6
13600,9
13632,7
13664,6
13696,13
13728,5
13760,5
13792,5
13824,6
13856,6
13888,3
13920,3
13952,7
13984,6
14016,5
14048,4
14080,5
14112,8
14144,3
14176,4
14208,3
14240,6
14272,12
14304,3
14336,5
14368,4
14400,5
14432,5
14464,5
14496,5
14528,6
14560,3
14592,4
14624,8
14656,4
14688,4
14720,2
14752,2
14784,6
14816,2
14848,4
14880,4
14912,2
14944,7
14976,3
15008,4
15040,1
15072,2
15104,5
15136,3
15168,3
15200,1
15232,5
15264,0
15296,3
15328,4
15360,3
15392,4
15424,2
15456,6
15488,5
15520,3
15552,3
15584,1
15616,3
15648,4
15680,4
15712,4
15744,3
15776,3
15808,1
15840,5
15872,3
15904,9
15936,12
15968,16
16000,37
16032,64
16064,121
16096,167
16128,298
16192,985
16256,1574
16320,1775
16384,1595
16448,1050
16512,569
16576,255
16640,87
16704,47
16768,25
16832,17
16896,10
16960,9
17024,8
17088,6
17152,4
17216,1
17280,5
17344,2
17408,6
17472,4
17536,1
17600,2
17664,9
17728,2
17792,6
17856,3
17920,4
17984,4
18048,2
18112,2
18176,8
18240,4
18304,7
18368,4
18432,4
18496,2
18560,3
18624,2
18688,8
18752,8
18816,5
18880,3
18944,4
19008,1
19072,2
19136,15
19200,10
19264,58
19328,186
19392,442
19456,801
19520,1191
19584,1502
19648,1438
19712,1107
19776,594
19840,305
19904,132
19968,51
20032,17
20096,16
20160,12
20224,9
20288,4
20352,6
20416,4
20480,3
20544,2
20608,2
20672,3
20736,8
20800,3
20864,4
20928,2
20992,3
21056,3
21120,2
21184,7
21248,3
21312,5
21376,4
21440,5
21504,4
21568,3
21632,1
21696,3
21760,4
21824,4
21888,3
21952,1
22016,2
22080,4
22144,6
22208,4
22272,7
22336,4
22400,11
22464,34
22528,66
22592,163
22656,365
22720,677
22784,1037
22848,1282
22912,1348
22976,1101
23040,680
23104,387
23168,198
23232,80
23296,48
23360,13
23424,6
23488,4
23552,3
23616,2
23680,3
23744,3
23808,3
23872,1
23936,4
24000,3
24064,2
24128,0
24192,2
24256,6
24320,2
24384,2
24448,4
24512,7
24576,5
24640,2
24704,2
24768,2
24832,6
24896,4
24960,5
25024,3
25088,2
25152,6
25216,4
25280,3
25344,4
25408,2
25472,3
25536,7
25600,11
25664,10
25728,27
25792,59
25856,133
25920,295
25984,618
26048,904
26112,1052
26176,1163
26240,961
26304,704
26368,422
26432,196
26496,85
26560,36
26624,21
26688,12
26752,13
26816,6
26880,8
26944,6
27008,3
27072,2
27136,4
27200,7
27264,3
27328,5
27392,2
27456,0
27520,2
27584,2
27648,1
27712,5
27776,3
27840,2
27904,2
27968,3
28032,1
28096,3
28160,4
28224,1
28288,2
28352,4
28416,1
28480,5
28544,4
28608,4
28672,5
28736,3
28800,5
28864,6
28928,8
28992,24
29056,63
29120,147
29184,270
29248,471
29312,718
29376,910
29440,1002
29504,866
29568,639
29632,436
29696,274
29760,135
29824,52
29888,28
29952,19
30016,10
30080,4
30144,3
30208,2
30272,6
30336,6
30400,1
30464,2
30528,1
30592,2
30656,3
30720,5
30784,2
30848,5
30912,2
30976,5
31040,2
31104,4
31168,0
31232,0
31296,3
31360,4
31424,3
31488,3
31552,2
31616,4
31680,2
31744,3
31808,3
31872,5
31936,2
32000,5
32064,2
32128,1
32192,12
32256,26
32320,59
32384,127
32448,235
32512,409
32640,1365
32768,1709
32896,1139
33024,464
33152,116
33280,28
33408,12
33536,7
33664,9
33792,7
33920,5
34048,4
34176,10
34304,8
34432,5
34560,7
34688,4
34816,11
34944,7
35072,8
35200,9
35328,5
35456,23
35584,60
35712,339
35840,856
35968,1454
36096,1370
36224,810
36352,268
36480,68
36608,22
36736,16
36864,8
36992,5
37120,4
37248,4
37376,5
37504,9
37632,10
37760,2
37888,4
38016,7
38144,7
38272,10
38400,10
38528,7
38656,6
38784,25
38912,123
39040,481
39168,1042
39296,1366
39424,1073
39552,496
39680,153
39808,48
39936,14
40064,8
40192,9
40320,10
40448,7
40576,7
40704,7
40832,8
40960,10
41088,7
41216,8
41344,8
41472,4
41600,5
41728,8
41856,3
41984,16
42112,57
42240,240
42368,610
42496,1087
42624,1153
42752,735
42880,307
43008,123
43136,29
43264,13
43392,9
43520,8
43648,12
43776,6
43904,6
44032,10
44160,2
44288,7
44416,7
44544,7
44672,9
44800,6
44928,4
45056,6
45184,18
45312,23
45440,117
45568,326
45696,754
45824,1084
45952,991
46080,573
46208,219
46336,80
46464,17
46592,9
46720,11
46848,1
46976,7
47104,8
47232,0
47360,7
47488,10
47616,6
47744,5
47872,8
48000,10
48128,8
48256,10
48384,14
48512,16
48640,44
48768,165
48896,500
49024,851
49152,977
49280,804
49408,430
49536,149
49664,49
49792,21
49920,5
50048,9
50176,1
50304,6
50432,7
50560,6
50688,10
50816,7
50944,4
51072,5
51200,5
51328,3
51456,8
51584,12
51712,12
51840,22
51968,94
52096,268
52224,528
52352,836
52480,840
52608,611
52736,263
52864,84
52992,34
53120,17
53248,9
53376,11
53504,3
53632,7
53760,7
53888,5
54016,9
54144,14
54272,5
54400,4
54528,8
54656,6
54784,11
54912,10
55040,15
55168,45
55296,131
55424,353
55552,640
55680,827
55808,689
55936,425
56064,180
56192,58
56320,23
56448,14
56576,5
56704,6
56832,2
56960,8
57088,6
57216,7
57344,6
57472,6
57600,5
57728,7
57856,2
57984,4
58112,7
58240,11
58368,24
58496,60
58624,201
58752,457
58880,654
59008,724
59136,559
59264,256
59392,112
59520,32
59648,17
59776,8
59904,1
60032,12
60160,6
60288,9
60416,6
60544,9
60672,8
60800,5
60928,7
61056,6
61184,16
61312,4
61440,10
61568,8
61696,35
61824,99
61952,289
62080,485
62208,585
62336,594
62464,422
62592,195
62720,65
62848,25
62976,10
63104,5
63232,10
63360,8
63488,5
63616,1
63744,7
63872,7
64000,3
64128,6
64256,5
64384,6
64512,7
64640,11
64768,12
64896,22
65024,58
65152,164
65280,322
65536,1149
65792,860
66048,202
66304,20
66560,23
66816,15
67072,9
67328,9
67584,15
67840,12
68096,19
68352,111
68608,577
68864,1056
69120,625
69376,120
69632,21
69888,16
70144,12
70400,11
70656,10
70912,11
71168,17
71424,29
71680,169
71936,718
72192,910
72448,517
72704,80
72960,28
73216,9
73472,14
73728,10
73984,14
74240,7
74496,8
74752,34
75008,247
75264,745
75520,856
75776,332
76032,55
76288,21
76544,12
76800,11
77056,9
77312,8
77568,12
77824,22
78080,51
78336,278
78592,724
78848,693
79104,272
79360,45
79616,10
79872,16
80128,6
80384,13
80640,12
80896,10
81152,17
81408,76
81664,329
81920,737
82176,608
82432,203
82688,37
82944,14
83200,10
83456,11
83712,13
83968,9
84224,13
84480,18
84736,100
84992,434
85248,690
85504,463
85760,126
86016,26
86272,10
86528,14
86784,15
87040,9
87296,11
87552,14
87808,23
88064,155
88320,446
88576,657
88832,377
89088,103
89344,24
89600,15
89856,9
90112,8
90368,8
90624,16
90880,13
91136,44
91392,224
91648,529
91904,581
92160,288
92416,54
92672,19
92928,9
93184,13
93440,17
93696,10
93952,5
94208,13
94464,61
94720,226
94976,497
95232,457
95488,219
95744,44
96000,16
96256,13
96512,14
96768,9
97024,10
97280,11
97536,23
97792,61
98048,264
98304,475
98560,399
98816,178
99072,36
99328,17
