reuse_time,counts
1,97207
2,9269856
3,2799177
4,6698072
5,1380071
6,29400
7,10128
8,1354562
9,16428
10,69322
11,11283
12,4057534
13,453
14,11863
15,6443
16,8006
17,1361186
18,35497
19,1497
20,1190274
21,12254
22,384
23,18386
24,3955701
25,5090
26,289
27,375
28,213
29,4781
30,1273182
31,1346005
32,154
33,1345855
34,4911
35,230
36,13945317
37,188
38,165
39,329
40,3810
41,102
42,97
43,66
44,118
45,150
46,53
47,90
48,94
49,83
50,84
51,110
52,83
53,76
54,511
55,111
56,182
57,232
58,146
59,61
60,607
61,90
62,51
63,3416
64,125
65,106
66,687
67,63
68,64
69,84
70,140
71,68
72,233
73,94
74,124
75,139
76,39
77,41
78,73
79,53
80,53
81,80
82,19
83,97
84,28
85,53
86,40
87,41
88,45
89,64
90,360
91,58
92,99
93,90
94,45
95,32
96,69
97,43
98,24
99,46
100,62
101,49
102,30
103,71
104,61
105,48
106,111
107,40
108,51
109,21
110,119
111,39
112,49
113,52
114,58
115,51
116,26
117,29
118,14
119,24
120,208
121,15
122,26
123,17
124,15
125,19
126,29
127,8
128,56
129,91
130,50
131,10
132,27
133,19
134,20
135,17
136,14
137,7
138,12
139,4
140,23
141,10
142,23
143,88
144,43
145,16
146,45
147,18
148,8
149,25
150,137
151,10
152,71
153,31
154,26
155,18
156,28
157,14
158,8
159,18
160,22
161,91
162,36
163,25
164,43
165,14
166,10
167,19
168,19
169,20
170,27
171,28
172,8
173,34
174,35
175,52
176,32
177,11
178,36
179,19
180,122
181,8
182,56
183,23
184,12
185,7
186,21
187,14
188,9
189,18
190,14
191,8
192,21
193,9
194,8
195,11
196,14
197,14
198,45
199,10
200,15
201,16
202,4
203,21
204,18
205,5
206,7
207,16
208,14
209,97
210,84
211,14
212,10
213,4
214,13
215,12
216,13
217,91
218,19
219,89
220,7
221,107
222,12
223,22
224,13
225,0
226,6
227,4
228,8
229,4
230,5
231,91
232,1
233,15
234,9
235,12
236,23
237,8
238,0
239,10
240,55
241,12
242,11
243,5
244,33
245,3
246,22
247,8
248,14
249,10
250,15
251,9
252,4
253,20
254,20
255,9
256,6
258,34
260,13
262,41
264,11
266,11
268,37
270,31
272,24
274,96
276,6
278,255
280,3
282,89
284,10
286,8
288,5
290,38
292,8
294,11
296,8
298,14
300,28
302,10
304,4
306,3
308,8
310,10
312,12
314,25
316,14
318,10
320,86
322,10
324,16
326,14
328,11
330,32
332,79
334,7
336,26
338,11
340,7
342,53
344,55
346,9
348,18
350,16
352,10
354,16
356,22
358,9
360,38
362,7
364,13
366,15
368,58
370,70
372,35
374,5
376,65
378,75
380,14
382,21
384,10
386,4
388,9
390,16
392,6
394,1
396,11
398,16
400,2
402,4
404,6
406,23
408,5
410,7
412,1
414,5
416,10
418,3
420,8
422,4
424,3
426,6
428,30
430,5
432,5
434,13
436,9
438,4
440,6
442,10
444,5
446,6
448,9
450,9
452,19
454,4
456,5
458,4
460,7
462,5
464,3
466,6
468,5
470,3
472,1
474,19
476,7
478,10
480,6
482,7
484,4
486,9
488,9
490,3
492,5
494,5
496,8
498,12
500,3
502,7
504,8
506,5
508,5
510,9
512,9
514,3
516,4
518,4
520,15
522,3
524,1
526,6
528,4
530,1
532,5
534,2
536,4
538,6
540,9
542,5
544,13
546,6
548,4
550,10
552,6
554,5
556,4
558,5
560,2
562,4
564,16
566,7
568,2
570,4
572,6
574,10
576,6
578,2
580,6
582,7
584,3
586,6
588,544
590,6
592,551
594,7
596,592
598,2
600,523
602,5
604,590
606,4453
608,13136
610,863
612,5590
614,2
616,1690
618,3
620,12
622,2
624,505
626,248
628,49
630,3
632,2
634,3
636,5
638,4
640,0
642,483
644,5
646,576
648,1
650,560
652,2
654,578
656,7522
658,1720
660,734
662,527
664,4
666,569
668,1
670,538
672,9
674,87
676,3
678,9
680,2
682,3328
684,646
686,10
688,8
690,1
692,5
694,2
696,2
698,458
700,2
702,88
704,5
706,2890
708,3832
710,7054
712,3
714,1230
716,5
718,3710
720,3
722,727
724,524
726,3650
728,3
730,716
732,7
734,3626
736,3819
738,1467
740,3713
742,2
744,751
746,136
748,1
750,29
752,2
754,0
756,3
758,2
760,1
762,1
764,2
766,496
768,3
772,110
776,13
780,11
784,8
788,3
792,552
796,7
800,0
804,0
808,4
812,4
816,2
820,4
824,4
828,3
832,0
836,455
840,102
844,0
848,2
852,2
856,1
860,572
864,5
868,8
872,3
876,2
880,5
884,2
888,1
892,0
896,1
900,4
904,453
908,99
912,4
916,5
920,3
924,1
928,580
932,5
936,3
940,3
944,0
948,4
952,0
956,3
960,7
964,6
968,3
972,453
976,96
980,4
984,3
988,2
992,1
996,593
1000,3
1004,2
1008,1
1012,3
1016,1
1020,3
1024,2
1028,5
1032,1
1036,4
1040,449
1044,92
1048,3
1052,2
1056,7
1060,2
1064,593
1068,6
1072,5
1076,1
1080,2
1084,3
1088,1
1092,2
1096,2
1100,5
1104,3
1108,472
1112,81
1116,6
1120,3
1124,2
1128,1
1132,596
1136,1
1140,0
1144,0
1148,1
1152,2
1156,3
1160,2
1164,4
1168,1
1172,6
1176,470
1180,107
1184,1
1188,4
1192,3
1196,2
1200,518
1204,1
1208,2
1212,2
1216,4
1220,2
1224,1
1228,0
1232,1
1236,3
1240,3
1244,449
1248,96
1252,3
1256,1
1260,4
1264,0
1268,594
1272,1
1276,4
1280,1
1284,5
1288,1
1292,2
1296,4
1300,2
1304,2
1308,3
1312,514
1316,90
1320,2
1324,3
1328,4
1332,4
1336,583
1340,1
1344,3
1348,3
1352,1
1356,2
1360,2
1364,4
1368,0
1372,2
1376,2
1380,450
1384,86
1388,2
1392,2
1396,2
1400,4
1404,507
1408,2
1412,3
1416,1
1420,1
1424,1
1428,0
1432,3
1436,2
1440,3
1444,2
1448,490
1452,96
1456,6
1460,2
1464,3
1468,0
1472,537
1476,1
1480,1
1484,2
1488,2
1492,4
1496,2
1500,1
1504,1
1508,2
1512,0
1516,475
1520,88
1524,1
1528,0
1532,1
1536,1
1540,555
1544,0
1548,1
1552,1
1556,1
1560,4
1564,1
1568,2
1572,1
1576,0
1580,4
1584,447
1588,93
1592,1
1596,1
1600,0
1604,2
1608,568
1612,3
1616,3
1620,2
1624,2
1628,2
1632,2
1636,1
1640,2
1644,2
1648,4
1652,488
1656,93
1660,1
1664,2
1668,2
1672,0
1676,510
1680,1
1684,3
1688,1
1692,2
1696,1
1700,4
1704,4
1708,1
1712,4
1716,1
1720,455
1724,96
1728,1
1732,1
1736,1
1740,5
1744,573
1748,1
1752,2
1756,1
1760,2
1764,1
1768,1
1772,3
1776,1
1780,3
1784,1
1788,463
1792,116
1800,4
1808,6
1816,551
1824,4
1832,2
1840,3
1848,2
1856,465
1864,84
1872,1
1880,592
1888,0
1896,3
1904,0
1912,6
1920,4
1928,550
1936,2
1944,5
1952,578
1960,4
1968,1
1976,3
1984,2
1992,480
2000,116
2008,3
2016,603
2024,1
2032,7
2040,1
2048,3
2056,2
2064,552
2072,1
2080,3
2088,571
2096,2
2104,6
2112,3
2120,1
2128,466
2136,111
2144,3
2152,562
2160,1
2168,2
2176,2
2184,1
2192,3
2200,566
2208,5
2216,3
2224,529
2232,3
2240,0
2248,5
2256,3
2264,473
2272,102
2280,2
2288,558
2296,7
2304,2
2312,0
2320,5
2328,2
2336,615
2344,2
2352,6
2360,568
2368,0
2376,6
2384,3
2392,4
2400,444
2408,107
2416,4
2424,636
2432,2
2440,5
2448,3
2456,4
2464,5
2472,526
2480,3
2488,2
2496,583
2504,6
2512,7
2520,2
2528,2
2536,445
2544,79
2552,4
2560,547
2568,2
2576,6
2584,4
2592,5
2600,5
2608,514
2616,6
2624,4
2632,539
2640,7
2648,9
2656,5
2664,3
2672,456
2680,84
2688,3
2696,600
2704,2
2712,5
2720,2
2728,2
2736,2
2744,545
2752,2
2760,5
2768,546
2776,5
2784,9
2792,2
2800,2
2808,478
2816,100
2824,4
2832,515
2840,0
2848,2
2856,3
2864,2
2872,2
2880,555
2888,1
2896,5
2904,555
2912,0
2920,4
2928,5
2936,3
2944,534
2952,102
2960,15
2968,537
2976,1
2984,1
2992,2
3000,1
3008,0
3016,548
3024,13
3032,13
3040,562
3048,21
3056,4
3064,19
3072,2
3080,464
3088,117
3096,2
3104,603
3112,1
3120,3
3128,5
3136,1
3144,3
3152,561
3160,7
3168,7
3176,526
3184,3
3192,7
3200,4
3208,38
3216,419
3224,108
3232,18
3240,578
3248,5
3256,4
3264,2
3272,5
3280,0
3288,552
3296,6
3304,5
3312,562
3320,6
3328,4
3336,3
3344,2
3352,485
3360,99
3368,3
3376,571
3384,4
3392,4
3400,7
3408,3
3416,0
3424,575
3432,5
3440,4
3448,625
3456,5
3464,4
3472,4
3480,2
3488,444
3496,77
3504,6
3512,574
3520,4
3528,9
3536,4
3544,7
3552,5
3560,558
3568,3
3576,3
3584,544
3592,3
3600,1
3608,3
3616,1
3624,493
3632,92
3640,1
3648,602
3656,3
3664,3
3672,2
3680,4
3688,3
3696,572
3704,3
3712,2
3720,502
3728,1
3736,4
3744,4
3752,8
3760,442
3768,103
3776,5
3784,533
3792,5
3800,5
3808,6
3816,3
3824,6
3832,547
3840,6
3856,577
3872,3
3888,11
3904,604
3920,560
3936,4
3952,5
3968,559
3984,8
4000,555
4016,5
4032,454
4048,131
4064,603
4080,3
4096,5
4112,543
4128,609
4144,9
4160,3
4176,563
4192,597
4208,8
4224,3
4240,549
4256,4
4272,563
4288,0
4304,446
4320,107
4336,609
4352,3
4368,6
4384,590
4400,584
4416,3
4432,11
4448,537
4464,583
4480,17
4496,4
4512,589
4528,7
4544,588
4560,3
4576,490
4592,95
4608,559
4624,2
4640,4
4656,534
4672,538
4688,10
4704,6
4720,624
4736,629
4752,2
4768,5
4784,540
4800,0
4816,589
4832,5
4848,466
4864,88
4880,592
4896,15
4912,6
4928,568
4944,546
4960,10
4976,6
4992,607
5008,559
5024,4
5040,5
5056,526
5072,7
5088,582
5104,5
5120,463
5136,98
5152,584
5168,2
5184,5
5200,605
5216,603
5232,9
5248,5
5264,564
5280,579
5296,28
5312,20
5328,557
5344,3
5360,582
