cache_lines,MRC
256,0.190865
512,0.190861
768,0.189303
1024,0.189011
1280,0.183602
1536,0.138413
1792,0.138324
2048,0.137674
2304,0.136968
2560,0.127159
2816,0.127159
3072,0.127159
3328,0.127159
3584,0.127159
3840,0.127159
4096,0.127159
4352,0.127159
4608,0.127159
4864,0.127159
5120,0.127159
5376,0.127159
5632,0.127159
5888,0.127159
6144,0.127159
6400,0.127159
6656,0.127159
6912,0.127159
7168,0.127159
7424,0.127159
7680,0.127159
7936,0.127159
8192,0.127159
8448,0.127159
8704,0.127159
8960,0.127159
9216,0.127159
9472,0.127159
9728,0.127159
9984,0.127159
10240,0.127159
10496,0.127159
10752,0.127159
11008,0.127159
11264,0.127159
11520,0.127159
11776,0.127159
12032,0.127159
12288,0.127159
12544,0.127159
12800,0.127159
13056,0.127159
13312,0.127159
13568,0.127159
13824,0.127159
14080,0.127159
14336,0.127159
14592,0.127159
14848,0.127159
15104,0.127159
15360,0.127159
15616,0.127159
15872,0.127159
16128,0.127159
16384,0.127159
16640,0.127159
16896,0.127159
17152,0.127159
17408,0.127159
17664,0.127159
17920,0.127159
18176,0.127159
18432,0.127159
18688,0.127159
18944,0.127159
19200,0.127159
19456,0.127159
19712,0.127159
19968,0.127159
20224,0.127159
20480,0.127159
20736,0.127159
20992,0.127159
21248,0.127159
21504,0.127159
21760,0.127159
22016,0.127159
22272,0.127159
22528,0.127159
22784,0.127159
23040,0.127159
23296,0.127159
23552,0.127159
23808,0.127159
24064,0.127159
24320,0.127159
24576,0.127159
24832,0.127159
25088,0.127159
25344,0.127159
25600,0.127159
25856,0.127159
26112,0.127159
26368,0.127159
26624,0.127159
26880,0.127159
27136,0.127159
27392,0.127159
27648,0.127159
27904,0.127159
28160,0.127159
28416,0.127159
28672,0.127159
28928,0.127159
29184,0.127159
29440,0.127159
29696,0.127159
29952,0.127159
30208,0.127159
30464,0.127159
30720,0.127159
30976,0.127159
31232,0.127159
31488,0.127159
31744,0.127159
32000,0.127159
32256,0.127159
32512,0.127159
32768,0.127159
33024,0.127159
33280,0.127159
33536,0.127159
33792,0.127159
34048,0.127159
34304,0.127159
34560,0.127159
34816,0.127159
35072,0.127159
35328,0.127159
35584,0.127159
35840,0.127159
36096,0.127159
36352,0.127159
36608,0.127159
36864,0.127159
37120,0.127152
37376,0.127147
37632,0.127141
37888,0.127136
38144,0.127131
38400,0.127128
38656,0.127124
38912,0.127121
39168,0.127117
39424,0.127113
39680,0.127109
39936,0.127105
40192,0.127101
40448,0.127097
40704,0.127094
40960,0.12709
41216,0.127085
41472,0.127081
41728,0.127078
41984,0.127073
42240,0.12707
42496,0.127066
42752,0.127062
43008,0.127058
43264,0.127054
43520,0.12705
43776,0.127047
44032,0.127043
44288,0.127039
44544,0.127035
44800,0.127031
45056,0.127028
45312,0.127024
45568,0.12702
45824,0.127016
46080,0.127011
46336,0.127007
46592,0.127004
46848,0.127001
47104,0.126997
47360,0.126993
47616,0.126989
47872,0.126985
48128,0.126981
48384,0.126977
48640,0.126973
48896,0.126969
49152,0.126965
49408,0.126961
49664,0.126956
49920,0.126953
50176,0.126949
50432,0.126945
50688,0.126941
50944,0.126937
51200,0.126933
51456,0.126929
51712,0.126925
51968,0.126921
52224,0.126918
52480,0.126913
52736,0.126908
52992,0.126904
53248,0.1269
53504,0.126895
53760,0.126892
54016,0.126888
54272,0.126884
54528,0.126879
54784,0.126876
55040,0.126872
55296,0.126869
55552,0.126865
55808,0.12686
56064,0.126857
56320,0.126853
56576,0.126849
56832,0.126845
57088,0.12684
57344,0.126836
57600,0.126833
57856,0.126829
58112,0.126825
58368,0.126821
58624,0.126817
58880,0.126812
59136,0.126808
59392,0.126804
59648,0.1268
59904,0.126796
60160,0.126792
60416,0.126788
60672,0.126784
60928,0.12678
61184,0.126776
61440,0.126773
61696,0.126769
61952,0.126765
62208,0.126761
62464,0.126757
62720,0.126754
62976,0.12675
63232,0.126746
63488,0.126742
63744,0.126738
64000,0.126734
64256,0.12673
64512,0.126726
64768,0.126723
65024,0.126719
65280,0.126715
65536,0.12671
65792,0.126707
66048,0.126703
66304,0.126699
66560,0.126694
66816,0.126691
67072,0.126686
67328,0.126682
67584,0.126678
67840,0.126673
68096,0.126669
68352,0.126666
68608,0.126662
68864,0.126658
69120,0.126654
69376,0.12665
69632,0.126646
69888,0.126643
70144,0.126639
70400,0.126635
70656,0.126631
70912,0.126627
71168,0.126623
71424,0.12662
71680,0.126616
71936,0.126612
72192,0.126608
72448,0.126604
72704,0.1266
72960,0.126596
73216,0.126592
73472,0.126588
73728,0.126584
73984,0.126579
74240,0.126576
74496,0.126572
74752,0.126569
75008,0.126565
75264,0.126561
75520,0.126557
75776,0.126554
76032,0.12655
76288,0.126546
76544,0.126542
76800,0.126537
77056,0.126533
77312,0.126529
77568,0.126526
77824,0.126522
78080,0.126518
78336,0.126514
78592,0.12651
78848,0.126506
79104,0.126502
79360,0.126498
79616,0.126494
79872,0.12649
80128,0.126486
80384,0.126482
80640,0.126479
80896,0.126474
81152,0.12647
81408,0.126466
81664,0.126462
81920,0.126459
82176,0.126455
82432,0.126451
82688,0.126447
82944,0.126443
83200,0.126439
83456,0.126435
83712,0.126431
83968,0.126428
84224,0.126425
84480,0.12642
84736,0.126125
84992,0.125857
85248,0.125428
85504,0.125122
85760,0.124177
86016,0.123261
86272,0.122385
86528,0.121453
86784,0.120494
87040,0.119645
87296,0.118859
87552,0.118029
87808,0.117311
88064,0.116758
88320,0.116189
88576,0.115628
88832,0.115101
89088,0.114604
89344,0.114131
89600,0.113636
89856,0.113213
90112,0.112689
90368,0.112396
90624,0.111899
90880,0.1115
91136,0.111027
91392,0.110624
91648,0.110226
91904,0.109746
92160,0.109374
92416,0.10858
92672,0.104198
92928,0.0999
93184,0.099349
93440,0.0866683
93696,0.0835613
93952,0.0819166
94208,0.0736238
94464,0.0733732
94720,0.0717995
94976,0.0717941
95232,0.0716825
95488,0.0716701
95744,0.0716701
96000,0.0716701
96256,0.0716701
96512,0.0716701
96768,0.0716701
97024,0.0716701
97280,0.0716701
97536,0.0716701
97792,0.0716701
98048,0.0716701
98304,0.0716701
98560,0.0716701
98816,0.0716701
99072,0.0716701
99328,0.0716701
99584,0.0716701
99840,0.0716701
100096,0.0716701
100352,0.0716701
100608,0.0716701
100864,0.0716701
101120,0.0716701
101376,0.0716701
101632,0.0716701
101888,0.0716701
102144,0.0716701
102400,0.0716701
102656,0.0716701
102912,0.0716701
103168,0.0716701
103424,0.0716701
103680,0.0716701
103936,0.0716701
104192,0.0716701
104448,0.0716701
104704,0.0716701
104960,0.0716701
105216,0.0716701
105472,0.0716701
105728,0.0716701
105984,0.0716701
106240,0.0716701
106496,0.0716701
106752,0.0716701
107008,0.0716701
107264,0.0716701
107520,0.0716701
107776,0.0716701
108032,0.0716701
108288,0.0716701
108544,0.0716701
108800,0.0716701
109056,0.0716701
109312,0.0716701
109568,0.0716701
109824,0.0716701
110080,0.0716701
110336,0.0716701
110592,0.0716701
110848,0.0716701
111104,0.0716701
111360,0.0716701
111616,0.0716701
111872,0.0716701
112128,0.0716701
112384,0.0716701
112640,0.0716701
112896,0.0716699
113152,0.0716695
113408,0.071669
113664,0.0716685
113920,0.0716683
114176,0.071668
114432,0.0716677
114688,0.0716675
114944,0.0716672
115200,0.071667
115456,0.0716668
115712,0.0716666
115968,0.0716665
116224,0.0716664
116480,0.0716662
116736,0.071666
116992,0.0716657
117248,0.0716655
117504,0.0716652
117760,0.0716648
118016,0.0716648
118272,0.0716645
118528,0.0716644
118784,0.0716642
119040,0.071664
119296,0.0716637
119552,0.0716636
119808,0.0716633
120064,0.071663
120320,0.0716628
120576,0.0716624
120832,0.0716621
121088,0.0716619
121344,0.0716617
121600,0.0716615
121856,0.0716613
122112,0.071661
122368,0.0716608
122624,0.0716606
122880,0.0716604
123136,0.0716602
123392,0.07166
123648,0.0716597
123904,0.0716593
124160,0.0716591
124416,0.0716588
124672,0.0716585
124928,0.0716583
125184,0.0716581
125440,0.0716578
125696,0.0716576
125952,0.0716573
126208,0.0716571
126464,0.0716568
126720,0.0716565
126976,0.0716563
127232,0.0716562
127488,0.0716559
127744,0.0716555
128000,0.0716553
128256,0.071655
128512,0.0716549
128768,0.0716547
129024,0.0716545
129280,0.0716543
129536,0.071654
129792,0.0716538
130048,0.0716535
130304,0.0716532
130560,0.071653
130816,0.0716528
131072,0.0716525
131328,0.0716521
131584,0.0716519
131840,0.0716517
132096,0.0716516
132352,0.0716514
132608,0.0716512
132864,0.0716509
133120,0.0716506
133376,0.0716503
133632,0.0716501
133888,0.0716498
134144,0.0716494
134400,0.0716492
134656,0.0716489
134912,0.0716487
135168,0.0716485
135424,0.0716482
135680,0.071648
135936,0.0716477
136192,0.0716475
136448,0.0716464
136704,0.0716254
136960,0.0715954
137216,0.0715597
137472,0.0715196
137728,0.0714842
137984,0.0714443
138240,0.0714144
138496,0.0713864
138752,0.0713648
139008,0.0713425
139264,0.0713182
139520,0.0712973
139776,0.071282
140032,0.071256
140288,0.0712495
140544,0.0712271
140800,0.0712138
141056,0.0711974
141312,0.0711814
141568,0.0711689
141824,0.0711499
142080,0.0711427
142336,0.0711227
142592,0.0711154
142848,0.0711042
143104,0.0710915
143360,0.0710807
143616,0.0710698
143872,0.0710564
144128,0.0710466
144384,0.071035
144640,0.0710223
144896,0.0710118
145152,0.0710018
145408,0.0709883
145664,0.0709729
145920,0.070958
146176,0.0708852
146432,0.0703862
146688,0.070322
146944,0.0700582
147200,0.0699646
147456,0.0697773
147712,0.069628
147968,0.0696185
148224,0.0696024
148480,0.0696024
148736,0.0696022
148992,0.0696022
149248,0.0696022
149504,0.0696022
149760,0.0696022
150016,0.0696022
150272,0.0696022
150528,0.0696022
150784,0.0696022
151040,0.0696022
151296,0.0696022
151552,0.0696022
151808,0.0696022
152064,0.0696022
152320,0.0696022
152576,0.0696022
152832,0.0696022
153088,0.0696022
153344,0.0696022
153600,0.0696022
153856,0.0696022
154112,0.0696022
154368,0.0696022
154624,0.0696022
154880,0.0696022
155136,0.0696022
155392,0.0696022
155648,0.0696022
155904,0.0696022
156160,0.0696022
156416,0.0696022
156672,0.0696022
156928,0.0696022
157184,0.0696022
157440,0.0696022
157696,0.0696022
157952,0.0696022
158208,0.0696022
158464,0.0696022
158720,0.0696022
158976,0.0696022
159232,0.0696022
159488,0.0696022
159744,0.0696022
160000,0.0696022
160256,0.0696022
160512,0.0696022
160768,0.0696022
161024,0.0696022
161280,0.0696022
161536,0.0696022
161792,0.0696022
162048,0.0696022
162304,0.0696022
162560,0.0696022
162816,0.0696022
163072,0.0696022
163328,0.0696022
163584,0.0696022
163840,0.0696022
164096,0.0696022
164352,0.0696022
164608,0.0696022
164864,0.0696022
165120,0.0696022
165376,0.0696022
165632,0.0696022
165888,0.0696022
166144,0.0696022
166400,0.0696022
166656,0.0696022
166912,0.0696022
167168,0.0696022
167424,0.0696022
167680,0.0696022
167936,0.0696022
168192,0.0696022
168448,0.0696022
168704,0.0696022
168960,0.0696022
169216,0.0696022
169472,0.0696022
169728,0.0696022
169984,0.0696022
170240,0.0696022
170496,0.0696022
170752,0.0696022
171008,0.0696022
171264,0.0696022
171520,0.0696022
171776,0.0696022
172032,0.0696022
172288,0.0696022
172544,0.0696022
172800,0.0696022
173056,0.0696022
173312,0.0696022
173568,0.0696022
173824,0.0696022
174080,0.0696022
174336,0.0696022
174592,0.0696022
174848,0.0696022
175104,0.0696022
175360,0.0696022
175616,0.0696022
175872,0.0696022
176128,0.0696022
176384,0.0696022
176640,0.0696022
176896,0.0696022
177152,0.0696022
177408,0.0696022
177664,0.0696022
177920,0.0696022
178176,0.0696022
178432,0.0696022
178688,0.0696022
178944,0.0696022
179200,0.0696022
179456,0.0696022
179712,0.0696022
179968,0.0696022
180224,0.0696022
180480,0.0696022
180736,0.0696022
180992,0.0696022
181248,0.0696022
181504,0.0696022
181760,0.0696022
182016,0.0696022
182272,0.0696022
182528,0.0696022
182784,0.0696022
183040,0.0696022
183296,0.0696022
183552,0.0696022
183808,0.0696022
184064,0.0696022
184320,0.0696022
184576,0.0696022
184832,0.0696022
185088,0.0696022
185344,0.0696022
185600,0.0696022
185856,0.0696022
186112,0.0696022
186368,0.0696022
186624,0.0696022
186880,0.0696022
187136,0.0696022
187392,0.0696022
187648,0.0696022
187904,0.0696022
188160,0.0696022
188416,0.0696022
188672,0.0696022
188928,0.0696021
189184,0.0696021
189440,0.0696021
189696,0.0696021
189952,0.0696021
