cache_lines,MRC
256,0.222838
512,0.22167
768,0.22135
1024,0.216416
1280,0.179652
1536,0.179462
1792,0.178334
2048,0.167843
2304,0.167836
2560,0.167836
2816,0.167836
3072,0.167836
3328,0.167836
3584,0.167836
3840,0.167836
4096,0.167836
4352,0.167836
4608,0.167836
4864,0.167836
5120,0.167836
5376,0.167836
5632,0.167836
5888,0.167836
6144,0.167836
6400,0.167836
6656,0.167836
6912,0.167836
7168,0.167836
7424,0.167836
7680,0.167836
7936,0.167836
8192,0.167836
8448,0.167836
8704,0.167836
8960,0.167836
9216,0.167836
9472,0.167836
9728,0.167836
9984,0.167836
10240,0.167836
10496,0.167836
10752,0.167836
11008,0.167836
11264,0.167836
11520,0.167836
11776,0.167836
12032,0.167836
12288,0.167836
12544,0.167836
12800,0.167836
13056,0.167836
13312,0.167836
13568,0.167836
13824,0.167836
14080,0.167836
14336,0.167836
14592,0.167836
14848,0.167836
15104,0.167836
15360,0.167836
15616,0.167836
15872,0.167836
16128,0.167836
16384,0.167836
16640,0.167836
16896,0.167836
17152,0.167836
17408,0.167836
17664,0.167836
17920,0.167836
18176,0.167836
18432,0.167836
18688,0.167836
18944,0.167836
19200,0.167836
19456,0.167836
19712,0.167836
19968,0.167836
20224,0.167836
20480,0.167836
20736,0.167836
20992,0.167836
21248,0.167836
21504,0.167836
21760,0.167836
22016,0.167836
22272,0.167836
22528,0.167836
22784,0.167836
23040,0.167836
23296,0.167836
23552,0.167836
23808,0.167836
24064,0.167836
24320,0.167836
24576,0.167836
24832,0.167836
25088,0.167836
25344,0.167836
25600,0.167836
25856,0.167836
26112,0.167836
26368,0.167836
26624,0.167836
26880,0.167836
27136,0.167836
27392,0.167836
27648,0.167836
27904,0.167836
28160,0.167836
28416,0.167836
28672,0.167836
28928,0.167836
29184,0.167836
29440,0.167836
29696,0.167836
29952,0.167836
30208,0.167836
30464,0.167836
30720,0.167836
30976,0.167836
31232,0.167836
31488,0.167836
31744,0.167836
32000,0.167836
32256,0.167836
32512,0.167831
32768,0.167826
33024,0.167821
33280,0.167816
33536,0.167812
33792,0.167807
34048,0.167803
34304,0.167798
34560,0.167793
34816,0.167788
35072,0.167784
35328,0.16778
35584,0.167776
35840,0.167772
36096,0.167768
36352,0.167763
36608,0.167759
36864,0.167755
37120,0.167751
37376,0.167746
37632,0.167742
37888,0.167737
38144,0.167733
38400,0.167728
38656,0.167723
38912,0.167718
39168,0.167713
39424,0.167708
39680,0.167704
39936,0.167699
40192,0.167695
40448,0.16769
40704,0.167685
40960,0.16768
41216,0.167676
41472,0.167672
41728,0.167667
41984,0.167664
42240,0.167659
42496,0.167655
42752,0.16765
43008,0.167646
43264,0.167642
43520,0.167638
43776,0.167634
44032,0.167628
44288,0.167624
44544,0.167619
44800,0.167616
45056,0.167611
45312,0.167607
45568,0.167602
45824,0.167597
46080,0.167592
46336,0.167588
46592,0.167583
46848,0.167579
47104,0.167574
47360,0.167569
47616,0.167564
47872,0.16756
48128,0.167556
48384,0.167551
48640,0.167546
48896,0.167542
49152,0.167536
49408,0.167531
49664,0.167526
49920,0.167522
50176,0.167518
50432,0.167513
50688,0.167509
50944,0.167504
51200,0.167499
51456,0.167495
51712,0.167491
51968,0.167486
52224,0.167481
52480,0.167477
52736,0.167471
52992,0.167466
53248,0.167462
53504,0.167458
53760,0.167454
54016,0.167449
54272,0.167444
54528,0.167439
54784,0.167435
55040,0.16743
55296,0.167427
55552,0.167422
55808,0.167417
56064,0.167412
56320,0.167408
56576,0.167404
56832,0.1674
57088,0.167395
57344,0.16739
57600,0.167386
57856,0.16738
58112,0.167376
58368,0.167372
58624,0.167367
58880,0.167363
59136,0.167358
59392,0.167354
59648,0.167349
59904,0.167344
60160,0.16734
60416,0.167335
60672,0.167331
60928,0.167327
61184,0.167323
61440,0.167319
61696,0.167313
61952,0.167308
62208,0.167304
62464,0.167301
62720,0.167296
62976,0.167292
63232,0.167287
63488,0.167283
63744,0.167278
64000,0.167274
64256,0.167269
64512,0.167265
64768,0.16726
65024,0.167255
65280,0.167251
65536,0.167247
65792,0.167241
66048,0.167237
66304,0.167232
66560,0.167227
66816,0.167223
67072,0.167219
67328,0.167214
67584,0.16721
67840,0.167205
68096,0.167201
68352,0.167197
68608,0.167192
68864,0.167188
69120,0.167184
69376,0.167178
69632,0.167173
69888,0.167169
70144,0.167164
70400,0.16716
70656,0.167154
70912,0.16715
71168,0.167146
71424,0.167142
71680,0.167137
71936,0.167133
72192,0.167128
72448,0.167123
72704,0.167119
72960,0.167114
73216,0.16711
73472,0.1671
73728,0.166937
73984,0.166667
74240,0.166325
74496,0.165886
74752,0.165
75008,0.164211
75264,0.163443
75520,0.162093
75776,0.161088
76032,0.160134
76288,0.159224
76544,0.158356
76800,0.15765
77056,0.156946
77312,0.156215
77568,0.155687
77824,0.155064
78080,0.154487
78336,0.154004
78592,0.153493
78848,0.152985
79104,0.152541
79360,0.152059
79616,0.151591
79872,0.151162
80128,0.150662
80384,0.150229
80640,0.149311
80896,0.143747
81152,0.142477
81408,0.140325
81664,0.129504
81920,0.128521
82176,0.119414
82432,0.115811
82688,0.114488
82944,0.112056
83200,0.111895
83456,0.111344
83712,0.111336
83968,0.111336
84224,0.111336
84480,0.111336
84736,0.111336
84992,0.111336
85248,0.111336
85504,0.111336
85760,0.111336
86016,0.111336
86272,0.111336
86528,0.111336
86784,0.111336
87040,0.111336
87296,0.111336
87552,0.111336
87808,0.111336
88064,0.111336
88320,0.111336
88576,0.111336
88832,0.111336
89088,0.111336
89344,0.111336
89600,0.111336
89856,0.111336
90112,0.111336
90368,0.111336
90624,0.111336
90880,0.111336
91136,0.111336
91392,0.111336
91648,0.111336
91904,0.111336
92160,0.111336
92416,0.111336
92672,0.111336
92928,0.111336
93184,0.111336
93440,0.111336
93696,0.111336
93952,0.111336
94208,0.111336
94464,0.111336
94720,0.111336
94976,0.111336
95232,0.111336
95488,0.111336
95744,0.111336
96000,0.111336
96256,0.111336
96512,0.111336
96768,0.111336
97024,0.111336
97280,0.111336
97536,0.111336
97792,0.111336
98048,0.111336
98304,0.111336
98560,0.111336
98816,0.111336
99072,0.111336
99328,0.111336
99584,0.111336
99840,0.111336
100096,0.111336
100352,0.111336
100608,0.111336
100864,0.111336
101120,0.111336
101376,0.111336
101632,0.111336
101888,0.111336
102144,0.111336
102400,0.111335
102656,0.111334
102912,0.111334
103168,0.111333
103424,0.111332
103680,0.111331
103936,0.11133
104192,0.11133
104448,0.111329
104704,0.111328
104960,0.111327
105216,0.111327
105472,0.111326
105728,0.111325
105984,0.111325
106240,0.111324
106496,0.111323
106752,0.111323
107008,0.111322
107264,0.111321
107520,0.11132
107776,0.11132
108032,0.111319
108288,0.111318
108544,0.111317
108800,0.111316
109056,0.111315
109312,0.111314
109568,0.111313
109824,0.111313
110080,0.111312
110336,0.111311
110592,0.111311
110848,0.11131
111104,0.111309
111360,0.111308
111616,0.111308
111872,0.111307
112128,0.111306
112384,0.111306
112640,0.111305
112896,0.111304
113152,0.111303
113408,0.111303
113664,0.111302
113920,0.111301
114176,0.1113
114432,0.1113
114688,0.111299
114944,0.111298
115200,0.111298
115456,0.111297
115712,0.111296
115968,0.111295
116224,0.111295
116480,0.111294
116736,0.111293
116992,0.111292
117248,0.111291
117504,0.11129
117760,0.11129
118016,0.111289
118272,0.111289
118528,0.111288
118784,0.111287
119040,0.111286
119296,0.111285
119552,0.111284
119808,0.111284
120064,0.111283
120320,0.111282
120576,0.111281
120832,0.11128
121088,0.11128
121344,0.111279
121600,0.111279
121856,0.111278
122112,0.111277
122368,0.111276
122624,0.111276
122880,0.111275
123136,0.111274
123392,0.111274
123648,0.111273
123904,0.111272
124160,0.111272
124416,0.111271
124672,0.11127
124928,0.11127
125184,0.111269
125440,0.111268
125696,0.111266
125952,0.111238
126208,0.111195
126464,0.111132
126720,0.11104
126976,0.110937
127232,0.110792
127488,0.110684
127744,0.11058
128000,0.110496
128256,0.110418
128512,0.11035
128768,0.110284
129024,0.110223
129280,0.110165
129536,0.110111
129792,0.110048
130048,0.110007
130304,0.109961
130560,0.109903
130816,0.109869
131072,0.109816
131328,0.109786
131584,0.109737
131840,0.1097
132096,0.109663
132352,0.109617
132608,0.109586
132864,0.109549
133120,0.109512
133376,0.109482
133632,0.109443
133888,0.109411
134144,0.109378
134400,0.109343
134656,0.109317
134912,0.109284
135168,0.10924
135424,0.109201
135680,0.109059
135936,0.108286
136192,0.107984
136448,0.107305
136704,0.10685
136960,0.105694
137216,0.105365
137472,0.105069
137728,0.105002
137984,0.104988
138240,0.10498
138496,0.10498
138752,0.10498
139008,0.10498
139264,0.10498
139520,0.10498
139776,0.10498
140032,0.10498
140288,0.10498
140544,0.10498
140800,0.10498
141056,0.10498
141312,0.10498
141568,0.10498
141824,0.10498
142080,0.10498
142336,0.10498
142592,0.10498
142848,0.10498
143104,0.10498
143360,0.10498
143616,0.10498
143872,0.10498
144128,0.10498
144384,0.10498
144640,0.10498
144896,0.10498
145152,0.10498
145408,0.10498
145664,0.10498
145920,0.10498
146176,0.10498
146432,0.10498
146688,0.10498
146944,0.10498
147200,0.10498
147456,0.10498
147712,0.10498
147968,0.10498
148224,0.10498
148480,0.10498
148736,0.10498
148992,0.10498
149248,0.10498
149504,0.10498
149760,0.10498
150016,0.10498
150272,0.10498
150528,0.10498
150784,0.10498
151040,0.10498
151296,0.10498
151552,0.10498
151808,0.10498
152064,0.10498
152320,0.10498
152576,0.10498
152832,0.10498
153088,0.10498
153344,0.10498
153600,0.10498
153856,0.10498
154112,0.10498
154368,0.10498
154624,0.10498
154880,0.10498
155136,0.10498
155392,0.10498
155648,0.10498
155904,0.10498
156160,0.10498
156416,0.10498
156672,0.10498
156928,0.10498
157184,0.10498
157440,0.10498
157696,0.10498
157952,0.10498
158208,0.10498
158464,0.10498
158720,0.10498
158976,0.10498
159232,0.10498
159488,0.10498
159744,0.10498
160000,0.10498
160256,0.10498
160512,0.10498
160768,0.10498
161024,0.10498
161280,0.10498
161536,0.10498
161792,0.10498
162048,0.10498
162304,0.10498
162560,0.10498
162816,0.10498
163072,0.10498
163328,0.10498
163584,0.10498
163840,0.10498
164096,0.10498
164352,0.10498
164608,0.10498
164864,0.10498
165120,0.10498
165376,0.10498
165632,0.10498
165888,0.10498
166144,0.10498
166400,0.10498
166656,0.10498
166912,0.10498
167168,0.10498
167424,0.10498
167680,0.10498
167936,0.10498
168192,0.10498
168448,0.10498
168704,0.10498
168960,0.10498
169216,0.10498
169472,0.10498
169728,0.10498
169984,0.10498
170240,0.10498
170496,0.10498
170752,0.10498
171008,0.10498
171264,0.10498
171520,0.10498
171776,0.10498
172032,0.10498
172288,0.10498
172544,0.10498
172800,0.10498
173056,0.10498
173312,0.10498
173568,0.10498
173824,0.10498
174080,0.10498
174336,0.10498
174592,0.10498
174848,0.10498
175104,0.10498
175360,0.10498
175616,0.10498
175872,0.10498
176128,0.10498
176384,0.10498
176640,0.10498
176896,0.10498
177152,0.10498
177408,0.10498
177664,0.10498
177920,0.10498
178176,0.10498
178432,0.10498
178688,0.10498
178944,0.10498
179200,0.10498
179456,0.10498
179712,0.10498
179968,0.10498
180224,0.10498
180480,0.10498
180736,0.10498
180992,0.10498
181248,0.10498
181504,0.10498
181760,0.10498
182016,0.10498
182272,0.10498
182528,0.10498
182784,0.10498
183040,0.10498
183296,0.10498
183552,0.10498
183808,0.10498
184064,0.10498
184320,0.10498
184576,0.10498
184832,0.10498
185088,0.10498
185344,0.10498
185600,0.10498
185856,0.10498
186112,0.10498
186368,0.10498
186624,0.10498
186880,0.10498
187136,0.10498
187392,0.10498
187648,0.10498
187904,0.10498
188160,0.10498
188416,0.10498
188672,0.10498
188928,0.10498
189184,0.10498
