cache_lines,MRC
256,0.170187
512,0.170162
768,0.168622
1024,0.168353
1280,0.167389
1536,0.162143
1792,0.113321
2048,0.113247
2304,0.112878
2560,0.112162
2816,0.108516
3072,0.103277
3328,0.103277
3584,0.103277
3840,0.103277
4096,0.103277
4352,0.103277
4608,0.103277
4864,0.103277
5120,0.103277
5376,0.103277
5632,0.103277
5888,0.103277
6144,0.103277
6400,0.103277
6656,0.103277
6912,0.103277
7168,0.103277
7424,0.103277
7680,0.103277
7936,0.103277
8192,0.103277
8448,0.103277
8704,0.103277
8960,0.103277
9216,0.103277
9472,0.103277
9728,0.103277
9984,0.103277
10240,0.103277
10496,0.103277
10752,0.103277
11008,0.103277
11264,0.103277
11520,0.103277
11776,0.103277
12032,0.103277
12288,0.103277
12544,0.103277
12800,0.103277
13056,0.103277
13312,0.103277
13568,0.103277
13824,0.103277
14080,0.103277
14336,0.103277
14592,0.103277
14848,0.103277
15104,0.103277
15360,0.103277
15616,0.103277
15872,0.103277
16128,0.103277
16384,0.103277
16640,0.103277
16896,0.103277
17152,0.103277
17408,0.103277
17664,0.103277
17920,0.103277
18176,0.103277
18432,0.103277
18688,0.103277
18944,0.103277
19200,0.103277
19456,0.103277
19712,0.103277
19968,0.103277
20224,0.103277
20480,0.103277
20736,0.103277
20992,0.103277
21248,0.103277
21504,0.103277
21760,0.103277
22016,0.103277
22272,0.103277
22528,0.103277
22784,0.103277
23040,0.103277
23296,0.103277
23552,0.103277
23808,0.103277
24064,0.103277
24320,0.103277
24576,0.103277
24832,0.103277
25088,0.103277
25344,0.103277
25600,0.103277
25856,0.103277
26112,0.103277
26368,0.103277
26624,0.103277
26880,0.103277
27136,0.103277
27392,0.103277
27648,0.103277
27904,0.103277
28160,0.103277
28416,0.103277
28672,0.103277
28928,0.103277
29184,0.103277
29440,0.103277
29696,0.103277
29952,0.103277
30208,0.103277
30464,0.103277
30720,0.103277
30976,0.103277
31232,0.103277
31488,0.103277
31744,0.103277
32000,0.103277
32256,0.103277
32512,0.103277
32768,0.103277
33024,0.103277
33280,0.103277
33536,0.103277
33792,0.103277
34048,0.103277
34304,0.103277
34560,0.103277
34816,0.103277
35072,0.103277
35328,0.103277
35584,0.103277
35840,0.103277
36096,0.103277
36352,0.103277
36608,0.103277
36864,0.103277
37120,0.103277
37376,0.103277
37632,0.103277
37888,0.103277
38144,0.103277
38400,0.103277
38656,0.103277
38912,0.103277
39168,0.103277
39424,0.103277
39680,0.103277
39936,0.103277
40192,0.103276
40448,0.103269
40704,0.103259
40960,0.103257
41216,0.103253
41472,0.103249
41728,0.103245
41984,0.103242
42240,0.103238
42496,0.103235
42752,0.103232
43008,0.103228
43264,0.103225
43520,0.103221
43776,0.103218
44032,0.103215
44288,0.103212
44544,0.103208
44800,0.103205
45056,0.103202
45312,0.103199
45568,0.103195
45824,0.103192
46080,0.103189
46336,0.103186
46592,0.103183
46848,0.10318
47104,0.103176
47360,0.103173
47616,0.103169
47872,0.103166
48128,0.103162
48384,0.103158
48640,0.103155
48896,0.103152
49152,0.103148
49408,0.103145
49664,0.103142
49920,0.103138
50176,0.103134
50432,0.10313
50688,0.103126
50944,0.103123
51200,0.10312
51456,0.103116
51712,0.103113
51968,0.103109
52224,0.103106
52480,0.103102
52736,0.103099
52992,0.103096
53248,0.103093
53504,0.103089
53760,0.103086
54016,0.103082
54272,0.103079
54528,0.103076
54784,0.103072
55040,0.103069
55296,0.103065
55552,0.103062
55808,0.103059
56064,0.103055
56320,0.103052
56576,0.103048
56832,0.103045
57088,0.103041
57344,0.103038
57600,0.103034
57856,0.103031
58112,0.103027
58368,0.103023
58624,0.10302
58880,0.103017
59136,0.103014
59392,0.103011
59648,0.103008
59904,0.103005
60160,0.103001
60416,0.102998
60672,0.102994
60928,0.102991
61184,0.102988
61440,0.102984
61696,0.102981
61952,0.102977
62208,0.102974
62464,0.102971
62720,0.102968
62976,0.102965
63232,0.102961
63488,0.102957
63744,0.102954
64000,0.102951
64256,0.102947
64512,0.102944
64768,0.102941
65024,0.102938
65280,0.102934
65536,0.10293
65792,0.102927
66048,0.102924
66304,0.10292
66560,0.102916
66816,0.102913
67072,0.102909
67328,0.102906
67584,0.102902
67840,0.102899
68096,0.102896
68352,0.102893
68608,0.102889
68864,0.102885
69120,0.102882
69376,0.102878
69632,0.102875
69888,0.102872
70144,0.102868
70400,0.102865
70656,0.102862
70912,0.102859
71168,0.102855
71424,0.102852
71680,0.102848
71936,0.102845
72192,0.102842
72448,0.102838
72704,0.102835
72960,0.102832
73216,0.102828
73472,0.102824
73728,0.102821
73984,0.102817
74240,0.102814
74496,0.10281
74752,0.102806
75008,0.102803
75264,0.1028
75520,0.102796
75776,0.102793
76032,0.102789
76288,0.102786
76544,0.102783
76800,0.10278
77056,0.102777
77312,0.102773
77568,0.102771
77824,0.102767
78080,0.102764
78336,0.102761
78592,0.102758
78848,0.102755
79104,0.102752
79360,0.102748
79616,0.102745
79872,0.102741
80128,0.102738
80384,0.102735
80640,0.102732
80896,0.102728
81152,0.102725
81408,0.102722
