cache_lines,MRC
256,0.0929163
512,0.0841309
768,0.0741998
1024,0.067071
1280,0.0622477
1536,0.0619798
1792,0.0619491
2048,0.0618838
2304,0.0613523
2560,0.0612891
2816,0.0611066
3072,0.0609873
3328,0.0609627
3584,0.0608985
3840,0.0584879
4096,0.0584681
4352,0.058408
4608,0.0583227
4864,0.058293
5120,0.0582493
5376,0.0581583
5632,0.0581284
5888,0.0580823
6144,0.0579705
6400,0.0579038
6656,0.0578439
6912,0.0577483
7168,0.057675
7424,0.0576005
7680,0.0575273
7936,0.0574469
8192,0.0573598
8448,0.0573038
8704,0.0572176
8960,0.057113
9216,0.0570651
9472,0.0569909
9728,0.0568741
9984,0.0568234
10240,0.0567755
10496,0.0566795
10752,0.0566279
11008,0.0565781
11264,0.0565079
11520,0.0564511
11776,0.0563794
12032,0.0563409
12288,0.0563083
12544,0.0562653
12800,0.0562573
13056,0.0562502
13312,0.0559732
13568,0.0534349
13824,0.0532746
14080,0.053265
14336,0.0532619
14592,0.0532461
14848,0.0532419
15104,0.0532363
15360,0.0532169
15616,0.0532077
15872,0.0531853
16128,0.0531716
16384,0.0531697
16640,0.053154
16896,0.0531503
17152,0.0531466
17408,0.0531313
17664,0.0531296
17920,0.0531162
18176,0.0531063
18432,0.0531028
18688,0.0530857
18944,0.0530818
19200,0.0530756
19456,0.0530609
19712,0.053059
19968,0.0530458
20224,0.0530371
20480,0.0530342
20736,0.0530184
20992,0.0530153
21248,0.0530069
21504,0.0529869
21760,0.0529797
22016,0.0529637
22272,0.0529577
22528,0.052954
22784,0.0529378
23040,0.0529348
23296,0.052927
23552,0.0529148
23808,0.0529125
24064,0.052897
24320,0.0528926
24576,0.0528885
24832,0.0528712
25088,0.0528678
25344,0.052857
25600,0.0528471
25856,0.0528448
26112,0.0528285
26368,0.0528245
26624,0.0528186
26880,0.052803
27136,0.052801
27392,0.052788
27648,0.05278
27904,0.0527766
28160,0.0527604
28416,0.0527572
28672,0.0527494
28928,0.0527363
29184,0.0527346
29440,0.0527202
29696,0.0527138
29952,0.0527094
30208,0.0526919
30464,0.0526888
30720,0.0526781
30976,0.0526669
31232,0.0526641
31488,0.0526476
31744,0.0526419
32000,0.0526358
32256,0.0526214
32512,0.0526191
32768,0.0526071
33024,0.0525988
33280,0.0525959
33536,0.0525802
33792,0.0525761
34048,0.0520691
34304,0.0520546
34560,0.0520507
34816,0.0520353
35072,0.0520285
35328,0.0520206
35584,0.0520028
35840,0.0519987
36096,0.0519838
36352,0.0519729
36608,0.0519674
36864,0.0519474
37120,0.0519424
37376,0.0519308
37632,0.0519151
37888,0.0519098
38144,0.0518912
38400,0.0518843
38656,0.0518769
38912,0.0518602
39168,0.0518564
39424,0.0512337
39680,0.0512233
39936,0.0511765
40192,0.050591
40448,0.0505826
40704,0.0505651
40960,0.0505499
41216,0.0505403
41472,0.0505151
41728,0.0505009
41984,0.0504789
42240,0.0504645
42496,0.0504566
42752,0.0504351
43008,0.0504269
43264,0.0504098
43520,0.050395
43776,0.0503864
44032,0.0503655
44288,0.0503562
44544,0.0503392
44800,0.0503241
45056,0.0503156
45312,0.0502934
45568,0.0502841
45824,0.0502663
46080,0.05025
46336,0.0502421
46592,0.0502208
46848,0.050212
47104,0.0501964
47360,0.0501795
47616,0.050171
47872,0.0501486
48128,0.0501386
48384,0.0501221
48640,0.0501067
48896,0.0500982
49152,0.0500767
49408,0.0500667
49664,0.0500511
49920,0.0500341
50176,0.0500249
50432,0.0500033
50688,0.0499932
50944,0.0499765
51200,0.0499607
51456,0.049952
51712,0.0499299
51968,0.0499221
52224,0.0499067
52480,0.0498913
52736,0.0498816
52992,0.0498597
53248,0.0498507
53504,0.0498338
53760,0.0498192
54016,0.0498108
54272,0.0497881
54528,0.0497794
54784,0.0497618
55040,0.0497476
55296,0.049737
55552,0.0497145
55808,0.0497073
56064,0.049691
56320,0.0496761
56576,0.0496665
56832,0.0496425
57088,0.0496321
57344,0.0496135
57600,0.049602
57856,0.0495876
58112,0.0495691
58368,0.0495599
58624,0.04954
58880,0.049529
59136,0.0495145
59392,0.0494964
59648,0.0494869
59904,0.0494697
60160,0.0494573
60416,0.049443
60672,0.0494182
60928,0.0494027
61184,0.0493819
61440,0.0493712
61696,0.0493578
61952,0.0493401
62208,0.0493316
62464,0.0493101
62720,0.0493009
62976,0.049284
63232,0.0492689
63488,0.0492588
63744,0.0492388
64000,0.0492298
64256,0.0492108
64512,0.049198
64768,0.049186
65024,0.0491672
65280,0.0491578
65536,0.0491387
65792,0.0491243
66048,0.0491121
66304,0.0490926
66560,0.0490827
66816,0.0490635
67072,0.0490511
67328,0.049038
67584,0.0490182
67840,0.0490065
68096,0.0489836
68352,0.0489731
68608,0.0489561
68864,0.0489408
69120,0.0489285
69376,0.0489071
69632,0.0488964
69888,0.0488764
70144,0.0488621
70400,0.0488484
70656,0.0488295
70912,0.0488187
71168,0.0488004
71424,0.0487859
71680,0.0487715
71936,0.0487509
72192,0.0487413
72448,0.0487217
72704,0.0487092
72960,0.0486934
73216,0.048675
73472,0.0486639
73728,0.0486406
73984,0.0486291
74240,0.0486094
74496,0.0485958
74752,0.0485831
75008,0.048563
75264,0.0485512
75520,0.0485292
75776,0.0485149
76032,0.0484985
76288,0.0484777
76544,0.048463
76800,0.0484407
77056,0.0484261
77312,0.0484084
77568,0.0483874
77824,0.0483736
78080,0.0483489
78336,0.0483369
78592,0.0483153
78848,0.0482983
79104,0.0482822
79360,0.0482573
79616,0.0482388
79872,0.0482091
80128,0.0481967
80384,0.0481776
80640,0.0481608
80896,0.0481468
81152,0.0481255
81408,0.0481121
81664,0.0480914
81920,0.0480751
82176,0.0480605
82432,0.0480392
82688,0.0480275
82944,0.0480061
83200,0.0479916
83456,0.0479765
83712,0.0479579
83968,0.0479477
84224,0.0479268
84480,0.0479162
84736,0.047896
84992,0.0478825
85248,0.0478696
85504,0.0478539
85760,0.0478423
86016,0.0478241
86272,0.0478117
86528,0.0477986
86784,0.0477839
87040,0.0477735
87296,0.0477539
87552,0.0477329
87808,0.047714
88064,0.0471527
88320,0.0464585
88576,0.0464422
88832,0.0464207
89088,0.0463873
89344,0.0461961
89600,0.0451232
89856,0.0450898
90112,0.0450743
90368,0.0450591
90624,0.0450472
90880,0.0450353
91136,0.0450239
91392,0.0450105
91648,0.0449985
91904,0.0449863
92160,0.0449732
92416,0.044962
92672,0.0449516
92928,0.04494
93184,0.0449295
93440,0.0449198
93696,0.0449098
93952,0.0448968
94208,0.0448684
94464,0.0446289
94720,0.0435131
94976,0.0423976
95232,0.0422754
95488,0.042264
95744,0.0422523
96000,0.0422397
96256,0.0422258
96512,0.0422099
96768,0.0421948
97024,0.0421786
97280,0.0421621
97536,0.042147
97792,0.042131
98048,0.0421153
98304,0.0420983
98560,0.0420833
98816,0.0420678
99072,0.0420529
99328,0.0420366
99584,0.0420208
99840,0.0420057
100096,0.0419916
100352,0.041975
100608,0.0419594
100864,0.0419439
101120,0.0419285
101376,0.0419118
101632,0.0418956
101888,0.0418808
102144,0.0418645
102400,0.0418477
102656,0.0418316
102912,0.0418158
103168,0.0417989
103424,0.0417817
103680,0.0417666
103936,0.0417518
104192,0.0417382
104448,0.0417234
104704,0.0417098
104960,0.0416959
105216,0.041683
105472,0.0416682
105728,0.0416535
105984,0.0416393
106240,0.0416255
106496,0.0416111
106752,0.0415964
107008,0.0415816
107264,0.0415662
107520,0.0415497
107776,0.0415326
108032,0.0415156
108288,0.0415001
108544,0.0414838
108800,0.0414667
109056,0.0414492
109312,0.0414318
109568,0.0414142
109824,0.0413965
110080,0.0413789
110336,0.0413619
110592,0.0413449
110848,0.0413268
111104,0.0413087
111360,0.0412923
111616,0.0412749
111872,0.0412566
112128,0.0412381
112384,0.0412205
112640,0.0412014
112896,0.0411829
113152,0.0411653
113408,0.0411488
113664,0.0411301
113920,0.0411124
114176,0.0410951
114432,0.0410779
114688,0.041061
114944,0.0410432
115200,0.0410249
115456,0.0410065
115712,0.0409886
115968,0.04097
116224,0.0409512
116480,0.0409325
116736,0.0409138
116992,0.0408961
117248,0.0408778
117504,0.0408594
117760,0.0408415
118016,0.0408255
118272,0.0408095
118528,0.0407935
118784,0.0407776
119040,0.0407626
119296,0.040749
119552,0.040737
119808,0.0407264
120064,0.0407158
120320,0.0407043
120576,0.0406936
120832,0.0406833
121088,0.0406719
121344,0.0406597
121600,0.0406488
121856,0.0406382
122112,0.0406269
122368,0.0406171
122624,0.0406065
122880,0.040595
123136,0.0405831
123392,0.0405729
123648,0.0405616
123904,0.0405506
124160,0.0405397
124416,0.0405283
124672,0.0405167
124928,0.0405061
125184,0.0404956
125440,0.0404843
125696,0.0404722
125952,0.0404614
126208,0.0404506
126464,0.0404397
126720,0.0404297
126976,0.0404193
127232,0.0404082
127488,0.0403967
127744,0.0403852
128000,0.0403675
128256,0.0403484
128512,0.0403288
128768,0.0403092
129024,0.0402897
129280,0.0402718
129536,0.0402537
129792,0.0402353
130048,0.0402169
130304,0.0401981
130560,0.0401786
130816,0.0401596
131072,0.0401417
131328,0.0401228
131584,0.040104
131840,0.0400852
132096,0.0400667
132352,0.040049
132608,0.0400311
132864,0.0400119
133120,0.0399925
133376,0.0399737
133632,0.0399546
133888,0.039935
134144,0.0399158
134400,0.039897
134656,0.0398785
134912,0.0398576
135168,0.0398392
135424,0.0398213
135680,0.0398029
135936,0.039783
136192,0.0397644
136448,0.0397448
136704,0.0397252
136960,0.039706
137216,0.0396868
137472,0.039668
137728,0.0396493
137984,0.0396306
138240,0.0396117
138496,0.0395928
138752,0.0395725
139008,0.0395521
139264,0.0395323
139520,0.0395139
139776,0.0394936
140032,0.0394734
140288,0.0394545
140544,0.0394364
140800,0.0394162
141056,0.0393962
141312,0.0393771
141568,0.0393583
141824,0.0393389
142080,0.0393184
142336,0.0392986
142592,0.0392797
142848,0.0392604
143104,0.0392396
143360,0.0392203
143616,0.0392016
143872,0.0391811
144128,0.0391602
144384,0.0391402
144640,0.0391205
144896,0.0390989
145152,0.0390783
145408,0.0390587
145664,0.0390387
145920,0.0390129
146176,0.0389849
146432,0.0389562
146688,0.038927
146944,0.0388974
147200,0.0388691
147456,0.038841
147712,0.0388112
147968,0.0387774
148224,0.0387392
148480,0.038702
148736,0.0386641
148992,0.0386261
149248,0.0385887
149504,0.0385519
149760,0.0385141
150016,0.0384774
150272,0.0384403
150528,0.0384023
150784,0.0383639
151040,0.0383257
151296,0.0382879
151552,0.0382495
151808,0.0382115
152064,0.0381774
152320,0.0381492
152576,0.0381206
152832,0.0380906
153088,0.0380616
153344,0.0380337
153600,0.0380059
153856,0.0379759
154112,0.0379476
154368,0.0379208
154624,0.0378922
154880,0.0378634
155136,0.037836
155392,0.0378084
155648,0.03778
155904,0.0377523
156160,0.0377239
156416,0.0376951
156672,0.0376666
156928,0.0376385
157184,0.0376105
157440,0.037582
157696,0.0375531
157952,0.0375246
158208,0.0374967
158464,0.0374677
