cache_lines,MRC
256,0.111713
512,0.101372
768,0.0891534
1024,0.0802902
1280,0.0749359
1536,0.0745905
1792,0.0745789
2048,0.0739733
2304,0.0738645
2560,0.0737982
2816,0.0735835
3072,0.0734266
3328,0.0734099
3584,0.0733326
3840,0.0704215
4096,0.0703956
4352,0.0703292
4608,0.0702215
4864,0.070188
5120,0.0701383
5376,0.0700285
5632,0.0699785
5888,0.0699407
6144,0.069836
6400,0.0697739
6656,0.0697102
6912,0.0696386
7168,0.0695683
7424,0.0694873
7680,0.0694414
7936,0.0693651
8192,0.0692714
8448,0.0692383
8704,0.0691637
8960,0.069051
9216,0.0690158
9472,0.0689627
9728,0.0688345
9984,0.0687624
10240,0.0686926
10496,0.0685737
10752,0.0684884
11008,0.0683922
11264,0.0683135
11520,0.0682201
11776,0.0681057
12032,0.0680578
12288,0.0679997
12544,0.067926
12800,0.0678986
13056,0.0678689
13312,0.0673566
13568,0.0642738
13824,0.0642359
14080,0.0642028
14336,0.0641987
14592,0.0641813
14848,0.064175
15104,0.0641692
15360,0.0641475
15616,0.0641392
15872,0.0641139
16128,0.0640931
16384,0.0640915
16640,0.0640744
16896,0.0640673
17152,0.0640637
17408,0.0640455
17664,0.0640428
17920,0.064034
18176,0.0640196
18432,0.0640171
18688,0.0639984
18944,0.0639915
19200,0.0639881
19456,0.0639686
19712,0.0639656
19968,0.0639555
20224,0.0639419
20480,0.0639393
20736,0.0639209
20992,0.0639146
21248,0.0639094
21504,0.0638861
21760,0.063878
22016,0.0638609
22272,0.063846
22528,0.0638434
22784,0.0638257
23040,0.0638196
23296,0.0638145
23552,0.0637956
23808,0.0637926
24064,0.0637797
24320,0.0637682
24576,0.0637654
24832,0.063746
25088,0.0637406
25344,0.0637296
25600,0.0637103
25856,0.0637076
26112,0.0636926
26368,0.0636826
26624,0.063679
26880,0.063659
27136,0.0636549
27392,0.0636471
27648,0.0636282
27904,0.0636258
28160,0.0636092
28416,0.0636003
28672,0.0635962
28928,0.0635758
29184,0.0635722
29440,0.0635627
29696,0.0635467
29952,0.0635436
30208,0.0635261
30464,0.0635183
30720,0.0635129
30976,0.0634946
31232,0.0634914
31488,0.0634794
31744,0.0634664
32000,0.0634615
32256,0.0634413
32512,0.0634362
32768,0.0634296
33024,0.0634118
33280,0.063409
33536,0.0633927
33792,0.0633822
34048,0.0631964
34304,0.0627518
34560,0.0627452
34816,0.0627344
35072,0.0627164
35328,0.0627111
35584,0.0626918
35840,0.0626819
36096,0.0626736
36352,0.0626544
36608,0.0626482
36864,0.0626332
37120,0.0626174
37376,0.0626108
37632,0.0625893
37888,0.0625826
