cache_lines,MRC
256,0.270596
512,0.247295
768,0.216852
1024,0.192518
1280,0.185396
1536,0.184377
1792,0.183944
2048,0.182424
2304,0.182112
2560,0.181673
2816,0.180922
3072,0.180768
3328,0.180571
3584,0.173976
3840,0.173875
4096,0.173692
4352,0.173414
4608,0.173283
4864,0.173145
5120,0.172916
5376,0.172728
5632,0.172515
5888,0.172395
6144,0.172205
6400,0.171887
6656,0.17158
6912,0.171428
7168,0.171189
7424,0.171014
7680,0.170786
7936,0.170666
8192,0.170478
8448,0.170192
8704,0.170058
8960,0.169892
9216,0.169645
9472,0.169442
9728,0.169175
9984,0.169035
10240,0.168844
10496,0.168531
10752,0.168376
11008,0.16818
11264,0.168009
11520,0.167903
11776,0.167762
12032,0.167708
12288,0.167578
12544,0.165845
12800,0.159443
13056,0.159337
13312,0.159301
13568,0.159285
13824,0.159239
14080,0.159229
14336,0.159191
14592,0.159155
14848,0.15911
15104,0.159031
15360,0.159023
15616,0.158994
15872,0.158965
16128,0.158957
16384,0.158908
16640,0.1589
16896,0.158873
17152,0.158842
17408,0.158832
17664,0.158781
17920,0.158773
18176,0.158746
18432,0.158712
18688,0.158703
18944,0.158655
19200,0.158646
19456,0.158618
19712,0.158584
19968,0.158574
20224,0.158517
20480,0.158494
20736,0.158451
20992,0.158414
21248,0.158405
21504,0.158358
21760,0.158347
22016,0.15832
22272,0.158287
22528,0.158278
22784,0.158233
23040,0.158223
23296,0.158196
23552,0.158159
23808,0.158069
24064,0.157821
24320,0.157754
24576,0.157725
24832,0.157689
25088,0.15768
25344,0.157632
25600,0.157619
25856,0.157587
26112,0.157547
26368,0.157536
26624,0.157488
26880,0.157476
27136,0.157447
27392,0.157416
27648,0.157403
27904,0.157355
28160,0.157343
28416,0.157309
28672,0.157276
28928,0.157264
29184,0.157217
29440,0.157206
29696,0.157175
29952,0.157147
30208,0.157131
30464,0.157081
30720,0.157072
30976,0.157039
31232,0.157009
31488,0.156996
31744,0.156949
32000,0.156912
32256,0.15557
32512,0.15552
32768,0.155499
33024,0.155452
33280,0.155438
33536,0.155396
33792,0.15537
34048,0.155345
34304,0.155297
34560,0.155282
34816,0.155233
35072,0.155208
35328,0.155179
35584,0.155135
35840,0.15512
36096,0.155069
