cache_lines,MRC
256,0.0840708
512,0.0761714
768,0.067065
1024,0.0603687
1280,0.0563321
1536,0.056078
1792,0.0560715
2048,0.0556175
2304,0.0555337
2560,0.0554815
2816,0.0553179
3072,0.0552006
3328,0.0551825
3584,0.0551256
3840,0.0529476
4096,0.0529356
4352,0.0528802
4608,0.0527981
4864,0.0527713
5120,0.0527314
5376,0.0526489
5632,0.0526156
5888,0.0525869
6144,0.0525038
6400,0.0524592
6656,0.0524234
6912,0.0523578
7168,0.0523074
7424,0.0522569
7680,0.0522076
7936,0.0521519
8192,0.0520891
8448,0.0520587
8704,0.0519982
8960,0.051916
9216,0.0518941
9472,0.0518494
9728,0.0517537
9984,0.0517077
10240,0.0516575
10496,0.0515525
10752,0.0514879
11008,0.0514223
11264,0.0513495
11520,0.0512799
11776,0.0512005
12032,0.0511458
12288,0.0510993
12544,0.0510425
12800,0.0510174
13056,0.0509931
13312,0.0507283
13568,0.0483259
13824,0.0482369
14080,0.0482067
14336,0.0482021
14592,0.04819
14848,0.0481833
15104,0.0481798
15360,0.048163
15616,0.0481574
15872,0.04814
16128,0.0481213
16384,0.0481198
16640,0.04811
16896,0.0481025
17152,0.0481004
17408,0.0480869
17664,0.0480839
17920,0.0480796
18176,0.0480658
18432,0.0480636
18688,0.048052
18944,0.0480443
19200,0.0480423
19456,0.0480274
19712,0.0480242
19968,0.0480194
20224,0.0480065
20480,0.048005
20736,0.0479933
20992,0.0479862
21248,0.0479835
21504,0.0479661
21760,0.0479587
22016,0.0479488
22272,0.0479342
22528,0.0479324
22784,0.0479206
23040,0.0479142
23296,0.0479116
23552,0.0478964
23808,0.0478937
24064,0.0478871
24320,0.0478756
24576,0.047874
24832,0.0478605
25088,0.0478559
25344,0.0478505
25600,0.0478342
25856,0.0478316
26112,0.0478233
26368,0.0478124
26624,0.047811
26880,0.0477973
27136,0.0477919
27392,0.0477876
27648,0.0477722
27904,0.0477695
28160,0.0477606
28416,0.0477501
28672,0.0477474
28928,0.0477338
29184,0.0477298
29440,0.0477243
29696,0.0477115
29952,0.0477092
30208,0.0476986
30464,0.047689
30720,0.0476857
30976,0.0476715
31232,0.0476678
31488,0.0476615
31744,0.0476493
32000,0.0476467
32256,0.0476338
32512,0.0476268
32768,0.0476235
33024,0.0476092
33280,0.0476063
33536,0.0475994
33792,0.0475875
34048,0.047586
34304,0.0471232
34560,0.0471167
34816,0.0471107
35072,0.0470955
35328,0.0470917
35584,0.0470803
35840,0.04707
36096,0.0470647
36352,0.0470492
36608,0.047044
36864,0.0470358
37120,0.0470202
37376,0.0470158
37632,0.0470005
37888,0.0469947
38144,0.0469884
38400,0.0469736
38656,0.0469694
38912,0.0469572
39168,0.0469464
39424,0.0469423
39680,0.0463854
39936,0.0463791
40192,0.0460088
40448,0.0458134
40704,0.0458065
40960,0.0457865
41216,0.045777
41472,0.0457666
41728,0.0457486
41984,0.0457369
42240,0.0457131
42496,0.0456983
42752,0.0456868
43008,0.0456667
43264,0.0456593
43520,0.0456426
43776,0.0456317
44032,0.0456224
44288,0.045604
44544,0.0455969
44800,0.0455798
45056,0.045568
45312,0.0455574
45568,0.0455383
45824,0.045532
46080,0.0455153
46336,0.0455038
46592,0.0454954
46848,0.0454757
47104,0.0454688
47360,0.0454523
47616,0.0454394
47872,0.0454309
48128,0.0454115
48384,0.0454043
48640,0.0453878
48896,0.0453742
49152,0.0453662
49408,0.0453464
49664,0.04534
49920,0.0453238
50176,0.0453108
50432,0.0453021
50688,0.045284
50944,0.0452766
51200,0.04526
51456,0.0452471
51712,0.0452379
51968,0.0452179
52224,0.0452102
52480,0.045195
52736,0.045184
52992,0.0451747
53248,0.045157
53504,0.0451484
53760,0.045133
54016,0.0451209
54272,0.0451112
54528,0.045094
54784,0.0450855
55040,0.0450698
55296,0.045057
55552,0.0450474
55808,0.0450302
56064,0.0450219
56320,0.045007
56576,0.0449932
56832,0.0449831
57088,0.0449655
57344,0.0449568
57600,0.0449417
57856,0.0449292
58112,0.0449174
58368,0.0449004
58624,0.0448919
58880,0.0448765
59136,0.0448631
59392,0.0448525
59648,0.044834
59904,0.0448254
60160,0.0448093
60416,0.0447969
60672,0.0447859
60928,0.0447686
61184,0.0447599
61440,0.0447403
61696,0.044723
61952,0.0447103
62208,0.0446936
62464,0.0446867
62720,0.0446682
62976,0.0446567
63232,0.0446459
63488,0.0446289
63744,0.0446216
64000,0.0446043
64256,0.0445917
64512,0.0445786
64768,0.044562
65024,0.0445547
65280,0.0445351
65536,0.0445244
65792,0.0445117
66048,0.0444953
66304,0.0444863
66560,0.0444674
66816,0.0444591
67072,0.0444451
67328,0.0444309
67584,0.0444208
67840,0.0444006
68096,0.044392
68352,0.0443761
68608,0.044362
68864,0.0443523
69120,0.0443327
69376,0.0443248
69632,0.0443077
69888,0.0442951
70144,0.0442841
70400,0.0442655
70656,0.0442559
70912,0.0442369
71168,0.0442254
71424,0.0442133
71680,0.0441954
71936,0.0441878
72192,0.0441673
72448,0.0441567
72704,0.0441431
72960,0.0441276
73216,0.0441169
73472,0.0440986
73728,0.0440886
73984,0.0440734
74240,0.0440584
74496,0.0440474
74752,0.0440301
75008,0.0440216
75264,0.044004
75520,0.0439903
75776,0.0439779
76032,0.0439608
76288,0.043951
76544,0.0439327
76800,0.0439201
77056,0.043904
77312,0.043887
77568,0.0438757
77824,0.0438562
78080,0.0438445
78336,0.0438264
78592,0.0438102
78848,0.0437977
79104,0.0437785
79360,0.0437674
79616,0.0437481
79872,0.0437337
80128,0.0437189
80384,0.0436989
80640,0.0436835
80896,0.0436584
81152,0.0436455
81408,0.0436269
81664,0.0436095
81920,0.0435971
82176,0.0435766
82432,0.0435665
82688,0.0435469
82944,0.0435337
83200,0.0435212
83456,0.0435018
83712,0.0434933
83968,0.0434741
84224,0.0434618
84480,0.0434486
84736,0.0434316
84992,0.043423
85248,0.0434007
85504,0.0433775
85760,0.0432975
86016,0.0427854
86272,0.0422206
86528,0.0422012
86784,0.0421673
87040,0.0421508
87296,0.0421393
87552,0.0409903
87808,0.0409734
88064,0.0409574
88320,0.0409431
88576,0.040934
88832,0.0409188
89088,0.0409081
89344,0.040893
89600,0.0408832
89856,0.0408727
90112,0.0408594
90368,0.0408499
90624,0.0408385
90880,0.0408288
91136,0.040817
91392,0.0408076
91648,0.0407964
91904,0.0407854
92160,0.0407755
92416,0.0407643
92672,0.0407553
92928,0.0407461
93184,0.0407369
93440,0.0407268
93696,0.0407175
93952,0.0407087
94208,0.0406989
94464,0.0406757
94720,0.0405713
94976,0.0400858
95232,0.0386221
95488,0.038323
95744,0.0383126
96000,0.0383019
96256,0.0382912
96512,0.0382805
96768,0.0382704
97024,0.0382598
97280,0.0382488
97536,0.0382377
97792,0.0382275
98048,0.0382167
98304,0.0382056
98560,0.0381944
98816,0.0381829
99072,0.0381701
99328,0.0381576
99584,0.0381465
99840,0.0381357
100096,0.0381242
100352,0.0381118
100608,0.0381003
100864,0.0380885
101120,0.0380766
101376,0.0380651
101632,0.0380539
101888,0.038042
102144,0.0380309
102400,0.0380198
102656,0.0380082
102912,0.037996
103168,0.0379834
103424,0.0379687
103680,0.0379551
103936,0.0379402
104192,0.0379248
104448,0.03791
104704,0.0378965
104960,0.0378825
105216,0.0378686
105472,0.037854
105728,0.0378399
105984,0.037827
106240,0.0378154
106496,0.0378034
106752,0.037791
107008,0.0377779
107264,0.0377647
107520,0.0377518
107776,0.037739
108032,0.0377253
108288,0.0377113
108544,0.0376974
108800,0.0376837
109056,0.0376701
109312,0.0376557
109568,0.0376386
109824,0.0376229
110080,0.0376074
110336,0.037592
110592,0.0375774
110848,0.0375617
111104,0.0375453
111360,0.0375294
111616,0.0375145
111872,0.0375
112128,0.0374844
112384,0.0374684
112640,0.0374531
112896,0.037438
113152,0.037423
113408,0.0374075
113664,0.0373914
113920,0.0373764
114176,0.0373608
114432,0.0373453
114688,0.0373288
114944,0.0373114
115200,0.0372944
115456,0.0372799
