cache_lines,MRC
256,0.0979759
512,0.0979754
768,0.0979747
1024,0.0979743
1280,0.0979739
1536,0.0979735
1792,0.0979733
2048,0.0979731
2304,0.097973
2560,0.0979729
2816,0.0979727
3072,0.0979726
3328,0.0979724
3584,0.0979721
3840,0.0979719
4096,0.0979719
4352,0.0979718
4608,0.0979715
4864,0.0979709
5120,0.0979709
5376,0.0979708
5632,0.0979704
5888,0.0979704
6144,0.0979703
6400,0.0979703
6656,0.0979702
6912,0.0979701
7168,0.09797
7424,0.09797
7680,0.0979699
7936,0.0979698
8192,0.0979697
8448,0.0979696
8704,0.0979695
8960,0.0979695
9216,0.0979695
9472,0.0979694
9728,0.0979693
9984,0.0979693
10240,0.0979691
10496,0.097969
10752,0.097969
11008,0.0979689
11264,0.0979688
11520,0.0979688
11776,0.0979688
12032,0.0979687
12288,0.0979687
12544,0.0979687
12800,0.0979686
13056,0.0979686
13312,0.0979683
13568,0.0979683
13824,0.0979683
14080,0.0979683
14336,0.0979682
14592,0.0979681
14848,0.0979681
15104,0.0979681
15360,0.097968
15616,0.097968
15872,0.097968
16128,0.0979679
16384,0.0979677
16640,0.0979676
16896,0.0979675
17152,0.0979675
17408,0.0979675
17664,0.0979675
17920,0.0979675
18176,0.0979674
18432,0.0979673
18688,0.0979672
18944,0.097967
19200,0.0979669
19456,0.0979668
19712,0.0979667
19968,0.0979666
20224,0.0979666
20480,0.0979665
20736,0.0979664
20992,0.0979664
21248,0.0979663
21504,0.0979663
21760,0.0979662
22016,0.0979662
22272,0.0979662
22528,0.0979661
22784,0.0979659
23040,0.0979659
23296,0.0979659
23552,0.0979659
23808,0.0979658
24064,0.0979657
24320,0.0979655
24576,0.0979653
24832,0.0979652
25088,0.097965
25344,0.0979648
25600,0.0979646
25856,0.0979644
26112,0.0979644
26368,0.0979644
26624,0.0979643
26880,0.0979643
27136,0.0979642
27392,0.0979642
27648,0.0979642
27904,0.0979642
28160,0.0979641
28416,0.097964
28672,0.0979639
28928,0.0979639
29184,0.0979639
29440,0.0979638
29696,0.0979637
29952,0.0979637
30208,0.0979636
30464,0.0979636
30720,0.0979636
30976,0.0979635
31232,0.0979635
31488,0.0979635
31744,0.0979634
32000,0.0979634
32256,0.0979633
32512,0.0979633
32768,0.0979632
33024,0.0979631
33280,0.0979631
33536,0.097963
33792,0.097963
34048,0.097963
34304,0.0979629
34560,0.0979627
34816,0.0979626
35072,0.0979624
35328,0.0979623
35584,0.0979622
35840,0.0979621
36096,0.0979621
36352,0.097962
36608,0.097962
36864,0.0979619
37120,0.0979618
37376,0.0979618
37632,0.0979618
37888,0.0979618
38144,0.0979617
38400,0.0979617
38656,0.0979616
38912,0.0979615
39168,0.0979615
39424,0.0979615
39680,0.0979614
39936,0.0979613
40192,0.0979613
40448,0.0979612
40704,0.0979611
40960,0.0979611
41216,0.097961
41472,0.0979608
41728,0.0979607
41984,0.0979607
42240,0.0979607
42496,0.0979606
42752,0.0979606
43008,0.0979605
43264,0.0979605
43520,0.0979604
43776,0.0979603
44032,0.0979603
44288,0.0979601
44544,0.0979601
44800,0.09796
45056,0.0979599
45312,0.0979598
45568,0.0979598
45824,0.0979598
46080,0.0979598
46336,0.0979597
46592,0.0979597
46848,0.0979597
47104,0.0979596
47360,0.0979596
47616,0.0979595
47872,0.0979595
48128,0.0979595
48384,0.0979595
48640,0.0979595
48896,0.0979594
49152,0.0979594
49408,0.0979594
49664,0.0979594
49920,0.0979593
50176,0.0979593
50432,0.0979593
50688,0.0979592
50944,0.0979592
51200,0.0979591
51456,0.0979591
51712,0.097959
51968,0.097959
52224,0.0979589
52480,0.0979589
52736,0.0979589
52992,0.0979588
53248,0.0979588
53504,0.0979588
53760,0.0979587
54016,0.0979587
54272,0.0979587
54528,0.0979586
54784,0.0979586
55040,0.0979585
55296,0.0979584
55552,0.0979584
55808,0.0979583
56064,0.0979582
56320,0.0979582
56576,0.0979582
56832,0.0979582
57088,0.0979581
57344,0.097958
57600,0.097958
57856,0.0979579
58112,0.0979578
58368,0.0979578
58624,0.0979578
58880,0.0979578
59136,0.0979578
59392,0.0979578
59648,0.0979577
59904,0.0979577
60160,0.0979577
60416,0.0979576
60672,0.0979575
60928,0.0979575
61184,0.0979574
61440,0.0979573
61696,0.0979573
61952,0.0979573
62208,0.0979573
62464,0.0979572
62720,0.0979572
62976,0.0979572
63232,0.097957
63488,0.0979569
63744,0.0979568
64000,0.0979568
64256,0.0979568
64512,0.0979568
64768,0.0979567
65024,0.0979567
65280,0.0979566
65536,0.0979565
65792,0.0979564
66048,0.0979564
66304,0.0979563
66560,0.0979562
66816,0.0979561
67072,0.097956
67328,0.097956
67584,0.0979559
67840,0.0979559
68096,0.0979558
68352,0.0979558
68608,0.0979557
68864,0.0979556
69120,0.0979556
69376,0.0979555
69632,0.0979551
69888,0.0979543
70144,0.0979543
70400,0.0979542
70656,0.0979542
70912,0.0979542
71168,0.0979542
71424,0.0979541
71680,0.0979541
71936,0.097954
72192,0.097954
72448,0.097954
72704,0.0979539
72960,0.0979539
73216,0.0979539
73472,0.0979539
73728,0.0979539
73984,0.0979539
74240,0.0979539
74496,0.0979539
