cache_lines,MRC
256,0.0736721
512,0.0736716
768,0.073671
1024,0.0736708
1280,0.0736705
1536,0.0736701
1792,0.0736699
2048,0.0736697
2304,0.0736694
2560,0.0736693
2816,0.0736691
3072,0.073669
3328,0.0736689
3584,0.0736686
3840,0.0736685
4096,0.0736685
4352,0.0736684
4608,0.0736683
4864,0.0736677
5120,0.0736676
5376,0.0736675
5632,0.0736672
5888,0.0736671
6144,0.0736671
6400,0.073667
6656,0.073667
6912,0.0736669
7168,0.0736668
7424,0.0736668
7680,0.0736667
7936,0.0736667
8192,0.0736666
8448,0.0736666
8704,0.0736665
8960,0.0736665
9216,0.0736664
9472,0.0736664
9728,0.0736663
9984,0.0736663
10240,0.0736662
10496,0.0736662
10752,0.0736661
11008,0.0736661
11264,0.073666
11520,0.073666
11776,0.0736659
12032,0.0736658
12288,0.0736658
12544,0.0736658
12800,0.0736657
13056,0.0736657
13312,0.0736656
13568,0.0736655
13824,0.0736655
14080,0.0736655
14336,0.0736655
14592,0.0736654
14848,0.0736654
15104,0.0736654
15360,0.0736653
15616,0.0736653
15872,0.0736653
16128,0.0736652
16384,0.073665
16640,0.0736649
16896,0.0736649
17152,0.0736648
17408,0.0736648
17664,0.0736648
17920,0.0736647
18176,0.0736646
18432,0.0736645
18688,0.0736644
18944,0.0736643
19200,0.0736642
19456,0.0736641
19712,0.073664
19968,0.0736639
20224,0.0736638
20480,0.0736638
20736,0.0736638
20992,0.0736637
21248,0.0736637
21504,0.0736637
21760,0.0736636
22016,0.0736636
22272,0.0736635
22528,0.0736635
22784,0.0736634
23040,0.0736634
23296,0.0736634
23552,0.0736634
23808,0.0736633
24064,0.0736633
24320,0.0736631
24576,0.073663
24832,0.0736628
25088,0.0736626
25344,0.0736624
25600,0.0736622
25856,0.073662
26112,0.073662
26368,0.0736619
26624,0.0736618
26880,0.0736617
27136,0.0736617
27392,0.0736617
27648,0.0736617
27904,0.0736616
28160,0.0736616
28416,0.0736616
28672,0.0736615
28928,0.0736615
29184,0.0736615
29440,0.0736614
29696,0.0736614
29952,0.0736614
30208,0.0736613
30464,0.0736613
30720,0.0736613
30976,0.0736613
31232,0.0736613
31488,0.0736613
31744,0.0736613
32000,0.0736612
32256,0.0736612
32512,0.0736611
32768,0.0736611
33024,0.0736611
33280,0.073661
33536,0.073661
33792,0.0736609
34048,0.0736609
34304,0.0736608
34560,0.0736608
34816,0.0736607
35072,0.0736605
35328,0.0736604
35584,0.0736603
35840,0.0736603
36096,0.0736602
36352,0.0736602
36608,0.0736601
36864,0.0736601
37120,0.07366
37376,0.07366
37632,0.0736599
37888,0.0736599
38144,0.0736599
38400,0.0736599
38656,0.0736598
38912,0.0736598
39168,0.0736597
39424,0.0736597
39680,0.0736596
39936,0.0736596
40192,0.0736595
40448,0.0736595
40704,0.0736595
40960,0.0736594
41216,0.0736594
41472,0.0736593
41728,0.0736591
41984,0.073659
42240,0.073659
42496,0.073659
42752,0.0736589
43008,0.0736589
43264,0.0736589
43520,0.0736588
43776,0.0736588
44032,0.0736588
44288,0.0736587
44544,0.0736586
44800,0.0736586
45056,0.0736585
45312,0.0736585
45568,0.0736584
45824,0.0736584
46080,0.0736584
46336,0.0736584
46592,0.0736583
46848,0.0736582
47104,0.0736582
47360,0.0736582
47616,0.0736581
47872,0.0736581
48128,0.0736581
48384,0.0736581
48640,0.0736581
48896,0.0736581
49152,0.073658
49408,0.073658
49664,0.0736579
49920,0.0736579
50176,0.0736579
50432,0.0736578
50688,0.0736578
50944,0.0736578
51200,0.0736578
51456,0.0736577
51712,0.0736577
51968,0.0736577
52224,0.0736577
52480,0.0736577
52736,0.0736576
52992,0.0736576
53248,0.0736575
53504,0.0736575
53760,0.0736575
54016,0.0736574
54272,0.0736574
54528,0.0736574
54784,0.0736574
55040,0.0736573
55296,0.0736573
55552,0.0736572
55808,0.0736572
56064,0.0736572
56320,0.0736572
56576,0.0736571
56832,0.0736571
57088,0.073657
57344,0.0736569
57600,0.0736569
57856,0.0736569
58112,0.0736569
58368,0.0736568
58624,0.0736567
58880,0.0736567
59136,0.0736566
59392,0.0736565
59648,0.0736565
59904,0.0736565
60160,0.0736565
60416,0.0736565
60672,0.0736564
60928,0.0736564
61184,0.0736563
61440,0.0736562
61696,0.0736562
61952,0.0736562
62208,0.0736561
62464,0.0736561
62720,0.0736561
62976,0.0736561
63232,0.0736561
63488,0.073656
63744,0.073656
64000,0.0736559
64256,0.0736559
64512,0.0736558
64768,0.0736558
65024,0.0736557
65280,0.0736556
65536,0.0736556
65792,0.0736555
66048,0.0736555
66304,0.0736555
66560,0.0736554
66816,0.0736553
67072,0.0736553
67328,0.0736553
67584,0.0736552
67840,0.0736552
68096,0.0736552
68352,0.0736552
68608,0.0736551
68864,0.0736551
69120,0.0736551
69376,0.073655
69632,0.073655
69888,0.0736539
70144,0.0736539
70400,0.0736538
70656,0.0736538
70912,0.0736537
71168,0.0736537
71424,0.0736536
71680,0.0736536
71936,0.0736536
72192,0.0736536
72448,0.0736535
72704,0.0736535
72960,0.0736535
73216,0.0736535
73472,0.0736535
73728,0.0736534
73984,0.0736534
74240,0.0736534
74496,0.0736533
74752,0.0736533
75008,0.0736532
75264,0.0736531
75520,0.0736531
75776,0.0736531
76032,0.0736531
76288,0.073653
76544,0.073653
76800,0.073653
77056,0.073653
77312,0.073653
77568,0.0736529
77824,0.0736529
78080,0.0736529
78336,0.0736529
78592,0.0736528
78848,0.0736528
79104,0.0736528
79360,0.0736527
79616,0.0736527
79872,0.0736527
80128,0.0736526
80384,0.0736526
80640,0.0736525
80896,0.0736525
81152,0.0736525
81408,0.0736524
81664,0.0736524
81920,0.0736523
82176,0.0736522
82432,0.0736522
82688,0.0736521
82944,0.0736521
83200,0.073652
83456,0.0736519
83712,0.0736519
83968,0.0736519
84224,0.0736519
84480,0.0736518
84736,0.0736517
84992,0.0736515
85248,0.0736514
85504,0.0736513
85760,0.0736513
86016,0.0736512
86272,0.073651
86528,0.0736509
86784,0.0736507
87040,0.0736507
87296,0.0736506
87552,0.0736506
87808,0.0736505
88064,0.0736505
88320,0.0736504
88576,0.0736503
88832,0.0736503
89088,0.0736502
89344,0.0736502
89600,0.0736502
89856,0.0736501
90112,0.0736501
90368,0.0736501
90624,0.07365
90880,0.07365
91136,0.07365
91392,0.07365
91648,0.0736499
91904,0.0736499
92160,0.0736498
92416,0.0736498
92672,0.0736498
92928,0.0736497
93184,0.0736497
93440,0.0736497
93696,0.0736496
93952,0.0736496
94208,0.0736496
94464,0.0736496
94720,0.0736496
94976,0.0736496
95232,0.0736495
95488,0.0736495
95744,0.0736494
96000,0.0736494
96256,0.0736494
96512,0.0736493
96768,0.0736493
97024,0.0736493
97280,0.0736492
97536,0.0736492
97792,0.0736492
98048,0.0736491
98304,0.0736491
98560,0.0736491
98816,0.0736491
99072,0.073649
99328,0.073649
99584,0.0736489
99840,0.0736488
100096,0.0736488
100352,0.0736488
100608,0.0736487
100864,0.0736487
101120,0.0736487
101376,0.0736487
101632,0.0736486
101888,0.0736486
102144,0.0736486
102400,0.0736485
102656,0.0736485
102912,0.0736485
103168,0.0736484
103424,0.0736483
103680,0.0736483
103936,0.0736483
104192,0.0736482
104448,0.0736482
104704,0.0736481
104960,0.0736481
105216,0.0736481
105472,0.0736481
105728,0.0736481
105984,0.073648
106240,0.0736479
106496,0.0736478
106752,0.0736478
107008,0.0736478
107264,0.0736477
107520,0.0736477
107776,0.0736476
108032,0.0736476
108288,0.0736476
108544,0.0736475
108800,0.0736475
109056,0.0736474
109312,0.0736474
109568,0.0736474
109824,0.0736474
110080,0.0736473
110336,0.0736473
110592,0.0736472
110848,0.0736472
111104,0.0736471
111360,0.0736471
111616,0.073647
111872,0.073647
112128,0.0736469
112384,0.0736468
112640,0.0736468
112896,0.0736467
113152,0.0736466
113408,0.0736466
113664,0.0736466
113920,0.0736465
114176,0.0736465
114432,0.0736464
114688,0.0736464
114944,0.0736463
115200,0.0736462
115456,0.0736462
115712,0.0736462
115968,0.0736462
116224,0.0736461
116480,0.073646
116736,0.073646
116992,0.0736459
117248,0.0736459
117504,0.0736459
117760,0.0736458
118016,0.0736458
118272,0.0736458
118528,0.0736457
118784,0.0736456
119040,0.0736456
119296,0.0736455
119552,0.0736454
119808,0.0736451
120064,0.0736451
120320,0.073645
120576,0.073645
120832,0.073645
121088,0.0736449
121344,0.0736449
121600,0.0736449
121856,0.0736448
122112,0.0736447
122368,0.0736447
122624,0.0736446
122880,0.0736446
123136,0.0736445
123392,0.0736445
123648,0.0736444
123904,0.0736444
124160,0.0736444
124416,0.0736443
124672,0.0736443
124928,0.0736443
125184,0.0736443
125440,0.0736443
125696,0.0736442
125952,0.0736442
126208,0.0736442
126464,0.0736442
126720,0.0736442
126976,0.0736441
127232,0.0736441
127488,0.0736441
127744,0.073644
128000,0.073644
128256,0.0736439
128512,0.0736438
128768,0.0736438
129024,0.0736438
129280,0.0736438
129536,0.0736437
129792,0.0736437
130048,0.0736437
130304,0.0736435
130560,0.0736431
130816,0.073643
131072,0.073643
131328,0.073643
131584,0.0736429
131840,0.0736429
132096,0.0736428
132352,0.0736428
132608,0.0736428
132864,0.0736427
133120,0.0736427
133376,0.0736427
133632,0.0736427
133888,0.0736426
134144,0.0736426
134400,0.0736426
134656,0.0736426
134912,0.0736426
135168,0.0736426
135424,0.0736425
135680,0.0736425
135936,0.0736425
136192,0.0736424
136448,0.0736424
136704,0.0736424
136960,0.0736423
137216,0.0736423
137472,0.0736423
137728,0.0736423
137984,0.0736422
138240,0.0736422
138496,0.0736422
138752,0.0736422
139008,0.0736422
139264,0.0736421
139520,0.0736421
139776,0.0736421
140032,0.073642
140288,0.073642
140544,0.073642
140800,0.073642
141056,0.0736419
141312,0.0736419
141568,0.0736418
141824,0.0736418
142080,0.0736418
142336,0.0736417
142592,0.0736417
142848,0.0736417
143104,0.0736416
143360,0.0736416
143616,0.0736415
143872,0.0736415
144128,0.0736414
144384,0.0736414
144640,0.0736413
