cache_lines,MRC
256,0.28401
512,0.266972
768,0.261341
1024,0.251899
1280,0.242511
1536,0.234557
1792,0.22958
2048,0.226967
2304,0.223671
2560,0.220968
2816,0.218863
3072,0.217245
3328,0.214966
3584,0.213345
3840,0.211734
4096,0.210473
4352,0.209122
4608,0.207709
4864,0.206539
5120,0.205531
5376,0.204342
5632,0.203248
5888,0.202011
6144,0.201081
6400,0.200106
6656,0.199148
6912,0.198244
7168,0.197326
7424,0.196543
7680,0.195724
7936,0.194891
8192,0.194119
8448,0.193297
8704,0.192597
8960,0.191919
9216,0.191203
9472,0.190537
9728,0.189834
9984,0.189198
10240,0.188593
10496,0.187983
10752,0.187369
11008,0.186681
11264,0.186093
11520,0.185491
11776,0.184943
12032,0.184404
12288,0.183848
12544,0.183305
12800,0.182775
13056,0.182257
13312,0.181714
13568,0.181208
13824,0.180696
14080,0.180206
14336,0.179701
14592,0.179191
14848,0.17868
15104,0.178153
15360,0.177655
15616,0.177118
15872,0.176642
16128,0.176173
16384,0.175658
16640,0.175116
16896,0.174562
17152,0.173986
17408,0.173404
17664,0.172906
17920,0.172398
18176,0.171889
18432,0.171363
18688,0.170839
18944,0.170282
19200,0.169679
19456,0.169059
19712,0.168443
19968,0.167862
20224,0.167283
20480,0.166694
20736,0.166111
20992,0.165528
21248,0.164931
21504,0.164306
21760,0.163668
22016,0.163045
22272,0.162386
22528,0.161733
22784,0.161078
23040,0.160389
23296,0.159688
23552,0.159001
23808,0.158309
24064,0.157619
24320,0.156874
24576,0.156096
24832,0.155255
25088,0.154358
25344,0.153707
25600,0.15316
25856,0.152671
26112,0.152186
26368,0.151674
26624,0.151202
26880,0.150743
27136,0.150289
27392,0.149788
27648,0.149356
27904,0.148914
28160,0.148468
28416,0.148009
28672,0.147564
28928,0.147148
29184,0.146727
29440,0.146315
29696,0.145898
29952,0.145498
30208,0.145075
30464,0.144683
30720,0.144305
30976,0.143908
31232,0.143529
31488,0.143198
31744,0.142882
32000,0.142565
32256,0.142247
32512,0.141935
32768,0.141635
33024,0.141323
33280,0.141012
33536,0.140709
33792,0.140415
34048,0.140115
34304,0.139837
34560,0.139557
34816,0.139279
35072,0.139008
35328,0.138759
35584,0.138502
35840,0.13824
36096,0.13801
36352,0.137764
36608,0.137521
36864,0.137268
37120,0.137019
37376,0.136776
37632,0.136554
37888,0.136313
38144,0.136089
38400,0.135857
38656,0.135625
38912,0.135401
39168,0.135185
39424,0.13497
39680,0.134756
39936,0.134547
40192,0.134341
40448,0.134138
40704,0.133926
40960,0.133709
41216,0.133511
41472,0.133307
41728,0.133108
41984,0.132918
42240,0.132741
42496,0.132545
42752,0.13234
43008,0.132143
43264,0.131941
43520,0.13175
43776,0.131564
44032,0.131369
44288,0.131177
44544,0.131
44800,0.130817
45056,0.130637
45312,0.130454
45568,0.130261
45824,0.130078
46080,0.129894
