cache_lines,MRC
256,0.305581
512,0.289209
768,0.283595
1024,0.271235
1280,0.260257
1536,0.254802
1792,0.250871
2048,0.246994
2304,0.24383
2560,0.241435
2816,0.239595
3072,0.237088
3328,0.235249
3584,0.233459
3840,0.231955
4096,0.230697
4352,0.229178
4608,0.227934
4864,0.226668
5120,0.225495
5376,0.224204
5632,0.223201
5888,0.222168
6144,0.221135
6400,0.220195
6656,0.21922
6912,0.218343
7168,0.217462
7424,0.216648
7680,0.215859
7936,0.215006
8192,0.214248
8448,0.213495
8704,0.21278
8960,0.212035
9216,0.211366
9472,0.210687
9728,0.210055
9984,0.209413
10240,0.208716
10496,0.208092
10752,0.207455
11008,0.20686
11264,0.206252
11520,0.205685
11776,0.205118
12032,0.204569
12288,0.203979
12544,0.203436
12800,0.202889
13056,0.202358
13312,0.201813
13568,0.201267
13824,0.200741
14080,0.200215
14336,0.199685
14592,0.199113
14848,0.198614
15104,0.19809
15360,0.197549
15616,0.196957
15872,0.196368
16128,0.195773
16384,0.195263
16640,0.194727
16896,0.194211
17152,0.193671
17408,0.193122
17664,0.192518
17920,0.191905
18176,0.191244
18432,0.190645
18688,0.190034
18944,0.189441
19200,0.188846
19456,0.18825
19712,0.187662
19968,0.18706
20224,0.186422
20480,0.185771
20736,0.185097
20992,0.184456
21248,0.183783
21504,0.183092
21760,0.182396
22016,0.181687
22272,0.180992
22528,0.180293
22784,0.179567
23040,0.178746
23296,0.177883
23552,0.177071
23808,0.176478
24064,0.175969
24320,0.17548
24576,0.174964
24832,0.17448
25088,0.174015
25344,0.173545
25600,0.173017
25856,0.172531
26112,0.172051
26368,0.171589
26624,0.171113
26880,0.170653
27136,0.170215
27392,0.169787
27648,0.169358
27904,0.168904
28160,0.168478
28416,0.168038
28672,0.167621
28928,0.167216
29184,0.166785
29440,0.166394
29696,0.166037
29952,0.165697
30208,0.165334
30464,0.164977
30720,0.164636
30976,0.164303
31232,0.163978
31488,0.163661
31744,0.163335
32000,0.163018
32256,0.162694
32512,0.162379
32768,0.162047
33024,0.161738
33280,0.161436
33536,0.161131
33792,0.160825
34048,0.160533
34304,0.160257
34560,0.159968
34816,0.159692
35072,0.159409
35328,0.159119
35584,0.158858
35840,0.158584
36096,0.158326
36352,0.158054
36608,0.157789
36864,0.157527
37120,0.157269
37376,0.157012
37632,0.156752
37888,0.156499
38144,0.156252
38400,0.156001
38656,0.15575
38912,0.155501
39168,0.155253
39424,0.155003
39680,0.154758
39936,0.154519
40192,0.154288
40448,0.154037
40704,0.153782
40960,0.153526
41216,0.153288
41472,0.153048
41728,0.152809
41984,0.152559
42240,0.152332
42496,0.152091
42752,0.151873
43008,0.151655
43264,0.151421
43520,0.1512
43776,0.150971
44032,0.150746
44288,0.150503
44544,0.150272
44800,0.15005
45056,0.149807
45312,0.149575
45568,0.149344
45824,0.1491
46080,0.148849
46336,0.148611
46592,0.148362
46848,0.148116
47104,0.147885
47360,0.147663
47616,0.147429
47872,0.14721
48128,0.146997
48384,0.14678
48640,0.146565
48896,0.146359
49152,0.146163
49408,0.145955
49664,0.145754
49920,0.145553
50176,0.145349
50432,0.145168
50688,0.144993
50944,0.144808
51200,0.144616
51456,0.144434
51712,0.144259
51968,0.144086
52224,0.143909
52480,0.143737
