cache_lines,MRC
256,0.443109
512,0.422275
768,0.403871
1024,0.395249
1280,0.388353
1536,0.382575
1792,0.37793
2048,0.374391
2304,0.371024
2560,0.368148
2816,0.365808
3072,0.363472
3328,0.361307
3584,0.359426
3840,0.357694
4096,0.356032
4352,0.354486
4608,0.353132
4864,0.351758
5120,0.350524
5376,0.349343
5632,0.348177
5888,0.347111
6144,0.345969
6400,0.344944
6656,0.343983
6912,0.343015
7168,0.342119
7424,0.341224
7680,0.34032
7936,0.339462
8192,0.338658
8448,0.337821
8704,0.33701
8960,0.336183
9216,0.335406
9472,0.334609
9728,0.333787
9984,0.332939
10240,0.33217
10496,0.331388
10752,0.330624
11008,0.329831
11264,0.328991
11520,0.328156
11776,0.327345
12032,0.32655
12288,0.325776
12544,0.324977
12800,0.324153
13056,0.32331
13312,0.322463
13568,0.321578
13824,0.320718
14080,0.319886
14336,0.31903
14592,0.318108
14848,0.317142
15104,0.316345
15360,0.315661
15616,0.314991
15872,0.314329
16128,0.313677
16384,0.313024
16640,0.312391
16896,0.311764
17152,0.311146
17408,0.31055
17664,0.309926
17920,0.309339
18176,0.308735
18432,0.308118
18688,0.307543
18944,0.306947
19200,0.306411
19456,0.305886
19712,0.305385
19968,0.30489
20224,0.304391
20480,0.303862
20736,0.303379
20992,0.30286
21248,0.302358
21504,0.301856
21760,0.301365
22016,0.300874
22272,0.300402
22528,0.299932
22784,0.299464
23040,0.299004
23296,0.298547
23552,0.298096
23808,0.297664
24064,0.297208
24320,0.296751
24576,0.296294
24832,0.295831
25088,0.295382
25344,0.294931
25600,0.294482
25856,0.294018
26112,0.293551
26368,0.293103
26624,0.29265
26880,0.292177
27136,0.291695
27392,0.291216
27648,0.290745
27904,0.290258
28160,0.289825
28416,0.289401
28672,0.289002
28928,0.288617
29184,0.288196
29440,0.287807
29696,0.287369
29952,0.286966
30208,0.286527
30464,0.286085
30720,0.285655
30976,0.285219
31232,0.284804
31488,0.284365
31744,0.28395
32000,0.283554
32256,0.283138
32512,0.282747
32768,0.282363
33024,0.281978
33280,0.281603
33536,0.281218
33792,0.280831
34048,0.280444
34304,0.280078
34560,0.279703
34816,0.279313
35072,0.278919
35328,0.278546
35584,0.278186
35840,0.277828
36096,0.277477
36352,0.277118
36608,0.276768
36864,0.276398
37120,0.276053
37376,0.275706
37632,0.275356
37888,0.27502
38144,0.274674
38400,0.274333
38656,0.273975
38912,0.273632
39168,0.273282
39424,0.272935
39680,0.272583
39936,0.272231
40192,0.271876
40448,0.271485
40704,0.27112
40960,0.270782
41216,0.270453
41472,0.270134
41728,0.269815
41984,0.269499
42240,0.269203
42496,0.268892
42752,0.268574
43008,0.268273
43264,0.26798
43520,0.267692
43776,0.267389
44032,0.267113
44288,0.266819
44544,0.266522
44800,0.26623
45056,0.265926
45312,0.265633
45568,0.265324
45824,0.264988
46080,0.264683
46336,0.264399
46592,0.264128
46848,0.263849
47104,0.263592
47360,0.263318
47616,0.263034
47872,0.262767
48128,0.262497
48384,0.262234
48640,0.26197
48896,0.261707
49152,0.261464
49408,0.261196
49664,0.260931
49920,0.260678
50176,0.260431
50432,0.260171
50688,0.259938
50944,0.259686
51200,0.25944
51456,0.259179
51712,0.258936
51968,0.258701
52224,0.258458
52480,0.258219
52736,0.257976
52992,0.257736
53248,0.2575
53504,0.257268
53760,0.257041
54016,0.256818
54272,0.256574
54528,0.256334
54784,0.256103
55040,0.255882
55296,0.255648
55552,0.255407
55808,0.255176
56064,0.254942
56320,0.254716
56576,0.254493
56832,0.254272
57088,0.254049
57344,0.253834
57600,0.253602
57856,0.253374
58112,0.253163
58368,0.252951
58624,0.252734
58880,0.252516
59136,0.252308
59392,0.252092
59648,0.251885
59904,0.251686
60160,0.251471
60416,0.251268
60672,0.251056
60928,0.250849
61184,0.250659
61440,0.250459
61696,0.250258
61952,0.250073
62208,0.249869
62464,0.249675
62720,0.249485
62976,0.24929
63232,0.249103
63488,0.248902
63744,0.248717
64000,0.24853
64256,0.248347
64512,0.248167
64768,0.247987
65024,0.247815
65280,0.24764
65536,0.247461
65792,0.247291
66048,0.247122
66304,0.246932
66560,0.246749
66816,0.246563
67072,0.246381
67328,0.246197
67584,0.24601
67840,0.245835
68096,0.245669
68352,0.245495
68608,0.24532
68864,0.245149
69120,0.244977
69376,0.244818
69632,0.244653
69888,0.244492
70144,0.244317
70400,0.244155
70656,0.243998
70912,0.243841
71168,0.243678
71424,0.243512
71680,0.243348
71936,0.243193
72192,0.24304
72448,0.242875
72704,0.24271
72960,0.242554
73216,0.242399
73472,0.242252
73728,0.242096
73984,0.241955
74240,0.241808
74496,0.241656
74752,0.241502
75008,0.241349
75264,0.241193
75520,0.241044
75776,0.240895
76032,0.24075
76288,0.240599
76544,0.240449
76800,0.2403
77056,0.240166
77312,0.240022
77568,0.239878
77824,0.239732
78080,0.239577
78336,0.239436
78592,0.239298
78848,0.239156
79104,0.239016
79360,0.238883
79616,0.238746
79872,0.238605
80128,0.238462
80384,0.238326
80640,0.238186
80896,0.238039
81152,0.237889
81408,0.237745
81664,0.237606
81920,0.237468
82176,0.237327
82432,0.237188
82688,0.237057
82944,0.236897
83200,0.236742
83456,0.236601
83712,0.23646
83968,0.236328
84224,0.236202
84480,0.236071
84736,0.235942
84992,0.235813
85248,0.235689
85504,0.235568
85760,0.235445
86016,0.235319
86272,0.235193
86528,0.235074
86784,0.23495
87040,0.234832
87296,0.23472
87552,0.234601
87808,0.23448
88064,0.234361
88320,0.234237
88576,0.234127
88832,0.234016
89088,0.233902
89344,0.233784
89600,0.233671
89856,0.233548
90112,0.233426
90368,0.233306
90624,0.233191
90880,0.233084
91136,0.232974
91392,0.232855
91648,0.232746
91904,0.232642
92160,0.232538
92416,0.232437
92672,0.23233
92928,0.232221
93184,0.232115
93440,0.23201
93696,0.231902
93952,0.231804
94208,0.231701
94464,0.231591
94720,0.231489
94976,0.231384
95232,0.231289
95488,0.231192
95744,0.231094
96000,0.230998
96256,0.230898
96512,0.230793
96768,0.230695
97024,0.230592
97280,0.230491
97536,0.230386
97792,0.230272
98048,0.23017
98304,0.230054
98560,0.229928
98816,0.229789
99072,0.229627
99328,0.229449
99584,0.229243
99840,0.228997
100096,0.228753
100352,0.228481
100608,0.228176
100864,0.227858
101120,0.227545
101376,0.227209
101632,0.226856
101888,0.226519
102144,0.226155
102400,0.225785
102656,0.225426
102912,0.225057
103168,0.224671
103424,0.224291
103680,0.223898
103936,0.223494
104192,0.223097
104448,0.22271
104704,0.222316
104960,0.221924
105216,0.221552
105472,0.221172
105728,0.220772
105984,0.220405
106240,0.220025
106496,0.219634
106752,0.219254
107008,0.218863
107264,0.218476
107520,0.218099
107776,0.21773
108032,0.217362
108288,0.216999
108544,0.216625
108800,0.216263
109056,0.215882
109312,0.21549
109568,0.215099
109824,0.214701
110080,0.214306
110336,0.213909
110592,0.213526
110848,0.213126
111104,0.212739
111360,0.212373
111616,0.212016
111872,0.211673
112128,0.211314
112384,0.210952
112640,0.210622
112896,0.210292
113152,0.209973
113408,0.20965
113664,0.209315
113920,0.209002
114176,0.208689
114432,0.208384
114688,0.208081
114944,0.207772
115200,0.207465
115456,0.20717
115712,0.206867
115968,0.206589
116224,0.2063
116480,0.206022
116736,0.205744
116992,0.205444
117248,0.205156
117504,0.204871
117760,0.204594
118016,0.204324
118272,0.20408
118528,0.20383
118784,0.203579
119040,0.203315
119296,0.20308
119552,0.202837
119808,0.202605
120064,0.202378
120320,0.202139
120576,0.201915
120832,0.20171
121088,0.201477
121344,0.201251
121600,0.201045
121856,0.200848
122112,0.200633
122368,0.200442
122624,0.200238
122880,0.20004
123136,0.199853
123392,0.199673
123648,0.199498
123904,0.19933
124160,0.19916
124416,0.19899
124672,0.19882
124928,0.198658
125184,0.198497
125440,0.19834
125696,0.198179
125952,0.198027
126208,0.197893
126464,0.197739
126720,0.197591
126976,0.197449
127232,0.197316
127488,0.197184
127744,0.197045
128000,0.196902
128256,0.196771
128512,0.196634
128768,0.196514
129024,0.196391
129280,0.196262
129536,0.196124
129792,0.195987
130048,0.195867
130304,0.195752
130560,0.195634
130816,0.195515
131072,0.195411
131328,0.195301
131584,0.195181
131840,0.195052
132096,0.194936
132352,0.194828
132608,0.194729
132864,0.194626
133120,0.194523
133376,0.194419
133632,0.194318
133888,0.194219
134144,0.19412
134400,0.19402
134656,0.19392
134912,0.193825
135168,0.19373
135424,0.193633
135680,0.193543
135936,0.19345
136192,0.193352
136448,0.193258
136704,0.193169
136960,0.193086
137216,0.192997
137472,0.192907
137728,0.192819
137984,0.192729
138240,0.19264
138496,0.192558
138752,0.192474
139008,0.192388
139264,0.192302
139520,0.192221
139776,0.192146
140032,0.192071
140288,0.191992
140544,0.191908
140800,0.191828
141056,0.191751
141312,0.191676
141568,0.191598
141824,0.191521
142080,0.191446
142336,0.191375
142592,0.191304
142848,0.191235
143104,0.191165
143360,0.191095
143616,0.191019
143872,0.19095
144128,0.190882
144384,0.190807
144640,0.190737
144896,0.190671
145152,0.190611
145408,0.190553
145664,0.190494
145920,0.190426
146176,0.190355
146432,0.190283
146688,0.190218
146944,0.190155
147200,0.190094
147456,0.190035
147712,0.189976
147968,0.189919
148224,0.189863
148480,0.189805
148736,0.189746
148992,0.189687
149248,0.189628
149504,0.189572
149760,0.189517
150016,0.189463
150272,0.189414
150528,0.189361
150784,0.189309
151040,0.189262
151296,0.189212
151552,0.189163
151808,0.189114
152064,0.189064
152320,0.189015
152576,0.188968
152832,0.188918
153088,0.188867
153344,0.188817
153600,0.188766
153856,0.188716
154112,0.188669
154368,0.188621
154624,0.188573
154880,0.188524
155136,0.188475
155392,0.188427
155648,0.188379
155904,0.188327
156160,0.188274
156416,0.188222
156672,0.188175
156928,0.188132
157184,0.188086
157440,0.188041
157696,0.187995
157952,0.187944
158208,0.187895
158464,0.187847
158720,0.187798
158976,0.18775
159232,0.187705
159488,0.187664
159744,0.187618
160000,0.18757
160256,0.187526
160512,0.187482
160768,0.187437
161024,0.187396
161280,0.187354
161536,0.18731
161792,0.187264
162048,0.187219
162304,0.187175
162560,0.187134
162816,0.187089
163072,0.187043
163328,0.187001
163584,0.18696
163840,0.186919
164096,0.186877
164352,0.186833
164608,0.186789
164864,0.186748
165120,0.186709
165376,0.18667
165632,0.186625
165888,0.186583
166144,0.186541
166400,0.186494
166656,0.186454
166912,0.186417
167168,0.186374
167424,0.186333
167680,0.186292
167936,0.186252
168192,0.186206
168448,0.186159
168704,0.186118
168960,0.186076
169216,0.186033
169472,0.18599
169728,0.185948
169984,0.185906
170240,0.185868
170496,0.185823
170752,0.185777
171008,0.185733
171264,0.18569
171520,0.185648
171776,0.185607
172032,0.185568
172288,0.185527
172544,0.185482
172800,0.185435
173056,0.185386
173312,0.185335
173568,0.185283
173824,0.185231
174080,0.185179
