reuse_time,counts
1,2259703
2,1228272
3,212962
4,324714
5,200434
6,110129
7,46176
8,92262
9,78642
10,21663
11,25207
12,59701
13,20620
14,49482
15,18753
16,19036
17,21231
18,15675
19,54979
20,10144
21,9971
22,8851
23,10205
24,6484
25,5851
26,5537
27,5835
28,3587
29,4365
30,6071
31,5324
32,4000
33,3864
34,4114
35,4590
36,2804
37,3587
38,2513
39,4903
40,3475
41,2855
42,1902
43,3336
44,2368
45,2530
46,1935
47,2907
48,1794
49,2422
50,1801
51,2497
52,1688
53,2482
54,1861
55,2094
56,1414
57,2037
58,1723
59,2130
60,1270
61,1903
62,1321
63,2209
64,1874
65,1729
66,1320
67,1609
68,1596
69,1726
70,1553
71,1786
72,1270
73,1819
74,1721
75,2037
76,1526
77,1761
78,1262
79,2391
80,1620
81,2010
82,1197
83,1733
84,1402
85,1765
86,1092
87,1551
88,1193
89,1483
90,1108
91,1449
92,1297
93,1546
94,1175
95,1522
96,2557
97,1612
98,1246
99,1524
100,1494
101,1417
102,1259
103,1423
104,1149
105,1387
106,1311
107,1628
108,1368
109,1566
110,1449
111,1952
112,1404
113,1756
114,1488
115,1871
116,1589
117,1550
118,1320
119,1546
120,1409
121,1563
122,1372
123,1585
124,1453
125,1830
126,1637
127,1881
128,1813
129,2116
130,1729
131,2074
132,1640
133,2060
134,1761
135,1629
136,1488
137,1663
138,1646
139,1588
140,1411
141,1800
142,1657
143,2029
144,1811
145,1971
146,1970
147,2681
148,1900
149,2327
150,1751
151,2203
152,1791
153,1955
154,1394
155,1683
156,1573
157,1673
158,1420
159,1758
160,1699
161,1967
162,1951
163,1864
164,1787
165,2144
166,1593
167,1840
168,1523
169,1911
170,1486
171,1340
172,1276
173,1251
174,1415
175,1263
176,1156
177,1346
178,1339
179,1582
180,1467
181,1446
182,1428
183,1623
184,1294
185,1419
186,1345
187,1374
188,1149
189,1011
190,1042
191,993
192,967
193,926
194,896
195,1005
196,1033
197,1118
198,1254
199,1028
200,998
201,1116
202,980
203,974
204,804
205,938
206,818
207,732
208,691
209,748
210,776
211,682
212,650
213,726
214,754
215,813
216,732
217,725
218,749
219,843
220,628
221,752
222,613
223,665
224,590
225,640
226,725
227,591
228,567
229,611
230,1074
231,644
232,656
233,650
234,628
235,638
236,732
237,623
238,591
239,594
240,635
241,669
242,571
243,612
244,573
245,614
246,647
247,621
248,573
249,599
250,582
251,642
252,619
253,630
254,655
255,627
256,628
258,1231
260,1293
262,1292
264,1277
266,1237
268,1380
270,1361
272,1505
274,1480
276,1522
