reuse_time,counts
0,0
1,1137528
2,514206
3,255961
4,182355
5,138102
6,103859
7,74532
8,52522
9,37510
10,28210
11,22473
12,18446
13,15565
14,13734
15,12190
16,10873
17,9678
18,8769
19,7679
20,7112
21,6560
22,5919
23,5591
24,5343
25,5028
26,4758
27,4457
28,4282
29,3947
30,3881
31,3495
32,3439
33,3259
34,3196
35,2937
36,2739
37,2550
38,2465
39,2382
40,2265
41,2248
42,2139
43,2098
44,1966
45,1894
46,1764
47,1798
48,1689
49,1623
50,1506
51,1549
52,1525
53,1380
54,1395
55,1258
56,1329
57,1353
58,1238
59,1201
60,1186
61,1133
62,1158
63,1153
64,1064
65,1104
66,1047
67,992
68,993
69,986
70,915
71,964
72,931
73,922
74,916
75,902
76,882
77,865
78,824
79,826
80,841
81,789
82,752
83,793
84,753
85,760
86,698
87,713
88,722
89,668
90,692
91,699
92,697
93,699
94,696
95,689
96,658
97,622
98,656
99,650
100,673
101,600
102,605
103,614
104,601
105,580
106,611
107,550
108,606
109,636
110,567
111,600
112,574
113,611
114,600
115,615
116,600
117,634
118,635
119,583
120,584
121,604
122,608
123,620
124,623
125,626
126,643
127,668
128,695
129,735
130,708
131,751
132,795
133,824
134,815
135,837
136,908
137,944
138,1025
139,1092
140,1096
141,1176
142,1270
143,1338
144,1407
145,1527
146,1542
147,1672
148,1847
149,1957
150,2163
151,2265
152,2477
153,2678
154,2859
155,3010
156,3225
157,3575
158,3834
159,4073
160,4332
161,4768
162,4926
163,5296
164,5618
165,5875
166,6242
167,6614
168,7216
169,7249
170,7881
171,8129
172,8367
173,8684
174,8771
175,9014
176,9166
177,9388
178,9481
179,9357
180,9512
181,9413
182,9237
183,9422
184,9005
185,8785
186,8693
187,8127
188,8029
189,7469
190,7296
191,6851
192,6332
193,5832
194,5418
195,5099
196,4809
197,4371
198,3984
199,3622
200,3265
201,2980
202,2752
203,2426
204,2202
205,1976
206,1834
207,1691
208,1533
209,1310
210,1170
211,1048
212,1041
213,945
214,894
215,804
216,746
217,690
218,697
219,646
220,571
221,585
222,525
223,541
224,526
225,526
226,491
227,486
228,464
229,480
230,462
231,436
232,450
233,411
234,446
235,452
236,426
237,408
238,416
239,393
240,380
241,383
242,394
243,386
244,380
245,349
246,353
247,390
248,349
249,354
250,322
251,336
252,353
253,335
254,363
255,339
256,380
258,681
260,678
262,600
264,642
266,630
268,632
270,640
272,621
274,623
276,584
278,598
280,585
282,581
284,596
286,622
288,568
290,561
292,588
294,571
296,591
298,592
300,584
302,553
304,586
306,598
308,600
310,545
312,562
314,611
316,562
318,664
320,596
322,599
324,642
326,610
328,592
330,669
332,674
334,661
336,643
338,708
340,702
342,717
344,697
346,754
348,833
350,835
352,816
354,861
356,881
358,891
360,935
362,950
364,1004
366,931
368,994
370,975
372,930
374,952
376,984
378,955
380,929
382,874
384,876
386,870
388,760
390,774
392,724
394,692
396,630
398,622
400,584
402,520
404,503
406,470
408,442
410,428
412,390
414,400
416,389
418,347
420,400
422,360
424,335
426,324
428,337
430,311
432,353
434,346
436,294
438,354
440,348
442,359
444,323
446,311
448,329
450,335
452,335
454,316
456,329
458,339
460,316
462,331
464,314
466,341
468,320
470,371
472,331
474,319
476,336
478,316
480,327
482,314
484,329
486,346
488,313
490,333
492,322
494,309
496,351
498,303
500,341
502,334
504,339
506,344
508,352
510,350
512,377
514,347
516,382
518,378
520,361
522,372
524,386
526,405
528,386
530,394
532,411
534,436
536,398
538,457
540,431
542,446
544,487
546,456
548,493
550,458
552,504
554,461
556,451
558,488
560,467
562,437
564,492
566,488
568,490
570,472
572,426
574,451
576,463
578,474
580,415
582,403
584,415
586,421
588,421
590,373
592,388
594,373
596,338
598,370
600,328
602,329
604,321
606,343
608,317
610,273
612,305
614,303
616,316
618,310
620,288
622,318
624,320
626,271
628,296
630,284
632,290
634,315
636,285
638,253
640,313
642,261
644,285
646,246
648,250
650,268
652,301
654,284
656,278
658,294
660,301
662,292
664,273
666,296
668,314
670,277
672,334
674,325
676,357
678,362
680,359
682,398
684,457
686,455
688,463
690,553
692,601
694,669
696,684
698,665
700,705
702,788
704,789
706,877
708,948
710,976
712,929
714,1019
716,1016
718,963
720,1042
722,1024
724,1035
726,1067
728,982
730,963
732,971
734,924
736,905
738,889
740,819
742,729
744,733
746,671
748,642
750,613
752,582
754,519
756,498
758,495
760,490
762,448
764,436
766,372
768,366
772,710
776,645
780,614
784,596
788,561
792,542
796,559
800,511
804,502
808,514
812,507
816,468
820,449
824,554
828,492
832,517
836,465
840,434
844,504
848,532
852,478
856,515
860,529
864,568
868,521
872,523
876,509
880,537
884,563
888,497
892,522
896,606
900,562
904,548
908,609
912,546
916,585
920,568
924,612
928,597
932,628
936,625
940,631
944,599
948,599
952,618
956,565
960,571
964,619
968,604
972,574
976,597
980,549
984,558
988,559
992,576
996,521
1000,522
1004,525
1008,490
1012,467
1016,438
1020,499
1024,440
1028,446
1032,452
1036,443
1040,412
1044,468
1048,413
1052,414
1056,437
1060,422
1064,414
1068,446
1072,421
1076,424
1080,420
1084,391
1088,410
1092,400
1096,421
1100,385
1104,389
1108,402
1112,415
1116,377
1120,372
1124,392
1128,385
1132,369
1136,379
1140,374
1144,350
1148,358
1152,358
1156,364
1160,354
1164,322
1168,355
1172,351
1176,318
1180,307
1184,323
1188,303
1192,325
1196,310
1200,317
1204,289
1208,311
1212,286
1216,263
1220,281
1224,302
1228,273
1232,287
1236,249
1240,265
1244,278
1248,290
1252,273
1256,270
1260,272
1264,232
1268,242
1272,256
1276,263
1280,254
1284,272
1288,242
1292,271
1296,278
1300,243
1304,248
1308,232
