cache_lines,MRC
256,0.269759
512,0.252806
768,0.247262
1024,0.238925
1280,0.22997
1536,0.221475
1792,0.216277
2048,0.213909
2304,0.210746
2560,0.208058
2816,0.206412
3072,0.204452
3328,0.202253
3584,0.200953
3840,0.199399
4096,0.197879
4352,0.196653
4608,0.195465
4864,0.194107
5120,0.192973
5376,0.192015
5632,0.190897
5888,0.18986
6144,0.188682
6400,0.187812
6656,0.186865
6912,0.185943
7168,0.185066
7424,0.184226
7680,0.183421
7936,0.182622
8192,0.18183
8448,0.181078
8704,0.180377
8960,0.179598
9216,0.178907
9472,0.178225
9728,0.177588
9984,0.176992
10240,0.17635
10496,0.175756
10752,0.175145
11008,0.174563
11264,0.173992
11520,0.173367
11776,0.172804
12032,0.172242
12288,0.171718
12544,0.171165
12800,0.170665
13056,0.170179
13312,0.169678
13568,0.169194
13824,0.168673
14080,0.1682
14336,0.167739
14592,0.167272
14848,0.166801
15104,0.166317
15360,0.165842
15616,0.165374
15872,0.164913
16128,0.164435
16384,0.163978
16640,0.163535
16896,0.16307
17152,0.162579
17408,0.162039
17664,0.161533
17920,0.160971
18176,0.160481
18432,0.16002
18688,0.159536
18944,0.159063
19200,0.158565
19456,0.158062
19712,0.157513
19968,0.156952
20224,0.15634
20480,0.155779
20736,0.155218
20992,0.154676
21248,0.154113
21504,0.153556
21760,0.153004
22016,0.152442
22272,0.151855
22528,0.151253
22784,0.150646
23040,0.150009
23296,0.149375
23552,0.148738
23808,0.148081
24064,0.147397
24320,0.146726
24576,0.146039
24832,0.145374
25088,0.144673
25344,0.143941
25600,0.143132
25856,0.142267
26112,0.141544
26368,0.141002
26624,0.140532
26880,0.14007
27136,0.139576
27392,0.139137
27648,0.138688
27904,0.138251
28160,0.137773
28416,0.137299
28672,0.136858
28928,0.136431
29184,0.135955
29440,0.135532
29696,0.135122
29952,0.134713
30208,0.134315
30464,0.133912
30720,0.13352
30976,0.133131
31232,0.132729
31488,0.132347
31744,0.131982
32000,0.131588
32256,0.131232
32512,0.130903
32768,0.130598
33024,0.13028
33280,0.129974
33536,0.129656
33792,0.129358
34048,0.12907
34304,0.128773
34560,0.128485
34816,0.128221
35072,0.12794
35328,0.12767
35584,0.127399
35840,0.127137
36096,0.12687
36352,0.126625
36608,0.126374
36864,0.126119
37120,0.125888
37376,0.125658
37632,0.12543
37888,0.125189
38144,0.124958
38400,0.124715
38656,0.124502
38912,0.124277
39168,0.124071
39424,0.123857
39680,0.123632
39936,0.123424
40192,0.12321
40448,0.123008
40704,0.122808
40960,0.122602
41216,0.12241
41472,0.122227
41728,0.122033
41984,0.121841
42240,0.121643
42496,0.121458
42752,0.121276
43008,0.121096
43264,0.120925
43520,0.120762
43776,0.12058
44032,0.120396
44288,0.120215
44544,0.120047
44800,0.119886
45056,0.119721
45312,0.119546
45568,0.119378
45824,0.119212
46080,0.11905
46336,0.118881
46592,0.118697
46848,0.11853
47104,0.118357
47360,0.118188
47616,0.118014
47872,0.11783
48128,0.117653
48384,0.117467
48640,0.117271
48896,0.117099
49152,0.116918
49408,0.116721
49664,0.116513
49920,0.116327
50176,0.116133
50432,0.115936
50688,0.115743
50944,0.115569
51200,0.115382
51456,0.11521
51712,0.115045
51968,0.114881
52224,0.11472
52480,0.11455
52736,0.114395
52992,0.114237
53248,0.114073
53504,0.113921
53760,0.113774
54016,0.113625
54272,0.113486
54528,0.113356
54784,0.113219
55040,0.113076
55296,0.11294
55552,0.112816
55808,0.112693
56064,0.112557
56320,0.11242
56576,0.112284
56832,0.112146
57088,0.112009
57344,0.111874
57600,0.111736
57856,0.111605
58112,0.111471
58368,0.111344
58624,0.111219
58880,0.111093
59136,0.110968
59392,0.110848
59648,0.110733
59904,0.110612
60160,0.110489
60416,0.110367
60672,0.110248
60928,0.110132
61184,0.110019
61440,0.109911
61696,0.109806
61952,0.109693
62208,0.109587
62464,0.10948
62720,0.109365
62976,0.109246
63232,0.109122
63488,0.109015
63744,0.108918
64000,0.108823
64256,0.108726
64512,0.108627
64768,0.108527
65024,0.108433
65280,0.108336
65536,0.108242
65792,0.108149
66048,0.108056
66304,0.107964
66560,0.107872
66816,0.107781
67072,0.107693
67328,0.1076
67584,0.107508
67840,0.10742
68096,0.107336
68352,0.107245
68608,0.107152
68864,0.107057
69120,0.106955
69376,0.106847
69632,0.106736
69888,0.106637
70144,0.106527
70400,0.10637
70656,0.106196
70912,0.106045
71168,0.105933
71424,0.105836
71680,0.10574
71936,0.105649
72192,0.105564
72448,0.105485
72704,0.105397
72960,0.10531
73216,0.105228
73472,0.105147
73728,0.105069
73984,0.104991
74240,0.104914
74496,0.104838
74752,0.104764
75008,0.10469
75264,0.104614
75520,0.104538
75776,0.104463
76032,0.104387
76288,0.104315
76544,0.104239
76800,0.104167
77056,0.104096
77312,0.104024
77568,0.10395
77824,0.103882
78080,0.103811
78336,0.10374
78592,0.103671
78848,0.103603
79104,0.103534
79360,0.103467
79616,0.103403
79872,0.103337
80128,0.103273
80384,0.103207
80640,0.103141
80896,0.103076
81152,0.103012
81408,0.102951
81664,0.102888
81920,0.102825
82176,0.102765
82432,0.102707
82688,0.102647
82944,0.10259
83200,0.102527
83456,0.102464
83712,0.102401
83968,0.102342
84224,0.102281
84480,0.102218
84736,0.102158
84992,0.102097
85248,0.102036
85504,0.101979
85760,0.101922
86016,0.101866
86272,0.101807
86528,0.10175
86784,0.101695
87040,0.101636
87296,0.101578
87552,0.101519
87808,0.101462
88064,0.101408
88320,0.10135
88576,0.101298
88832,0.101245
89088,0.10119
89344,0.101132
89600,0.101077
89856,0.10102
