reuse_time,counts
1,11536252
2,4820370
3,2869971
4,1214804
5,1380601
6,256473
7,509034
8,272123
9,280420
10,126117
11,138213
12,177975
13,630412
14,75089
15,70990
16,91808
17,59593
18,2917
19,155694
20,86038
21,30072
22,77505
23,28234
24,56959
25,35286
26,52740
27,82202
28,16934
29,42809
30,4220
31,84321
32,42513
33,14503
34,23477
35,8821
36,25110
37,30144
38,15304
39,28784
40,40610
41,62815
42,38283
43,33412
44,3833
45,8105
46,3844
47,1061
48,2040
49,3651
50,2591
51,8870
52,3530
53,1500
54,4019
55,99912
56,4652
57,2208
58,6796
59,4796
60,4337
61,71478
62,4047
63,6221
64,33708
65,1098
66,1167
67,9355
68,10273
69,745
70,1819
71,33352
72,1506
73,24752
74,1742
75,2857
76,2851
77,1450
78,5938
79,6409
80,2247
81,3649
82,437
83,891
84,1636
85,12780
86,841
87,17686
88,1572
89,11065
90,9586
91,34333
92,1178
93,5340
94,17009
95,17278
96,12408
97,50
98,554
99,540
100,6970
101,703
102,1798
103,1430
104,1063
105,164
106,708
107,23048
108,12826
109,12590
110,1231
111,16693
112,23126
113,2664
114,2478
115,936
116,3938
117,12039
118,8405
119,397
120,1540
121,24517
122,25106
123,852
124,1967
125,1219
126,174
127,34051
128,1004
129,13002
130,17195
131,779
132,5136
133,37507
134,5953
135,3170
136,702
137,548
138,1931
139,761
140,735
141,757
142,260
143,26374
144,25070
145,1109
146,171
147,124
148,5
149,354
150,801
151,294
152,57
153,722
154,388
155,78
156,1976
157,12722
158,10
159,340
160,849
161,365
162,27
163,268
164,3154
165,4808
166,25
167,425
168,209
169,167
170,1196
171,894
172,4173
173,102
174,0
175,178
176,966
177,188
178,1888
179,9081
180,17
181,165
182,972
183,155
184,4163
185,326
186,708
187,427
188,9
189,438
190,423
191,408
192,42
193,24457
194,24614
195,332
196,309
197,1033
198,376
199,396
200,110
201,265
202,65
203,265
204,1754
205,571
206,99
207,1147
208,58
209,85
210,29
211,23
212,219
213,462
214,74
215,26130
216,24348
217,342
218,64
219,111
220,33
221,48
222,31
223,1443
224,89
225,967
226,119
227,75
228,4
229,140
230,174
231,77
232,3
233,114
234,5
235,1
236,63
237,128
238,46
239,472
240,1284
241,250
242,44
243,300
244,69
245,142
246,6
247,22
248,2396
249,78
250,3
251,4
252,7
253,4704
254,14
255,1
256,3
258,2906
260,156
262,960
264,53
266,210
268,0
270,7
272,11
274,8
276,15
278,150
280,753
282,7
284,3
286,4
288,18
290,5
292,4
294,6
296,15
298,8
300,7
302,10
304,3
306,9
308,11
310,12
312,2
314,156
