cache_lines,MRC
256,0.0718442
512,0.0328068
768,0.00873992
1024,0.00333004
1280,0.00218982
1536,0.00169322
1792,0.00140048
2048,0.00125568
2304,0.0011655
2560,0.00109225
2816,0.00102448
3072,0.000967932
3328,0.000916388
3584,0.000875631
3840,0.000846154
4096,0.000810519
4352,0.000789487
4608,0.000777291
4864,0.000767476
5120,0.000757141
5376,0.000746743
5632,0.000738121
5888,0.000731001
6144,0.000720467
6400,0.000707503
6656,0.000693575
6912,0.000680775
7168,0.000667547
7424,0.000653082
7680,0.00063926
7936,0.000624399
8192,0.00060885
8448,0.000593274
8704,0.000581455
8960,0.000567165
9216,0.000553355
9472,0.000541331
9728,0.000530267
9984,0.000520738
10240,0.000513873
10496,0.000508262
10752,0.000502557
11008,0.000498324
11264,0.000494068
11520,0.000489546
11776,0.000485558
12032,0.000482443
12288,0.000480328
12544,0.000478685
12800,0.000477236
13056,0.000475719
13312,0.000474345
13568,0.000473353
13824,0.000471839
14080,0.000470541
14336,0.000469304
14592,0.00046775
14848,0.000466464
15104,0.00046509
15360,0.000464077
15616,0.000462839
15872,0.000461537
16128,0.000460839
16384,0.000459707
16640,0.000458681
16896,0.000457108
17152,0.00045552
17408,0.000454373
17664,0.00045254
17920,0.000450496
18176,0.000448514
18432,0.000446421
18688,0.000444655
18944,0.000442833
19200,0.000440887
19456,0.000439181
19712,0.000437134
19968,0.000435151
20224,0.000433896
20480,0.000432389
20736,0.000430931
20992,0.000428938
21248,0.00042667
21504,0.000424843
21760,0.000423068
22016,0.00042126
22272,0.000419353
22528,0.000417235
22784,0.000413095
23040,0.000410192
23296,0.000407258
23552,0.000404658
23808,0.000402108
24064,0.000400058
24320,0.000396452
24576,0.00039404
24832,0.000391751
25088,0.000390043
25344,0.00038824
25600,0.000386166
25856,0.000384486
26112,0.000382902
26368,0.000380958
26624,0.000378552
26880,0.000376519
27136,0.000374541
27392,0.000373356
27648,0.000371764
27904,0.000370358
28160,0.000368889
28416,0.000366247
28672,0.000364452
28928,0.000362147
29184,0.000360579
29440,0.000358925
29696,0.000357091
29952,0.000355603
30208,0.00035407
30464,0.000351971
30720,0.000350384
30976,0.000348984
31232,0.000347642
31488,0.00034653
31744,0.000345602
32000,0.000344787
32256,0.000344086
32512,0.000342883
32768,0.000341154
33024,0.000340205
33280,0.000338741
33536,0.000337509
33792,0.000336613
34048,0.000336159
34304,0.000335632
34560,0.000335094
34816,0.000334707
35072,0.000333988
35328,0.000333432
35584,0.000332601
35840,0.000331564
36096,0.000331087
36352,0.000330425
36608,0.000330022
36864,0.0003296
37120,0.000329294
37376,0.00032897
37632,0.000328668
37888,0.000328211
38144,0.00032756
38400,0.000327074
38656,0.0003265
38912,0.000326296
39168,0.000325788
39424,0.000325536
39680,0.000325242
39936,0.000324995
40192,0.000324534
40448,0.000324161
40704,0.000323678
40960,0.00032323
41216,0.000322799
41472,0.000322589
41728,0.000322375
41984,0.000322211
42240,0.00032204
42496,0.000321795
42752,0.000321482
43008,0.00032124
43264,0.000321141
43520,0.00032097
43776,0.000320679
44032,0.000320446
44288,0.000320348
44544,0.000320052
44800,0.000319847
45056,0.000319562
45312,0.00031935
45568,0.000319046
45824,0.00031883
46080,0.000318541
46336,0.000318437
46592,0.000318231
46848,0.000318018
47104,0.000317821
47360,0.000317525
47616,0.000317351
47872,0.000317126
48128,0.000316968
48384,0.000316791
48640,0.000316522
48896,0.000316111
49152,0.000315752
49408,0.000315479
49664,0.000315069
49920,0.000314644
50176,0.000314386
50432,0.000314157
50688,0.000313876
50944,0.000313427
51200,0.000313034
51456,0.000312588
51712,0.000312257
51968,0.000312019
52224,0.000311632
52480,0.000311431
52736,0.000311219
52992,0.000311008
53248,0.000310692
53504,0.000310366
53760,0.000310131
54016,0.00030995
54272,0.000309582
54528,0.000309454
54784,0.000309214
55040,0.000308911
55296,0.000308587
55552,0.000308408
55808,0.000308072
56064,0.000307768
56320,0.000307373
56576,0.000307087
56832,0.000306835
57088,0.00030657
57344,0.000306109
57600,0.000305709
57856,0.000305277
58112,0.000304939
58368,0.000304632
58624,0.000304211
58880,0.000303945
59136,0.000303812
59392,0.000303691
59648,0.000303355
59904,0.000302862
60160,0.00030236
60416,0.000301994
60672,0.000301662
60928,0.000301373
61184,0.000301012
61440,0.000300473
61696,0.000300057
61952,0.00029966
62208,0.000299228
