reuse_time,counts
1,7596854
2,2825016
3,1783184
4,1103342
5,711947
6,498821
7,395710
8,342366
9,310058
10,292139
11,281061
12,272447
13,265644
14,260234
15,256018
16,254630
17,251059
18,245391
19,236994
20,224536
21,207101
22,187988
23,169157
24,151808
25,136390
26,124943
27,117351
28,113178
29,112490
30,112785
31,113216
32,113871
33,113442
34,110725
35,106447
36,100098
37,92477
38,84082
39,75161
40,65692
41,57395
42,49516
43,42792
44,36488
45,31507
46,27480
47,24067
48,21355
49,19148
50,17393
51,16289
52,15518
53,15141
54,15109
55,15146
56,15482
57,15801
58,16144
59,16602
60,17128
61,17519
62,18056
63,18310
64,18651
65,18855
66,19080
67,18849
68,18580
69,18211
70,17719
71,17414
72,16339
73,15545
74,14833
75,13527
76,12769
77,11746
78,10938
79,9772
80,9171
81,8480
82,7685
83,7508
84,7093
85,6745
86,6571
87,6552
88,6368
89,6522
90,6451
91,6458
92,6612
93,6565
94,6506
95,6622
96,6637
97,6494
98,6462
99,6446
100,6315
101,6359
102,6339
103,6360
104,6233
105,6385
106,6185
107,6356
108,6423
109,6184
110,6324
111,6222
112,6134
113,6059
114,5861
115,5487
116,5475
117,5186
118,5079
119,4809
120,4488
121,4392
122,4154
123,4081
124,3845
125,3790
126,3664
127,3481
128,3585
129,3447
130,3406
131,3406
132,3262
133,3434
134,3295
135,3213
136,3224
137,3071
138,3091
139,3130
140,3063
141,2994
142,2870
143,2817
144,2834
145,2717
146,2886
147,2810
148,2669
149,2718
150,2807
151,2777
152,2680
153,2725
154,2755
155,2635
156,2602
157,2606
158,2687
159,2534
160,2412
161,2453
162,2375
163,2260
164,2243
165,2215
166,2197
167,2182
168,2152
169,2006
170,2127
171,2035
172,2071
173,1985
174,2046
175,2069
176,2066
177,2060
178,1995
179,2031
180,2083
181,2024
182,1961
183,2099
184,2153
185,2084
186,2129
187,2119
188,2078
189,2090
190,2114
191,2131
192,2132
193,2125
194,2106
195,2151
196,2036
197,2001
198,2051
199,1950
200,1928
201,1954
202,1926
203,1888
204,1870
205,1813
206,1882
207,1895
208,1863
209,1770
210,1693
211,1785
212,1795
213,1795
214,1814
215,1865
216,1815
217,1784
218,1812
219,1796
220,1797
221,1770
222,1883
223,1880
224,1814
225,1828
226,1820
227,1809
228,1755
229,1809
230,1725
231,1741
232,1819
233,1696
234,1677
235,1643
236,1638
237,1558
238,1608
239,1629
240,1572
241,1613
242,1561
243,1597
244,1619
245,1527
246,1544
247,1515
248,1587
249,1543
250,1560
251,1554
252,1622
253,1549
254,1516
255,1501
256,1555
258,3090
260,3189
262,3157
264,3107
266,3080
268,3145
270,3225
272,2969
274,2975
276,3027
278,3120
280,2972
282,2982
284,3142
286,3062
288,3128
290,3080
292,3119
294,3221
296,3214
298,3357
300,3328
302,3500
304,3594
306,3631
308,3902
310,4100
312,4323
314,4651
316,5130
318,5510
320,5930
322,6671
324,7286
326,8130
328,8969
330,9982
332,11045
334,12223
336,13115
338,14341
340,15435
342,16803
344,17902
346,19042
348,20142
350,20988
352,21796
354,22427
356,23076
358,23440
360,23674
362,24096
364,24388
366,23724
368,23542
370,23601
372,22920
374,22717
376,22017
378,21525
380,21234
382,20843
384,20343
386,20066
388,19617
390,19386
392,19051
394,18686
396,18379
398,18087
400,17909
402,17637
404,17226
406,16868
408,16467
410,16380
412,15838
414,15775
416,15201
418,15004
420,14640
422,14200
424,13773
426,13566
428,13187
430,12650
432,12333
434,12524
436,11823
438,11580
440,11274
442,10769
444,10694
446,10234
448,10064
450,9474
452,9303
454,8971
456,8737
458,8525
460,8239
462,7962
464,7753
466,7455
468,7360
470,7084
472,6930
474,6799
476,6530
478,6415
480,6117
482,5953
484,5645
486,5644
488,5495
490,5087
492,5075
494,4987
496,4694
498,4839
500,4598
502,4435
504,4490
506,4386
508,4290
510,4171
512,4074
514,4105
516,4054
518,4010
520,3942
522,3832
524,3829
526,3848
528,3822
530,3696
532,3790
534,3736
536,3694
538,3635
540,3628
542,3510
544,3527
546,3577
548,3522
550,3558
552,3464
554,3455
556,3470
558,3367
560,3443
562,3342
564,3295
566,3183
568,3183
570,3257
572,3152
574,3165
576,3266
578,3067
580,3157
582,3091
584,3097
586,3025
588,3063
590,2936
592,2956
594,3023
596,3002
598,2942
600,2963
602,2960
604,2897
606,2786
608,2838
610,2836
612,2811
614,2817
616,2705
618,2934
620,2756
622,2789
624,2816
626,2759
628,2802
630,2633
632,2793
634,2650
636,2827
