cache_lines,MRC
256,0.071656147
512,0.032618747
768,0.008551867
1024,0.0031419869999999997
1280,0.0020017669999999998
1536,0.001505167
1792,0.0012124269999999999
2048,0.0010676269999999998
2304,9.774470000000002E-4
2560,9.041969999999999E-4
2816,8.364269999999999E-4
3072,7.79879E-4
3328,7.28335E-4
3584,6.87578E-4
3840,6.58101E-4
4096,6.22466E-4
4352,6.01434E-4
4608,5.892380000000001E-4
4864,5.79423E-4
5120,5.69088E-4
5376,5.5869E-4
5632,5.50068E-4
5888,5.42948E-4
6144,5.32414E-4
6400,5.1945E-4
6656,5.05522E-4
6912,4.92722E-4
7168,4.79494E-4
7424,4.6502900000000005E-4
7680,4.51207E-4
7936,4.36346E-4
8192,4.20797E-4
8448,4.05221E-4
8704,3.9340200000000005E-4
8960,3.79112E-4
9216,3.6530199999999997E-4
9472,3.5327800000000006E-4
9728,3.42214E-4
9984,3.32685E-4
10240,3.2582E-4
10496,3.20209E-4
10752,3.1450400000000006E-4
11008,3.10271E-4
11264,3.06015E-4
11520,3.01493E-4
11776,2.97505E-4
12032,2.9439E-4
12288,2.9227500000000004E-4
12544,2.9063200000000003E-4
12800,2.8918300000000004E-4
13056,2.87666E-4
13312,2.86292E-4
13568,2.853E-4
13824,2.83786E-4
14080,2.82488E-4
14336,2.81251E-4
14592,2.7969700000000003E-4
14848,2.78411E-4
15104,2.77037E-4
15360,2.7602400000000004E-4
15616,2.74786E-4
15872,2.73484E-4
16128,2.72786E-4
16384,2.71654E-4
16640,2.70628E-4
16896,2.6905500000000003E-4
17152,2.67467E-4
17408,2.6632E-4
17664,2.64487E-4
17920,2.62443E-4
18176,2.60461E-4
18432,2.5836800000000003E-4
18688,2.5660200000000003E-4
18944,2.5478E-4
19200,2.52834E-4
19456,2.5112800000000004E-4
19712,2.49081E-4
19968,2.47098E-4
20224,2.4584300000000004E-4
20480,2.44336E-4
20736,2.4287800000000003E-4
20992,2.4088500000000004E-4
21248,2.38617E-4
21504,2.3679000000000001E-4
21760,2.3501500000000004E-4
22016,2.3320700000000003E-4
22272,2.3130000000000004E-4
22528,2.2918200000000003E-4
22784,2.25042E-4
23040,2.22139E-4
23296,2.1920500000000004E-4
23552,2.1660500000000003E-4
23808,2.14055E-4
24064,2.1200500000000003E-4
24320,2.08399E-4
24576,2.0598700000000003E-4
24832,2.0369800000000004E-4
25088,2.0199000000000004E-4
25344,2.00187E-4
25600,1.9811300000000003E-4
25856,1.9643300000000004E-4
26112,1.9484900000000003E-4
26368,2.5209999999999995E-4
26624,2.4969399999999996E-4
26880,2.47661E-4
27136,2.4568299999999996E-4
27392,2.4449799999999995E-4
27648,2.4290599999999998E-4
27904,2.4149999999999996E-4
28160,2.4003099999999998E-4
28416,2.3738899999999996E-4
28672,2.35594E-4
28928,2.3328899999999997E-4
29184,2.3172099999999995E-4
29440,2.3006699999999998E-4
29696,2.2823299999999994E-4
29952,2.2674499999999998E-4
30208,2.2521199999999997E-4
30464,2.23113E-4
30720,2.21526E-4
30976,2.2012599999999996E-4
31232,2.1878399999999997E-4
31488,2.1767199999999997E-4
31744,2.1674399999999994E-4
32000,2.1592899999999996E-4
32256,2.1522799999999998E-4
32512,2.1402499999999996E-4
32768,2.1229599999999995E-4
33024,2.1134699999999997E-4
33280,2.0988299999999996E-4
33536,2.0865099999999996E-4
33792,2.0775499999999995E-4
34048,2.0730099999999996E-4
34304,2.0677399999999996E-4
34560,2.0623599999999994E-4
34816,2.0584899999999997E-4
35072,2.0512999999999998E-4
35328,2.0457399999999996E-4
35584,2.03743E-4
35840,2.0270599999999998E-4
36096,2.0222899999999995E-4
36352,2.01567E-4
36608,2.01164E-4
36864,2.0074199999999996E-4
37120,2.0043599999999996E-4
37376,2.0011199999999996E-4
37632,1.9980999999999997E-4
37888,1.99353E-4
38144,1.9870199999999998E-4
38400,1.9821599999999997E-4
38656,1.97642E-4
38912,1.9743799999999998E-4
39168,1.9692999999999995E-4
39424,1.96678E-4
39680,1.9638399999999997E-4
39936,1.9613699999999998E-4
40192,1.95676E-4
40448,1.9530299999999997E-4
40704,1.9481999999999995E-4
40960,1.9437199999999995E-4
41216,1.93941E-4
41472,1.93731E-4
41728,1.9351699999999998E-4
41984,1.9335299999999995E-4
42240,1.9318199999999997E-4
42496,1.9293699999999996E-4
42752,1.9262399999999996E-4
43008,1.9238199999999995E-4
43264,1.9228299999999996E-4
43520,1.9211199999999998E-4
43776,1.9182099999999995E-4
44032,1.9158799999999997E-4
44288,1.9148999999999994E-4
44544,1.9119399999999995E-4
44800,1.9098899999999997E-4
45056,1.9070399999999998E-4
45312,1.9049199999999995E-4
45568,1.90188E-4
45824,1.8997199999999995E-4
46080,1.8968299999999995E-4
46336,1.8957899999999994E-4
46592,1.8937299999999995E-4
46848,1.8915999999999996E-4
47104,1.8896299999999995E-4
47360,1.8866699999999995E-4
47616,1.8849299999999997E-4
47872,1.8826799999999995E-4
48128,1.8810999999999996E-4
48384,1.87933E-4
48640,1.8766399999999998E-4
48896,1.8725299999999996E-4
49152,1.8689399999999995E-4
49408,1.86621E-4
49664,1.8621099999999998E-4
49920,1.8578599999999996E-4
50176,1.8552799999999996E-4
50432,1.85299E-4
50688,1.8501799999999996E-4
50944,1.84569E-4
51200,1.8417599999999998E-4
51456,1.8372999999999995E-4
51712,1.8339899999999994E-4
51968,1.83161E-4
52224,1.8277399999999997E-4
52480,1.9456999999999998E-4
52736,1.94358E-4
52992,1.9414699999999998E-4
53248,1.93831E-4
53504,1.93505E-4
53760,1.9327E-4
54016,1.9308900000000002E-4
54272,1.9272099999999997E-4
54528,1.9259300000000002E-4
54784,1.9235299999999998E-4
55040,1.9204999999999998E-4
55296,1.9172599999999997E-4
55552,1.9154699999999997E-4
55808,1.91211E-4
56064,1.9090699999999998E-4
56320,1.90512E-4
56576,1.90226E-4
56832,1.8997399999999998E-4
57088,1.8970899999999998E-4
57344,1.89248E-4
57600,1.8884799999999998E-4
57856,1.88416E-4
58112,1.88078E-4
58368,1.87771E-4
58624,1.8734999999999997E-4
58880,1.87084E-4
59136,1.8695099999999998E-4
59392,1.8682999999999997E-4
59648,1.86494E-4
59904,1.8600099999999998E-4
60160,1.85499E-4
60416,1.8513299999999998E-4
60672,1.84801E-4
60928,1.84512E-4
61184,1.8415100000000002E-4
61440,1.83612E-4
61696,1.83196E-4
61952,1.8279899999999998E-4
62208,1.82367E-4
62464,1.82056E-4
62720,1.8168999999999998E-4
62976,1.8137299999999997E-4
63232,1.8087699999999997E-4
63488,1.8058400000000002E-4
63744,1.8018100000000002E-4
64000,1.7986499999999997E-4
64256,1.7941399999999997E-4
64512,1.79088E-4
64768,1.7855399999999998E-4
65024,1.77935E-4
65280,1.77446E-4
65536,1.77113E-4
65792,1.76847E-4
66048,1.7644900000000002E-4
66304,1.76042E-4
66560,1.7571999999999998E-4
66816,1.7533700000000002E-4
67072,1.7507E-4
67328,1.74775E-4
67584,1.74486E-4
67840,1.74189E-4
68096,1.7378400000000002E-4
68352,1.73452E-4
68608,1.7312099999999998E-4
68864,1.72751E-4
69120,1.7245899999999997E-4
69376,1.72065E-4
69632,1.7160199999999997E-4
69888,1.71293E-4
70144,1.70949E-4
70400,1.70523E-4
70656,1.7012899999999998E-4
70912,1.6975699999999998E-4
71168,1.6923999999999997E-4
71424,1.68929E-4
71680,1.6857599999999998E-4
71936,1.68271E-4
72192,1.67857E-4
72448,1.67541E-4
72704,1.6709199999999998E-4
72960,1.6677100000000002E-4
73216,1.6643099999999998E-4
73472,1.6597599999999997E-4
73728,1.65634E-4
73984,1.65137E-4
74240,1.6469199999999997E-4
74496,1.64173E-4
74752,1.6380399999999998E-4
75008,1.6346599999999997E-4
75264,1.6315999999999998E-4
75520,1.6257799999999997E-4
75776,1.6220299999999998E-4
76032,1.61901E-4
76288,1.61512E-4
76544,1.6111E-4
76800,1.6072599999999998E-4
77056,1.6030199999999997E-4
77312,1.59914E-4
77568,1.5954099999999997E-4
77824,1.59175E-4
78080,1.58755E-4
78336,1.58466E-4
78592,1.71686E-4
78848,1.7117900000000004E-4
79104,1.70623E-4
79360,1.70185E-4
79616,1.6980400000000002E-4
79872,1.69424E-4
80128,1.6905100000000003E-4
80384,1.68539E-4
80640,1.68016E-4
80896,1.67671E-4
81152,1.67435E-4
81408,1.6701600000000003E-4
81664,1.6651700000000003E-4
81920,1.6594900000000003E-4
82176,1.65513E-4
82432,1.6502E-4
82688,1.64411E-4
82944,1.6403100000000003E-4
83200,1.63674E-4
83456,1.6322900000000003E-4
83712,1.62696E-4
83968,1.62249E-4
84224,1.6194E-4
84480,1.6171300000000002E-4
84736,1.6144800000000002E-4
84992,1.60982E-4
85248,1.60634E-4
85504,1.60318E-4
85760,1.59774E-4
86016,1.59512E-4
86272,1.59206E-4
86528,1.58848E-4
86784,1.58496E-4
87040,1.5797100000000002E-4
87296,1.57708E-4
87552,1.57336E-4
87808,1.5687000000000003E-4
88064,1.56445E-4
88320,1.5607100000000003E-4
88576,1.55849E-4
88832,1.55507E-4
89088,1.5515100000000002E-4
89344,1.54926E-4
89600,1.54541E-4
89856,1.54223E-4
90112,1.5390500000000002E-4
90368,1.53648E-4
90624,1.5330000000000004E-4
90880,1.5312400000000003E-4
91136,1.52639E-4
91392,1.5214200000000002E-4
91648,1.51737E-4
91904,1.51286E-4
92160,1.50933E-4
92416,1.50598E-4
92672,1.5021500000000004E-4
92928,1.49889E-4
93184,1.4958400000000002E-4
93440,1.49249E-4
93696,1.48984E-4
93952,1.48649E-4
94208,1.48192E-4
94464,1.47716E-4
94720,1.47327E-4
94976,1.47083E-4
95232,1.46787E-4
95488,1.46426E-4
95744,1.4602700000000002E-4
96000,1.4564200000000003E-4
96256,1.45345E-4
96512,1.4510100000000002E-4
96768,1.44808E-4
97024,1.44628E-4
97280,1.44281E-4
97536,1.4404100000000003E-4
97792,1.4373100000000002E-4
98048,1.43372E-4
98304,1.42921E-4
98560,1.42493E-4
98816,1.4204100000000003E-4
99072,1.41802E-4
99328,1.41443E-4
99584,1.41179E-4
99840,1.4084400000000002E-4
100096,1.4058E-4
100352,1.40459E-4
100608,1.4017100000000002E-4
100864,1.3983300000000001E-4
101120,1.39402E-4
101376,1.39185E-4
101632,1.3896400000000002E-4
101888,1.3862700000000003E-4
102144,1.3833600000000003E-4
102400,1.3804E-4
102656,1.3764500000000001E-4
102912,1.3717200000000002E-4
103168,1.3686700000000002E-4
103424,1.36658E-4
103680,1.3634700000000001E-4
103936,1.3606300000000002E-4
104192,1.3570900000000002E-4
104448,1.354E-4
104704,1.47558E-4
104960,1.47382E-4
105216,1.4707E-4
105472,1.46834E-4
105728,1.46563E-4
105984,1.46249E-4
106240,1.45853E-4
106496,1.45507E-4
106752,1.45268E-4
107008,1.45022E-4
107264,1.448E-4
107520,1.44542E-4
107776,1.44179E-4
108032,1.43898E-4
108288,1.43657E-4
108544,1.43424E-4
108800,1.43162E-4
109056,1.42887E-4
109312,1.42673E-4
109568,1.42493E-4
109824,1.42204E-4
110080,1.42046E-4
110336,1.41717E-4
110592,1.41379E-4
110848,1.41177E-4
111104,1.40995E-4
111360,1.40856E-4
111616,1.40634E-4
111872,1.40509E-4
112128,1.4031E-4
112384,1.40022E-4
112640,1.39832E-4
112896,1.39629E-4
113152,1.39362E-4
113408,1.39143E-4
113664,1.38965E-4
113920,1.38766E-4
114176,1.38496E-4
114432,1.38356E-4
114688,1.38119E-4
114944,1.37681E-4
115200,1.37237E-4
115456,1.36901E-4
115712,1.3666E-4
115968,1.36473E-4
116224,1.36273E-4
116480,1.36015E-4
116736,1.35817E-4
116992,1.35628E-4
117248,1.3544E-4
117504,1.35217E-4
117760,1.34938E-4
118016,1.34559E-4
118272,1.3434E-4
118528,1.34037E-4
118784,1.33783E-4
119040,1.3353E-4
119296,1.33265E-4
119552,1.3303E-4
119808,1.32825E-4
120064,1.32553E-4
120320,1.32179E-4
120576,1.31874E-4
120832,1.31611E-4
121088,1.31426E-4
121344,1.31242E-4
121600,1.31057E-4
121856,1.30831E-4
122112,1.30502E-4
122368,1.30177E-4
122624,1.29761E-4
122880,1.29486E-4
123136,1.29205E-4
123392,1.28965E-4
123648,1.2876E-4
123904,1.28607E-4
124160,1.28444E-4
124416,1.28206E-4
124672,1.27984E-4
124928,1.27796E-4
125184,1.27609E-4
125440,1.27468E-4
125696,1.27212E-4
125952,1.26826E-4
126208,1.26494E-4
126464,1.26075E-4
126720,1.25706E-4
126976,1.25462E-4
127232,1.25239E-4
127488,1.24808E-4
127744,1.24568E-4
128000,1.24378E-4
128256,1.24178E-4
128512,1.2396E-4
128768,1.23774E-4
129024,1.23649E-4
129280,1.23471E-4
129536,1.23044E-4
129792,1.22896E-4
130048,1.22677E-4
130304,1.22465E-4
130560,1.22264E-4
130816,1.32027E-4
131072,1.3182599999999998E-4
131328,1.31675E-4
131584,1.3144600000000002E-4
131840,1.3126099999999998E-4
132096,1.3101299999999997E-4
132352,1.30822E-4
132608,1.30642E-4
132864,1.30468E-4
133120,1.30158E-4
133376,1.29865E-4
133632,1.2940800000000002E-4
133888,1.29062E-4
134144,1.28687E-4
134400,1.28343E-4
134656,1.28102E-4
134912,1.2791000000000001E-4
135168,1.27706E-4
135424,1.27517E-4
135680,1.27292E-4
135936,1.27114E-4
136192,1.26894E-4
136448,1.2672299999999997E-4
136704,1.26584E-4
136960,1.2634400000000002E-4
137216,1.26105E-4
137472,1.2584800000000002E-4
137728,1.2554899999999997E-4
137984,1.25293E-4
138240,1.2499099999999997E-4
138496,1.24669E-4
138752,1.24431E-4
139008,1.24281E-4
139264,1.2400600000000002E-4
139520,1.23763E-4
139776,1.23457E-4
140032,1.23047E-4
140288,1.22821E-4
