cache_lines,MRC
256,0.045652444134897364
512,0.006872088269794723
768,-0.01693774759530791
1024,-0.022090583460410554
1280,-0.022973759325513193
1536,-0.02321331519061583
1792,-0.02324901105571847
2048,-0.02313676692082111
2304,-0.02296990278592375
2560,-0.02278610865102639
2816,-0.022596834516129025
3072,-0.022396338381231666
3328,-0.022190838246334305
3584,-0.021974551111436945
3840,-0.021746983976539583
4096,-0.021525574841642223
4352,-0.021289562706744865
4608,-0.021044714571847502
4864,-0.020797485436950144
5120,-0.020550776302052782
5376,-0.020304130167155418
5632,-0.02005570803225806
5888,-0.0198057838973607
6144,-0.01955927376246334
6400,-0.01931519362756598
6656,-0.019072077492668617
6912,-0.018827833357771256
7168,-0.018584017222873898
7424,-0.018341438087976537
7680,-0.018098215953079175
7936,-0.01785603281818181
8192,-0.017614537683284453
8448,-0.017373069548387094
8704,-0.017127844413489732
8960,-0.01688509027859237
9216,-0.01664185614369501
9472,-0.01639683600879765
9728,-0.01615085587390029
9984,-0.01590334073900293
10240,-0.015653161604105566
10496,-0.015401728469208205
10752,-0.015150389334310847
11008,-0.014897578199413487
11264,-0.014644790064516126
11520,-0.014392267929618766
11776,-0.014139211794721404
12032,-0.013885282659824043
12288,-0.013630353524926683
12544,-0.013374952390029324
12800,-0.013119357255131962
13056,-0.012863830120234601
13312,-0.012608159985337241
13568,-0.012352107850439881
13824,-0.01209657771554252
14080,-0.01184083158064516
14336,-0.011585024445747799
14592,-0.011329534310850438
14848,-0.011073776175953077
15104,-0.010818106041055717
15360,-0.010562074906158356
15616,-0.010306268771260996
15872,-0.010050526636363634
16128,-0.009794180501466276
16384,-0.009538268366568913
16640,-0.00928225023167155
16896,-0.009026779096774193
17152,-0.008771322961876831
17408,-0.008515425826979473
17664,-0.00826021469208211
17920,-0.008005214557184748
18176,-0.00775015242228739
18432,-0.0074952012873900275
18688,-0.007239923152492668
18944,-0.0069847010175953066
19200,-0.006729602882697945
19456,-0.006474264747800586
19712,-0.006219267612903224
19968,-0.0059642064780058655
20224,-0.005708417343108504
20480,-0.005452880208211141
20736,-0.005197294073313783
20992,-0.00494224293841642
21248,-0.004687466803519062
21504,-0.0044322496686217
21760,-0.004176980533724341
22016,-0.00392174439882698
22272,-0.0036666072639296174
22528,-0.0034116811290322586
22784,-0.0031587769941348967
23040,-0.002904635859237538
23296,-0.002650525724340176
23552,-0.002396081589442814
23808,-0.0021415874545454554
24064,-0.0018865933196480934
24320,-0.0016331551847507347
24576,-0.0013785230498533727
24832,-0.0011237679149560106
25088,-8.68431780058652E-4
25344,-6.131906451612901E-4
25600,-3.5822051026393145E-4
25856,-1.0285637536656939E-4
26112,1.5260375953079266E-4
26368,2.2898971749755621E-4
26624,2.2686643499511243E-4
26880,2.2511615249266867E-4
27136,2.2342086999022485E-4
27392,2.2251858748778105E-4
27648,2.2120930498533727E-4
27904,2.2008602248289346E-4
28160,2.1889973998044968E-4
28416,2.1654045747800587E-4
28672,2.1502817497556212E-4
28928,2.130058924731183E-4
29184,2.117206099706745E-4
29440,2.1034932746823073E-4
29696,2.087980449657869E-4
29952,2.0759276246334315E-4
30208,2.0634247996089935E-4
30464,2.0452619745845555E-4
30720,2.0322191495601176E-4
30976,2.0210463245356794E-4
31232,2.0104534995112416E-4
31488,2.0021606744868037E-4
31744,1.9957078494623655E-4
32000,1.9903850244379278E-4
32256,1.98620219941349E-4
32512,1.976999374389052E-4
32768,1.962536549364614E-4
33024,1.955873724340176E-4
33280,1.944060899315738E-4
33536,1.9345680742913E-4
33792,1.928435249266862E-4
34048,1.9267224242424242E-4
34304,1.9242795992179863E-4
34560,1.9217267741935483E-4
34816,1.9206839491691107E-4
35072,1.9163211241446729E-4
35328,1.9135882991202347E-4
35584,1.908105474095797E-4
35840,1.900562649071359E-4
36096,1.8986198240469206E-4
36352,1.894826999022483E-4
36608,1.8936241739980452E-4
36864,1.892231348973607E-4
37120,1.8919985239491691E-4
37376,1.8915856989247312E-4
37632,1.8913928739002934E-4
37888,1.8896500488758557E-4
38144,1.8859672238514177E-4
38400,1.8839343988269797E-4
38656,1.8810215738025417E-4
38912,1.8818087487781037E-4
39168,1.8795559237536655E-4
39424,1.879863098729228E-4
39680,1.8797502737047899E-4
39936,1.880107448680352E-4
40192,1.8783246236559142E-4
40448,1.8774217986314762E-4
40704,1.875418973607038E-4
40960,1.8737661485826E-4
41216,1.8722833235581627E-4
41472,1.8730104985337248E-4
41728,1.8736976735092865E-4
41984,1.8748848484848482E-4
42240,1.8760020234604105E-4
42496,1.8763791984359725E-4
42752,1.8760763734115347E-4
43008,1.8764835483870966E-4
43264,1.8783207233626588E-4
43520,1.879437898338221E-4
43776,1.879355073313783E-4
44032,1.8798522482893452E-4
44288,1.8816994232649068E-4
44544,1.881566598240469E-4
44800,1.8823437732160312E-4
45056,1.8823209481915934E-4
45312,1.8830281231671552E-4
45568,1.8828152981427177E-4
45824,1.8834824731182794E-4
46080,1.8834196480938415E-4
46336,1.8852068230694035E-4
46592,1.8859739980449657E-4
46848,1.8866711730205278E-4
47104,1.8875283479960898E-4
47360,1.8873955229716517E-4
47616,1.888482697947214E-4
47872,1.889059872922776E-4
48128,1.890307047898338E-4
48384,1.8913642228739005E-4
48640,1.8915013978494625E-4
48896,1.8902185728250244E-4
49152,1.8894557478005863E-4
49408,1.8895529227761488E-4
49664,1.8882800977517106E-4
49920,1.8868572727272724E-4
50176,1.8871044477028346E-4
50432,1.887641622678397E-4
50688,1.8876587976539587E-4
50944,1.885995972629521E-4
51200,1.884893147605083E-4
51456,1.883260322580645E-4
51712,1.882777497556207E-4
51968,1.8832246725317695E-4
52224,1.8821818475073314E-4
52480,1.8812309188660802E-4
52736,1.8803318377321607E-4
52992,1.8794427565982407E-4
53248,1.8775036754643207E-4
53504,1.875464594330401E-4
53760,1.8743355131964812E-4
54016,1.8737464320625616E-4
54272,1.8712873509286413E-4
54528,1.871228269794722E-4
54784,1.8700491886608015E-4
55040,1.8682401075268817E-4
55296,1.8662210263929618E-4
55552,1.865651945259042E-4
55808,1.8635128641251224E-4
56064,1.8616937829912025E-4
56320,1.8589647018572825E-4
56576,1.857325620723363E-4
56832,1.8560265395894428E-4
57088,1.854597458455523E-4
57344,1.8512083773216032E-4
57600,1.8484292961876833E-4
57856,1.8453302150537638E-4
58112,1.8431711339198436E-4
58368,1.841322052785924E-4
58624,1.8383329716520038E-4
58880,1.8368938905180844E-4
59136,1.8367848093841642E-4
59392,1.836795728250244E-4
59648,1.8346566471163248E-4
59904,1.8309475659824046E-4
60160,1.827148484848485E-4
60416,1.824709403714565E-4
60672,1.8226103225806454E-4
60928,1.8209412414467256E-4
61184,1.8185521603128056E-4
61440,1.8143830791788858E-4
61696,1.8114439980449658E-4
61952,1.8086949169110459E-4
62208,1.8055958357771263E-4
62464,1.8037067546432063E-4
62720,1.8012676735092864E-4
62976,1.7993185923753663E-4
63232,1.7955795112414467E-4
63488,1.793870430107527E-4
63744,1.7910613489736073E-4
64000,1.789122267839687E-4
64256,1.7858331867057672E-4
64512,1.7837941055718476E-4
64768,1.7796750244379275E-4
65024,1.774705943304008E-4
65280,1.771036862170088E-4
65536,1.7689277810361683E-4
65792,1.7674886999022484E-4
66048,1.7647296187683285E-4
66304,1.7618805376344088E-4
66560,1.7598814565004885E-4
66816,1.757272375366569E-4
67072,1.755823294232649E-4
67328,1.7540942130987294E-4
67584,1.7524251319648096E-4
67840,1.7506760508308894E-4
68096,1.74784696969697E-4
68352,1.7457478885630497E-4
68608,1.7436588074291298E-4
68864,1.7411797262952103E-4
69120,1.73948064516129E-4
69376,1.7367615640273706E-4
69632,1.7333524828934502E-4
69888,1.7314834017595308E-4
70144,1.7292643206256108E-4
70400,1.7262252394916911E-4
70656,1.723506158357771E-4
70912,1.7210070772238513E-4
71168,1.7170579960899314E-4
71424,1.7151689149560117E-4
71680,1.7128598338220918E-4
71936,1.711030752688172E-4
72192,1.708111671554252E-4
