cache_lines,MRC
256,0.12935034899999998
512,0.054839049
768,0.015256649
1024,0.005756389
1280,0.0035168889999999996
1536,0.002587629
1792,0.0020933189999999997
2048,0.0018179490000000001
2304,0.0016487389999999998
2560,0.001496719
2816,0.0013670789999999998
3072,0.001258129
3328,0.0011533189999999999
3584,0.0010835089999999999
3840,0.001013349
4096,9.455689999999998E-4
4352,9.16069E-4
4608,8.92089E-4
4864,8.687389999999999E-4
5120,8.41849E-4
5376,8.259389999999999E-4
5632,8.10929E-4
5888,7.893889999999999E-4
6144,7.65609E-4
6400,7.34859E-4
6656,7.07519E-4
6912,6.85069E-4
7168,6.54579E-4
7424,6.208189999999999E-4
7680,5.901789999999999E-4
7936,5.66109E-4
8192,5.37149E-4
8448,5.023789999999998E-4
8704,4.7488900000000004E-4
8960,4.4585899999999984E-4
9216,4.180289999999999E-4
9472,3.97089E-4
9728,3.802389999999999E-4
9984,3.6720899999999985E-4
10240,3.5519899999999984E-4
10496,3.43779E-4
10752,3.34619E-4
11008,3.26289E-4
11264,3.187889999999999E-4
11520,3.0995399999999987E-4
11776,3.04438E-4
12032,3.003559999999999E-4
12288,2.9689699999999996E-4
12544,2.9385E-4
12800,2.9135399999999996E-4
13056,2.886509999999999E-4
13312,2.8629199999999995E-4
13568,2.8295999999999996E-4
13824,2.8E-4
14080,2.770079999999999E-4
14336,2.748099999999999E-4
14592,2.7236899999999995E-4
14848,2.6996699999999997E-4
15104,2.6798199999999994E-4
15360,2.6571699999999995E-4
15616,2.633999999999999E-4
15872,2.611839999999999E-4
16128,2.5845799999999993E-4
16384,2.557439999999999E-4
16640,2.5329599999999997E-4
16896,2.5033399999999995E-4
17152,2.47052E-4
17408,2.4313199999999996E-4
17664,2.391409999999999E-4
17920,2.3483199999999992E-4
18176,2.3020699999999996E-4
18432,2.2634199999999993E-4
18688,2.2183999999999995E-4
18944,2.1830599999999993E-4
19200,2.1512499999999993E-4
19456,2.119769999999999E-4
19712,2.085879999999999E-4
19968,2.0551299999999994E-4
20224,2.0241299999999992E-4
20480,1.979909999999999E-4
20736,1.9327899999999998E-4
20992,1.8860699999999992E-4
21248,1.847629999999999E-4
21504,1.8035399999999997E-4
21760,1.7496599999999992E-4
22016,1.6938299999999995E-4
22272,1.6216099999999997E-4
22528,1.5577499999999992E-4
22784,1.509119999999999E-4
23040,1.4565499999999996E-4
23296,1.400799999999999E-4
23552,1.3365299999999996E-4
23808,1.280229999999999E-4
24064,1.2319999999999996E-4
24320,1.1840199999999998E-4
24576,1.1432299999999994E-4
24832,1.1081699999999993E-4
25088,1.0745799999999995E-4
25344,1.0425699999999996E-4
25600,1.0006699999999991E-4
25856,9.574399999999993E-5
26112,9.246799999999996E-5
26368,2.9948199999999995E-4
26624,2.96161E-4
26880,2.9202399999999994E-4
27136,2.8851999999999995E-4
27392,2.83208E-4
27648,2.77766E-4
27904,2.7351399999999993E-4
28160,2.70035E-4
28416,2.6664399999999996E-4
28672,2.63126E-4
28928,2.6063000000000003E-4
29184,2.5852300000000003E-4
29440,2.5437199999999994E-4
29696,2.5061299999999995E-4
29952,2.46995E-4
30208,2.4402399999999997E-4
30464,2.41457E-4
30720,2.3968300000000003E-4
30976,2.3735099999999996E-4
31232,2.3490799999999998E-4
31488,2.32499E-4
31744,2.3005899999999996E-4
32000,2.27816E-4
32256,2.2536000000000002E-4
32512,2.23375E-4
32768,2.22149E-4
33024,2.2098000000000002E-4
33280,2.2010899999999996E-4
33536,2.1895600000000002E-4
33792,2.1759300000000003E-4
34048,2.1644300000000003E-4
34304,2.1541399999999998E-4
34560,2.13824E-4
34816,2.12537E-4
35072,2.1087200000000002E-4
35328,2.0969099999999997E-4
35584,2.0910900000000002E-4
35840,2.08233E-4
36096,2.07503E-4
36352,2.06773E-4
36608,2.05679E-4
36864,2.04522E-4
37120,2.0308499999999993E-4
37376,2.0220300000000003E-4
37632,2.0156599999999997E-4
37888,2.0118499999999994E-4
38144,2.00686E-4
38400,1.9973399999999997E-4
38656,1.9921799999999998E-4
38912,1.9878299999999996E-4
39168,1.9801299999999998E-4
39424,1.96678E-4
39680,1.9575199999999994E-4
39936,1.94896E-4
40192,1.9438999999999996E-4
40448,1.9412999999999999E-4
40704,1.9372600000000002E-4
40960,1.93305E-4
41216,1.9248099999999993E-4
41472,1.9184000000000003E-4
