cache_lines,MRC
256,0.0453954
512,0.020543145832947005
768,0.005522052372355486
1024,0.002104886060647765
1280,0.0013769110670300913
1536,0.001060355519512099
1792,8.82528306841858E-4
2048,7.894747880040839E-4
2304,7.32756655556159E-4
2560,6.845899050751322E-4
2816,6.426103936012853E-4
3072,6.06269682565129E-4
3328,5.755677719666771E-4
3584,5.486570095378576E-4
3840,5.299568517123654E-4
4096,5.078206996258286E-4
4352,4.932849476759968E-4
4608,4.8531927680273146E-4
4864,4.7853993712635573E-4
5120,4.70522617183923E-4
5376,4.63561707068523E-4
5632,4.5930624974103995E-4
5888,4.541280312087767E-4
6144,4.4736360054205976E-4
6400,4.3938621544692413E-4
6656,4.307001199284899E-4
6912,4.226103847963028E-4
7168,4.1475493410155634E-4
7424,4.053638554122607E-4
7680,3.95035638973161E-4
7936,3.852292378720215E-4
8192,3.7667625851123265E-4
8448,3.677830342515148E-4
8704,3.5605709815718367E-4
8960,3.47624988267535E-4
9216,3.386646734643631E-4
9472,3.2995621443145107E-4
9728,3.2253259255209804E-4
9984,3.1710624550199823E-4
10240,3.1371870552233255E-4
10496,3.1021721811172465E-4
10752,3.0656877046308234E-4
11008,3.03600280147677E-4
11264,3.0037301202182065E-4
11520,2.9779322088672316E-4
11776,2.9555793436760597E-4
12032,2.9352338701420927E-4
12288,2.9223908232528517E-4
12544,2.913386846349966E-4
12800,2.90350430280667E-4
13056,2.8930786453401636E-4
13312,2.8849745336629457E-4
13568,2.878302751842046E-4
13824,2.87189187768995E-4
14080,2.8613224547732047E-4
14336,2.8526699045264975E-4
14592,2.8466051323843694E-4
14848,2.8399439998559595E-4
15104,2.8332509194498035E-4
15360,2.825487585136066E-4
15616,2.817308928410589E-4
15872,2.8111163647571297E-4
16128,2.805072891200189E-4
16384,2.798044358076762E-4
16640,2.791340628377839E-4
16896,2.783374957504581E-4
17152,2.7755104549111176E-4
17408,2.7670708905166985E-4
17664,2.7578166552373606E-4
17920,2.7457723052940614E-4
18176,2.7324500402372415E-4
18432,2.7216889300534647E-4
18688,2.7088458831642237E-4
18944,2.694213755116276E-4
19200,2.681631615896046E-4
19456,2.6708332331881746E-4
19712,2.6586664163796847E-4
19968,2.6473568676264186E-4
20224,2.638858732122648E-4
20480,2.6266013963269913E-4
20736,2.6141417239716747E-4
20992,2.600340240747484E-4
21248,2.584526041219601E-4
21504,2.571044036773634E-4
21760,2.5570508662823427E-4
22016,2.5431695133634746E-4
22272,2.5276108968583927E-4
22528,2.512030981768054E-4
22784,2.4937514710006436E-4
23040,2.4756955953781495E-4
23296,2.4584011441773634E-4
23552,2.445653940921638E-4
23808,2.4320707681958764E-4
24064,2.4095049171524857E-4
24320,2.387540751141587E-4
24576,2.3711727883980044E-4
24832,2.358952725126512E-4
25088,2.3479626551516086E-4
25344,2.3336340319430465E-4
25600,2.321813317144525E-4
25856,2.3121597333922855E-4
26112,2.3001260327414758E-4
26368,2.28707E-4
26624,2.2765935216483571E-4
26880,2.266496442561018E-4
27136,2.2543303728190085E-4
27392,2.244627868966546E-4
27648,2.2327804946065518E-4
27904,2.222440599990058E-4
