cache_lines,MRC
256,0.0453954
512,0.019362810810570754
768,0.005533601572083914
1024,0.002214422256023571
1280,0.001431990819587399
1536,0.001107328066016204
1792,9.34627158070335E-4
2048,8.384190113181894E-4
2304,7.79300804861674E-4
2560,7.261884016613943E-4
2816,6.808950721594667E-4
3072,6.428303679845496E-4
3328,6.062120876305088E-4
3584,5.818220279843259E-4
3840,5.573096861310814E-4
4096,5.336288632859509E-4
4352,5.233222201179027E-4
4608,5.149441420443379E-4
4864,5.067861719435171E-4
5120,4.973914046625325E-4
5376,4.918328049064793E-4
5632,4.865886451114673E-4
5888,4.7906304871012106E-4
6144,4.707548461834604E-4
6400,4.6001148084725413E-4
6656,4.50459493585742E-4
6912,4.4261596344597615E-4
7168,4.319634363207578E-4
7424,4.201684440036865E-4
7680,4.0946351021829003E-4
7936,4.010539881486169E-4
8192,3.9093600895719754E-4
8448,3.7878814512826847E-4
8704,3.6918375120657126E-4
8960,3.590413155737382E-4
9216,3.4931813322231636E-4
9472,3.4200216346166185E-4
9728,3.361151486351577E-4
9984,3.31562756754486E-4
10240,3.2736673016302287E-4
10496,3.2337683643490767E-4
10752,3.2017653638678756E-4
11008,3.1726621985831566E-4
11264,3.1464588684949196E-4
11520,3.115591345650981E-4
11776,3.096319669815342E-4
12032,3.082058070692645E-4
12288,3.0699730948559323E-4
12544,3.059327555285374E-4
12800,3.050607087032031E-4
13056,3.0411634068681914E-4
13312,3.0329215861110703E-4
13568,3.0212803199972105E-4
13824,3.010938739055752E-4
14080,3.000485357239138E-4
14336,2.992806034634518E-4
14592,2.98427772413519E-4
14848,2.975885670952194E-4
15104,2.968950522922245E-4
15360,2.9610371172355404E-4
15616,2.9529420351270125E-4
15872,2.9451998245302174E-4
16128,2.9356757874873796E-4
16384,2.9261936757728896E-4
16640,2.917640908831967E-4
16896,2.907292340335807E-4
17152,2.895825763089138E-4
17408,2.882130155896362E-4
17664,2.8681864905120286E-4
17920,2.8531318039319575E-4
18176,2.8369730837108503E-4
18432,2.823469634272019E-4
18688,2.807740648664431E-4
18944,2.7953936395268275E-4
19200,2.784279933791961E-4
19456,2.7732815227096697E-4
19712,2.7614411112870246E-4
19968,2.750697745950853E-4
20224,2.739867036180982E-4
20480,2.724417552760969E-4
20736,2.707954873910831E-4
20992,2.691631946154516E-4
21248,2.6782018660399115E-4
21504,2.662797801725389E-4
21760,2.643973329390023E-4
22016,2.6244675704722303E-4
22272,2.599235510485909E-4
22528,2.5769242483601046E-4
22784,2.559934009130696E-4
23040,2.541567221627586E-4
23296,2.522089412928599E-4
23552,2.499634905931622E-4
23808,2.4799649394786905E-4
24064,2.463114451343243E-4
24320,2.4463513076414256E-4
24576,2.4321001898507805E-4
24832,2.4198510064787904E-4
25088,2.4081154083765988E-4
25344,2.3969318270949252E-4
25600,2.3822929000189702E-4
25856,2.367189300556058E-4
26112,2.3557436859734937E-4
26368,2.3392530569046194E-4
26624,2.3276502223415485E-4
26880,2.3131964654648368E-4
27136,2.3009542696476176E-4
27392,2.2823953243903544E-4
27648,2.263382188078325E-4
27904,2.2485266468069004E-4
28160,2.2363717954233114E-4
28416,2.2245243964461037E-4
28672,2.2122332877459738E-4
28928,2.2035128194926312E-4
29184,2.196151430626514E-4
29440,2.1816487608668916E-4
29696,2.1685156518266857E-4
29952,2.1558751653921043E-4
30208,2.1454951528997873E-4
30464,2.1365266264548877E-4
30720,2.1303286654447695E-4
30976,2.1221811766758414E-4
31232,2.1136458786218115E-4
31488,2.10522936899743E-4
31744,2.096704552275383E-4
32000,2.088868009690395E-4
32256,2.0802872925308052E-4
32512,2.0733521445007175E-4
32768,2.069068773475624E-4
33024,2.0649845477592466E-4
33280,2.0619414676915915E-4
33536,2.0579131424127567E-4
33792,2.0531511238913724E-4
34048,2.0491332799444512E-4
34304,2.045538183056278E-4
34560,2.0399830770775895E-4
34816,2.035486585634516E-4
35072,2.0296694463548676E-4
35328,2.0255432953103503E-4
35584,2.023509916895469E-4
35840,2.0204493679411295E-4
36096,2.0178989104791684E-4
36352,2.015348453017346E-4
36608,2.0115262606017897E-4
36864,2.007483960213552E-4
37120,2.0024634021685583E-4
37376,1.9993818905501837E-4
37632,1.9971563543813575E-4
37888,1.9958252252129383E-4
38144,1.994081830317615E-4
38400,1.9907557542851034E-4
38656,1.9889529651750254E-4
38912,1.9874331720299426E-4
39168,1.9847429634741592E-4
39424,1.9800787707184575E-4
39680,1.976843532896927E-4
39936,1.973852859489464E-4
40192,1.9720850081528934E-4
40448,1.971176626043153E-4
40704,1.9697651399957355E-4
40960,1.9682942597334246E-4
41216,1.9654153872010471E-4
41472,1.963175875922818E-4
41728,1.9621312364966753E-4
41984,1.9602655593944224E-4
42240,1.9579806290107027E-4
42496,1.9566355247328804E-4
42752,1.9556817235176494E-4
43008,1.953085846950267E-4
43264,1.9517092986762186E-4
43520,1.9501126424294885E-4
43776,1.9482958782101462E-4
44032,1.9466013961976641E-4
44288,1.9437155361106545E-4
44544,1.9423704318327628E-4
44800,1.9414340995042856E-4
45056,1.9396627543903644E-4
45312,1.93787394038962E-4
45568,1.9351453002830477E-4
45824,1.932759050356364E-4
46080,1.9315047842894534E-4
46336,1.9296111569683944E-4
46592,1.9268825168618914E-4
46848,1.925404649044879E-4
47104,1.9241713456421422E-4
47360,1.9227878098134615E-4
47616,1.9203980661093578E-4
47872,1.9178685713115012E-4
48128,1.914605383271234E-4
48384,1.9126453741806493E-4
48640,1.9106469335392062E-4
48896,1.9093682110308402E-4
49152,1.9079427498741586E-4
49408,1.9057346825920168E-4
49664,1.9032331380129663E-4
49920,1.9015770875513427E-4
50176,1.8995751531326183E-4
50432,1.897964521776485E-4
50688,1.8960604131233738E-4
50944,1.8934470676693071E-4
51200,1.8918678803092615E-4
51456,1.8891322526479876E-4
51712,1.886288317889187E-4
51968,1.8838496613023115E-4
52224,1.8824696192509816E-4
52480,1.88001E-4
52736,1.8791422903500607E-4
52992,1.877189198182671E-4
53248,1.8749468694653011E-4
53504,1.872460031499495E-4
53760,1.869704829724429E-4
54016,1.868461410741526E-4
54272,1.8664069366906383E-4
54528,1.865017408522694E-4
54784,1.8630494072547894E-4
55040,1.8621876612450556E-4
55296,1.8599572598080975E-4
55552,1.8580816949633828E-4
55808,1.8559049662882765E-4
56064,1.8539101286394467E-4
56320,1.8525563823127369E-4
56576,1.8504571809603056E-4
56832,1.848605470676414E-4
57088,1.8464555783822339E-4
57344,1.8445680862571074E-4
57600,1.8428475760577426E-4
57856,1.8413029932444483E-4
58112,1.8394960102620999E-4
