cache_lines,MRC
256,0.0957224
512,0.0868464
768,0.0834632
1024,0.0820092
1280,0.0809789
1536,0.0801499
1792,0.0795251
2048,0.0789559
2304,0.0784735
2560,0.0780719
2816,0.0776858
3072,0.0773714
3328,0.077071
3584,0.0767822
3840,0.0764951
4096,0.0761801
4352,0.0758491
4608,0.0754819
4864,0.075186
5120,0.0749001
5376,0.0746196
5632,0.07435
5888,0.0740283
6144,0.0737162
6400,0.0734339
6656,0.0731556
6912,0.0728121
7168,0.0718248
7424,0.0716478
7680,0.0714742
7936,0.0712973
8192,0.0711214
8448,0.0708994
8704,0.0706785
8960,0.070486
9216,0.0702873
9472,0.0700826
9728,0.0698856
9984,0.0696854
10240,0.0694751
10496,0.0692562
10752,0.0690521
11008,0.068828
11264,0.0685768
11520,0.0683471
11776,0.0680978
12032,0.0678059
12288,0.0674933
12544,0.0672004
12800,0.066881
13056,0.0664762
13312,0.0658287
13568,0.065469
13824,0.0651122
14080,0.0648118
14336,0.0645534
14592,0.0639716
14848,0.0637337
15104,0.0635255
15360,0.0633221
15616,0.0631295
15872,0.0629258
16128,0.0627213
16384,0.0625089
16640,0.0623102
16896,0.0621101
17152,0.0619137
17408,0.0617175
17664,0.0615098
17920,0.0613203
18176,0.0611081
18432,0.0609333
18688,0.0606739
18944,0.0604394
19200,0.0602598
19456,0.0601421
19712,0.0600328
19968,0.0599356
20224,0.0598368
20480,0.0597477
20736,0.0596621
20992,0.0595743
21248,0.0594928
21504,0.0594076
21760,0.0593203
22016,0.0592161
22272,0.0590711
22528,0.0588986
22784,0.058716
23040,0.0585262
23296,0.0583511
23552,0.0581743
23808,0.0579857
24064,0.057694
24320,0.0574826
24576,0.0572802
24832,0.0571024
25088,0.0569364
25344,0.056784
25600,0.0566116
25856,0.0564338
26112,0.0562554
26368,0.0560213
26624,0.0558109
26880,0.0556497
27136,0.0554826
27392,0.0553118
27648,0.0551327
27904,0.05494
28160,0.0547339
28416,0.0545267
28672,0.0543372
28928,0.054139
29184,0.0539782
29440,0.0538203
29696,0.0536587
29952,0.053507
30208,0.0533497
30464,0.053186
30720,0.0530002
30976,0.0527935
31232,0.0525728
31488,0.0523479
31744,0.0521471
32000,0.0519789
32256,0.0518385
32512,0.0517136
32768,0.0515831
33024,0.0514633
33280,0.0513501
33536,0.05123
33792,0.0511068
34048,0.0509908
34304,0.0508835
34560,0.0507858
34816,0.0506964
35072,0.0506153
35328,0.0505382
35584,0.0504678
35840,0.050397
36096,0.0503281
36352,0.0502611
36608,0.0501818
36864,0.050083
37120,0.0500008
37376,0.0499313
37632,0.0498615
37888,0.0497871
38144,0.0497053
38400,0.0496346
38656,0.0495618
38912,0.0494926
39168,0.0494152
39424,0.0493401
39680,0.0492661
39936,0.0491947
40192,0.049122
40448,0.0490462
40704,0.0489644
40960,0.0488749
41216,0.0487761
41472,0.0486799
41728,0.0485955
41984,0.0485213
42240,0.0484581
42496,0.0483962
42752,0.0483385
43008,0.0482806
43264,0.0482194
43520,0.0481574
43776,0.0480965
44032,0.0480348
44288,0.047967
44544,0.0478953
44800,0.0478293
45056,0.0477612
45312,0.0476943
45568,0.0476289
45824,0.0475634
46080,0.0474978
46336,0.0474234
46592,0.0473487
46848,0.0472766
47104,0.047205
47360,0.0471367
47616,0.0470699
47872,0.047003
48128,0.0469363
48384,0.0468731
48640,0.0468064
48896,0.0467351
49152,0.0466624
49408,0.0465881
49664,0.0465177
49920,0.0464456
50176,0.0463784
50432,0.0463125
