cache_lines,MRC
256,0.131482
512,0.118232
768,0.115032
1024,0.113071
1280,0.111738
1536,0.110686
1792,0.109868
2048,0.10917
2304,0.10852
2560,0.108015
2816,0.107539
3072,0.107047
3328,0.106507
3584,0.105935
3840,0.105417
4096,0.104955
4352,0.104533
4608,0.10408
4864,0.103618
5120,0.103175
5376,0.102736
5632,0.101632
5888,0.101344
6144,0.101075
6400,0.100804
6656,0.100518
6912,0.100135
7168,0.0998372
7424,0.0995071
7680,0.0991887
7936,0.0988861
8192,0.0985601
8448,0.09822
8704,0.0978882
8960,0.0975135
9216,0.0971362
9472,0.0967464
9728,0.096266
9984,0.0957929
10240,0.0953076
10496,0.094696
10752,0.0938121
11008,0.0932357
11264,0.0927235
11520,0.0922791
11776,0.0915786
12032,0.091222
12288,0.0908999
12544,0.0905815
12800,0.0902622
13056,0.0899264
13312,0.0896043
13568,0.0892856
13824,0.0889629
14080,0.0886445
14336,0.0883343
14592,0.0879987
14848,0.0877271
15104,0.0873755
15360,0.086982
15616,0.086751
15872,0.0865649
16128,0.0864025
16384,0.0862522
16640,0.0861077
16896,0.0859691
17152,0.0858277
17408,0.0856974
17664,0.0855546
17920,0.0853659
18176,0.0851135
18432,0.084813
18688,0.0845053
18944,0.0842084
19200,0.0839208
19456,0.0835332
19712,0.08313
19968,0.0827947
20224,0.0825121
20480,0.0822614
20736,0.0819952
20992,0.0817144
21248,0.0814281
21504,0.081093
21760,0.0808088
22016,0.0805428
22272,0.0802785
22528,0.0799989
22784,0.0796868
23040,0.0793674
23296,0.0790518
23552,0.0787338
23808,0.0784415
24064,0.0781864
24320,0.0779389
24576,0.0777002
24832,0.0774462
25088,0.0771707
25344,0.0768485
25600,0.0765026
25856,0.0761759
26112,0.0758993
26368,0.0756762
26624,0.0754743
26880,0.0752771
27136,0.0750965
27392,0.0749094
27648,0.0746887
27904,0.0744894
28160,0.074325
28416,0.0741839
28672,0.0740567
28928,0.0739382
29184,0.0738212
29440,0.0736953
29696,0.0735749
29952,0.0734516
30208,0.07329
30464,0.0731644
30720,0.0730485
30976,0.072931
31232,0.0727714
31488,0.0726415
31744,0.0725218
32000,0.0723957
32256,0.0722716
32512,0.0721423
32768,0.0720228
33024,0.071905
33280,0.0717749
33536,0.0716327
33792,0.0714665
34048,0.0713015
34304,0.0711574
34560,0.07104
34816,0.0709115
35072,0.0707993
35328,0.0706995
35584,0.070589
35840,0.0704831
36096,0.0703795
36352,0.0702702
36608,0.0701596
36864,0.0700492
37120,0.069932
37376,0.0698137
37632,0.0696962
37888,0.0695759
38144,0.0694421
38400,0.0692908
38656,0.0691668
38912,0.0690455
39168,0.0689312
39424,0.0688073
39680,0.0686869
39936,0.0685683
40192,0.0684524
40448,0.0683335
40704,0.0682222
40960,0.0681044
41216,0.0679906
41472,0.067876
41728,0.0677574
41984,0.0676266
42240,0.0675054
42496,0.0673825
42752,0.0672453
43008,0.0671184
43264,0.0669896
43520,0.0668695
43776,0.0667834
44032,0.0667106
44288,0.0666389
44544,0.0665732
44800,0.066504
45056,0.066444
45312,0.0663688
45568,0.0663013
45824,0.0662315
46080,0.0661519
46336,0.066084
46592,0.0660247
46848,0.0659534
47104,0.0658912
47360,0.0658271
47616,0.0657632
47872,0.0656945
48128,0.0656293
48384,0.0655709
48640,0.0655049
48896,0.0654437
49152,0.065378
49408,0.06531
49664,0.0652456
49920,0.0651762
50176,0.0651116
50432,0.0650485
50688,0.0649822
50944,0.0649153
51200,0.0648534
51456,0.0647854
51712,0.0647178
51968,0.0646522
52224,0.0645929
52480,0.0645308
52736,0.0644681
52992,0.0643996
53248,0.0643355
53504,0.0642662
53760,0.0641994
54016,0.0641389
54272,0.0640793
54528,0.0640141
54784,0.0639514
55040,0.063892
55296,0.0638286
55552,0.0637699
55808,0.063711
56064,0.0636531
56320,0.0635996
56576,0.0635462
56832,0.0634938
57088,0.0634409
57344,0.0633866
57600,0.0633336
57856,0.0632815
58112,0.0632292
58368,0.063174
58624,0.0631207
58880,0.0630674
59136,0.0630127
59392,0.0629618
59648,0.0629032
59904,0.0628484
60160,0.0627936
60416,0.0627349
60672,0.0626786
60928,0.0626263
61184,0.0625731
61440,0.062517
61696,0.0624607
61952,0.0624091
62208,0.0623572
62464,0.0623062
62720,0.0622501
62976,0.0621932
63232,0.0621379
63488,0.0620813
63744,0.0620297
64000,0.0619753
64256,0.0619226
64512,0.0618654
64768,0.0618067
65024,0.0617565
65280,0.0617016
65536,0.0616465
65792,0.0615936
66048,0.0615428
66304,0.0614929
66560,0.0614426
66816,0.0613887
67072,0.0613349
67328,0.0612832
67584,0.0612274
67840,0.0611747
68096,0.0611214
68352,0.0610746
68608,0.0610266
68864,0.0609786
69120,0.0609323
69376,0.0608846
69632,0.0608358
69888,0.0607908
70144,0.0607441
70400,0.0607011
70656,0.0606573
70912,0.0606164
71168,0.0605714
71424,0.0605287
71680,0.0604859
71936,0.0604448
72192,0.0604025
72448,0.0603577
72704,0.060316
72960,0.0602747
73216,0.0602363
73472,0.0601914
73728,0.0601442
73984,0.0600983
74240,0.0600504
74496,0.0600046
74752,0.0599586
75008,0.0599164
75264,0.0598705
75520,0.0598258
75776,0.0597811
76032,0.0597358
76288,0.05969
76544,0.0596445
76800,0.0596006
77056,0.0595565
77312,0.0595103
77568,0.0594671
77824,0.059429
78080,0.0593877
78336,0.0593424
78592,0.0593012
78848,0.0592589
79104,0.0592134
79360,0.0591677
79616,0.0591228
79872,0.0590792
80128,0.0590326
80384,0.0589868
80640,0.058942
80896,0.0588946
81152,0.0588478
81408,0.058801
81664,0.058759
81920,0.0587143
82176,0.0586648
82432,0.0586227
82688,0.0585819
82944,0.0585405
83200,0.0584966
83456,0.0584514
83712,0.0584088
83968,0.0583654
84224,0.0583229
84480,0.058276
84736,0.0582306
84992,0.0581872
85248,0.0581439
85504,0.0580939
85760,0.0580468
86016,0.0580003
86272,0.057954
86528,0.0579072
86784,0.0578638
87040,0.0578166
87296,0.0577699
87552,0.0577235
87808,0.0576748
88064,0.0576278
88320,0.0575815
88576,0.0575324
88832,0.0574895
89088,0.0574433
89344,0.0573943
89600,0.0573481
89856,0.0573028
90112,0.0572588
90368,0.0572138
90624,0.057167
90880,0.0571202
91136,0.0570757
91392,0.0570306
91648,0.0569876
91904,0.05694
92160,0.0568927
92416,0.0568438
92672,0.056794
92928,0.0567451
93184,0.0566979
93440,0.0566523
93696,0.0566079
93952,0.0565619
94208,0.0565166
94464,0.0564651
94720,0.0564151
94976,0.0563681
95232,0.0563225
95488,0.0562798
95744,0.0562364
96000,0.056193
96256,0.056149
96512,0.0561023
96768,0.0560563
97024,0.0560115
97280,0.0559647
97536,0.0559206
97792,0.0558758
98048,0.0558293
98304,0.0557828
98560,0.0557327
98816,0.0556819
99072,0.0556345
99328,0.0555867
99584,0.0555398
99840,0.0554913
100096,0.05544
100352,0.0553892
100608,0.0553393
100864,0.055292
101120,0.0552445
101376,0.0551976
101632,0.0551507
101888,0.0551012
102144,0.0550527
102400,0.0550055
102656,0.0549589
102912,0.0549139
103168,0.0548639
103424,0.0548147
103680,0.05477
103936,0.0547252
104192,0.0546766
104448,0.0546275
104704,0.0545785
104960,0.0545293
105216,0.0544777
105472,0.0544289
105728,0.0543774
105984,0.0543234
106240,0.054271
106496,0.0542211
106752,0.0541706
107008,0.0541165
107264,0.0540598
107520,0.054009
107776,0.0539556
108032,0.0539037
108288,0.0538526
108544,0.0538014
108800,0.0537485
109056,0.0537029
109312,0.0536504
109568,0.0535961
109824,0.053541
110080,0.0534857
110336,0.0534326
110592,0.0533806
110848,0.0533296
111104,0.0532761
111360,0.0532235
111616,0.053171
111872,0.0531174
112128,0.0530597
112384,0.053003
112640,0.0529512
112896,0.0528976
113152,0.0528439
113408,0.0527886
113664,0.0527284
113920,0.0526699
114176,0.0526141
114432,0.0525595
114688,0.0525014
114944,0.052448
115200,0.0523922
115456,0.0523381
