cache_lines,MRC
256,0.0611535
512,0.056136
768,0.0535374
1024,0.0525129
1280,0.0518183
1536,0.0512752
1792,0.0508288
2048,0.0504672
2304,0.0501359
2560,0.0498374
2816,0.0495829
3072,0.0493471
3328,0.049143
3584,0.0489437
3840,0.0487788
4096,0.0486104
4352,0.048452
4608,0.0482888
4864,0.048121
5120,0.0479405
5376,0.0477506
5632,0.0475432
5888,0.0473391
6144,0.0471632
6400,0.0469985
6656,0.0468448
6912,0.0466874
7168,0.0465196
7424,0.0462843
7680,0.0460614
7936,0.0458477
8192,0.0455677
8448,0.0453328
8704,0.0450884
8960,0.0437566
9216,0.0436318
9472,0.0435148
9728,0.0434006
9984,0.0432872
10240,0.0431656
10496,0.0430259
10752,0.0428809
11008,0.0427606
11264,0.0426373
11520,0.0425112
11776,0.0423829
12032,0.0422595
12288,0.0421319
12544,0.0420014
12800,0.0418693
13056,0.041741
13312,0.0416114
13568,0.0414761
13824,0.0413353
14080,0.0411838
14336,0.0410425
14592,0.0408933
14848,0.0407196
15104,0.0405326
15360,0.0403576
15616,0.0401827
15872,0.0400043
16128,0.0397896
16384,0.0395855
16640,0.0393952
16896,0.0392191
17152,0.0390492
17408,0.0388849
17664,0.0387305
17920,0.0380945
18176,0.0379222
18432,0.0378032
18688,0.0376953
18944,0.0375868
19200,0.0374788
19456,0.0373689
19712,0.0372504
19968,0.0371405
20224,0.0370316
20480,0.0369213
20736,0.0368096
20992,0.0366979
21248,0.0365856
21504,0.0364684
21760,0.0363649
22016,0.0362455
22272,0.0361512
22528,0.0360575
22784,0.0359575
23040,0.0358743
23296,0.0357865
23552,0.0357178
23808,0.0356527
24064,0.0355964
24320,0.0355447
24576,0.0354961
24832,0.0354496
25088,0.0354052
25344,0.0353597
25600,0.035315
25856,0.0352702
26112,0.0352297
26368,0.0351829
26624,0.0351295
26880,0.0350622
27136,0.0349828
27392,0.0348901
27648,0.034793
27904,0.0346901
28160,0.0345943
28416,0.0344914
28672,0.0343958
28928,0.0342924
29184,0.034179
29440,0.03407
29696,0.0339686
29952,0.0338723
30208,0.0337869
30464,0.0337021
30720,0.03362
30976,0.0335293
31232,0.0334359
31488,0.0333389
31744,0.0332457
32000,0.0331515
32256,0.0330601
32512,0.0329705
32768,0.0328824
33024,0.0327888
33280,0.0326888
33536,0.0325896
33792,0.032484
34048,0.032373
34304,0.0322606
34560,0.0321559
34816,0.0320601
35072,0.0319722
35328,0.0318856
35584,0.0318005
35840,0.0317158
36096,0.0316287
36352,0.0315404
36608,0.0314479
36864,0.0313473
37120,0.0312405
37376,0.0311219
37632,0.0309991
37888,0.0308745
38144,0.030758
38400,0.0306563
38656,0.0305711
38912,0.0304952
39168,0.030425
39424,0.0303583
39680,0.0302974
39936,0.030233
40192,0.0301724
40448,0.0301148
40704,0.0300573
40960,0.0299985
41216,0.0299402
41472,0.0298872
41728,0.029839
41984,0.0297957
42240,0.0297557
42496,0.0297188
42752,0.0296823
43008,0.0296438
43264,0.0296076
43520,0.0295713
43776,0.0295353
44032,0.0295001
44288,0.0294664
44544,0.0294311
44800,0.0293943
45056,0.029358
45312,0.0293244
45568,0.0292892
45824,0.0292523
46080,0.0292168
46336,0.0291823
46592,0.0291478
46848,0.0291114
47104,0.0290754
47360,0.0290378
47616,0.0290008
47872,0.0289658
48128,0.028931
48384,0.0288921
48640,0.0288524
48896,0.0288078
49152,0.0287607
49408,0.0287127
49664,0.0286639
49920,0.0286198
50176,0.0285816
50432,0.0285464
50688,0.0285129
50944,0.028482
51200,0.0284505
51456,0.0284188
51712,0.0283887
51968,0.0283565
52224,0.0283244
52480,0.0282914
52736,0.0282567
52992,0.0282226
53248,0.0281877
53504,0.0281545
53760,0.0281191
54016,0.0280831
54272,0.0280489
