cache_lines,MRC
256,0.006990423968719453
512,0.003392687937438906
768,0.0023443319061583583
1024,0.001885385874877811
1280,0.0015673198435972638
1536,0.0013822738123167161
1792,0.0012658277810361689
2048,0.0011849117497556212
2304,0.0011263157184750738
2560,0.0010804396871945266
2816,0.001048173655913979
3072,0.0010245476246334316
3328,0.0010042815933528843
3584,9.857055620723367E-4
3840,9.696095307917894E-4
4096,9.534534995112418E-4
4352,9.376874682306947E-4
4608,9.231314369501471E-4
4864,9.071054056695998E-4
5120,8.929293743890521E-4
5376,8.802533431085048E-4
5632,8.708373118279577E-4
5888,8.6163128054741E-4
6144,8.542252492668625E-4
6400,8.501892179863151E-4
6656,8.435731867057678E-4
6912,8.385871554252202E-4
7168,8.339511241446729E-4
7424,8.317350928641258E-4
7680,8.303590615835782E-4
7936,8.279630303030308E-4
8192,8.266969990224835E-4
8448,8.26290967741936E-4
8704,8.267149364613886E-4
8960,8.281289051808411E-4
9216,8.298528739002938E-4
9472,8.318168426197461E-4
9728,8.337308113391989E-4
9984,8.359047800586515E-4
10240,8.376787487781041E-4
10496,8.399027174975566E-4
10752,8.429566862170092E-4
11008,8.463606549364618E-4
11264,8.501346236559142E-4
11520,8.54138592375367E-4
11776,8.587725610948197E-4
12032,8.633865298142722E-4
12288,8.673904985337249E-4
12544,8.719044672531775E-4
12800,8.771784359726301E-4
13056,8.823024046920825E-4
13312,8.870363734115349E-4
13568,8.915903421309877E-4
13824,8.9602431085044E-4
14080,9.011682795698928E-4
14336,9.061022482893452E-4
14592,9.10806217008798E-4
14848,9.157001857282507E-4
15104,9.207641544477035E-4
15360,9.255981231671559E-4
15616,9.307620918866083E-4
15872,9.353960606060608E-4
16128,9.395800293255136E-4
16384,9.442239980449662E-4
16640,9.487379667644186E-4
16896,9.52721935483871E-4
17152,9.570359042033239E-4
17408,9.614098729227765E-4
17664,9.648838416422289E-4
17920,9.689378103616814E-4
18176,9.722617790811341E-4
18432,9.755757478005869E-4
18688,9.785997165200394E-4
18944,9.812136852394918E-4
19200,9.837176539589446E-4
19456,9.86861622678397E-4
19712,9.8888559139785E-4
19968,9.913795601173023E-4
20224,9.949835288367548E-4
20480,9.967774975562075E-4
20736,9.995714662756603E-4
20992,0.0010015454349951126
21248,0.0010033794037145652
21504,0.0010049933724340177
21760,0.0010064373411534707
22016,0.0010086013098729231
22272,0.0010103152785923756
22528,0.0010124292473118282
22784,0.0010137032160312809
23040,0.0010143171847507334
23296,0.0010163411534701858
23552,0.0010173151221896386
23808,0.0010196390909090912
24064,0.0010215430596285438
24320,0.0010230370283479963
24576,0.001023300997067449
24832,0.0010237349657869015
25088,0.0010241989345063543
25344,0.0010251429032258066
25600,0.0010251668719452591
25856,0.001023570840664712
26112,0.0010225048093841648
26368,0.0010216587781036169
26624,0.0010215227468230695
26880,0.0010214567155425224
27136,0.001020920684261975
27392,0.0010205146529814275
27648,0.0010190586217008798
27904,0.0010176825904203326
28160,0.001016006559139785
28416,0.0010145605278592377
28672,0.0010132444965786904
28928,0.0010115084652981428
29184,0.0010097924340175955
29440,0.001007016402737048
29696,0.0010049603714565006
29952,0.0010026143401759531
30208,9.98948308895406E-4
30464,9.957222776148583E-4
30720,9.93136246334311E-4
30976,9.897902150537638E-4
31232,9.861041837732163E-4
31488,9.833781524926687E-4
31744,9.802121212121213E-4
32000,9.770660899315739E-4
32256,9.718500586510265E-4
32512,9.67634027370479E-4
32768,9.641479960899317E-4
33024,9.604019648093843E-4
33280,9.550659335288369E-4
33536,9.498699022482896E-4
33792,9.45513870967742E-4
34048,9.415978396871947E-4
34304,9.365118084066471E-4
34560,9.311557771260999E-4
34816,9.265697458455523E-4
35072,9.21933714565005E-4
35328,9.180676832844575E-4
35584,9.136116520039102E-4
35840,9.099456207233626E-4
36096,9.055695894428153E-4
36352,9.011535581622677E-4
36608,8.964475268817204E-4
36864,8.92381495601173E-4
37120,8.872754643206257E-4
37376,8.824494330400782E-4
37632,8.781934017595308E-4
37888,8.740073704789832E-4
38144,8.701813391984361E-4
38400,8.662653079178886E-4
38656,8.616192766373412E-4
38912,8.569432453567939E-4
39168,8.538072140762464E-4
39424,8.502611827956991E-4
39680,8.474251515151515E-4
39936,8.444291202346042E-4
40192,8.407430889540567E-4
40448,8.364270576735092E-4
40704,8.324410263929618E-4
40960,8.293049951124145E-4
41216,8.266789638318669E-4
41472,8.235629325513197E-4
41728,8.211169012707722E-4
41984,8.184508699902249E-4
42240,8.151548387096772E-4
42496,8.1210880742913E-4
42752,8.097927761485824E-4
43008,8.078267448680351E-4
43264,8.057307135874877E-4
43520,8.048246823069403E-4
43776,8.035986510263929E-4
44032,8.027226197458454E-4
44288,8.016365884652981E-4
44544,7.989605571847506E-4
44800,7.981045259042034E-4
45056,7.970784946236557E-4
45312,7.964924633431084E-4
45568,7.958064320625609E-4
45824,7.944304007820137E-4
46080,7.929743695014662E-4
46336,7.922783382209189E-4
46592,7.915423069403712E-4
46848,7.911462756598239E-4
47104,7.907002443792764E-4
47360,7.897642130987291E-4
47616,7.904381818181817E-4
47872,7.897021505376342E-4
48128,7.895461192570868E-4
48384,7.901500879765396E-4
48640,7.90274056695992E-4
48896,7.905980254154447E-4
49152,7.906719941348972E-4
49408,7.905659628543499E-4
49664,7.903299315738025E-4
49920,7.914439002932551E-4
50176,7.926178690127077E-4
50432,7.937718377321601E-4
50688,7.938558064516127E-4
50944,7.942497751710653E-4
51200,7.937137438905179E-4
51456,7.938377126099705E-4
51712,7.937016813294232E-4
51968,7.943956500488757E-4
52224,7.964196187683283E-4
52480,7.963196319648093E-4
52736,7.905782639296186E-4
52992,7.840688958944282E-4
53248,7.779165278592376E-4
53504,7.71851159824047E-4
53760,7.658757917888562E-4
54016,7.607984237536657E-4
54272,7.54186055718475E-4
54528,7.480556876832844E-4
54784,7.427313196480937E-4
55040,7.359709516129031E-4
55296,7.301175835777125E-4
55552,7.244842155425219E-4
55808,7.195118475073314E-4
56064,7.138854794721406E-4
56320,7.0798811143695E-4
56576,7.018527434017594E-4
56832,6.961233753665689E-4
57088,6.913320073313784E-4
57344,6.864466392961877E-4
57600,6.801372712609971E-4
57856,6.741059032258064E-4
58112,6.688795351906158E-4
58368,6.639181671554252E-4
58624,6.582557991202346E-4
58880,6.53391431085044E-4
59136,6.482880630498533E-4
59392,6.431366950146628E-4
59648,6.367843269794721E-4
59904,6.319869589442815E-4
60160,6.263165909090909E-4
60416,6.210782228739003E-4
60672,6.154218548387097E-4
60928,6.109134868035191E-4
61184,6.056901187683284E-4
61440,6.004627507331378E-4
61696,5.957183826979472E-4
61952,5.915620146627566E-4
62208,5.863076466275659E-4
62464,5.810672785923753E-4
62720,5.765969105571847E-4
62976,5.71807542521994E-4
63232,5.677941744868034E-4
63488,5.626648064516129E-4
63744,5.575504384164222E-4
64000,5.530360703812316E-4
64256,5.48568702346041E-4
64512,5.439623343108503E-4
64768,5.397009662756598E-4
65024,5.347785982404692E-4
65280,5.306522302052786E-4
65536,5.267128621700879E-4
65792,5.224884941348973E-4
66048,5.181661260997067E-4
66304,5.143577580645161E-4
66560,5.099883900293255E-4
66816,5.065990219941348E-4
67072,5.022116539589443E-4
67328,4.972112859237536E-4
67584,4.934379178885629E-4
67840,4.886875498533725E-4
68096,4.845111818181818E-4
68352,4.7998581378299124E-4
68608,4.7590644574780055E-4
68864,4.7237107771260997E-4
69120,4.688147096774194E-4
69376,4.658353416422288E-4
69632,4.613589736070381E-4
69888,4.5807260557184746E-4
70144,4.5373623753665684E-4
70400,4.5018486950146623E-4
70656,4.4635350146627565E-4
70912,4.4303813343108506E-4
71168,4.392827653958944E-4
71424,4.3494639736070377E-4
71680,4.301300293255132E-4
71936,4.261876612903225E-4
72192,4.229082932551319E-4
72448,4.1971192521994126E-4
72704,4.161715571847507E-4
72960,4.110291891495601E-4
