cache_lines,MRC
256,0.007019998015640273
512,0.001263906031280548
768,-5.646759530791787E-4
1024,-0.0015215379374389042
1280,-0.0020525599217986303
1536,-0.0023730819061583575
1792,-0.0025634138905180834
2048,-0.0026983158748778097
2304,-0.0027760978592375352
2560,-0.0028369498435972633
2816,-0.0028800418279569884
3072,-0.002915473812316715
3328,-0.0029444357966764423
3584,-0.0029714377810361675
3840,-0.002994559765395894
4096,-0.0030132317497556195
4352,-0.003028873734115347
4608,-0.0030366857184750727
4864,-0.003036497702834799
5120,-0.003033859687194526
5376,-0.0030288416715542523
5632,-0.003023233655913978
5888,-0.0030168756402737034
6144,-0.003004187624633431
6400,-0.0029940296089931576
6656,-0.002978381593352883
6912,-0.00296109357771261
7168,-0.0029421655620723358
7424,-0.002922567546432062
7680,-0.002899799530791788
7936,-0.0028780715151515146
8192,-0.0028543934995112416
8448,-0.002831255483870967
8704,-0.002804297468230693
8960,-0.00277647945259042
9216,-0.0027498714369501463
9472,-0.0027215234213098724
9728,-0.002693355405669599
9984,-0.0026658573900293246
10240,-0.0026354993743890514
10496,-0.0026078713587487775
10752,-0.0025798533431085043
11008,-0.0025506353274682304
11264,-0.0025200673118279567
11520,-0.002489189296187682
11776,-0.002458701280547409
12032,-0.0024273132649071357
12288,-0.002396465249266862
12544,-0.0023671972336265883
12800,-0.002338179217986314
13056,-0.0023081712023460405
13312,-0.002279033186705767
13568,-0.002251295171065493
13824,-0.00222216715542522
14080,-0.0021953791397849457
14336,-0.0021676511241446716
14592,-0.0021410531085043986
14848,-0.0021166850928641253
15104,-0.0020912870772238504
15360,-0.0020637590615835777
15616,-0.002038861045943304
15872,-0.0020142530303030298
16128,-0.0019906550146627554
16384,-0.0019654569990224828
16640,-0.0019394889833822095
16896,-0.0019129309677419354
17152,-0.0018879329521016607
17408,-0.0018626749364613875
17664,-0.0018391769208211143
17920,-0.0018175489051808396
18176,-0.0017946308895405664
18432,-0.0017709228739002936
18688,-0.0017481248582600188
18944,-0.0017254268426197452
19200,-0.0017040888269794713
19456,-0.0016821808113391982
19712,-0.0016609627956989245
19968,-0.00164119478005865
20224,-0.0016202367644183764
20480,-0.0016015287487781034
20736,-0.0015835307331378296
20992,-0.0015658327174975558
21248,-0.0015467347018572825
21504,-0.0015289766862170082
21760,-0.0015097986705767345
22016,-0.0014931506549364613
22272,-0.0014742326392961878
22528,-0.0014600246236559132
22784,-0.0014427266080156396
23040,-0.0014261385923753662
23296,-0.001412270576735093
23552,-0.0013975925610948186
23808,-0.0013813545454545452
24064,-0.001364446529814272
24320,-0.0013487385141739976
24576,-0.0013361004985337236
24832,-0.0013217424828934504
25088,-0.001306954467253177
25344,-0.0012926964516129028
25600,-0.0012793084359726285
25856,-0.0012675904203323552
26112,-0.0012555124046920818
26368,-0.0012427843890518075
26624,-0.0012299963734115345
26880,-0.0012168883577712603
27136,-0.001205810342130987
27392,-0.0011959323264907136
27648,-0.0011849543108504394
27904,-0.001174326295210166
28160,-0.0011618982795698922
28416,-0.0011523202639296187
28672,-0.0011414922482893444
28928,-0.0011263942326490712
29184,-0.001113886217008797
29440,-0.0010992082013685238
29696,-0.0010852001857282493
29952,-0.001070412170087976
30208,-0.0010573041544477027
30464,-0.0010433861388074285
30720,-0.0010289881231671555
30976,-0.0010125101075268814
31232,-9.96582091886608E-4
31488,-9.791040762463336E-4
31744,-9.638860606060603E-4
32000,-9.505880449657863E-4
32256,-9.354700293255128E-4
32512,-9.210820136852389E-4
32768,-9.086739980449653E-4
33024,-8.91025982404692E-4
33280,-8.722379667644178E-4
33536,-8.592999511241447E-4
33792,-8.441819354838703E-4
34048,-8.249939198435971E-4
34304,-8.07125904203323E-4
34560,-7.885578885630496E-4
34816,-7.701998729227754E-4
35072,-7.511518572825022E-4
35328,-7.297738416422281E-4
35584,-7.096458260019548E-4
