cache_lines,MRC
256,0.0135685
512,0.00838205
768,0.00674831
1024,0.00592485
1280,0.00542097
1536,0.00511871
1792,0.00492516
2048,0.00478125
2304,0.00466933
2560,0.00458627
2816,0.00452176
3072,0.00446922
3328,0.00442035
3584,0.00437447
3840,0.00432588
4096,0.00428177
4352,0.0042383
4608,0.00419846
4864,0.00416235
5120,0.00412821
5376,0.00409989
5632,0.00407475
5888,0.0040515
6144,0.0040258
6400,0.00400633
6656,0.00398713
6912,0.00397
7168,0.00395581
7424,0.00394128
7680,0.00392747
7936,0.00391369
8192,0.00390166
8448,0.00389002
8704,0.00387784
8960,0.00386805
9216,0.00385818
9472,0.00384884
9728,0.00383933
9984,0.00383077
10240,0.00382379
10496,0.00381666
10752,0.00380975
11008,0.00380333
11264,0.00379769
11520,0.00379204
11776,0.00378733
12032,0.00378226
12288,0.00377619
12544,0.00377136
12800,0.00376723
13056,0.00376154
13312,0.0037557
13568,0.0037504
13824,0.00374585
14080,0.00373956
14336,0.00373376
14592,0.00372826
14848,0.00372257
15104,0.00371803
15360,0.00371156
15616,0.00370469
15872,0.00369648
16128,0.00368842
16384,0.00368067
16640,0.00367054
16896,0.00366137
17152,0.00365113
17408,0.00364079
17664,0.00363185
17920,0.00362236
18176,0.00361263
18432,0.00360298
18688,0.00359449
18944,0.00358504
19200,0.00357556
19456,0.00356472
19712,0.00355634
19968,0.00354602
20224,0.0035354
20480,0.00352486
20736,0.00351424
20992,0.00350528
21248,0.00349532
21504,0.00348359
21760,0.0034716
22016,0.00345937
22272,0.00344658
22528,0.00343131
22784,0.00341663
23040,0.00340256
23296,0.003389
23552,0.00337517
23808,0.00335834
24064,0.0033419
24320,0.00332805
24576,0.00331072
24832,0.00329509
25088,0.00327884
25344,0.00326198
25600,0.00324583
25856,0.00323028
26112,0.00321204
26368,0.00319285
26624,0.00317499
26880,0.00315671
27136,0.00313833
27392,0.0031212
27648,0.00310296
27904,0.00308551
28160,0.00306483
28416,0.00304656
28672,0.00302648
28928,0.00300638
29184,0.00298641
29440,0.002966
29696,0.00294599
29952,0.00292609
30208,0.00290471
30464,0.00288427
30720,0.00286608
30976,0.00284666
31232,0.00282782
31488,0.00280969
31744,0.00278959
32000,0.00276908
32256,0.00275098
32512,0.00273147
32768,0.00271331
33024,0.00269442
33280,0.00267571
33536,0.00265732
33792,0.00263917
34048,0.00261875
34304,0.00260034
34560,0.00258132
34816,0.00256251
35072,0.00254425
35328,0.00252779
35584,0.00250894
35840,0.00249111
36096,0.00247224
36352,0.00245384
36608,0.00243762
36864,0.00242217
37120,0.00240559
37376,0.00238826
37632,0.00237224
37888,0.0023565
38144,0.00234097
38400,0.0023261
38656,0.00231201
38912,0.00229598
39168,0.00228116
39424,0.00226487
39680,0.00224926
39936,0.00223575
40192,0.00222009
40448,0.00220631
40704,0.00219178
40960,0.00217701
41216,0.00216263
41472,0.00215036
41728,0.00213747
41984,0.00212426
42240,0.00211106
42496,0.00209759
42752,0.00208551
43008,0.00207253
43264,0.00206022
43520,0.00204921
43776,0.00203646
44032,0.00202466
44288,0.00201307
44544,0.00200222
44800,0.00199173
45056,0.00198052
45312,0.00196798
45568,0.00195521
45824,0.00194243
46080,0.00192981
46336,0.00191786
46592,0.00190581
46848,0.00189405
47104,0.00188208
47360,0.00186986
47616,0.00185777
47872,0.00184669
48128,0.00183487
48384,0.00182338
48640,0.001812
48896,0.00180197
49152,0.00179079
49408,0.00178072
49664,0.00176892
49920,0.00175696
50176,0.00174488
50432,0.00173446
50688,0.0017227
50944,0.00171032
51200,0.00169968
51456,0.00168968
51712,0.00167858
51968,0.00166716
52224,0.00165544
52480,0.00164437
52736,0.00163342
52992,0.00162178
53248,0.00161027
53504,0.00160004
53760,0.00158773
54016,0.00157592
54272,0.00156379
54528,0.00155293
54784,0.00154296
55040,0.00153189
55296,0.00152129
55552,0.00151094
55808,0.00150078
56064,0.00149146
56320,0.00148278
56576,0.00147269
56832,0.00146238
57088,0.00145178
57344,0.0014416
57600,0.00143266
57856,0.00142344
58112,0.00141503
58368,0.00140648
58624,0.00139732
58880,0.00138687
59136,0.00137594
59392,0.00136584
59648,0.00135563
59904,0.00134641
60160,0.00133719
60416,0.00132854
60672,0.00132007
60928,0.00130966
61184,0.00130192
61440,0.00129218
61696,0.00128389
61952,0.00127592
62208,0.00126711
62464,0.00125785
62720,0.00124865
62976,0.00124064
63232,0.00123189
63488,0.00122498
63744,0.00121688
64000,0.00120975
64256,0.00120163
64512,0.00119312
64768,0.00118477
65024,0.00117699
65280,0.00116865
65536,0.00116035
65792,0.00115065
66048,0.00114194
66304,0.00113206
66560,0.00112302
66816,0.00111468
67072,0.00110652
67328,0.00109768
67584,0.00108902
67840,0.00108084
68096,0.00107208
68352,0.00106337
68608,0.00105485
68864,0.00104463
69120,0.00103465
69376,0.00102516
69632,0.00101663
69888,0.00100767
70144,0.000999044
70400,0.000989321
70656,0.000981547
70912,0.000974013
71168,0.000966083
71424,0.000957311
71680,0.000949381
71936,0.000941703
72192,0.00093264
72448,0.000923528
72704,0.000914937
72960,0.000905914
73216,0.000897274
73472,0.000888925
73728,0.000881324
73984,0.00087314
74240,0.000863939
74496,0.000855287
74752,0.000845513
75008,0.000836725
75264,0.00082803
75520,0.000819563
75776,0.00081111
76032,0.000801173
76288,0.000790456
76544,0.000780338
76800,0.000770802
77056,0.000761101
77312,0.000752686
77568,0.000744302
77824,0.000735941
78080,0.00072564
78336,0.000717907
78592,0.000708627
78848,0.000697756
79104,0.000690056
79360,0.000678951
79616,0.000668659
79872,0.000659637
80128,0.000650375
80384,0.00063989
80640,0.00063114
