cache_lines,MRC
256,0.015693
512,0.0098997
768,0.00803391
1024,0.00703984
1280,0.00647161
1536,0.00611388
1792,0.00588634
2048,0.00571423
2304,0.00559924
2560,0.00550118
2816,0.00542088
3072,0.00534824
3328,0.00528207
3584,0.00521786
3840,0.00515753
4096,0.00510165
4352,0.0050488
4608,0.00500378
4864,0.00496676
5120,0.00493219
5376,0.0049
5632,0.0048684
5888,0.00483755
6144,0.00481303
6400,0.00478598
6656,0.00476442
6912,0.0047445
7168,0.00472622
7424,0.00470861
7680,0.00469417
7936,0.00467869
8192,0.00466516
8448,0.00465109
8704,0.00464084
8960,0.00463145
9216,0.00462085
9472,0.00461199
9728,0.00460295
9984,0.00459324
10240,0.00458639
10496,0.00457681
10752,0.00456762
11008,0.00455963
11264,0.00455299
11520,0.00454666
11776,0.00453994
12032,0.00453412
12288,0.00452776
12544,0.00451982
12800,0.00451163
13056,0.00450443
13312,0.00449636
13568,0.00448689
13824,0.00447881
14080,0.00446839
14336,0.00445891
14592,0.0044483
14848,0.00443546
15104,0.00442365
15360,0.00441397
15616,0.00440166
15872,0.00438906
16128,0.00437545
16384,0.00436344
16640,0.0043522
16896,0.00434155
17152,0.00432934
17408,0.00431739
17664,0.00430368
17920,0.0042881
18176,0.00427381
18432,0.00426031
18688,0.0042459
18944,0.00423139
19200,0.00421552
19456,0.00420022
19712,0.00418423
19968,0.00416679
20224,0.00415054
20480,0.00413204
20736,0.00411283
20992,0.00409332
21248,0.00407521
21504,0.00405576
21760,0.00403773
22016,0.00401717
22272,0.00399888
22528,0.00397588
22784,0.00395597
23040,0.00393535
23296,0.00391201
23552,0.00388948
23808,0.00386851
24064,0.00384821
24320,0.00382671
24576,0.00380214
24832,0.00377929
25088,0.00375687
25344,0.00373392
25600,0.0037101
25856,0.00368461
26112,0.00365948
26368,0.003635
26624,0.00361058
26880,0.00358648
27136,0.00356035
27392,0.00353302
27648,0.00350679
27904,0.00348021
28160,0.00345543
28416,0.0034278
28672,0.00340142
28928,0.00337931
29184,0.00335461
29440,0.00333208
29696,0.00330888
29952,0.00328646
30208,0.00326236
30464,0.00323907
30720,0.00321626
30976,0.00319553
31232,0.00317425
31488,0.00315452
31744,0.00313253
32000,0.00310862
32256,0.00308653
32512,0.00306371
32768,0.00303891
33024,0.00301935
33280,0.00300093
33536,0.00297666
33792,0.00295457
34048,0.00293655
34304,0.00291721
34560,0.00289857
34816,0.00287972
35072,0.00286156
35328,0.00284573
35584,0.00282865
35840,0.00281052
36096,0.00279239
36352,0.00277449
36608,0.00275821
36864,0.00274114
37120,0.00272485
37376,0.00270972
37632,0.00269318
37888,0.0026763
38144,0.00265978
38400,0.00264496
38656,0.00263088
38912,0.00261677
39168,0.0026026
39424,0.00258762
39680,0.00257206
39936,0.00255645
40192,0.00254129
40448,0.00252799
40704,0.00251228
40960,0.00249766
41216,0.00248147
41472,0.00246639
41728,0.00245167
41984,0.0024358
42240,0.00242206
42496,0.00240776
42752,0.00239141
43008,0.00237686
43264,0.00236244
43520,0.00234756
43776,0.00233326
44032,0.00231968
44288,0.00230538
44544,0.00229169
44800,0.00227832
45056,0.0022638
45312,0.00225056
45568,0.00223781
45824,0.00222409
46080,0.00221181
46336,0.00219669
46592,0.00218279
46848,0.00216952
47104,0.00215688
47360,0.0021428
47616,0.00212848
47872,0.0021165
48128,0.00210454
48384,0.00209061
48640,0.00207742
48896,0.00206398
49152,0.00204942
49408,0.00203714
49664,0.00202414
49920,0.00201077
50176,0.00199787
50432,0.00198549
50688,0.00197306
50944,0.0019617
51200,0.0019486
51456,0.00193621
51712,0.00192255
51968,0.00191018
52224,0.00189845
52480,0.00188723
52736,0.00187675
52992,0.00186505
53248,0.00185364
53504,0.00184233
53760,0.00183071
54016,0.00182031
54272,0.00180758
54528,0.00179583
54784,0.0017831
55040,0.00177276
55296,0.00176135
55552,0.00175036
55808,0.00173939
56064,0.00172932
56320,0.00171764
56576,0.00170616
56832,0.00169427
57088,0.00168338
57344,0.0016715
57600,0.00166072
57856,0.00164916
58112,0.00163886
58368,0.00162922
58624,0.00161975
58880,0.00160965
59136,0.00160003
59392,0.00158969
59648,0.00158042
59904,0.00157123
60160,0.00156025
60416,0.00154951
60672,0.0015398
60928,0.00152833
61184,0.00151777
61440,0.0015082
61696,0.00149799
61952,0.00148648
62208,0.00147457
62464,0.00146288
62720,0.0014494
62976,0.00143732
63232,0.00142597
63488,0.00141504
63744,0.00140473
64000,0.00139533
64256,0.00138299
64512,0.00137247
64768,0.00136322
65024,0.00135254
65280,0.00134261
65536,0.00133212
65792,0.001323
66048,0.00131427
66304,0.00130343
66560,0.00129274
66816,0.00128124
67072,0.00127161
67328,0.0012612
67584,0.00124962
67840,0.00123804
68096,0.00122803
68352,0.00121618
68608,0.00120596
68864,0.00119522
69120,0.00118348
69376,0.00117321
69632,0.00116153
69888,0.0011511
70144,0.00114264
70400,0.00113177
70656,0.00112167
70912,0.00111014
71168,0.00109873
71424,0.00108746
71680,0.00107596
71936,0.00106423
72192,0.0010526
72448,0.00104105
72704,0.00103022
72960,0.00101912
73216,0.00100726
73472,0.000994377
73728,0.000983335
73984,0.000972036
74240,0.000962427
74496,0.000949758
74752,0.000937373
75008,0.000926619
75264,0.000914821
75520,0.000902081
75776,0.000890519
76032,0.000878209
76288,0.000866382
76544,0.00085491
76800,0.000844113
77056,0.000830398
77312,0.000818009
77568,0.000803655
77824,0.000790325
78080,0.000779345
78336,0.000768147
78592,0.000755718
78848,0.000743396
79104,0.00073227
79360,0.00071897
79616,0.000708678
79872,0.000698006
80128,0.000688277
80384,0.000678303
80640,0.000668502
80896,0.000658706
81152,0.00065019
81408,0.000641688
81664,0.000634801
81920,0.000628289
82176,0.000619206
82432,0.000612088
82688,0.000603092
82944,0.000595702
83200,0.000586154
83456,0.000578703
83712,0.000572335
83968,0.000565149
84224,0.000558579
84480,0.00055127
84736,0.000544695
84992,0.000536834
85248,0.000530603
85504,0.000524204
85760,0.000516603
86016,0.000509226
86272,0.000502628
86528,0.000496765
86784,0.000490912
87040,0.000484564
87296,0.00047874
87552,0.000472779
87808,0.000466105
88064,0.000458073
88320,0.000449734
88576,0.000443688
88832,0.00043707
89088,0.000430544
89344,0.000424362
89600,0.000417174
89856,0.000410923
90112,0.000404578
90368,0.000398509
90624,0.000393107
90880,0.000386341
91136,0.00038009
91392,0.000372776
91648,0.000367511
91904,0.000361968
92160,0.000356501
92416,0.000352005
92672,0.000345785
92928,0.000338978
93184,0.000333198
93440,0.000327013
93696,0.00032177
93952,0.000316186
94208,0.000310944
94464,0.000305891
94720,0.000300282
94976,0.000295854
95232,0.000290053
95488,0.000285381
95744,0.000280327
96000,0.000276155
96256,0.000271832
96512,0.000269481
96768,0.000265291
97024,0.000261069
97280,0.000257457
97536,0.000254264
97792,0.000250179
98048,0.000246107
98304,0.000242606
98560,0.000239565
98816,0.000235834
99072,0.000232663
99328,0.000229058
99584,0.000224896
99840,0.000221359
100096,0.000217088
100352,0.00021308
100608,0.00021062
100864,0.000207931
101120,0.000204145
101376,0.000200582
101632,0.000197129
101888,0.000194183
102144,0.000190677
102400,0.000187215
102656,0.000184945
102912,0.000181937
103168,0.000179505
103424,0.000177613
103680,0.00017436
103936,0.000172302
104192,0.00017001
104448,0.000167714
104704,0.000165679
104960,0.000163855
105216,0.000161677
105472,0.00015941
105728,0.000157484
105984,0.00015432
106240,0.000152481
106496,0.000149519
106752,0.00014744
107008,0.000145424
107264,0.000144092
107520,0.000142412
107776,0.000140326
108032,0.000137863
108288,0.000137041
108544,0.000135354
108800,0.000134018
109056,0.000132923
109312,0.000131305
109568,0.000129926
109824,0.000128736
110080,0.000127455
110336,0.000126329
110592,0.000125251
110848,0.000123924
111104,0.000122889
111360,0.000121532
111616,0.000120304
111872,0.000118918
112128,0.000117879
112384,0.000117579
112640,0.000116542
112896,0.000115074
113152,0.000114018
113408,0.000112878
113664,0.000112159
113920,0.000111236
114176,0.00011057
114432,0.000109502
114688,0.000108889
114944,0.000107991
115200,0.000107682
115456,0.000106914
115712,0.000105807
115968,0.00010511
116224,0.000104199
116480,0.000103651
116736,0.000102763
116992,0.000101827
117248,0.000101134
117504,0.000100162
117760,9.94161e-05
118016,9.85399e-05
118272,9.77755e-05
118528,9.73486e-05
118784,9.69792e-05
119040,9.54743e-05
119296,9.4502e-05
119552,9.34896e-05
119808,9.28878e-05
120064,9.24037e-05
120320,9.19279e-05
120576,9.09864e-05
120832,9.03872e-05
121088,8.9796e-05
121344,8.95517e-05
121600,8.85964e-05
121856,8.79102e-05
122112,8.71405e-05
122368,8.66716e-05
122624,8.54982e-05
122880,8.50479e-05
123136,8.43443e-05
123392,8.40859e-05
123648,8.37882e-05
123904,8.33122e-05
124160,8.29605e-05
124416,8.28395e-05
124672,8.27194e-05
124928,8.25257e-05
125184,8.24783e-05
125440,8.22102e-05
125696,8.17295e-05
125952,8.144e-05
126208,8.11118e-05
126464,8.08445e-05
126720,8.07623e-05
126976,8.06295e-05
127232,8.05972e-05
127488,8.01472e-05
127744,8.00276e-05
128000,7.9782e-05
128256,7.95356e-05
128512,7.8725e-05
128768,7.83304e-05
129024,7.7977e-05
129280,7.78162e-05
129536,7.73171e-05
129792,7.69019e-05
130048,7.68516e-05
130304,7.64925e-05
130560,7.6139e-05
130816,7.58753e-05
131072,7.56459e-05
131328,7.56459e-05
131584,7.55796e-05
131840,7.52388e-05
132096,7.51385e-05
132352,7.4877e-05
132608,7.47618e-05
132864,7.46814e-05
133120,7.4601e-05
133376,7.4601e-05
133632,7.44469e-05
133888,7.42795e-05
134144,7.41599e-05
134400,7.38948e-05
134656,7.38703e-05
134912,7.36846e-05
135168,7.34757e-05
135424,7.33114e-05
135680,7.31542e-05
135936,7.29354e-05
136192,7.27523e-05
136448,7.26029e-05
136704,7.23666e-05
