reuse_time,counts
0,0
1,9016063
2,2715242
3,1839461
4,1262755
5,745761
6,635425
7,586433
8,517505
9,450088
10,401323
11,343706
12,305093
13,293761
14,300347
15,318442
16,343572
17,374425
18,385762
19,365197
20,314692
21,253633
22,206798
23,183881
24,179554
25,183561
26,185130
27,182358
28,173225
29,160369
30,147414
31,136579
32,125957
33,116667
34,107608
35,100213
36,92643
37,85647
38,81011
39,75988
40,73498
41,72351
42,73373
43,77359
44,83769
45,92190
46,101349
47,110842
48,119478
49,125973
50,128798
51,128729
52,124681
53,116171
54,106155
55,95043
56,85542
57,76892
58,70856
59,66322
60,63219
61,61299
62,59390
63,56987
64,55459
65,53393
66,50671
67,48180
68,45642
69,43536
70,40611
71,38151
72,36223
73,34290
74,32072
75,30219
76,29095
77,27351
78,26317
79,25537
80,24600
81,24306
82,24036
83,23614
84,23522
85,23329
86,23441
87,23648
88,23953
89,24578
90,25285
91,26326
92,27107
93,28328
94,28966
95,29993
96,30729
97,31879
98,33558
99,35232
100,37202
101,39103
102,41566
103,43630
104,46073
105,48508
106,50642
107,52197
108,53936
109,54484
110,55781
111,55632
112,54787
113,53229
114,51245
115,48975
116,45488
117,42220
118,39543
119,36674
120,33582
121,30851
122,29063
123,27571
124,26245
125,24856
126,23342
127,21957
128,21114
129,19917
130,19079
131,18309
132,17368
133,16916
134,16072
135,15676
136,15352
137,14970
138,14656
139,14664
140,14526
141,14078
142,14148
143,13917
144,13813
145,13999
146,13600
147,13361
148,13308
149,13160
150,13192
151,12982
152,12980
153,12712
154,12828
155,12574
156,12288
157,12344
158,11935
159,11817
160,11719
161,11437
162,11011
163,10487
164,10315
165,9931
166,9519
167,9010
168,8769
169,8630
170,8221
171,7885
172,7849
173,7658
174,7533
175,7432
176,7513
177,7458
178,7604
179,7441
180,7477
181,7717
182,7715
183,7747
184,7878
185,8073
186,8081
187,8339
188,8422
189,8475
190,8675
191,8873
192,9022
193,8934
194,8892
195,8618
196,8930
197,8870
198,8878
199,8594
200,8693
201,8567
202,8666
203,8522
204,8604
205,8616
206,8482
207,8486
208,8596
209,8658
210,8551
211,8824
212,8724
213,8680
214,9095
215,8953
216,9215
217,9204
218,9252
219,9568
220,9572
221,9524
222,9720
223,9676
224,9839
225,9803
226,9646
227,9630
228,9508
229,9364
230,9201
231,9280
232,8825
233,8605
234,8644
235,8499
236,8260
237,8098
238,8067
239,7788
240,7759
241,7513
242,7391
243,7225
244,7116
245,6939
246,6787
247,6755
248,6640
249,6496
250,6248
251,6003
252,6071
253,5920
254,5877
255,5759
256,5591
258,10884
260,10325
262,10168
264,9612
266,9138
268,8717
270,8208
272,7765
274,7446
276,6980
278,6736
280,6444
282,6468
284,6277
286,6253
288,6278
290,6185
292,6152
294,6138
296,6171
298,6286
300,5971
302,6076
304,5950
306,6109
308,5888
310,5872
312,5768
314,5827
316,5718
318,5697
320,5511
322,5519
324,5285
326,5352
328,5365
330,5355
332,5384
334,5372
336,5360
338,5258
340,5179
342,5166
344,5096
346,4980
348,4851
350,4716
352,4484
354,4412
356,4176
358,4212
360,4198
362,4098
364,3846
366,3864
368,3777
370,3666
372,3615
374,3537
376,3346
378,3200
380,3290
382,3245
384,3197
386,3281
388,3035
390,3105
392,2970
394,2971
396,2907
398,2866
400,2726
402,2617
404,2770
406,2595
408,2689
410,2728
412,2838
414,2742
416,2795
418,2745
420,2783
422,2860
424,2826
426,2839
428,2746
430,2934
432,2670
434,2727
436,2631
438,2636
440,2579
442,2661
444,2521
446,2462
448,2495
450,2493
452,2425
454,2442
456,2406
458,2541
460,2570
462,2549
464,2573
466,2715
468,2759
470,2630
472,2545
474,2600
476,2634
478,2612
480,2674
482,2583
484,2638
486,2567
488,2474
490,2415
492,2473
494,2398
496,2375
498,2328
500,2438
502,2282
504,2158
506,2188
508,2264
510,2110
512,1991
514,1971
516,1953
518,1938
520,1912
522,1827
524,1761
526,1880
528,1698
530,1792
532,1696
534,1696
536,1664
538,1647
540,1646
542,1556
544,1576
546,1494
548,1578
550,1467
552,1432
554,1406
556,1425
558,1359
560,1328
562,1370
564,1289
566,1264
568,1231
570,1196
572,1205
574,1246
576,1191
578,1203
580,1167
582,1224
584,1127
586,1205
588,1164
590,1188
592,1236
594,1163
596,1203
598,1227
600,1193
602,1242
604,1221
606,1184
608,1163
610,1156
612,1163
614,1169
616,1133
618,1169
620,1100
622,1204
624,1133
626,1241
628,1099
630,1109
632,1118
634,1140
636,1078
638,1062
640,1068
642,1110
644,978
646,1024
648,1027
650,994
652,1004
654,961
656,977
658,1013
660,951
662,962
664,935
666,922
668,965
670,969
672,912
674,901
676,920
678,921
680,923
682,901
684,905
686,933
688,908
690,993
692,931
694,926
696,957
698,906
700,923
702,925
704,845
706,890
708,942
710,951
712,868
714,897
716,879
718,826
720,826
722,830
724,855
726,835
728,808
730,811
732,813
734,762
736,723
738,818
740,744
742,751
744,717
746,746
748,711
750,719
752,678
754,716
756,750
758,694
760,693
762,741
764,771
766,722
768,707
772,1429
776,1435
780,1424
784,1512
788,1570
792,1532
796,1547
800,1493
804,1577
808,1504
812,1534
816,1524
820,1508
824,1515
828,1393
832,1430
836,1417
840,1456
844,1361
848,1362
852,1315
856,1382
860,1427
864,1391
868,1389
872,1315
876,1404
880,1411
884,1340
888,1284
892,1391
896,1363
900,1460
904,1411
908,1438
912,1440
916,1392
920,1348
924,1470
928,1457
932,1431
936,1494
940,1550
944,1402
948,1465
952,1443
956,1442
960,1356
964,1270
968,1233
972,1267
976,1139
980,1163
984,1104
988,1015
992,1061
996,1073
1000,1063
1004,1084
1008,1051
1012,1065
1016,1060
1020,1027
1024,1052
1028,990
1032,1007
1036,986
1040,904
1044,945
1048,978
1052,956
1056,962
1060,966
1064,916
1068,945
1072,951
1076,995
1080,1006
1084,929
1088,952
1092,936
1096,915
1100,908
1104,834
1108,827
1112,772
1116,792
1120,729
1124,721
1128,741
1132,735
1136,730
1140,772
1144,709
1148,761
1152,772
1156,783
1160,714
1164,752
1168,726
1172,778
1176,752
1180,742
1184,673
1188,676
1192,713
1196,706
1200,706
1204,633
1208,675
1212,663
1216,634
1220,655
1224,669
1228,683
1232,671
1236,692
1240,758
1244,703
1248,678
1252,742
1256,681
1260,684
1264,713
