reuse_time,counts
0,0
1,5240471
2,1705197
3,1128003
4,761400
5,584594
6,502116
7,437883
8,387979
9,354786
10,337241
11,328077
12,317886
13,301196
14,277755
15,251471
16,226186
17,207154
18,191307
19,177652
20,164831
21,153147
22,142009
23,131285
24,123073
25,115654
26,111356
27,108556
28,108633
29,109562
30,113305
31,116240
32,117916
33,119892
34,118626
35,115819
36,111273
37,104317
38,97363
39,89558
40,83110
41,76970
42,71916
43,67496
44,64337
45,60280
46,58115
47,55228
48,52716
49,49785
50,47478
51,44993
52,43293
53,41623
54,40312
55,39011
56,38448
57,37994
58,37790
59,38219
60,38583
61,39267
62,40330
63,42186
64,43303
65,45574
66,47453
67,48559
68,50904
69,52072
70,53508
71,54441
72,54565
73,54629
74,54139
75,53047
76,51434
77,49273
78,47219
79,44134
80,41921
81,39483
82,36596
83,34148
84,31457
85,29480
86,27395
87,25989
88,24475
89,23126
90,22487
91,21278
92,20394
93,20203
94,19569
95,19336
96,19140
97,18860
98,18425
99,18461
100,18265
101,17846
102,17900
103,17457
104,17123
105,16676
106,16417
107,15962
108,15286
109,14990
110,14293
111,14003
112,13594
113,13226
114,12688
115,12285
116,12174
117,11788
118,11432
119,11410
120,11174
121,10944
122,10965
123,10870
124,10949
125,10974
126,11103
127,11316
128,11434
129,11606
130,11389
131,11739
132,12177
133,12039
134,12294
135,12328
136,12651
137,12572
138,12614
139,12720
140,13227
141,13062
142,13204
143,13413
144,13425
145,13410
146,13331
147,13166
148,13439
149,12771
150,12931
151,12810
152,12613
153,12493
154,12245
155,12069
156,11542
157,11559
158,11206
159,10822
160,10717
161,10538
162,10083
163,9993
164,9684
165,9575
166,9236
167,8886
168,8618
169,8547
170,8318
171,8143
172,7824
173,7572
174,7474
175,7141
176,7050
177,6905
178,6496
179,6567
180,6146
181,6084
182,5934
183,5695
184,5495
185,5386
186,5231
187,5150
188,5196
189,4956
190,4937
191,4701
192,4744
193,4693
194,4589
195,4578
196,4447
197,4539
198,4406
199,4463
200,4563
201,4562
202,4378
203,4484
204,4529
205,4411
206,4448
207,4495
208,4559
209,4483
210,4495
211,4538
212,4561
213,4689
214,4593
215,4637
216,4531
217,4574
218,4568
219,4481
220,4474
221,4450
222,4354
223,4398
224,4311
225,4235
226,4315
227,4249
228,4259
229,4050
230,4132
231,3978
232,3985
233,3956
234,3821
235,3772
236,3643
237,3718
238,3634
239,3504
240,3475
241,3394
242,3433
243,3383
244,3334
245,3319
246,3282
247,3229
248,3083
249,3085
250,2988
251,3013
252,2894
253,2926
254,2786
255,2820
256,2819
258,5452
260,5237
262,5220
264,5047
266,4928
268,4886
270,4607
272,4655
274,4720
276,4682
278,4711
280,4645
282,4661
284,4624
286,4674
288,4725
290,4517
292,4768
294,4701
296,4654
298,4768
300,4618
302,4585
304,4452
306,4588
308,4602
310,4675
312,4437
314,4507
316,4307
318,4455
320,4381
322,4213
324,4339
326,4254
328,4087
330,4065
332,3911
334,3792
336,3683
338,3655
340,3629
342,3451
344,3240
346,3349
348,3087
350,3168
352,3042
354,2874
356,2973
358,2874
360,2753
362,2722
364,2687
366,2608
368,2628
370,2513
372,2516
374,2390
376,2480
378,2387
380,2270
382,2213
384,2162
386,2188
388,2199
390,2089
392,2099
394,2105
396,2046
398,2080
400,2011
402,2082
404,2042
406,2037
408,2072
410,2107
412,2039
414,2028
416,2073
418,2088
420,2110
422,1972
424,2008
426,1928
428,1913
430,1852
432,1924
434,1869
436,1818
438,1746
440,1816
442,1764
444,1695
446,1659
448,1718
450,1637
452,1701
454,1668
456,1674
458,1643
460,1680
462,1689
464,1622
466,1500
468,1554
470,1571
472,1618
474,1589
476,1604
478,1621
480,1478
482,1491
484,1494
486,1473
488,1397
490,1296
492,1381
494,1377
496,1394
498,1321
500,1318
502,1227
504,1288
506,1289
508,1277
510,1291
512,1291
514,1203
516,1337
518,1345
520,1289
522,1264
524,1277
526,1241
528,1309
530,1172
532,1201
534,1178
536,1212
538,1197
540,1176
542,1180
544,1230
546,1169
548,1185
550,1146
552,1173
554,1210
556,1181
558,1193
560,1155
562,1135
564,1110
566,1096
568,1034
570,1084
572,1085
574,1057
576,1050
578,1131
580,1021
582,1022
584,1037
586,1070
588,1092
590,1052
592,1080
594,1089
596,1060
598,1030
600,963
602,1034
604,1088
606,1117
608,1054
610,1066
612,1049
614,1077
616,1021
618,1031
620,1066
622,1100
624,1015
626,1103
628,1107
630,1090
632,1074
634,1051
636,996
638,1052
640,1075
642,1024
644,923
646,940
648,943
650,941
652,899
654,953
656,926
658,897
660,879
662,896
664,905
666,812
668,825
670,852
672,823
674,845
676,828
678,833
680,865
682,815
684,828
686,815
688,793
690,758
692,746
694,798
696,752
698,721
700,730
702,770
704,715
706,735
708,729
710,732
712,680
714,729
716,709
718,709
720,751
722,708
724,732
726,677
728,702
730,704
732,675
734,630
736,640
738,587
740,684
742,602
744,635
746,616
748,639
750,632
752,553
754,601
756,565
758,559
760,578
762,591
764,571
766,536
768,584
772,1109
776,1126
780,1055
784,1092
788,1085
792,1043
796,1031
800,1065
804,977
808,1034
812,957
816,1033
820,1038
824,1018
828,1014
832,1036
836,1005
840,1076
844,1065
848,1026
852,999
856,1053
860,1000
864,1051
868,1016
872,977
876,1077
880,1031
884,1005
888,1029
892,1029
896,990
900,1120
904,980
908,1011
912,993
916,957
920,1039
924,1071
928,1003
932,1021
936,1112
940,1076
944,1144
948,1078
952,1112
956,1121
960,1110
964,1054
968,1081
972,1078
976,1107
980,1124
984,1059
988,1025
992,1119
996,985
1000,1082
1004,1077
1008,1014
1012,1012
1016,1066
1020,1088
1024,1041
1028,1053
1032,1083
1036,990
1040,1052
1044,1091
1048,1032
1052,1004
1056,1042
1060,1019
1064,997
1068,981
1072,974
1076,958
1080,945
1084,925
1088,829
1092,852
1096,833
1100,816
1104,786
1108,783
1112,754
1116,737
1120,716
1124,709
1128,695
1132,683
1136,623
1140,634
1144,642
1148,630
1152,641
1156,661
1160,631
1164,673
1168,685
1172,707
1176,658
1180,666
1184,638
1188,632
1192,638
1196,647
1200,647
1204,643
1208,635
1212,658
1216,656
1220,608
1224,597
1228,677
1232,594
1236,643
1240,612
1244,622
1248,613
1252,638
1256,597
1260,618
1264,587
1268,563
1272,544
1276,558
1280,580
1284,568
1288,523
1292,514
1296,586
1300,506
1304,501
1308,490
1312,508
1316,522
1320,474
1324,508
1328,511
1332,510
1336,516
1340,496
1344,499
1348,495
1352,469
1356,478
1360,519
1364,467
1368,460
1372,499
1376,504
1380,483
1384,503
1388,468
1392,483
1396,481
1400,466
1404,478
1408,474
1412,509
1416,482
1420,508
1424,489
1428,477
1432,488
1436,505
1440,469
1444,499
1448,490
1452,474
1456,474
1460,474
1464,465
1468,508
1472,505
1476,464
1480,454
1484,414
1488,486
1492,457
1496,439
1500,434
1504,415
1508,432
1512,455
1516,429
1520,440
1524,410
1528,423
1532,405
1536,451
1540,413
1544,443
1548,454
1552,420
1556,397
1560,429
1564,459
1568,427
1572,433
1576,425
1580,430
1584,436
1588,421
1592,418
1596,428
1600,437
1604,415
1608,427
1612,438
1616,405
1620,468
1624,440
1628,462
1632,424
1636,450
1640,422
1644,503
1648,502
1652,475
1656,491
1660,468
1664,509
1668,485
1672,474
1676,497
1680,475
1684,461
1688,465
1692,474
1696,489
1700,521
1704,464
1708,497
1712,494
1716,489
1720,509
1724,471
1728,496
1732,491
1736,479
1740,510
1744,483
1748,522
1752,453
1756,487
1760,517
1764,491
1768,491
1772,504
1776,495
1780,551
1784,530
1788,503
1792,533
1800,1080
1808,1080
1816,1041
1824,981
1832,951
1840,968
1848,910
1856,902
1864,842
1872,806
1880,827
1888,722
1896,754
1904,711
1912,701
1920,674
1928,655
1936,654
1944,646
1952,635
1960,651
1968,636
1976,629
1984,602
1992,671
2000,690
2008,662
2016,613
2024,697
2032,691
2040,668
2048,653
2056,692
2064,614
2072,694
2080,674
2088,641
2096,693
2104,665
2112,673
2120,684
2128,625
2136,666
2144,650
2152,625
2160,684
2168,636
2176,609
2184,673
2192,736
2200,660
2208,683
2216,713
2224,680
2232,705
2240,709
2248,666
2256,711
2264,701
2272,656
2280,696
2288,659
2296,687
2304,615
2312,597
2320,572
2328,612
2336,627
2344,597
2352,588
2360,578
2368,597
2376,599
2384,609
2392,592
2400,622
2408,581
2416,593
2424,578
2432,551
2440,563
2448,499
2456,527
2464,506
2472,522
2480,500
2488,496
2496,493
2504,478
2512,473
2520,475
2528,484
2536,459
2544,419
2552,463
2560,462
2568,437
2576,422
2584,450
2592,456
2600,471
2608,459
2616,456
2624,442
2632,423
2640,450
2648,422
2656,429
2664,417
2672,394
2680,422
2688,426
2696,365
2704,422
2712,364
2720,380
2728,439
2736,409
2744,356
2752,383
2760,352
2768,409
2776,402
2784,350
2792,359
2800,350
2808,386
2816,370
2824,408
2832,365
2840,378
2848,390
2856,356
2864,345
2872,381
2880,365
2888,389
2896,366
2904,344
2912,352
2920,370
2928,325
2936,364
2944,357
2952,364
2960,386
2968,355
2976,363
2984,386
2992,356
3000,366
3008,361
3016,356
3024,367
3032,342
3040,358
3048,338
3056,324
3064,345
3072,342
3080,348
3088,296
3096,343
3104,347
3112,341
3120,348
3128,341
3136,302
3144,300
3152,326
3160,329
3168,329
3176,317
3184,317
3192,320
3200,335
3208,297
3216,312
3224,318
3232,299
3240,336
3248,321
3256,340
3264,338
3272,325
3280,286
3288,295
3296,301
3304,317
3312,333
3320,348
3328,356
3336,313
3344,330
3352,359
3360,349
3368,356
3376,353
3384,347
3392,389
3400,350
3408,353
3416,366
3424,371
3432,357
3440,353
3448,396
3456,350
3464,358
3472,359
3480,389
3488,413
3496,408
3504,406
3512,401
3520,447
3528,414
3536,407
3544,401
3552,388
3560,418
3568,404
3576,427
3584,418
3592,385
3600,392
3608,387
3616,389
3624,322
3632,350
3640,403
3648,355
3656,367
3664,326
3672,325
3680,338
3688,343
3696,333
3704,303
3712,330
3720,316
3728,305
3736,300
3744,305
3752,290
3760,314
3768,290
3776,277
3784,291
3792,320
3800,342
3808,285
3816,322
3824,322
3832,271
3840,295
3856,631
3872,584
3888,587
3904,508
3920,500
3936,501
3952,482
3968,509
3984,474
4000,497
4016,497
4032,508
4048,561
4064,495
4080,549
4096,516
4112,526
4128,539
4144,514
4160,515
4176,483
4192,494
4208,470
4224,467
4240,485
4256,479
4272,433
4288,445
4304,461
4320,462
4336,416
4352,466
4368,440
4384,472
4400,489
4416,435
4432,478
4448,528
4464,492
4480,536
4496,518
4512,528
4528,462
4544,432
4560,464
4576,441
4592,418
4608,407
4624,399
4640,445
4656,431
4672,388
4688,435
4704,401
4720,405
4736,392
4752,401
4768,402
4784,394
4800,443
4816,434
4832,404
4848,399
4864,435
4880,413
4896,451
4912,425
4928,373
4944,398
4960,422
4976,401
4992,385
5008,403
5024,387
5040,391
5056,388
5072,388
5088,394
5104,389
5120,384
5136,359
5152,370
5168,381
5184,387
5200,353
5216,397
5232,382
5248,337
5264,396
5280,406
5296,404
5312,382
5328,403
5344,453
5360,425
5376,415
5392,451
5408,386
5424,398
5440,405
5456,396
5472,395
5488,409
5504,394
5520,358
5536,421
5552,401
5568,404
5584,384
5600,422
5616,431
5632,468
5648,479
5664,431
5680,453
5696,442
5712,505
5728,474
5744,453
5760,466
5776,508
5792,483
5808,474
5824,470
5840,466
5856,411
5872,443
5888,446
5904,393
5920,399
5936,423
5952,360
5968,404
5984,409
6000,390
6016,445
6032,408
6048,421
6064,375
6080,390
6096,369
6112,362
6128,338
6144,362
6160,334
6176,355
6192,334
6208,313
6224,291
6240,306
6256,299
6272,324
6288,304
6304,336
6320,329
6336,342
6352,326
6368,328
6384,304
6400,314
6416,311
6432,298
6448,314
6464,306
6480,348
6496,312
6512,288
6528,307
6544,295
6560,317
6576,297
6592,302
6608,295
6624,284
6640,308
6656,314
6672,327
6688,316
6704,284
6720,259
6736,288
6752,260
6768,279
6784,265
6800,270
6816,263
6832,268
6848,279
6864,286
6880,298
6896,240
6912,285
6928,281
6944,290
6960,288
6976,301
6992,269
7008,254
7024,320
7040,297
7056,267
7072,255
7088,287
7104,290
7120,262
7136,286
7152,260
7168,283
7184,268
7200,239
7216,253
7232,268
7248,268
7264,229
7280,276
7296,247
7312,263
7328,248
7344,285
7360,240
7376,267
7392,246
7408,242
7424,252
7440,235
7456,224
7472,236
7488,259
7504,241
7520,223
7536,238
7552,253
7568,211
7584,238
7600,247
7616,238
7632,233
7648,257
7664,215
7680,229
7696,248
7712,235
7728,245
7744,253
7760,219
7776,210
7792,235
7808,250
7824,244
7840,236
7856,228
7872,231
7888,247
7904,250
7920,242
7936,250
7968,451
8000,484
8032,453
8064,514
8096,512
8128,517
8160,502
8192,535
8224,488
8256,482
8288,474
8320,497
8352,496
8384,485
8416,468
8448,446
8480,410
8512,403
8544,436
8576,435
8608,429
8640,420
8672,419
8704,414
8736,456
8768,443
8800,427
8832,373
8864,381
8896,440
8928,393
8960,473
8992,479
9024,457
9056,433
9088,435
9120,372
9152,420
9184,460
9216,391
9248,476
9280,404
9312,424
9344,448
9376,450
9408,466
9440,481
9472,423
9504,456
9536,465
9568,424
9600,438
9632,417
9664,458
9696,426
9728,419
9760,427
9792,425
9824,409
9856,366
9888,379
9920,392
9952,394
9984,402
10016,389
10048,418
10080,372
10112,420
10144,350
10176,429
10208,427
10240,413
10272,408
10304,378
10336,382
10368,425
10400,484
10432,430
10464,455
10496,481
10528,454
10560,469
10592,444
10624,469
10656,476
10688,473
10720,459
10752,444
10784,445
10816,391
10848,426
10880,444
10912,388
10944,384
10976,412
11008,419
11040,413
11072,367
11104,335
11136,356
11168,366
11200,358
11232,344
11264,337
11296,349
11328,337
11360,335
11392,352
11424,338
11456,387
11488,366
11520,362
11552,350
11584,329
11616,347
11648,320
11680,337
11712,358
11744,345
11776,354
11808,340
11840,325
11872,313
11904,325
11936,336
11968,296
12000,356
12032,338
12064,358
12096,348
12128,333
12160,319
12192,311
12224,331
12256,328
12288,325
12320,293
12352,314
12384,308
12416,308
12448,314
12480,312
12512,327
12544,317
12576,299
12608,309
12640,323
12672,285
12704,318
12736,294
12768,295
12800,296
12832,324
12864,312
12896,295
12928,311
12960,298
12992,303
13024,308
13056,286
13088,275
13120,286
13152,281
13184,288
13216,276
13248,301
13280,310
13312,271
13344,295
13376,292
13408,321
13440,318
13472,324
13504,311
13536,305
13568,272
13600,276
13632,269
13664,242
13696,270
13728,242
13760,251
13792,246
13824,215
13856,239
13888,271
13920,263
13952,240
13984,261
14016,246
14048,273
14080,257
14112,283
14144,253
14176,263
14208,257
14240,274
14272,270
14304,271
14336,270
14368,253
14400,246
14432,257
14464,252
14496,257
14528,262
14560,241
14592,273
14624,243
14656,229
14688,236
14720,269
14752,239
14784,219
14816,235
14848,184
14880,206
14912,223
14944,213
14976,204
15008,224
15040,224
15072,199
15104,219
15136,207
15168,207
15200,197
15232,204
15264,180
15296,204
15328,216
15360,175
15392,215
15424,201
15456,211
15488,192
15520,186
15552,195
15584,197
15616,185
15648,206
15680,193
15712,173
15744,198
15776,189
15808,178
15840,181
15872,170
15904,207
15936,179
15968,192
16000,178
16032,181
16064,179
16096,191
16128,163
16192,369
16256,356
16320,366
16384,344
16448,395
16512,310
16576,358
16640,358
16704,387
16768,336
16832,329
16896,327
16960,321
17024,326
17088,308
17152,328
17216,313
17280,322
17344,330
17408,332
17472,321
17536,351
17600,338
17664,357
17728,324
17792,339
17856,328
17920,316
17984,327
18048,354
18112,317
18176,343
18240,293
18304,288
18368,303
18432,339
18496,323
18560,303
18624,330
18688,288
18752,265
18816,256
18880,242
18944,273
19008,240
19072,220
19136,255
19200,211
19264,222
19328,209
19392,213
19456,235
19520,220
19584,239
19648,247
19712,241
19776,209
19840,258
19904,267
19968,265
20032,215
20096,200
20160,247
20224,230
20288,242
20352,256
20416,235
20480,209
20544,212
20608,201
20672,199
20736,197
20800,219
20864,191
20928,195
20992,186
21056,191
21120,198
21184,210
21248,214
21312,192
21376,226
21440,205
21504,213
21568,206
21632,198
21696,212
21760,177
21824,198
21888,220
21952,218
22016,226
22080,222
22144,204
22208,227
22272,212
22336,229
22400,235
22464,280
22528,229
22592,284
22656,314
22720,328
22784,390
22848,377
22912,382
22976,371
23040,352
23104,302
23168,271
23232,316
23296,284
23360,305
23424,291
23488,312
23552,289
23616,258
23680,243
23744,243
23808,258
23872,261
23936,231
24000,260
24064,256
24128,235
24192,253
24256,223
24320,233
24384,219
24448,224
24512,201
24576,226
24640,190
24704,180
24768,227
24832,177
24896,205
24960,184
25024,194
25088,207
25152,190
25216,174
25280,181
25344,172
25408,175
25472,184
25536,139
25600,170
25664,143
25728,141
25792,143
25856,148
25920,147
25984,145
26048,154
26112,162
26176,145
26240,141
26304,130
26368,131
26432,140
26496,147
26560,159
26624,126
26688,145
26752,129
26816,113
26880,147
26944,150
27008,133
27072,124
27136,144
27200,132
27264,158
27328,141
27392,148
27456,144
27520,142
27584,148
27648,117
27712,132
27776,131
27840,108
27904,112
27968,136
28032,126
28096,116
28160,135
28224,124
28288,125
28352,165
28416,111
28480,118
28544,114
28608,138
28672,141
28736,128
28800,138
28864,118
28928,138
28992,143
29056,123
29120,145
29184,122
29248,124
29312,100
29376,130
29440,130
29504,114
29568,112
29632,136
29696,137
29760,120
29824,110
29888,122
29952,134
30016,120
30080,113
30144,126
30208,145
30272,119
30336,124
30400,124
30464,131
30528,107
30592,122
30656,142
30720,113
30784,133
30848,124
30912,132
30976,99
31040,112
31104,122
31168,115
31232,114
31296,127
31360,129
31424,126
31488,127
31552,108
31616,119
31680,126
31744,127
31808,103
31872,116
31936,138
32000,139
32064,123
32128,139
32192,131
32256,124
32320,135
32384,123
32448,121
32512,119
32640,238
32768,252
32896,235
33024,228
33152,243
33280,229
33408,226
33536,259
33664,283
33792,274
33920,261
34048,272
34176,235
34304,207
34432,243
34560,247
34688,293
34816,316
34944,334
35072,334
35200,332
35328,295
35456,301
35584,253
35712,221
35840,248
35968,227
36096,215
36224,231
36352,217
36480,217
36608,197
36736,192
36864,188
36992,189
37120,194
37248,200
37376,183
37504,189
37632,225
37760,242
37888,242
38016,260
38144,314
38272,334
38400,290
38528,314
38656,246
38784,214
38912,208
39040,191
39168,199
39296,230
39424,200
39552,168
39680,185
39808,180
39936,183
40064,192
40192,201
40320,249
40448,223
40576,226
40704,304
40832,279
40960,270
41088,259
41216,252
41344,261
41472,222
41600,247
41728,189
41856,174
41984,183
42112,160
42240,157
42368,155
42496,164
42624,152
42752,153
42880,143
43008,128
43136,143
43264,146
43392,142
43520,146
43648,128
43776,136
43904,139
44032,133
44160,129
44288,119
44416,137
44544,126
44672,140
44800,166
44928,172
45056,185
45184,203
45312,180
45440,188
45568,149
45696,129
45824,147
45952,120
46080,170
46208,152
46336,138
46464,174
46592,154
46720,160
46848,152
46976,142
47104,142
47232,133
47360,133
47488,116
47616,139
47744,126
47872,155
48000,135
48128,151
48256,149
48384,148
48512,128
48640,138
48768,115
48896,130
49024,132
49152,134
49280,131
49408,125
49536,134
49664,112
49792,99
49920,103
50048,102
50176,107
50304,120
50432,113
50560,99
50688,111
50816,119
50944,108
51072,115
51200,134
51328,154
51456,140
51584,128
51712,118
51840,96
51968,77
52096,98
52224,108
52352,113
52480,112
52608,131
52736,112
52864,110
52992,102
53120,106
53248,97
53376,109
53504,110
53632,122
53760,130
53888,120
54016,116
54144,97
54272,129
54400,126
54528,114
54656,113
54784,109
54912,105
55040,120
55168,132
55296,95
55424,98
55552,103
55680,102
55808,113
55936,112
56064,110
56192,106
56320,92
56448,100
56576,101
56704,87
56832,102
56960,105
57088,78
57216,87
57344,99
57472,99
57600,118
57728,93
57856,79
57984,84
58112,92
58240,99
58368,78
58496,88
58624,74
58752,98
58880,101
59008,110
59136,118
59264,109
59392,113
59520,112
59648,84
59776,87
59904,71
60032,70
60160,86
60288,77
60416,62
60544,78
60672,60
60800,64
60928,72
61056,88
61184,74
61312,84
61440,57
61568,67
61696,84
61824,75
61952,78
62080,85
62208,70
62336,65
62464,71
62592,73
62720,65
62848,67
62976,66
63104,72
63232,78
63360,74
63488,81
63616,65
63744,62
63872,56
64000,71
64128,88
64256,67
64384,70
64512,72
64640,81
64768,63
64896,64
65024,73
65152,64
65280,58
65536,136
65792,138
66048,151
66304,126
66560,114
66816,139
67072,134
67328,154
67584,140
67840,107
68096,132
68352,145
68608,142
68864,143
69120,156
69376,137
69632,141
69888,155
70144,142
70400,144
70656,162
70912,157
71168,134
71424,146
71680,139
71936,138
72192,139
72448,133
72704,148
72960,161
73216,139
73472,146
73728,143
73984,144
74240,106
74496,145
74752,107
75008,110
75264,120
75520,128
75776,129
76032,120
76288,116
76544,143
76800,133
77056,122
77312,112
77568,116
77824,116
78080,137
78336,129
78592,124
78848,136
79104,175
79360,182
79616,159
79872,144
80128,102
80384,125
80640,86
80896,112
81152,98
81408,95
81664,102
81920,93
82176,117
82432,104
82688,97
82944,99
83200,92
83456,106
83712,91
83968,91
84224,80
84480,94
84736,89
84992,92
85248,109
85504,89
85760,94
86016,86
86272,106
