reuse_time,counts
1,15537563
2,4639167
3,2947492
4,1243475
5,1067476
6,804332
7,629429
8,354590
9,401368
10,333704
11,165274
12,196784
13,252639
14,264287
15,255145
16,258003
17,264527
18,236757
19,227937
20,251321
21,234031
22,197830
23,186268
24,202691
25,214947
26,211292
27,204433
28,209260
29,230479
30,264262
31,304132
32,330872
33,318785
34,256853
35,164515
36,87015
37,47010
38,35313
39,33355
40,33299
41,34543
42,35815
43,36821
44,37954
45,38596
46,39411
47,39402
48,39121
49,38261
50,36737
51,35274
52,34981
53,34572
54,34663
55,34917
56,35828
57,38055
58,40796
59,43875
60,45216
61,45764
62,44168
63,41723
64,38261
65,34007
66,30272
67,26459
68,24040
69,22483
70,22065
71,22937
72,24959
73,29221
74,33930
75,39550
76,45707
77,49638
78,51986
79,50374
80,46872
81,40696
82,34685
83,30460
84,27607
85,26550
86,26083
87,26030
88,25648
89,24895
90,24117
91,22429
92,20712
93,19241
94,17809
95,17325
96,17287
97,17554
98,18563
99,19545
100,20788
101,22568
102,24094
103,26141
104,27788
105,29186
106,29981
107,29566
108,28191
109,25616
110,23839
111,21796
112,20762
113,19650
114,19013
115,18827
116,17871
117,17523
118,17200
119,17450
120,17224
121,17838
122,18571
123,19329
124,19854
125,20731
126,21095
127,20989
128,20980
129,21212
130,20588
131,20263
132,19450
133,18854
134,17989
135,17194
136,16630
137,15766
138,15642
139,15647
140,15755
141,15623
142,16282
143,16369
144,16615
145,17186
146,18010
147,18756
148,19906
149,20412
150,21013
151,21199
152,20462
153,19356
154,18275
155,16695
156,15314
157,14107
158,13130
159,12817
160,12177
161,12130
162,11863
163,11566
164,11268
165,10878
166,10614
167,9927
168,9342
169,8848
170,8394
171,7757
172,7634
173,7343
174,6992
175,6853
176,7084
177,7028
178,7297
179,7639
180,7821
181,8211
182,8840
183,8953
184,9352
185,9327
186,9085
187,9112
188,8650
189,8084
190,7758
191,7302
192,6583
193,6300
194,5776
195,5555
196,5245
197,4913
198,4662
199,4517
200,4398
201,4387
202,4304
203,4303
204,4412
205,4573
206,4719
207,4870
208,4988
209,5210
210,5291
211,5560
212,5742
213,5847
214,5883
215,6148
216,6422
217,6545
218,6759
219,6730
220,6799
221,6867
222,6766
223,6646
224,6466
225,6016
226,6031
227,5678
228,5434
229,5205
230,5203
231,5102
232,4848
233,4892
234,4823
235,4880
236,4939
237,5035
238,4946
239,4857
240,4834
241,4759
242,4752
