cache_lines,MRC
256,0.0547327
512,0.0320746
768,0.00489471
1024,0.000426872
1280,0.000160921
1536,9.54994e-05
1792,6.68852e-05
2048,5.23988e-05
2304,4.3548e-05
2560,3.66634e-05
2816,3.12794e-05
3072,2.67104e-05
3328,2.3556e-05
3584,2.07793e-05
3840,1.84524e-05
4096,1.64115e-05
4352,1.47429e-05
4608,1.31608e-05
4864,1.1791e-05
5120,1.01744e-05
5376,9.13318e-06
5632,8.27723e-06
5888,7.70093e-06
6144,7.17259e-06
6400,6.7037e-06
6656,6.05704e-06
6912,5.29483e-06
7168,4.57624e-06
7424,2.6513e-06
7680,8.40661e-07
7936,1.29337e-07
8192,8.62261e-08
8448,6.46709e-08
8704,6.46709e-08
8960,6.46709e-08
9216,6.46709e-08
9472,6.46709e-08
9728,4.31156e-08
9984,4.31156e-08
10240,4.31156e-08
10496,4.31156e-08
10752,4.31156e-08
11008,4.31156e-08
11264,4.31156e-08
11520,4.31156e-08
11776,4.31156e-08
12032,4.31156e-08
12288,4.31156e-08
12544,4.31156e-08
12800,4.31156e-08
13056,4.31156e-08
13312,4.31156e-08
13568,4.31156e-08
13824,4.31156e-08
14080,4.31156e-08
14336,4.31156e-08
14592,4.31156e-08
14848,4.31156e-08
15104,4.31156e-08
15360,4.31156e-08
15616,4.31156e-08
15872,4.31156e-08
16128,4.31156e-08
16384,4.31156e-08
16640,4.31156e-08
16896,4.31156e-08
17152,4.31156e-08
17408,4.31156e-08
17664,4.31156e-08
17920,4.31156e-08
18176,4.31156e-08
18432,4.31156e-08
18688,4.31156e-08
18944,4.31156e-08
19200,4.31156e-08
19456,4.31156e-08
19712,4.31156e-08
19968,4.31156e-08
