cache_lines,MRC
256,0.0124195
512,0.00467823
768,0.00352784
1024,0.00312466
1280,0.00292188
1536,0.0027976
1792,0.00271424
2048,0.00265447
2304,0.00260839
2560,0.00257251
2816,0.00254383
3072,0.00252035
3328,0.00250108
3584,0.00248375
3840,0.00246805
4096,0.00245447
4352,0.00244126
4608,0.00243129
4864,0.00242169
5120,0.0024133
5376,0.002405
5632,0.00239821
5888,0.002392
6144,0.00238593
6400,0.00238006
6656,0.00237402
6912,0.00236873
7168,0.0023644
7424,0.00236029
7680,0.00235547
7936,0.0023521
8192,0.00234867
8448,0.00234528
8704,0.00234191
8960,0.0023388
9216,0.00233515
9472,0.0023321
9728,0.00232894
9984,0.00232539
10240,0.00232211
10496,0.0023192
10752,0.00231664
11008,0.0023144
11264,0.00231213
11520,0.00230926
11776,0.00230694
12032,0.0023046
12288,0.00230268
12544,0.0023004
12800,0.00229837
13056,0.00229637
13312,0.00229442
13568,0.00229278
13824,0.00229112
14080,0.00228915
14336,0.00228716
14592,0.00228527
14848,0.00228371
15104,0.002282
15360,0.0022803
15616,0.0022785
15872,0.00227696
16128,0.00227565
16384,0.00227396
16640,0.00227239
16896,0.00227111
17152,0.00227009
17408,0.00226874
17664,0.00226755
17920,0.00226594
18176,0.00226463
18432,0.00226338
18688,0.00226219
18944,0.00226081
19200,0.00225971
19456,0.00225864
19712,0.00225746
19968,0.00225612
20224,0.00225484
20480,0.00225344
20736,0.00225224
20992,0.0022509
21248,0.0022498
21504,0.00224879
21760,0.00224766
22016,0.00224675
22272,0.0022457
22528,0.00224454
22784,0.0022434
23040,0.00224241
23296,0.00224102
23552,0.00223987
23808,0.00223877
24064,0.00223798
24320,0.00223711
24576,0.00223598
24832,0.00223478
25088,0.00223386
25344,0.00223268
25600,0.00223157
25856,0.00223074
26112,0.0022296
26368,0.00222847
26624,0.00222771
26880,0.00222671
27136,0.00222581
27392,0.00222475
27648,0.00222416
27904,0.0022234
28160,0.0022224
28416,0.00222155
28672,0.0022205
28928,0.00221962
