cache_lines,MRC
256,0.0175765
512,0.0068088
768,0.00516407
1024,0.00458619
1280,0.00429601
1536,0.00411883
1792,0.00400325
2048,0.00391887
2304,0.003856
2560,0.00380353
2816,0.00376166
3072,0.00372571
3328,0.0036959
3584,0.00367109
3840,0.00364888
4096,0.00363094
4352,0.00361293
4608,0.00359844
4864,0.0035857
5120,0.00357365
5376,0.00356249
5632,0.00355129
5888,0.00354168
6144,0.00353265
6400,0.0035237
6656,0.00351557
6912,0.00350833
7168,0.00350093
7424,0.00349368
7680,0.0034875
7936,0.00348084
8192,0.00347497
8448,0.00346946
8704,0.00346539
8960,0.00346006
9216,0.00345578
9472,0.00345136
9728,0.00344759
9984,0.0034438
10240,0.00344017
10496,0.00343601
10752,0.003433
11008,0.00342964
11264,0.00342624
11520,0.00342304
11776,0.00341975
12032,0.00341687
12288,0.0034139
12544,0.00341094
12800,0.00340803
13056,0.00340464
13312,0.00340231
13568,0.00339968
13824,0.00339747
14080,0.00339446
14336,0.00339197
14592,0.00339018
14848,0.00338709
15104,0.0033851
15360,0.00338299
15616,0.00338053
15872,0.00337848
16128,0.00337658
16384,0.00337434
16640,0.00337239
16896,0.00337042
17152,0.00336799
17408,0.00336614
17664,0.00336396
17920,0.00336211
18176,0.00336033
18432,0.00335878
18688,0.00335711
18944,0.00335503
19200,0.0033531
19456,0.00335105
19712,0.00334925
19968,0.00334769
20224,0.00334603
20480,0.00334463
20736,0.00334284
20992,0.00334115
21248,0.00333956
21504,0.00333814
21760,0.00333689
22016,0.00333518
22272,0.00333422
22528,0.00333276
22784,0.00333083
23040,0.00332869
23296,0.00332725
23552,0.00332585
23808,0.00332461
24064,0.00332337
24320,0.00332187
24576,0.00332061
24832,0.00331899
25088,0.00331729
25344,0.00331557
25600,0.0033141
25856,0.00331279
26112,0.00331164
26368,0.00331024
26624,0.00330879
26880,0.00330763
27136,0.00330623
27392,0.00330536
27648,0.00330429
27904,0.0033025
28160,0.00330099
28416,0.00329979
28672,0.00329862
28928,0.00329727
29184,0.0032962
29440,0.00329456
29696,0.00329328
29952,0.00329217
30208,0.0032908
30464,0.00328977
30720,0.0032885
30976,0.00328754
31232,0.00328632
31488,0.00328491
31744,0.0032837
32000,0.0032821
32256,0.00328118
32512,0.00327989
32768,0.00327903
33024,0.00327779
33280,0.00327715
33536,0.00327615
33792,0.00327524
34048,0.00327361
34304,0.00327247
34560,0.00327146
34816,0.00327
35072,0.00326898
35328,0.00326787
35584,0.00326691
35840,0.00326596
36096,0.00326485
36352,0.0032637
36608,0.0032628
36864,0.00326143
37120,0.00326049
37376,0.00325979
37632,0.00325864
37888,0.00325777
38144,0.00325646
38400,0.00325534
38656,0.00325446
38912,0.00325387
39168,0.00325264
39424,0.00325145
39680,0.00325018
39936,0.00324919
40192,0.00324815
40448,0.00324696
40704,0.00324613
40960,0.00324513
41216,0.00324393
41472,0.00324266
41728,0.0032418
41984,0.00324075
42240,0.00323958
42496,0.00323852
42752,0.00323769
43008,0.00323648
43264,0.00323584
43520,0.00323546
43776,0.00323434
44032,0.00323353
44288,0.00323268
44544,0.00323161
44800,0.00323026
45056,0.00322952
45312,0.00322851
45568,0.00322754
45824,0.00322634
46080,0.00322538
46336,0.00322451
46592,0.00322328
46848,0.00322206
47104,0.0032214
47360,0.00322065
47616,0.00321978
47872,0.00321918
48128,0.00321847
48384,0.00321737
48640,0.00321633
48896,0.00321525
49152,0.00321421
49408,0.00321335
49664,0.00321277
49920,0.00321147
50176,0.00321041
50432,0.00320934
50688,0.00320844
50944,0.00320736
51200,0.00320668
51456,0.00320588
51712,0.00320492
51968,0.0032041
52224,0.00320307
52480,0.00320241
52736,0.0032017
52992,0.00320101
53248,0.00320016
53504,0.0031996
53760,0.00319852
54016,0.00319767
54272,0.00319678
54528,0.00319564
54784,0.00319486
55040,0.00319435
55296,0.00319333
55552,0.00319268
55808,0.00319162
56064,0.00319053
56320,0.0031895
56576,0.00318848
56832,0.0031876
57088,0.00318662
57344,0.00318567
57600,0.00318511
57856,0.00318395
58112,0.003183
58368,0.00318217
58624,0.00318131
58880,0.00318072
59136,0.0031799
59392,0.00317895
59648,0.00317819
59904,0.00317746
60160,0.00317683
60416,0.00317599
60672,0.00317519
60928,0.00317464
61184,0.00317392
61440,0.00317315
61696,0.00317246
61952,0.00317177
62208,0.00317102
62464,0.0031701
62720,0.0031692
62976,0.00316844
63232,0.00316762
63488,0.00316694
63744,0.00316614
64000,0.00316522
64256,0.0031644
64512,0.0031635
64768,0.00316281
65024,0.00316188
65280,0.0031609
65536,0.00316035
65792,0.00315932
66048,0.0031583
66304,0.00315732
66560,0.00315648
66816,0.00315576
67072,0.00315524
67328,0.00315465
67584,0.00315399
67840,0.00315312
68096,0.00315239
68352,0.00315165
68608,0.0031508
68864,0.00315018
69120,0.00314918
69376,0.0031485
69632,0.00314771
69888,0.00314717
70144,0.00314638
70400,0.00314578
70656,0.00314495
70912,0.00314436
71168,0.00314358
71424,0.00314285
71680,0.00314211
71936,0.00314148
72192,0.00314049
72448,0.0031394
72704,0.00313866
72960,0.00313806
73216,0.00313752
73472,0.00313701
73728,0.00313611
73984,0.00313518
74240,0.00313463
74496,0.00313374
74752,0.00313297
75008,0.00313228
75264,0.00313138
75520,0.00313033
75776,0.00312951
76032,0.00312874
76288,0.00312772
76544,0.00312702
76800,0.00312629
77056,0.00312543
77312,0.00312441
77568,0.00312345
77824,0.00312253
78080,0.00312198
78336,0.00312105
78592,0.00312038
78848,0.00311981
79104,0.00311904
79360,0.00311812
79616,0.00311715
79872,0.00311634
80128,0.0031155
80384,0.00311498
80640,0.00311428
80896,0.00311346
81152,0.00311249
81408,0.00311169
81664,0.00311094
81920,0.00311012
82176,0.00310955
82432,0.00310878
82688,0.00310807
82944,0.00310744
83200,0.00310678
83456,0.00310598
83712,0.00310516
83968,0.00310444
84224,0.00310365
84480,0.00310298
84736,0.00310237
84992,0.00310184
85248,0.00310117
85504,0.00310016
85760,0.00309919
86016,0.00309856
86272,0.00309792
86528,0.00309695
86784,0.00309614
87040,0.0030956
87296,0.0030947
87552,0.00309401
87808,0.0030932
88064,0.00309249
88320,0.00309162
88576,0.00309082
88832,0.00309002
89088,0.00308938
89344,0.00308855
89600,0.00308781
89856,0.00308738
90112,0.00308698
90368,0.00308629
90624,0.00308556
90880,0.00308472
91136,0.00308394
91392,0.00308336
91648,0.00308264
91904,0.00308184
92160,0.00308141
92416,0.00308095
92672,0.00308034
92928,0.0030797
93184,0.00307907
93440,0.00307855
93696,0.00307798
93952,0.00307726
94208,0.00307651
94464,0.0030758
94720,0.00307528
94976,0.00307458
95232,0.00307384
95488,0.00307297
95744,0.00307211
96000,0.00307149
96256,0.00307078
96512,0.00306998
96768,0.0030693
97024,0.00306842
97280,0.00306797
97536,0.0030674
97792,0.00306651
98048,0.00306586
98304,0.00306508
98560,0.00306434
98816,0.00306336
99072,0.00306273
99328,0.00306216
99584,0.00306154
99840,0.00306096
100096,0.00306013
100352,0.00305955
100608,0.00305883
100864,0.00305803
101120,0.00305711
101376,0.00305628
101632,0.00305562
101888,0.00305494
102144,0.00305409
102400,0.00305316
102656,0.00305256
102912,0.00305189
103168,0.00305108
103424,0.00305029
103680,0.00304964
103936,0.00304924
104192,0.00304864
104448,0.00304775
104704,0.00304694
104960,0.00304658
105216,0.00304598
105472,0.00304527
105728,0.00304435
105984,0.00304372
106240,0.00304302
106496,0.00304242
106752,0.0030416
107008,0.00304112
107264,0.00304073
107520,0.00303997
107776,0.0030393
108032,0.00303842
108288,0.00303782
108544,0.0030374
108800,0.00303678
109056,0.00303609
109312,0.00303509
109568,0.003034
109824,0.00303322
110080,0.00303237
110336,0.00303148
110592,0.00303103
110848,0.0030306
111104,0.00303021
111360,0.00302977
111616,0.00302919
111872,0.00302841
112128,0.00302748
112384,0.00302658
112640,0.00302582
112896,0.00302507
113152,0.00302433
113408,0.00302364
113664,0.003023
113920,0.0030224
114176,0.00302183
114432,0.00302124
114688,0.00302063
114944,0.00302
115200,0.0030193
115456,0.00301852
115712,0.00301781
