reuse_time,counts
1,19716001
2,6569626
3,3285563
4,2992172
5,1905160
6,1579064
7,1501594
8,1173544
9,1065797
10,995661
11,882224
12,722462
13,666966
14,647199
15,547971
16,501541
17,475862
18,453288
19,413498
20,365294
21,328676
22,305308
23,299843
24,310824
25,342849
26,391463
27,440131
28,468801
29,458175
30,416387
31,370139
32,336399
33,310820
34,288497
35,267476
36,249954
37,237061
38,228597
39,222471
40,215190
41,207691
42,200594
43,194976
44,191069
45,187004
46,176196
47,161506
48,145738
49,132599
50,123494
51,116507
52,112789
53,109886
54,109950
55,112051
56,114107
57,115753
58,115674
59,113690
60,111778
61,109741
62,107893
63,106885
64,104211
65,101369
66,98939
67,96718
68,94507
69,92336
70,89405
71,86590
72,83388
73,80103
74,78468
75,77132
76,77565
77,76370
78,77470
79,77838
80,77594
81,76966
82,76192
83,75083
84,73701
85,71664
86,71236
87,69308
88,69081
89,68299
90,68050
91,67610
92,66628
93,66546
94,66155
95,65145
96,64575
97,63389
98,62598
99,61507
100,61111
101,60301
102,59760
103,58431
104,58032
105,57181
106,56176
107,55531
108,54842
109,54075
110,53508
111,52145
112,51215
113,50003
114,48917
115,48098
116,46839
117,45836
118,44923
119,44210
120,43238
121,42447
122,41293
123,40224
124,38755
125,37628
126,36295
127,34788
128,33799
129,32790
130,31819
131,30675
132,29814
133,28958
134,28457
135,27580
136,27222
137,26570
138,26201
139,25503
140,25246
141,24727
142,24337
143,23998
144,23278
145,23129
146,23158
147,22752
148,22367
149,21894
150,21528
151,21415
152,20592
153,20319
154,20227
155,19778
156,19775
157,19630
158,19211
159,18960
160,19130
161,18876
162,18786
163,18943
164,18699
165,18784
166,18722
167,18664
168,18972
169,18684
170,18953
171,18824
172,19185
173,18829
174,19357
175,19035
176,19289
177,19254
178,19630
179,19640
180,19579
181,19653
182,19813
183,20236
184,20075
185,20505
186,20531
187,20664
188,20785
189,21094
190,21492
191,21521
192,21437
193,21564
194,21857
195,21371
196,21874
197,22025
198,21868
199,22043
200,21629
201,21225
202,20910
203,20754
204,20195
205,20191
206,20018
207,19312
208,19362
209,18659
210,18520
211,17962
212,17388
213,17029
214,16261
215,16205
216,15670
217,15174
218,14620
219,14353
220,14051
221,13568
222,13157
223,12765
224,12491
225,12044
226,11524
227,11464
228,11414
229,11161
230,10787
231,10471
232,10416
233,10036
234,9968
235,9932
236,9846
237,9737
238,9696
239,9466
240,9505
241,9384
242,9343
243,9283
244,9123
245,9182
246,9111
247,9193
248,9080
249,9047
250,9353
251,9217
252,9127
253,9191
254,9094
255,9122
256,9325
258,18751
260,18927
262,18783
264,19055
266,18885
268,19234
270,18638
272,18549
274,18369
276,17930
278,17523
280,17506
282,16660
284,16464
286,16002
288,15868
290,15675
292,15070
294,14688
296,14280
298,14155
300,13483
302,13242
304,12866
306,12543
308,12176
310,12081
312,11909
314,11798
316,11616
318,11653
320,11377
322,11180
324,11234
326,11160
328,10931
330,10538
332,10776
334,10541
336,10306
338,10099
340,9958
342,9685
344,9758
346,9399
348,9431
350,9449
352,9193
354,9278
356,9120
358,9203
360,9015
362,9046
364,8941
366,8994
368,9017
370,9186
372,8950
374,8897
376,8967
378,9017
380,9251
382,9128
384,9116
386,9053
388,9266
390,9078
392,9161
394,9107
396,8969
398,9037
400,8913
402,8801
404,8897
406,8757
408,8577
410,8590
412,8524
414,8432
416,8324
418,8195
420,8129
422,8112
424,7906
426,7729
428,7895
430,7785
432,7608
434,7553
436,7491
438,7500
440,7276
442,7396
444,7281
446,7147
448,7143
450,7016
452,7127
454,7038
456,7007
458,7148
460,7078
462,6960
464,7007
466,6952
468,6972
470,6800
472,6792
474,6912
476,7027
478,6924
480,7086
482,6940
484,6904
486,6948
488,6823
490,6795
492,6804
494,7090
496,6757
498,6832
500,6741
502,6779
504,6708
506,6815
508,6788
510,6695
512,6728
514,6808
516,6690
518,6594
520,6587
522,6656
524,6571
526,6502
528,6481
530,6236
532,6435
534,6455
536,6352
538,6226
540,6345
542,6314
544,6276
546,6399
548,6294
550,6291
552,6274
554,6329
556,6156
558,6264
560,6230
562,6217
564,6173
566,6115
568,6155
570,6202
572,6089
574,6211
576,6143
578,6205
580,6131
582,6042
584,6097
586,6182
588,6016
590,6028
592,5960
594,5798
596,5722
598,5849
600,5899
602,5876
604,5799
606,5670
608,5801
610,5622
612,5563
614,5641
616,5702
618,5600
620,5506
622,5503
624,5509
626,5477
628,5229
630,5276
632,5303
634,5240
636,5114
638,5015
640,5004
642,4949
644,4960
646,4844
648,4870
650,4919
652,4800
654,4840
656,4789
658,4802
660,4841
662,4754
664,4493
666,4501
668,4556
670,4549
672,4428
674,4476
676,4434
678,4574
680,4614
682,4543
684,4459
686,4372
688,4452
690,4390
692,4410
694,4284
696,4366
698,4306
700,4223
702,4299
704,4341
706,4197
708,4406
710,4217
712,4127
714,4201
716,4210
718,4258
720,4255
722,4261
724,4148
726,4158
728,4251
730,4194
732,4218
734,4287
736,4159
738,4295
740,4186
742,4342
744,4297
746,4293
748,4343
750,4329
752,4224
754,4370
756,4361
758,4420
760,4403
762,4563
764,4418
766,4427
768,4417
772,9224
776,9004
780,9135
784,9165
788,9256
792,9294
796,9352
800,9498
804,9343
808,9520
812,9474
816,9632
820,9646
824,9586
828,9903
832,9768
836,9885
840,9982
844,10047
848,9899
852,9877
856,9940
860,9892
864,10027
868,9882
872,10122
876,9991
880,9910
884,9995
888,9947
892,9709
896,9965
900,9988
904,9918
908,9992
912,9721
916,9855
920,9799
924,9803
928,9968
932,9936
936,9747
940,9724
944,9972
948,10052
952,10074
956,9896
960,9824
964,9908
968,9915
972,9963
976,9708
980,9658
984,9806
988,9697
992,9534
996,9396
1000,9035
1004,9017
1008,8912
1012,8882
1016,8860
1020,8589
1024,8464
1028,8560
1032,8498
1036,8280
1040,8408
1044,8270
1048,8146
1052,8130
1056,8008
1060,7938
1064,7977
1068,7858
1072,7672
1076,7755
1080,7616
1084,7736
1088,7816
1092,7527
1096,7701
1100,7434
1104,7607
1108,7575
1112,7340
1116,7534
1120,7473
1124,7412
1128,7231
1132,7382
1136,7329
1140,7337
1144,7374
1148,7339
1152,7224
1156,7272
1160,7273
1164,7282
1168,7174
1172,7296
1176,7138
1180,7294
1184,7320
1188,7156
1192,7243
1196,7182
1200,7249
1204,7244
1208,7208
1212,7267
1216,7241
1220,7088
1224,7307
1228,7226
1232,7219
1236,7225
1240,7152
1244,7228
1248,7275
1252,7294
1256,7023
1260,7346
1264,7337
1268,7416
1272,7466
1276,7485
1280,7567
1284,7363
1288,7234
1292,7613
1296,7419
1300,7310
1304,7457
1308,7159
1312,7154
1316,6937
1320,7084
1324,6935
1328,6733
1332,6629
1336,6421
1340,6360
1344,6466
1348,6245
1352,6082
1356,6167
1360,5922
1364,5977
1368,5951
1372,6003
1376,5984
1380,5838
1384,5940
1388,5710
1392,5790
1396,5901
1400,5809
1404,5795
1408,5634
1412,5746
1416,5698
1420,5759
1424,5791
1428,5724
1432,5713
1436,5830
1440,5747
1444,5840
1448,5792
1452,5804
1456,5983
1460,5880
1464,6028
1468,5887
1472,5927
1476,5916
1480,5951
1484,5889
1488,6016
1492,5864
1496,5863
1500,5969
1504,5900
1508,6060
1512,5994
1516,6085
1520,5991
1524,5926
